+0.01442963-0.00000000i, +0.02096169-0.02455771i, +0.00239087+0.03769085i, +0.01148826-0.01347198i, +0.00717865-0.02512795i, -0.00960884+0.00494491i, -0.01592439-0.01307347i, +0.01551140+0.02283641i, +0.00623282+0.00000108i, -0.00774042+0.00932189i, -0.00807785+0.00649182i, +0.01118584-0.00275259i, +0.02437785-0.00580667i, -0.00478185-0.00305601i, +0.01207556-0.00840080i, -0.01195461+0.02012820i, +0.00521582+0.01080860i, -0.00006528-0.01052356i, -0.01859597+0.00123810i, +0.00400384-0.01759778i, -0.01688865-0.00552556i, -0.01878331+0.02638269i, -0.02389217-0.01824898i, +0.02351042-0.02255851i, -0.01293445+0.01231127i, -0.00079498-0.02370494i, -0.00176990+0.00453747i, +0.00327532-0.01513203i, -0.02575040+0.00694546i, +0.00858734-0.01115124i, -0.03573113-0.00221148i, -0.00179535+0.00231815i
+0.01118584+0.00275259i, +0.02093411-0.01503849i, -0.00533649+0.02967402i, +0.01147561-0.00825198i, +0.01035828-0.01810978i, -0.00839206+0.00200031i, -0.00985069-0.01317228i, +0.00766817+0.02066173i, +0.00483147+0.00118981i, -0.00777861+0.00574977i, -0.00750032+0.00349153i, +0.00919635+0.00000000i, +0.02000538+0.00014898i, -0.00312392-0.00328120i, +0.01096350-0.00420877i, -0.01310686+0.01332291i, +0.00198146+0.00937379i, +0.00195686-0.00817032i, -0.01465177-0.00258759i, +0.00646072-0.01287802i, -0.01203802-0.00750508i, -0.01959356+0.01686876i, -0.01504003-0.01870426i, +0.02252852-0.01300251i, -0.01237528+0.00707632i, +0.00390568-0.01852771i, -0.00223759+0.00317982i, +0.00542560-0.01110555i, -0.02128661+0.00047199i, +0.00878411-0.00700632i, -0.02727690-0.00853040i, -0.00183397+0.00145455i
+0.02437785+0.00580667i, +0.04529566-0.03305328i, -0.01112809+0.06463819i, +0.02482992-0.01813695i, +0.02223965-0.03956314i, -0.01822336+0.00448736i, -0.02164221-0.02849490i, +0.01701577+0.04482252i, +0.01052948+0.00251000i, -0.01682816+0.01263384i, -0.01625935+0.00771684i, +0.02000538-0.00014898i, +0.04352137+0.00000000i, -0.00684882-0.00708720i, +0.02378141-0.00933320i, -0.02829633+0.02919449i, +0.00446225+0.02035930i, +0.00412453-0.01780510i, -0.03191483-0.00539159i, +0.01384579-0.02811902i, -0.02630864-0.01613126i, -0.04234983+0.03701307i, -0.03302052-0.04044490i, +0.04879707-0.02865013i, -0.02680608+0.01559404i, +0.00819612-0.04036776i, -0.00481606+0.00695351i, +0.01162275-0.02424648i, -0.04629845+0.00137158i, +0.01899511-0.01538358i, -0.05947533-0.01811482i, -0.00396598+0.00319389i
-0.00478185+0.00305601i, -0.00174550+0.01257762i, -0.00877476-0.01198405i, -0.00095391+0.00689756i, +0.00294284+0.00984752i, +0.00213701-0.00367373i, +0.00804599+0.00095984i, -0.00997680-0.00428266i, -0.00206573+0.00131967i, +0.00059085-0.00472851i, +0.00130204-0.00386211i, -0.00312392+0.00328120i, -0.00684882+0.00708720i, +0.00223188+0.00000000i, -0.00222255+0.00534140i, -0.00030125-0.00920213i, -0.00401760-0.00247723i, +0.00225039+0.00347359i, +0.00590032-0.00434869i, +0.00240015+0.00667970i, +0.00676699-0.00174568i, +0.00063710-0.01272105i, +0.01178255+0.00098749i, -0.00301353+0.01245489i, +0.00167899-0.00681920i, +0.00528385+0.00768723i, -0.00037445-0.00187852i, +0.00211936+0.00570829i, +0.00706248-0.00775527i, -0.00048407+0.00551411i, +0.01230933-0.00683453i, +0.00010401-0.00114845i
+0.01207556+0.00840080i, +0.03183925-0.00834763i, -0.01994245+0.03293386i, +0.01745732-0.00458579i, +0.02063678-0.01684920i, -0.01092012-0.00145599i, -0.00571521-0.02021168i, -0.00031429+0.02814145i, +0.00521536+0.00362960i, -0.01190476+0.00329470i, -0.01053949+0.00072989i, +0.01096350+0.00420877i, +0.02378141+0.00933320i, -0.00222255-0.00534140i, +0.01499641+0.00000000i, -0.02172277+0.00988459i, -0.00192776+0.01208188i, +0.00607209-0.00884474i, -0.01628301-0.00979029i, +0.01359591-0.01239585i, -0.01091649-0.01445653i, -0.03107873+0.01114312i, -0.00936998-0.02918162i, +0.03280826-0.00519074i, -0.01799182+0.00277248i, +0.01313552-0.02030052i, -0.00412283+0.00276680i, +0.01155071-0.01075651i, -0.02559303-0.00917927i, +0.01367854-0.00433254i, -0.02861440-0.02265303i, -0.00285206+0.00089473i
-0.01195461-0.02012820i, -0.05162234-0.00889441i, +0.05059499-0.03456106i, -0.02831011-0.00486400i, -0.04099885+0.01080426i, +0.01485845+0.00930683i, -0.00504348+0.03304433i, +0.01900416-0.04055662i, -0.00516223-0.00869519i, +0.01941606+0.00307431i, +0.01574788+0.00588964i, -0.01310686-0.01332291i, -0.02829633-0.02919449i, -0.00030125+0.00920213i, -0.02172277-0.00988459i, +0.03798136-0.00000000i, +0.01075596-0.01623034i, -0.01462546+0.00880959i, +0.01713338+0.02491418i, -0.02786460+0.00899430i, +0.00628413+0.02813613i, +0.05236330+0.00434379i, -0.00566178+0.04844654i, -0.05094518-0.01410599i, +0.02788915+0.00784294i, -0.03240790+0.02074792i, +0.00779573-0.00129032i, -0.02382151+0.00796772i, +0.03102198+0.03016562i, -0.02266951-0.00274012i, +0.02651756+0.05167427i, +0.00472105+0.00058384i
+0.00521582-0.01080860i, -0.01081816-0.02457826i, +0.02909678+0.01183307i, -0.00593865-0.01347502i, -0.01622740-0.01446012i, +0.00023075+0.00898497i, -0.01554889+0.00720264i, +0.02271260-0.00336432i, +0.00225376-0.00466834i, +0.00418472+0.00916756i, +0.00194287+0.00839733i, +0.00198146-0.00937379i, +0.00446225-0.02035930i, -0.00401760+0.00247723i, -0.00192776-0.01208188i, +0.01075596+0.01623034i, +0.00998159-0.00000000i, -0.00790634-0.00375501i, -0.00579441+0.01437696i, -0.01173447-0.00936010i, -0.01024363+0.01065325i, +0.01297259+0.02360620i, -0.02230572+0.01130019i, -0.00839937-0.02576476i, +0.00454647+0.01413874i, -0.01804369-0.00797305i, +0.00275906+0.00296589i, -0.01015082-0.00792311i, -0.00410535+0.02179904i, -0.00524887-0.01046319i, -0.01457212+0.02596524i, +0.00108747+0.00218275i
-0.00006528+0.01052356i, +0.01781516+0.01539852i, -0.02749885+0.00157314i, +0.00977317+0.00843937i, +0.01829340+0.00534909i, -0.00356286-0.00703012i, +0.00960656-0.01155455i, -0.01672483+0.01120919i, -0.00002899+0.00454561i, -0.00676346-0.00568729i, -0.00469795-0.00592056i, +0.00195686+0.00817032i, +0.00412453+0.01780510i, +0.00225039-0.00347359i, +0.00607209+0.00884474i, -0.01462546-0.00880959i, -0.00790634+0.00375501i, +0.00767516+0.00000000i, -0.00081881-0.01356769i, +0.01281599+0.00299963i, +0.00410621-0.01229194i, -0.01915598-0.01381807i, +0.01341712-0.01734205i, +0.01634561+0.01724827i, -0.00892012-0.00948883i, +0.01729167-0.00047253i, -0.00330118-0.00131132i, +0.01102101+0.00245716i, -0.00494884-0.01881125i, +0.00809377+0.00631322i, +0.00177450-0.02604880i, -0.00168251-0.00131984i
-0.01859597-0.00123810i, -0.02912118+0.02984983i, +0.00015277-0.04877868i, -0.01596126+0.01637610i, -0.01140742+0.03176733i, +0.01280753-0.00554822i, +0.01940059+0.01821460i, -0.01803068-0.03076101i, -0.00803236-0.00053619i, +0.01077520-0.01134930i, +0.01096722-0.00767313i, -0.01465177+0.00258759i, -0.03191483+0.00539159i, +0.00590032+0.00434869i, -0.01628301+0.00979029i, +0.01713338-0.02491418i, -0.00579441-0.01437696i, -0.00081881+0.01356769i, +0.02407152-0.00000000i, -0.00666983+0.02233534i, +0.02129090+0.00857007i, +0.02647041-0.03238865i, +0.02922488+0.02556811i, -0.03223429+0.02705470i, +0.01772543-0.01475617i, -0.00100943+0.03061761i, +0.00267025-0.00569574i, -0.00551938+0.01922015i, +0.03378139-0.00674142i, -0.01202361+0.01363418i, +0.04585822+0.00591583i, +0.00251264-0.00283344i
+0.00400384+0.01759778i, +0.03576588+0.01874988i, -0.04530279+0.01337402i, +0.01961756+0.01027249i, +0.03263689+0.00178244i, -0.00869680-0.01034645i, +0.01152526-0.02304827i, -0.02354633+0.02525356i, +0.00172812+0.00760159i, -0.01351635-0.00685332i, -0.01015854-0.00805010i, +0.00646072+0.01287802i, +0.01384579+0.02811902i, +0.00240015-0.00667970i, +0.01359591+0.01239585i, -0.02786460-0.00899430i, -0.01173447+0.00936010i, +0.01281599-0.00299963i, -0.00666983-0.02233534i, +0.02257248-0.00000000i, +0.00205258-0.02212989i, -0.03738710-0.01558684i, +0.01562625-0.03420150i, +0.03403495+0.02241294i, -0.01860329-0.01235827i, +0.02868897-0.00754702i, -0.00602481-0.00089946i, +0.01936321-0.00020430i, -0.01561546-0.02947693i, +0.01598235+0.00737858i, -0.00721742-0.04418983i, -0.00332529-0.00154631i
-0.01688865+0.00552556i, -0.01512995+0.03676960i, -0.01723132-0.04319839i, -0.00828719+0.02016702i, +0.00122028+0.03215905i, +0.00935276-0.00946712i, +0.02364438+0.00920343i, -0.02689955-0.02078827i, -0.00729540+0.00238548i, +0.00548986-0.01387453i, +0.00696851-0.01069138i, -0.01203802+0.00750508i, -0.02630864+0.01613126i, +0.00676699+0.00174568i, -0.01091649+0.01445653i, +0.00628413-0.02813613i, -0.01024363-0.01065325i, +0.00410621+0.01229194i, +0.02129090-0.00857007i, +0.00205258+0.02212989i, +0.02188264-0.00000000i, +0.01188150-0.03807141i, +0.03495185+0.01220981i, -0.01887858+0.03540569i, +0.01042430-0.01936230i, +0.01000782+0.02744019i, +0.00033397-0.00598847i, +0.00196105+0.01896497i, +0.02747901-0.01798971i, -0.00578059+0.01633993i, +0.04266709-0.01109422i, +0.00121361-0.00340070i
