+0.01442963-0.00000000i, +0.02096169-0.02455771i, +0.00239087+0.03769085i, +0.01148826-0.01347198i, +0.00717865-0.02512795i, -0.00960884+0.00494491i, -0.01592439-0.01307347i, +0.01551140+0.02283641i, +0.00623282+0.00000108i, -0.00774042+0.00932189i, -0.00807785+0.00649182i, +0.01118584-0.00275259i, +0.02437785-0.00580667i, -0.00478185-0.00305601i, +0.01207556-0.00840080i, -0.01195461+0.02012820i, +0.00521582+0.01080860i, -0.00006528-0.01052356i, -0.01859597+0.00123810i, +0.00400384-0.01759778i, -0.01688865-0.00552556i, -0.01878331+0.02638269i, -0.02389217-0.01824898i, +0.02351042-0.02255851i, -0.01293445+0.01231127i, -0.00079498-0.02370494i, -0.00176990+0.00453747i, +0.00327532-0.01513203i, -0.02575040+0.00694546i, +0.00858734-0.01115124i, -0.03573113-0.00221148i, -0.00179535+0.00231815i
-0.01878331-0.02638269i, -0.07218677-0.00635850i, +0.06580056-0.05343425i, -0.03958623-0.00346807i, -0.05528775+0.01958427i, +0.02154911+0.01113162i, -0.00317407+0.04613364i, +0.02156192-0.05808713i, -0.00811139-0.01139730i, +0.02711971+0.00201788i, +0.02238451+0.00631877i, -0.01959356-0.01686876i, -0.04234983-0.03701307i, +0.00063710+0.01272105i, -0.03107873-0.01114312i, +0.05236330-0.00434379i, +0.01297259-0.02360620i, -0.01915598+0.01381807i, +0.02647041+0.03238865i, -0.03738710+0.01558684i, +0.01188150+0.03807141i, +0.07268786+0.00000000i, -0.00226501+0.06743872i, -0.07184923-0.01362092i, +0.03934656+0.00762315i, -0.04230655+0.03231065i, +0.01060008-0.00267048i, -0.03193048+0.01370914i, +0.04621862+0.03804020i, -0.03156687-0.00118506i, +0.04246844+0.06820842i, +0.00657548+0.00026498i
-0.02389217+0.01824898i, -0.00364992+0.06717195i, -0.05162590-0.05938373i, -0.00198408+0.03683559i, +0.01989281+0.05068489i, +0.00965627-0.02033982i, +0.04290101+0.00150729i, -0.05456427-0.01819479i, -0.01032149+0.00788078i, +0.00102709-0.02522414i, +0.00516494-0.02096492i, -0.01504003+0.01870426i, -0.03302052+0.04044490i, +0.01178255-0.00098749i, -0.00936998+0.02918162i, -0.00566178-0.04844654i, -0.02230572-0.01130019i, +0.01341712+0.01734205i, +0.02922488-0.02556811i, +0.01562625+0.03420150i, +0.03495185-0.01220981i, -0.00226501-0.06743872i, +0.06263923-0.00000000i, -0.01039841+0.06708509i, +0.00584658-0.03674270i, +0.03129565+0.03824457i, -0.00280794-0.00975138i, +0.01371412+0.02919744i, +0.03385292-0.04406632i, -0.00011583+0.02932420i, +0.06195942-0.04152702i, +0.00004095-0.00610889i
+0.02351042+0.02255851i, +0.07254542-0.00724188i, -0.05502839+0.06514806i, +0.03977938-0.00398998i, +0.05097998-0.02971864i, -0.02338644-0.00696512i, -0.00550749-0.04619616i, -0.01042825+0.06145742i, +0.01015354+0.00974582i, -0.02718494+0.00308734i, -0.02331032-0.00205125i, +0.02252852+0.01300251i, +0.04879707+0.02865013i, -0.00301353-0.01245489i, +0.03280826+0.00519074i, -0.05094518+0.01410599i, -0.00839937+0.02576476i, +0.01634561-0.01724827i, -0.03223429-0.02705470i, +0.03403495-0.02241294i, -0.01887858-0.03540569i, -0.07184923+0.01362092i, -0.01039841-0.06708509i, +0.07357268-0.00000000i, -0.04032110-0.00016208i, +0.03576377-0.03986566i, -0.00997736+0.00462601i, +0.02899314-0.01953440i, -0.05281370-0.02894044i, +0.03142473-0.00474390i, -0.05475998-0.05946334i, -0.00654927+0.00097025i
-0.01293445-0.01231127i, -0.03974216+0.00412869i, +0.03001448-0.03582526i, -0.02179208+0.00227432i, -0.02787383+0.01639945i, +0.01283215+0.00376568i, +0.00312012+0.02530541i, +0.00557975-0.03370437i, -0.00558606-0.00531877i, +0.01489175-0.00175189i, +0.01277961+0.00107283i, -0.01237528-0.00707632i, -0.02680608-0.01559404i, +0.00167899+0.00681920i, -0.01799182-0.00277248i, +0.02788915-0.00784294i, +0.00454647-0.01413874i, -0.00892012+0.00948883i, +0.01772543+0.01475617i, -0.01860329+0.01235827i, +0.01042430+0.01936230i, +0.03934656-0.00762315i, +0.00584658+0.03674270i, -0.04032110+0.00016208i, +0.02209811+0.00000000i, -0.01951231+0.02192694i, +0.00545784-0.00255724i, -0.01584649+0.01076959i, +0.02900801+0.01574430i, -0.01721170+0.00266910i, +0.03014190+0.03246792i, +0.00358715-0.00054617i
-0.00079498+0.02370494i, +0.03918847+0.03578875i, -0.06205011+0.00185120i, +0.02149879+0.01961509i, +0.04088460+0.01317744i, -0.00759410-0.01605779i, +0.02235438-0.02544027i, -0.03837014+0.02422394i, -0.00034516+0.01023919i, -0.01488752-0.01322951i, -0.01021970-0.01362791i, +0.00390568+0.01852771i, +0.00819612+0.04036776i, +0.00528385-0.00768723i, +0.01313552+0.02030052i, -0.03240790-0.02074792i, -0.01804369+0.00797305i, +0.01729167+0.00047253i, -0.00100943-0.03061761i, +0.02868897+0.00754702i, +0.01000782-0.02744019i, -0.04230655-0.03231065i, +0.03129565-0.03824457i, +0.03576377+0.03986566i, -0.01951231-0.02192694i, +0.03898618-0.00000000i, -0.00735663-0.00315756i, +0.02467839+0.00621435i, -0.00999131-0.04268530i, +0.01784611+0.01472160i, +0.00560156-0.05857713i, -0.00370934-0.00307711i
-0.00176990-0.00453747i, -0.01029340-0.00357933i, +0.01155882-0.00537487i, -0.00564545-0.00196011i, -0.00878212+0.00082476i, +0.00273354+0.00241502i, -0.00215778+0.00661106i, +0.00527844-0.00767869i, -0.00076416-0.00196007i, +0.00388073+0.00129062i, +0.00303219+0.00174385i, -0.00223759-0.00317982i, -0.00481606-0.00695351i, -0.00037445+0.00187852i, -0.00412283-0.00276680i, +0.00779573+0.00129032i, +0.00275906-0.00296589i, -0.00330118+0.00131132i, +0.00267025+0.00569574i, -0.00602481+0.00089946i, +0.00033397+0.00598847i, +0.01060008+0.00267048i, -0.00280794+0.00975138i, -0.00997736-0.00462601i, +0.00545784+0.00255724i, -0.00735663+0.00315756i, +0.00164392-0.00000000i, -0.00516008+0.00082611i, +0.00534251+0.00724543i, -0.00455986-0.00133255i, +0.00368727+0.01150709i, +0.00094917+0.00028022i
+0.00327532+0.01513203i, +0.03051112+0.01640781i, -0.03898286+0.01106253i, +0.01673544+0.00898954i, +0.02798057+0.00182441i, -0.00736668-0.00895415i, +0.01009525-0.01966704i, -0.02042717+0.02145000i, +0.00141363+0.00653646i, -0.01153262-0.00600128i, -0.00864138-0.00699751i, +0.00542560+0.01110555i, +0.01162275+0.02424648i, +0.00211936-0.00570829i, +0.01155071+0.01075651i, -0.02382151-0.00796772i, -0.01015082+0.00792311i, +0.01102101-0.00245716i, -0.00551938-0.01922015i, +0.01936321+0.00020430i, +0.00196105-0.01896497i, -0.03193048-0.01370914i, +0.01371412-0.02919744i, +0.02899314+0.01953440i, -0.01584649-0.01076959i, +0.02467839-0.00621435i, -0.00516008-0.00082611i, +0.01661207-0.00000000i, -0.01312852-0.02542734i, +0.01364326+0.00647418i, -0.00579132-0.03797241i, -0.00283852-0.00135656i
-0.02575040-0.00694546i, -0.04922763+0.03373490i, +0.01387525-0.06841202i, -0.02698589+0.01851174i, -0.02490559+0.04138676i, +0.01952760-0.00419938i, +0.02212517+0.03099521i, -0.01668895-0.04821887i, -0.01112226-0.00300200i, +0.01830011-0.01290965i, +0.01754005-0.00769683i, -0.02128661-0.00047199i, -0.04629845-0.00137158i, +0.00706248+0.00775527i, -0.02559303+0.00917927i, +0.03102198-0.03016562i, -0.00410535-0.02179904i, -0.00494884+0.01881125i, +0.03378139+0.00674142i, -0.01561546+0.02947693i, +0.02747901+0.01798971i, +0.04621862-0.03804020i, +0.03385292+0.04406632i, -0.05281370+0.02894044i, +0.02900801-0.01574430i, -0.00999131+0.04268530i, +0.00534251-0.00724543i, -0.01312852+0.02542734i, +0.04929596+0.00000000i, -0.02069200+0.01576657i, +0.06269953+0.02114509i, +0.00431970-0.00327270i
+0.00858734+0.01115124i, +0.03145292+0.00158448i, -0.02770469+0.02427818i, +0.01724804+0.00086072i, +0.02369106-0.00940643i, -0.00953983-0.00448292i, +0.00062630-0.02008665i, -0.00841689+0.02557760i, +0.00370843+0.00481738i, -0.01181044-0.00043418i, -0.00982416-0.00237917i, +0.00878411+0.00700632i, +0.01899511+0.01538358i, -0.00048407-0.00551411i, +0.01367854+0.00433254i, -0.02266951+0.00274012i, -0.00524887+0.01046319i, +0.00809377-0.00631322i, -0.01202361-0.01363418i, +0.01598235-0.00737858i, -0.00578059-0.01633993i, -0.03156687+0.00118506i, -0.00011583-0.02932420i, +0.03142473+0.00474390i, -0.01721170-0.00266910i, +0.01784611-0.01472160i, -0.00455986+0.00133255i, +0.01364326-0.00647418i, -0.02069200-0.01576657i, +0.01372817+0.00000000i, -0.01955521-0.02892916i, -0.00285992-0.00000787i
-0.03573113+0.00221148i, -0.04814232+0.06402321i, -0.01169685-0.09296492i, -0.02638290+0.03512046i, -0.01392491+0.06332286i, +0.02303586-0.01371740i, +0.04143615+0.02993239i, -0.04190976-0.05417100i, -0.01543408+0.00095256i, +0.01773843-0.02426947i, +0.01900770-0.01731326i, -0.02727690+0.00853040i, -0.05947533+0.01811482i, +0.01230933+0.00683453i, -0.02861440+0.02265303i, +0.02651756-0.05167427i, -0.01457212-0.02596524i, +0.00177450+0.02604880i, +0.04585822-0.00591583i, -0.00721742+0.04418983i, +0.04266709+0.01109422i, +0.04246844-0.06820842i, +0.06195942+0.04152702i, -0.05475998+0.05946334i, +0.03014190-0.03246792i, +0.00560156+0.05857713i, +0.00368727-0.01150709i, -0.00579132+0.03797241i, +0.06269953-0.02114509i, -0.01955521+0.02892916i, +0.08881754-0.00000000i, +0.00409043-0.00601545i
-0.00179535-0.00231815i, -0.00655333-0.00031205i, +0.00575765-0.00507364i, -0.00359369-0.00016942i, -0.00493004+0.00197318i, +0.00198995+0.00092843i, -0.00011895+0.00418491i, +0.00173878-0.00533328i, -0.00077532-0.00100145i, +0.00246066+0.00008368i, +0.00204798+0.00049001i, -0.00183397-0.00145455i, -0.00396598-0.00319389i, +0.00010401+0.00114845i, -0.00285206-0.00089473i, +0.00472105-0.00058384i, +0.00108747-0.00218275i, -0.00168251+0.00131984i, +0.00251264+0.00283344i, -0.00332529+0.00154631i, +0.00121361+0.00340070i, +0.00657548-0.00026498i, +0.00004095+0.00610889i, -0.00654927-0.00097025i, +0.00358715+0.00054617i, -0.00370934+0.00307711i, +0.00094917-0.00028022i, -0.00283852+0.00135656i, +0.00431970+0.00327270i, -0.00285992+0.00000787i, +0.00409043+0.00601545i, +0.00059580+0.00000000i
