+0.00084421-0.00000000i, -0.00061203+0.00092331i, +0.00040456+0.00011295i, +0.00151918-0.00042512i, +0.00016055-0.00018045i, -0.00023527-0.00065945i, +0.00070492-0.00001568i, +0.00049273-0.00035404i, +0.00075882+0.00181906i, -0.00112707-0.00450392i, -0.00276305-0.00081416i, -0.00195034+0.00365321i, +0.00205917-0.00274190i, -0.00600091+0.00570228i, -0.00120583-0.00505540i, -0.00735411+0.00010569i, -0.00164720+0.00297423i, +0.00352500-0.00655531i, -0.00225259-0.00358645i, -0.00653370+0.00257208i, -0.00494616+0.00082119i, +0.01239042+0.00076335i, -0.00445056+0.00666122i, +0.00738121+0.00793159i, +0.00192724+0.00152087i, -0.00356950-0.00161104i, -0.00140359+0.00093460i, +0.00218945+0.00351851i, -0.00010174-0.00208031i, -0.00178100+0.00593329i, -0.00305312-0.00298143i, -0.00481472+0.00232699i
-0.00195034-0.00365321i, +0.00540944+0.00051543i, -0.00044586-0.00201163i, -0.00534933-0.00559192i, -0.00115177-0.00027787i, -0.00231014+0.00254158i, -0.00169640-0.00301421i, -0.00267037-0.00131429i, +0.00611868-0.00748618i, -0.01688629+0.01528238i, +0.00286016+0.01383760i, +0.02031451+0.00000000i, -0.01662235-0.00257633i, +0.03853935+0.01279447i, -0.01909074+0.01689726i, +0.01744715+0.03157971i, +0.01667601+0.00025682i, -0.03651078-0.00010959i, -0.01031585+0.01803332i, +0.02622472+0.02233155i, +0.01498041+0.01950667i, -0.02532156-0.05538132i, +0.03910737+0.00387015i, +0.01727049-0.05026503i, +0.00212898-0.01185343i, +0.00127483+0.01916840i, +0.00728701+0.00391469i, +0.01016768-0.01760314i, -0.00876720+0.00524630i, +0.02979001-0.00600029i, -0.00584828+0.02009977i, +0.02119289+0.01545913i
+0.00205917+0.00274190i, -0.00449164+0.00026429i, +0.00061994+0.00158948i, +0.00508627+0.00389718i, +0.00097768+0.00008130i, +0.00156794-0.00237262i, +0.00177035+0.00225124i, +0.00235171+0.00073676i, -0.00405720+0.00690155i, +0.01187907-0.01464636i, -0.00409524-0.01095988i, -0.01662235+0.00257633i, +0.01392797-0.00000000i, -0.03315745-0.00558144i, +0.01347806-0.01624731i, -0.01828113-0.02362742i, -0.01367772+0.00190474i, +0.02988885-0.00454069i, +0.00615392-0.01606404i, -0.02429051-0.01494692i, -0.01473159-0.01406149i, +0.02774294+0.04210443i, -0.03249043+0.00179293i, -0.00775687+0.04331964i, -0.00023877+0.00996907i, -0.00347411-0.01552287i, -0.00645906-0.00227904i, -0.00608724+0.01569326i, +0.00650842-0.00540466i, -0.02361471+0.00868777i, +0.00223626-0.01718833i, -0.01930164-0.00996171i
-0.00600091-0.00570228i, +0.01058705-0.00242914i, -0.00211282-0.00353553i, -0.01367030-0.00723952i, -0.00236007+0.00019824i, -0.00278191+0.00627669i, -0.00511671-0.00464994i, -0.00589382-0.00081154i, +0.00689303-0.01805595i, -0.02241043+0.03962803i, +0.01414129+0.02445040i, +0.03853935-0.01279447i, -0.03315745+0.00558144i, +0.08117253+0.00000000i, -0.02557549+0.04408009i, +0.05298909+0.04892241i, +0.03179838-0.01001564i, -0.06933488+0.02278727i, -0.00821282+0.04070875i, +0.06381665+0.02584913i, +0.04070552+0.02757182i, -0.08291862-0.08911779i, +0.07662943-0.01728838i, +0.00110657-0.10623680i, -0.00342655-0.02382842i, +0.01449115+0.03556211i, +0.01628998+0.00283719i, +0.00820265-0.03979933i, -0.01332834+0.01547469i, +0.05273655-0.03014568i, +0.00156425+0.04181532i, +0.04994222+0.01598035i
-0.00120583+0.00505540i, -0.00465485-0.00498385i, -0.00125424+0.00226131i, +0.00037582+0.00970454i, +0.00085125+0.00121916i, +0.00428502-0.00046694i, -0.00091296+0.00424367i, +0.00141630+0.00345629i, -0.01197696+0.00194578i, +0.02858067-0.00031602i, +0.00882202-0.01538304i, -0.01909074-0.01689726i, +0.01347806+0.01624731i, -0.02557549-0.04408009i, +0.03199556-0.00000000i, +0.00987135-0.04418956i, -0.01545781-0.01411217i, +0.03422018+0.03047204i, +0.02469422-0.00836643i, -0.00606991-0.04279955i, +0.00214734-0.03079201i, -0.02226907+0.07310714i, -0.03353239-0.03616585i, -0.05803970+0.03287172i, -0.01186021+0.00936852i, +0.01474591-0.01907406i, -0.00359186-0.00974007i, -0.02419716+0.00808541i, +0.01260284+0.00236215i, -0.03298638-0.01913999i, +0.02221462-0.01402444i, -0.00705757-0.03215574i
-0.00735411-0.00010569i, +0.00544715-0.00796651i, -0.00351009-0.00103459i, -0.01328715+0.00351312i, -0.00142117+0.00155182i, +0.00196692+0.00577404i, -0.00614267+0.00004836i, -0.00433658+0.00302241i, -0.00638252-0.01594125i, +0.00925425+0.03937571i, +0.02396755+0.00743821i, +0.01744715-0.03157971i, -0.01828113+0.02362742i, +0.05298909-0.04892241i, +0.00987135+0.04418956i, +0.06407643+0.00000000i, +0.01472146-0.02570295i, -0.03152771+0.05666334i, +0.01917373+0.03152434i, +0.05723842-0.02158788i, +0.04318983-0.00653431i, -0.10783992-0.00820095i, +0.03960372-0.05747008i, -0.06330620-0.07001787i, -0.01659815-0.01348993i, +0.03089293+0.01448103i, +0.01234399-0.00796581i, -0.01863226-0.03092455i, +0.00062585+0.01813476i, +0.01625750-0.05146312i, +0.02622309+0.02635410i, +0.04223338-0.01966810i
-0.00164720-0.00297423i, +0.00444708+0.00035472i, -0.00039143-0.00164570i, -0.00446192-0.00452273i, -0.00094899-0.00021354i, -0.00186424+0.00211557i, -0.00143067-0.00245289i, -0.00220870-0.00104513i, +0.00492813-0.00622269i, -0.01366861+0.01275866i, +0.00252282+0.01132301i, +0.01667601-0.00025682i, -0.01367772-0.00190474i, +0.03179838+0.01001564i, -0.01545781+0.01411217i, +0.01472146+0.02570295i, +0.01369244-0.00000000i, -0.02997278+0.00037162i, -0.00824021+0.01493382i, +0.02180997+0.01800024i, +0.01254390+0.01582347i, -0.02148641-0.04514193i, +0.03215184+0.00268256i, +0.01354173-0.04148048i, +0.00159781-0.00975730i, +0.00128884+0.01571906i, +0.00603133+0.00312141i, +0.00812402-0.01457882i, -0.00713060+0.00441748i, +0.02437851-0.00530221i, -0.00454669+0.01657367i, +0.01759251+0.01242234i
+0.00352500+0.00655531i, -0.00972503-0.00089718i, +0.00081218+0.00361306i, +0.00964439+0.01002137i, +0.00207155+0.00049320i, +0.00413825-0.00458038i, +0.00306516+0.00540822i, +0.00480648+0.00234774i, -0.01095658+0.01348773i, +0.03026688-0.02755775i, -0.00521515-0.02485455i, -0.03651078+0.00010959i, +0.02988885+0.00454069i, -0.06933488-0.02278727i, +0.03422018-0.03047204i, -0.03152771-0.05666334i, -0.02997278-0.00037162i, +0.06562054-0.00000000i, +0.01844314-0.03246651i, -0.04725353-0.03999449i, -0.02702916-0.03497805i, +0.04580861+0.09939891i, -0.07030762-0.00674474i, -0.03076867+0.09043330i, -0.00376242+0.02131537i, -0.00239464-0.03444402i, -0.01311788-0.00699646i, -0.01817916+0.03169256i, +0.01572878-0.00947635i, -0.05350850+0.01094490i, +0.01040253-0.03615638i, -0.03817288-0.02766999i
-0.00225259+0.00358645i, -0.00228940-0.00506373i, -0.00155933+0.00141731i, -0.00224756+0.00758825i, +0.00033821+0.00116354i, +0.00342928+0.00076009i, -0.00181429+0.00303654i, +0.00018933+0.00303791i, -0.00975264-0.00163006i, +0.02214124+0.00722957i, +0.01083132-0.00956581i, -0.01031585-0.01803332i, +0.00615392+0.01606404i, -0.00821282-0.04070875i, +0.02469422+0.00836643i, +0.01917373-0.03152434i, -0.00824021-0.01493382i, +0.01844314+0.03246651i, +0.02124675+0.00000000i, +0.00650677-0.03461997i, +0.00970904-0.02320383i, -0.03630388+0.05060113i, -0.01642344-0.03668115i, -0.05339067+0.01019381i, -0.01160348+0.00412934i, +0.01636854-0.01086552i, -0.00022530-0.00845663i, -0.02078964-0.00008691i, +0.00910922+0.00511860i, -0.02045408-0.02339779i, +0.02081249-0.00501525i, +0.00296127-0.02666332i
-0.00653370-0.00257208i, +0.00754983-0.00528116i, -0.00278694-0.00210676i, -0.01305279-0.00133834i, -0.00179232+0.00090741i, -0.00018830+0.00582053i, -0.00550344-0.00202631i, -0.00489207+0.00123884i, -0.00033066-0.01639038i, -0.00499934+0.03829151i, +0.01890382+0.01471930i, +0.02622472-0.02233155i, -0.02429051+0.01494692i, +0.06381665-0.02584913i, -0.00606991+0.04279955i, +0.05723842+0.02158788i, +0.02180997-0.01800024i, -0.04725353+0.03999449i, +0.00650677+0.03461997i, +0.05840328-0.00000000i, +0.04078223+0.00871402i, -0.09356867-0.04365794i, +0.05473950-0.03799426i, -0.03296079-0.08387420i, -0.01028198-0.01764238i, +0.02271737+0.02334375i, +0.01371043-0.00295694i, -0.00622516-0.03390175i, -0.00555069+0.01641034i, +0.03186091-0.04049387i, +0.01454574+0.03237646i, +0.04435273-0.00334042i
-0.00494616-0.00082119i, +0.00448398-0.00481423i, -0.00226042-0.00105530i, -0.00931427+0.00101299i, -0.00111617+0.00090106i, +0.00073696+0.00409249i, -0.00414531-0.00059381i, -0.00323123+0.00159499i, -0.00267641-0.01139585i, +0.00222229+0.02748437i, +0.01539647+0.00745776i, +0.01498041-0.01950667i, -0.01473159+0.01406149i, +0.04070552-0.02757182i, +0.00214734+0.03079201i, +0.04318983+0.00653431i, +0.01254390-0.01582347i, -0.02702916+0.03497805i, +0.00970904+0.02320383i, +0.04078223-0.00871402i, +0.02977786-0.00000000i, -0.07185171-0.01652491i, +0.03255496-0.03469826i, -0.03553047-0.05365034i, -0.00981209-0.01078532i, +0.01934622+0.01291110i, +0.00913263-0.00411044i, -0.00940523-0.02274432i, -0.00142748+0.01228731i, +0.01620619-0.03303012i, +0.01498780+0.02043776i, +0.03047252-0.00895019i
+0.01239042-0.00076335i, -0.00814789+0.01410471i, +0.00603986+0.00129196i, +0.02191249-0.00761312i, +0.00219319-0.00279358i, -0.00404931-0.00946591i, +0.01033185-0.00086758i, +0.00691158-0.00564171i, +0.01278198+0.02601207i, -0.02061437-0.06508446i, -0.04128911-0.00945090i, -0.02532156+0.05538132i, +0.02774294-0.04210443i, -0.08291862+0.08911779i, -0.02226907-0.07310714i, -0.10783992+0.00820095i, -0.02148641+0.04514193i, +0.04580861-0.09939891i, -0.03630388-0.05060113i, -0.09356867+0.04365794i, -0.07185171+0.01652491i, +0.18254301+0.00000000i, -0.05929720+0.10179028i, +0.11550501+0.10973693i, +0.02966103+0.02057905i, -0.05384584-0.02041752i, -0.01975528+0.01498624i, +0.03531583+0.04966098i, -0.00337432-0.03044050i, -0.02077458+0.08869261i, -0.04750615-0.04099744i, -0.06856105+0.03850652i
-0.00445056-0.00666122i, +0.01051188-0.00003832i, -0.00124156-0.00378765i, -0.01136330-0.00974587i, -0.00227020-0.00031551i, -0.00396304+0.00533289i, -0.00383998-0.00547946i, -0.00539111-0.00202141i, +0.01035285-0.01557728i, -0.02959626+0.03263707i, +0.00814230+0.02609381i, +0.03910737-0.00387015i, -0.03249043-0.00179293i, +0.07662943+0.01728838i, -0.03353239+0.03616585i, +0.03960372+0.05747008i, +0.03215184-0.00268256i, -0.07030762+0.00674474i, -0.01642344+0.03668115i, +0.05473950+0.03799426i, +0.03255496+0.03469826i, -0.05929720-0.10179028i, +0.07602273+0.00000000i, +0.02367129-0.10005521i, +0.00184028-0.02322458i, +0.00610598+0.03665813i, +0.01477398+0.00614788i, +0.01622015-0.03582479i, -0.01587823+0.01176988i, +0.05620549-0.01722648i, -0.00742925+0.03980814i, +0.04374349+0.02572281i
+0.00738121-0.00793159i, +0.00332352+0.01382298i, +0.00459842-0.00281341i, +0.00928856-0.01799008i, -0.00029163-0.00308611i, -0.00825271-0.00355533i, +0.00601598-0.00676002i, +0.00098178-0.00772476i, +0.02372519+0.00877530i, -0.05216979-0.02879005i, -0.03180736+0.01884112i, +0.01727049+0.05026503i, -0.00775687-0.04331964i, +0.00110657+0.10623680i, -0.05803970-0.03287172i, -0.06330620+0.07001787i, +0.01354173+0.04148048i, -0.03076867-0.09043330i, -0.05339067-0.01019381i, -0.03296079+0.08387420i, -0.03553047+0.05365034i, +0.11550501-0.10973693i, +0.02367129+0.10005521i, +0.13905544+0.00000000i, +0.03113940-0.00480943i, -0.04634535+0.01945049i, -0.00349118+0.02135864i, +0.05220029+0.01019289i, -0.02043462-0.01723288i, +0.04017292+0.06860946i, -0.05470563+0.00261730i, -0.02023390+0.06558112i
+0.00192724-0.00152087i, +0.00026617+0.00321040i, +0.00112705-0.00047098i, +0.00270225-0.00370735i, +0.00004143-0.00070117i, -0.00172511-0.00108160i, +0.00158099-0.00130574i, +0.00048703-0.00169589i, +0.00500940+0.00278567i, -0.01068690-0.00825147i, -0.00777443+0.00311909i, +0.00212898+0.01185343i, -0.00023877-0.00996907i, -0.00342655+0.02382842i, -0.01186021-0.00936852i, -0.01659815+0.01348993i, +0.00159781+0.00975730i, -0.00376242-0.02131537i, -0.01160348-0.00412934i, -0.01028198+0.01764238i, -0.00981209+0.01078532i, +0.02966103-0.02057905i, +0.00184028+0.02322458i, +0.03113940+0.00480943i, +0.00713954-0.00000000i, -0.01105107+0.00275273i, -0.00152052+0.00466220i, +0.01133694+0.00408797i, -0.00398001-0.00456581i, +0.00662317+0.01675350i, -0.01234103-0.00130597i, -0.00679930+0.01398610i
-0.00356950+0.00161104i, +0.00082581-0.00507190i, -0.00192612+0.00029446i, -0.00561213+0.00469661i, -0.00033448+0.00106935i, +0.00225322+0.00233930i, -0.00295061+0.00141154i, -0.00140772+0.00243723i, -0.00667984-0.00624327i, +0.01336047+0.01689264i, +0.01323639-0.00183042i, +0.00127483-0.01916840i, -0.00347411+0.01552287i, +0.01449115-0.03556211i, +0.01474591+0.01907406i, +0.03089293-0.01448103i, +0.00128884-0.01571906i, -0.00239464+0.03444402i, +0.01636854+0.01086552i, +0.02271737-0.02334375i, +0.01934622-0.01291110i, -0.05384584+0.02041752i, +0.00610598-0.03665813i, -0.04634535-0.01945049i, -0.01105107-0.00275273i, +0.01816695-0.00000000i, +0.00415112-0.00663022i, -0.01597193-0.01069872i, +0.00440013+0.00860180i, -0.00379230-0.02848585i, +0.01859876+0.00677968i, +0.01591691-0.01902709i
-0.00140359-0.00093460i, +0.00203974-0.00085753i, -0.00054758-0.00063567i, -0.00299644-0.00097504i, -0.00046670+0.00012227i, -0.00033890+0.00135686i, -0.00118937-0.00075432i, -0.00121116+0.00004314i, +0.00075221-0.00386446i, -0.00311230+0.00873599i, +0.00369253+0.00441251i, +0.00728701-0.00391469i, -0.00645906+0.00227904i, +0.01628998-0.00283719i, -0.00359186+0.00974007i, +0.01234399+0.00796581i, +0.00603133-0.00312141i, -0.01311788+0.00699646i, -0.00022530+0.00845663i, +0.01371043+0.00295694i, +0.00913263+0.00411044i, -0.01975528-0.01498624i, +0.01477398-0.00614788i, -0.00349118-0.02135864i, -0.00152052-0.00466220i, +0.00415112+0.00663022i, +0.00336829-0.00000000i, +0.00025505-0.00827377i, -0.00213390+0.00357137i, +0.00952968-0.00789301i, +0.00177547+0.00833696i, +0.01058113+0.00146138i
+0.00218945-0.00351851i, +0.00226086+0.00494542i, +0.00151999-0.00139320i, +0.00216816-0.00743419i, -0.00033569-0.00113712i, -0.00335861-0.00072971i, +0.00176284-0.00297864i, -0.00019768-0.00297178i, +0.00954948+0.00155510i, -0.02169446-0.00698346i, -0.01055916+0.00940431i, +0.01016768+0.01760314i, -0.00608724-0.01569326i, +0.00820265+0.03979933i, -0.02419716-0.00808541i, -0.01863226+0.03092455i, +0.00812402+0.01457882i, -0.01817916-0.03169256i, -0.02078964+0.00008691i, -0.00622516+0.03390175i, -0.00940523+0.02274432i, +0.03531583-0.04966098i, +0.01622015+0.03582479i, +0.05220029-0.01019289i, +0.01133694-0.00408797i, -0.01597193+0.01069872i, +0.00025505+0.00827377i, +0.02034272+0.00000000i, -0.00893418-0.00497121i, +0.02010973+0.02281073i, -0.02034420+0.00499249i, -0.00278849+0.02610179i
