+0.01662024-0.00094706i, -0.00435598+0.01390056i, +0.02173546+0.00123233i, -0.00136348-0.01154358i, +0.00361024-0.00576188i, +0.00081571-0.01419043i, -0.00101394+0.00442328i, -0.02814308+0.00076251i, +0.00435810-0.01511332i, -0.00918723+0.00147381i, +0.02032771-0.00865067i, +0.00844380-0.00000000i, -0.00455632-0.01127562i, +0.01786659+0.03044409i, +0.00153486+0.00719848i, +0.01704621-0.01165139i, -0.01915132+0.00526972i, -0.00743452+0.01430753i, -0.00611379+0.01870705i, -0.00070353+0.01287767i, -0.01987360+0.00525899i, -0.00883015-0.00147245i, +0.00617693-0.01460690i, -0.01278702+0.00831996i, -0.00925763-0.00212363i, +0.00595835+0.00570074i, -0.01283006-0.01655189i, -0.00015103-0.01179296i, +0.01030830+0.00317302i, +0.00528782-0.01263942i, -0.00983879+0.00409008i, +0.01104386-0.00674752i
-0.00770369+0.02270525i, -0.01621192-0.01331768i, -0.01337420+0.02835998i, +0.01615073+0.00440822i, +0.00574615+0.00793016i, +0.01850935+0.00874651i, -0.00535961-0.00374081i, +0.01416792-0.03799295i, +0.01783026+0.01397492i, +0.00298940-0.01306365i, +0.00058293+0.03181302i, -0.00455632+0.01127562i, +0.01751577-0.00000000i, -0.05029512+0.00743075i, -0.01044087-0.00183473i, +0.00636072+0.02905020i, +0.00329712-0.02841772i, -0.01509418-0.01764827i, -0.02168185-0.01825861i, -0.01681686-0.00788833i, +0.00370120-0.02937644i, +0.00673107-0.01099699i, +0.01617255+0.01613047i, -0.00421030-0.02156493i, +0.00783130-0.01121646i, -0.01082778+0.00488047i, +0.02902612-0.00820142i, +0.01582949+0.00616186i, -0.00979959+0.01205325i, +0.01402500+0.01388152i, -0.00015272-0.01534548i, +0.00305113+0.01838867i
+0.03175283-0.06192816i, +0.04090144+0.04511828i, +0.05043414-0.07575963i, -0.04450542-0.01950952i, -0.01313538-0.02520853i, -0.04943756-0.03296717i, +0.01380270+0.01301515i, -0.05679988+0.10308322i, -0.04526955-0.04769204i, -0.01412584+0.03624302i, +0.01182227-0.09159584i, +0.01786659-0.03044409i, -0.05029512-0.00743075i, +0.14757077+0.00000000i, +0.02920178+0.00969762i, -0.00594027-0.08611373i, -0.02152312+0.08020045i, +0.03585476+0.05707904i, +0.05451181+0.06162628i, +0.04494177+0.02978496i, -0.02309012+0.08278193i, -0.02399301+0.02872144i, -0.03959510-0.05317827i, +0.00294099+0.06370812i, -0.02724534+0.02888487i, +0.03316155-0.00942038i, -0.08682548+0.01123592i, -0.04283905-0.02440865i, +0.03325210-0.03045263i, -0.03438268-0.04580953i, -0.00607153+0.04412810i, -0.00096000-0.05409597i
+0.00221374-0.01434118i, +0.01105866+0.00624031i, +0.00500152-0.01830584i, -0.01008894-0.00093593i, -0.00425585-0.00412515i, -0.01194930-0.00327486i, +0.00358661+0.00166843i, -0.00446563+0.02413105i, -0.01209217-0.00646256i, -0.00041355+0.00810017i, -0.00367979-0.01890218i, +0.00153486-0.00719848i, -0.01044087+0.00183473i, +0.02920178-0.00969762i, +0.00641582-0.00000000i, -0.00683445-0.01665010i, +0.00101131+0.01728472i, +0.01084601+0.00893879i, +0.01483675+0.00861256i, +0.01085054+0.00294059i, +0.00087087+0.01789852i, -0.00286038+0.00726019i, -0.01132982-0.00792109i, +0.00476855+0.01241350i, -0.00349322+0.00750626i, +0.00594305-0.00404335i, -0.01644294+0.00792914i, -0.01008115-0.00201489i, +0.00457884-0.00821123i, -0.00981413-0.00680548i, +0.00169843+0.00913120i, -0.00374489-0.01064160i
+0.03485951+0.02102195i, -0.02797484+0.02205153i, +0.04217876+0.03248004i, +0.01317613-0.02518545i, +0.01523898-0.00665031i, +0.02122777-0.02752184i, -0.00815050+0.00753055i, -0.05786698-0.03729459i, +0.02965257-0.02449690i, -0.02058071-0.00970194i, +0.05297412+0.01058587i, +0.01704621+0.01165139i, +0.00636072-0.02905020i, -0.00594027+0.08611373i, -0.00683445+0.01665010i, +0.05049009-0.00000000i, -0.04593394-0.01578801i, -0.03475130+0.01862512i, -0.03815582+0.02932924i, -0.01918984+0.02502646i, -0.04737727-0.01680633i, -0.01579436-0.01515707i, +0.03262560-0.02096478i, -0.03729474-0.00084829i, -0.01575881-0.01706152i, +0.00416231+0.01973036i, -0.00306158-0.05111860i, +0.01596790-0.02401584i, +0.01643187+0.02062982i, +0.02811581-0.01821973i, -0.02550620-0.00531931i, +0.03160591+0.00161736i
-0.03828730-0.00822455i, +0.01855503-0.02880923i, -0.04852896-0.01635999i, -0.00411176+0.02703286i, -0.01178432+0.01081535i, -0.01070626+0.03167613i, +0.00506024-0.00939962i, +0.06430699+0.01583446i, -0.01931670+0.03155855i, +0.02175728+0.00239096i, -0.05150397+0.00693414i, -0.01915132-0.00526972i, +0.00329712+0.02841772i, -0.02152312-0.08020045i, +0.00101131-0.01728472i, -0.04593394+0.01578801i, +0.04672576-0.00000000i, +0.02579141-0.02781098i, +0.02554158-0.03861375i, +0.00963253-0.02876868i, +0.04835727+0.00047511i, +0.01910864+0.00885050i, -0.02312593+0.02927482i, +0.03419458-0.01089014i, +0.01967181+0.01059421i, -0.00995630-0.01664838i, +0.01876985+0.04554839i, -0.00701734+0.02684178i, -0.02139993-0.01363005i, -0.01988146+0.02536729i, +0.02486788-0.00313636i, -0.02925958+0.00841160i
-0.01623838-0.02732818i, +0.02738902-0.00485807i, -0.01704933-0.03791453i, -0.01835943+0.01247413i, -0.01294189-0.00104418i, -0.02476308+0.01111208i, +0.00838774-0.00217651i, +0.02607118+0.04701546i, -0.02944583+0.00592228i, +0.01058637+0.01426959i, -0.03255602-0.02682748i, -0.00743452-0.01430753i, -0.01509418+0.01764827i, +0.03585476-0.05707904i, +0.01084601-0.00893879i, -0.03475130-0.01862512i, +0.02579141+0.02781098i, +0.03078916+0.00000000i, +0.03708103-0.00611155i, +0.02243990-0.01014632i, +0.02640917+0.02904429i, +0.00527969+0.01625863i, -0.03018916+0.00239448i, +0.02535629+0.01434139i, +0.00455270+0.01755631i, +0.00441343-0.01511542i, -0.01674974+0.03631326i, -0.01984950+0.01063927i, -0.00369965-0.02026058i, -0.02607255+0.00216873i, +0.01559317+0.01307007i, -0.02115708-0.01277219i
-0.01413219-0.03613605i, +0.03395037-0.00041420i, -0.01300751-0.04904672i, -0.02458732+0.01137898i, -0.01537934-0.00382649i, -0.03202921+0.00846748i, +0.01053383-0.00095635i, +0.02206651+0.06179827i, -0.03663874+0.00128762i, +0.00991726+0.01928699i, -0.03388379-0.03877202i, -0.00611379-0.01870705i, -0.02168185+0.01825861i, +0.05451181-0.06162628i, +0.01483675-0.00861256i, -0.03815582-0.02932924i, +0.02554158+0.03861375i, +0.03708103+0.00611155i, +0.04587179+0.00000000i, +0.02903958-0.00776551i, +0.02604078+0.04022172i, +0.00313133+0.02062913i, -0.03683371-0.00310864i, +0.02769121+0.02230524i, +0.00199819+0.02204769i, +0.00831569-0.01732826i, -0.02738066+0.04040923i, -0.02601768+0.00887338i, -0.00043403-0.02513527i, -0.03183105-0.00256340i, +0.01618532+0.01883617i, -0.02294536-0.01958185i
-0.00282915-0.02526868i, +0.02156273+0.00548515i, +0.00006846-0.03325151i, -0.01749156+0.00304125i, -0.00908827-0.00502592i, -0.02170984-0.00006172i, +0.00683044+0.00117782i, +0.00350775+0.04285757i, -0.02341249-0.00538733i, +0.00301318+0.01388868i, -0.01488685-0.03028110i, -0.00070353-0.01287767i, -0.01681686+0.00788833i, +0.04494177-0.02978496i, +0.01085054-0.00294059i, -0.01918984-0.02502646i, +0.00963253+0.02876868i, +0.02243990+0.01014632i, +0.02903958+0.00776551i, +0.01969839+0.00000000i, +0.00967634+0.02987113i, -0.00150993+0.01358957i, -0.02279169-0.00820344i, +0.01375419+0.01880832i, -0.00246742+0.01429577i, +0.00819778-0.00956208i, -0.02417437+0.02094626i, -0.01797289+0.00121292i, +0.00398031-0.01598560i, -0.01971700-0.00701138i, +0.00705755+0.01466439i, -0.01121083-0.01628084i
-0.03970779-0.00812242i, +0.01890997-0.03000382i, -0.05038978-0.01643778i, -0.00398046+0.02801857i, -0.01208582+0.01131281i, -0.01075801+0.03289102i, +0.00514135-0.00977928i, +0.06671338+0.01573346i, -0.01967029+0.03285688i, +0.02254129+0.00225321i, -0.05323180+0.00769996i, -0.01987360-0.00525899i, +0.00370120+0.02937644i, -0.02309012-0.08278193i, +0.00087087-0.01789852i, -0.04737727+0.01680633i, +0.04835727-0.00047511i, +0.02640917-0.02904429i, +0.02604078-0.04022172i, +0.00967634-0.02987113i, +0.05005057+0.00000000i, +0.01986584+0.00896523i, -0.02363574+0.03053214i, +0.03527781-0.01161808i, +0.02046641+0.01076410i, -0.01047322-0.01712845i, +0.01988837+0.04694793i, -0.00698944+0.02785035i, -0.02228573-0.01388837i, -0.02031771+0.02645519i, +0.02570429-0.00349873i, -0.03019570+0.00900282i
