+0.01988921-0.03198149i, -0.03524086-0.02745011i, +0.02455235+0.01914913i, -0.03750327-0.01810014i, +0.03934060-0.04551991i, -0.00061760+0.02749716i, -0.00227384-0.02120121i, -0.06183002+0.03319624i, +0.03569336-0.01845355i, -0.01784485-0.01018906i, +0.07236742-0.01040132i, +0.07413947+0.00000000i, -0.00923887-0.06923411i, +0.07072890-0.01543898i, -0.00339049-0.01339422i, +0.01689705-0.02612845i, +0.04124290+0.00272366i, +0.02907061-0.06080430i, -0.00726558+0.03258258i, +0.02018991+0.01188541i, -0.03973058+0.02124589i, +0.03385311-0.00911858i, -0.06839293-0.00023048i, +0.04742577-0.00720416i, +0.01603507-0.07119002i, -0.01718740-0.03162729i, +0.03845380-0.03250919i, +0.04902953+0.00188948i, -0.03650197-0.01036284i, -0.01075040-0.04186341i, -0.00785848+0.01077782i, +0.02331757-0.01906771i
+0.02738698+0.02255863i, +0.03002543-0.02948849i, -0.02094173+0.02054160i, +0.02157603-0.03276636i, +0.03760571+0.04241012i, -0.02560087-0.00400329i, +0.02008180+0.00051859i, -0.02329491-0.06187583i, +0.01278467+0.03563133i, +0.01173864-0.01539446i, +0.00069508+0.06887546i, -0.00923887+0.06923411i, +0.06580460-0.00000000i, +0.00560361+0.06797312i, +0.01293051-0.00149704i, +0.02229406+0.01903507i, -0.00768293+0.03817470i, +0.05315862+0.03472429i, -0.02952139-0.01084513i, -0.01361498+0.01737297i, -0.01488916-0.03974940i, +0.00429666+0.03274956i, +0.00873800-0.06383906i, +0.00081755+0.04518564i, +0.06448160+0.02384545i, +0.03167651-0.01210898i, +0.02556634+0.03996066i, -0.00787426+0.04555008i, +0.01422588-0.03279549i, +0.04043322-0.00482231i, -0.00908543-0.00868160i, +0.01490040+0.02415090i
+0.02563416-0.02636850i, -0.02790343-0.03352599i, +0.01943523+0.02338107i, -0.03200883-0.02507727i, +0.04701002-0.03523352i, -0.00631526+0.02610362i, +0.00224575-0.02069942i, -0.06589857+0.01879351i, +0.03789420-0.01017178i, -0.01490216-0.01343639i, +0.07120436+0.00514712i, +0.07072890+0.01543898i, +0.00560361-0.06797312i, +0.07069028-0.00000000i, -0.00044527-0.01348410i, +0.02156080-0.02140780i, +0.03877846+0.01118688i, +0.04039533-0.05195345i, -0.01371642+0.02957071i, +0.01678609+0.01554305i, -0.04232718+0.01199494i, +0.03419467-0.00164946i, -0.06519872-0.01446219i, +0.04674430+0.00300330i, +0.03012220-0.06457595i, -0.00981060-0.03375152i, +0.04345463-0.02300599i, +0.04638060+0.01201258i, -0.03266482-0.01748738i, -0.00153813-0.04217630i, -0.00974137+0.00864555i, +0.02621561-0.01333485i
+0.00486830+0.00505579i, +0.00657081-0.00511138i, -0.00458234+0.00355998i, +0.00498509-0.00594769i, +0.00642465+0.00918905i, -0.00493946-0.00136905i, +0.00393425+0.00055876i, -0.00316976-0.01268847i, +0.00170157+0.00729235i, +0.00265685-0.00275794i, -0.00143032+0.01354974i, -0.00339049+0.01339422i, +0.01293051+0.00149704i, -0.00044527+0.01348410i, +0.00257489-0.00000000i, +0.00394771+0.00424755i, -0.00237815+0.00732649i, +0.00965563+0.00803262i, -0.00555419-0.00280266i, -0.00307056+0.00310403i, -0.00202141-0.00814943i, +0.00009924+0.00653299i, +0.00316933-0.01234550i, -0.00086731+0.00889751i, +0.01212807+0.00615254i, +0.00649987-0.00165877i, +0.00411465+0.00843384i, -0.00258354+0.00877139i, +0.00354146-0.00612063i, +0.00805478-0.00002773i, -0.00158777-0.00191261i, +0.00237848+0.00508460i
+0.01580394-0.00027946i, +0.00164234-0.01867581i, -0.00115289+0.01301707i, -0.00216843-0.01734220i, +0.02500833+0.00349013i, -0.00983138+0.00604919i, +0.00695356-0.00563330i, -0.02579073-0.01422459i, +0.01463829+0.00837343i, -0.00047615-0.00861111i, +0.02015885+0.02313338i, +0.01689705+0.02612845i, +0.02229406-0.01903507i, +0.02156080+0.02140780i, +0.00394771-0.00424755i, +0.01305925+0.00000000i, +0.00843975+0.01515569i, +0.02805428-0.00361270i, -0.01313873+0.00486531i, +0.00041277+0.00982418i, -0.01654249-0.00915984i, +0.01092902+0.00985240i, -0.01550614-0.02415576i, +0.01334767+0.01507203i, +0.02874353-0.01057372i, +0.00722902-0.01326538i, +0.02022095+0.00614286i, +0.01050838+0.01770976i, -0.00466702-0.01522591i, +0.01230351-0.01332973i, -0.00558937-0.00031315i, +0.01203418+0.00387194i
+0.00988923-0.01852159i, -0.02061250-0.01397553i, +0.01436166+0.00975045i, -0.02152756-0.00869114i, +0.02021244-0.02676743i, +0.00066660+0.01531903i, -0.00204378-0.01171044i, -0.03317577+0.02073812i, +0.01917786-0.01157676i, -0.01030119-0.00501248i, +0.03987502-0.00844469i, +0.04124290-0.00272366i, -0.00768293-0.03817470i, +0.03877846-0.01118688i, -0.00237815-0.00732649i, +0.00843975-0.01515569i, +0.02304299+0.00000000i, +0.01393786-0.03489267i, -0.00284477+0.01839221i, +0.01166804+0.00586999i, -0.02132114+0.01327841i, +0.01849709-0.00631622i, -0.03805464+0.00238433i, +0.02611773-0.00574987i, +0.00630481-0.04019124i, -0.01072304-0.01696247i, +0.02019710-0.01949715i, +0.02734395-0.00075010i, -0.02068631-0.00442375i, -0.00751825-0.02289318i, -0.00397563+0.00628427i, +0.01227079-0.01146375i
+0.03402781+0.00377165i, +0.00869458-0.03966560i, -0.00607770+0.02764473i, +0.00013925-0.03785490i, +0.05275815+0.01441589i, -0.02279352+0.01027531i, +0.01649624-0.01017799i, -0.05146934-0.03769242i, +0.02913000+0.02203757i, +0.00135930-0.01863037i, +0.03690625+0.05527255i, +0.02907061+0.06080430i, +0.05315862-0.03472429i, +0.04039533+0.05195345i, +0.00965563-0.00803262i, +0.02805428+0.00361270i, +0.01393786+0.03489267i, +0.06126647-0.00000000i, -0.02957096+0.00681711i, -0.00183102+0.02121878i, -0.03300311-0.02425374i, +0.02075250+0.02418863i, -0.02662832-0.05618175i, +0.02450436+0.03607069i, +0.06467282-0.01476320i, +0.01919932-0.02649725i, +0.04173989+0.01879019i, +0.01767520+0.04095166i, -0.00581376-0.03399985i, +0.03011830-0.02523171i, -0.01192062-0.00221895i, +0.02478105+0.01164695i
-0.01600424-0.00560670i, -0.00861013+0.01817761i, +0.00600950-0.01266678i, -0.00427932+0.01825561i, -0.02386027-0.01282839i, +0.01214489-0.00242327i, -0.00909461+0.00307699i, +0.02064824+0.02391967i, -0.01160781-0.01387798i, -0.00272908+0.00884091i, -0.01166305-0.03078448i, -0.00726558-0.03258258i, -0.02952139+0.01084513i, -0.01371642-0.02957071i, -0.00555419+0.00280266i, -0.01313873-0.00486531i, -0.00284477-0.01839221i, -0.02957096-0.00681711i, +0.01503130+0.00000000i, +0.00324478-0.01003775i, +0.01323062+0.01537860i, -0.00732497-0.01398405i, +0.00660113+0.03007969i, -0.00781373-0.02013653i, -0.03285778-0.00007051i, -0.01221512+0.01065290i, -0.01805546-0.01371369i, -0.00397445-0.02173251i, -0.00097708+0.01705731i, -0.01734447+0.00882711i, +0.00550672+0.00239741i, -0.01066491-0.00837892i
+0.00028930-0.01189778i, -0.01399748-0.00182579i, +0.00975600+0.00127873i, -0.01311468+0.00108311i, +0.00341600-0.01870288i, +0.00423992+0.00758713i, -0.00401802-0.00540906i, -0.01151602+0.01895217i, +0.00676182-0.01074739i, -0.00649299+0.00008602i, +0.01803989-0.01443385i, +0.02018991-0.01188541i, -0.01361498-0.01737297i, +0.01678609-0.01554305i, -0.00307056-0.00310403i, +0.00041277-0.00982418i, +0.01166804-0.00586999i, -0.00183102-0.02121878i, +0.00324478+0.01003775i, +0.00740355+0.00000000i, -0.00741360+0.01215502i, +0.00775718-0.00791024i, -0.01866194+0.01090141i, +0.01176024-0.00956476i, -0.00704586-0.02195731i, -0.00975075-0.00585751i, +0.00526027-0.01501760i, +0.01365479-0.00734545i, -0.01160162+0.00302964i, -0.00963877-0.00967697i, -0.00041224+0.00419486i, +0.00329315-0.00893066i
-0.01982324+0.01143897i, +0.01101893+0.02480908i, -0.00766985-0.01729770i, +0.01491072+0.02044686i, -0.03412670+0.01311995i, +0.00821073-0.01455846i, -0.00485703+0.01201311i, +0.04264699-0.00007111i, -0.02441587-0.00033945i, +0.00664303+0.01057395i, -0.04176162-0.01516412i, -0.03973058-0.02124589i, -0.01488916+0.03974940i, -0.04232718-0.01199494i, -0.00202141+0.00814943i, -0.01654249+0.00915984i, -0.02132114-0.01327841i, -0.03300311+0.02425374i, +0.01323062-0.01537860i, -0.00741360-0.01215502i, +0.02737957-0.00000000i, -0.02075461-0.00481461i, +0.03658502+0.01972264i, -0.02747945-0.00973000i, -0.02899370+0.03355488i, +0.00014723+0.02187407i, -0.02992304+0.00640177i, -0.02573296-0.01506277i, +0.01659138+0.01601358i, -0.00623562+0.02551487i, +0.00729984-0.00352374i, -0.01795981+0.00353615i
