+0.03185557+0.00865406i, +0.00123977+0.00211501i, +0.04160106+0.02240171i, -0.02672372+0.04421529i, +0.00433052-0.00735941i, +0.02143749-0.01934616i, +0.01593142-0.01167765i, +0.00530959+0.00812868i, +0.02823740+0.00446175i, -0.03748815+0.00032195i, +0.01413439+0.04206525i, +0.03110840-0.00000000i, -0.01275679-0.02803200i, +0.00282955-0.02420448i, +0.01165352-0.00635794i, +0.03948671-0.04026233i, -0.00609087+0.03488306i, +0.00107690+0.00939040i, +0.04924696+0.01252377i, +0.00905240+0.00820294i, +0.01252865+0.05841932i, -0.00845024-0.00757471i, +0.00372310+0.01813248i, +0.01341119+0.03466897i, -0.02053752+0.00596805i, -0.01810842-0.02428643i, +0.01323352+0.00342495i, +0.00946295+0.00833998i, -0.00234637-0.02794661i, -0.01205264-0.01284424i, +0.00259178-0.01098181i, +0.00022614+0.03490595i
-0.02086143+0.02515647i, -0.00241425+0.00024985i, -0.03724592+0.02830063i, -0.02888398-0.04221255i, +0.00485578+0.00692017i, +0.00864198+0.02725087i, +0.00398973+0.01914464i, -0.00950214+0.00145114i, -0.01559998+0.02361527i, +0.01508286-0.03391287i, -0.04370147-0.00451333i, -0.01275679+0.02803200i, +0.03049109+0.00000000i, +0.02065050+0.01247539i, +0.00095036+0.01310831i, +0.02008815+0.05209236i, -0.02893566-0.01979322i, -0.00890337-0.00288038i, -0.03148024+0.03924111i, -0.01110390+0.00479336i, -0.05777977-0.01266668i, +0.01029087-0.00450837i, -0.01786606-0.00408077i, -0.03674007-0.00213198i, +0.00304408-0.02095386i, +0.02931051-0.00635836i, -0.00851299+0.01052033i, -0.01139574+0.00510711i, +0.02614509+0.00934589i, +0.01651653-0.00559361i, +0.00883296+0.00683885i, -0.03154674-0.01411030i
-0.00383594+0.02557299i, -0.00153286+0.00115700i, -0.01364613+0.03440610i, -0.03683327-0.01677117i, +0.00612002+0.00270004i, +0.01700256+0.01492016i, +0.01053511+0.01133357i, -0.00584172+0.00487059i, -0.00090314+0.02237647i, -0.00366034-0.02913908i, -0.03144403+0.01482369i, +0.00282955+0.02420448i, +0.02065050-0.01247539i, +0.01909012-0.00000000i, +0.00600689+0.00848894i, +0.03491849+0.02706121i, -0.02769544-0.00156623i, -0.00720843+0.00169203i, -0.00526496+0.03945667i, -0.00555907+0.00778952i, -0.04431468+0.01506184i, +0.00512503-0.00726385i, -0.01376967+0.00454612i, -0.02575500+0.01358824i, -0.00651160-0.01543677i, +0.01724942-0.01629864i, -0.00146116+0.01060811i, -0.00562835+0.00812141i, +0.02153097-0.00436760i, +0.00889742-0.01054607i, +0.00878035+0.00101771i, -0.02713867+0.00335092i
+0.01016471+0.00975255i, +0.00003216+0.00104569i, +0.01100572+0.01689434i, -0.01904771+0.01110170i, +0.00312637-0.00187184i, +0.01198468-0.00286587i, +0.00835476-0.00111850i, +0.00032769+0.00413026i, +0.00966612+0.00744258i, -0.01410925-0.00754123i, -0.00330242+0.01864686i, +0.01165352+0.00635794i, +0.00095036-0.01310831i, +0.00600689-0.00848894i, +0.00566497-0.00000000i, +0.02302095-0.00701238i, -0.00941111+0.01182270i, -0.00151580+0.00373784i, +0.01588881+0.01475664i, +0.00171460+0.00492304i, -0.00724639+0.02444508i, -0.00161743-0.00456463i, -0.00231121+0.00755354i, -0.00206168+0.01572833i, -0.00891332-0.00196177i, -0.00181994-0.01279895i, +0.00425742+0.00398769i, +0.00184039+0.00505828i, +0.00483276-0.01094864i, -0.00188993-0.00727491i, +0.00321537-0.00358419i, -0.00704937+0.01312234i
+0.02923452+0.05221419i, -0.00116370+0.00428921i, +0.02381170+0.08227764i, -0.09114716+0.02153621i, +0.01502182-0.00373669i, +0.05225012+0.00318908i, +0.03533609+0.00579663i, -0.00378102+0.01718993i, +0.03006781+0.04220993i, -0.04800139-0.04811072i, -0.03650219+0.07168809i, +0.03948671+0.04026233i, +0.02008815-0.05209236i, +0.03491849-0.02706121i, +0.02302095+0.00701238i, +0.10223141+0.00000000i, -0.05287902+0.03639482i, -0.01078668+0.01331327i, +0.04630146+0.07963509i, +0.00087372+0.02212837i, -0.05970680+0.09036850i, -0.00092247-0.02055159i, -0.01874229+0.02783469i, -0.02784746+0.06136380i, -0.03379302-0.01900547i, +0.00844744-0.05426441i, +0.01236488+0.02147498i, +0.00121748+0.02283366i, +0.03319185-0.03851018i, +0.00132504-0.03190278i, +0.01750313-0.01058506i, -0.04489030+0.04459973i
+0.00346697-0.03741532i, +0.00212890-0.00180431i, +0.01697463-0.05103503i, +0.05481269+0.02130921i, -0.00910029-0.00341504i, -0.02589096-0.02025081i, -0.01621390-0.01557810i, +0.00807541-0.00754540i, -0.00052560-0.03253728i, +0.00770101+0.04197389i, +0.04440196-0.02408560i, -0.00609087-0.03488306i, -0.02893566+0.01979322i, -0.02769544+0.00156623i, -0.00941111-0.01182270i, -0.05287902-0.03639482i, +0.04030829+0.00000000i, +0.01031897-0.00304616i, +0.00440109-0.05767463i, +0.00742586-0.01175691i, +0.06305481-0.02548707i, -0.00683931+0.01095868i, +0.01960369-0.00772511i, +0.03624983-0.02182650i, +0.01071335+0.02186101i, -0.02368779+0.02506084i, +0.00124947-0.01550985i, +0.00749914-0.01224410i, -0.03087822+0.00810289i, -0.01204290+0.01602994i, -0.01282179-0.00075609i, +0.03909713-0.00708799i
+0.00371508-0.00931636i, +0.00068136-0.00030102i, +0.00820232-0.01178224i, +0.01242175+0.00959747i, -0.00207161-0.00156198i, -0.00509773-0.00714085i, -0.00297352-0.00521332i, +0.00263753-0.00132136i, +0.00232434-0.00836931i, -0.00120056+0.01132735i, +0.01318715-0.00281042i, +0.00107690-0.00939040i, -0.00890337+0.00288038i, -0.00720843-0.00169203i, -0.00151580-0.00373784i, -0.01078668-0.01331327i, +0.01031897+0.00304616i, +0.00287187+0.00000000i, +0.00548524-0.01443218i, +0.00278952-0.00244860i, +0.01806821-0.00175957i, -0.00257904+0.00228858i, +0.00560237-0.00049616i, +0.01092946-0.00284816i, +0.00109056+0.00640607i, -0.00795799+0.00462549i, +0.00149197-0.00387612i, +0.00284510-0.00256778i, -0.00851721-0.00025917i, -0.00429441+0.00319358i, -0.00322526-0.00116252i, +0.01054456+0.00114010i
+0.05391380+0.00087546i, +0.00281411+0.00284911i, +0.07487624+0.01871565i, -0.02450527+0.08075474i, +0.00389275-0.01339391i, +0.02614871-0.03925686i, +0.02051941-0.02490037i, +0.01167797+0.01073076i, +0.04649819-0.00430466i, -0.05921698+0.01560184i, +0.03931065+0.06090221i, +0.04924696-0.01252377i, -0.03148024-0.03924111i, -0.00526496-0.03945667i, +0.01588881-0.01475664i, +0.04630146-0.07963509i, +0.00440109+0.05767463i, +0.00548524+0.01443218i, +0.08300358+0.00000000i, +0.01763303+0.00934152i, +0.04335254+0.08743839i, -0.01642685-0.00858941i, +0.01319382+0.02720623i, +0.03518814+0.04948448i, -0.03010981+0.01771597i, -0.03844437-0.03115709i, +0.02232850+0.00009434i, +0.01833812+0.00939318i, -0.01496537-0.04329700i, -0.02425115-0.01548120i, -0.00031812-0.01842846i, +0.01441061+0.05516774i
+0.01155181-0.00588167i, +0.00091847+0.00028855i, +0.01801281-0.00445094i, +0.00388260+0.01991320i, -0.00068043-0.00328346i, +0.00113684-0.01128248i, +0.00155670-0.00759908i, +0.00368851+0.00096533i, +0.00939347-0.00614754i, -0.01082399+0.00997890i, +0.01520518+0.00851372i, +0.00905240-0.00820294i, -0.01110390-0.00479336i, -0.00555907-0.00778952i, +0.00171460-0.00492304i, +0.00087372-0.02212837i, +0.00742586+0.01175691i, +0.00278952+0.00244860i, +0.01763303-0.00934152i, +0.00479723+0.00000000i, +0.01905031+0.01369609i, -0.00445635+0.00002403i, +0.00586474+0.00429473i, +0.01304442+0.00655213i, -0.00440262+0.00715219i, -0.01167353-0.00229225i, +0.00475402-0.00249289i, +0.00495283-0.00006838i, -0.00805200-0.00751363i, -0.00689415-0.00055947i, -0.00214158-0.00387908i, +0.00927012+0.01009784i
+0.02908126-0.05633711i, +0.00447114-0.00147639i, +0.05882327-0.06910168i, +0.07227035+0.06799254i, -0.01207636-0.01109634i, -0.02769692-0.04804956i, -0.01551354-0.03462114i, +0.01740346-0.00669727i, +0.01975123-0.05123086i, -0.01449344+0.07052970i, +0.08468800-0.00960193i, +0.01252865-0.05841932i, -0.05777977+0.01266668i, -0.04431468-0.01506184i, -0.00724639-0.02444508i, -0.05970680-0.09036850i, +0.06305481+0.02548707i, +0.01806821+0.00175957i, +0.04335254-0.08743839i, +0.01905031-0.01369609i, +0.11475306+0.00000000i, -0.01762803+0.01281829i, +0.03555093+0.00031099i, +0.07050707-0.01122260i, +0.00293625+0.04097156i, -0.05290118+0.02422515i, +0.01176150-0.02347221i, +0.01947299-0.01441188i, -0.05342670-0.00684895i, -0.02897466+0.01746108i, -0.01957923-0.00929002i, +0.06564192+0.01363341i
