-0.02898114-0.00032310i, +0.01382697-0.00058754i, +0.03411885-0.01110526i, -0.01448773+0.02986045i, +0.00330915+0.00944895i, +0.00255780-0.03867539i, +0.03740404+0.02846593i, -0.00291636-0.03379076i, +0.02238723-0.02118130i, +0.01257720+0.04259182i, -0.00458783-0.03424077i, +0.03131608-0.00000000i, -0.00982604-0.00810363i, -0.00165249-0.00653063i, +0.01415454-0.02339078i, +0.00640768-0.00252475i, +0.00595630+0.04251106i, -0.01789748+0.05256611i, -0.03546655+0.02196515i, -0.00225727-0.03269384i, +0.01684865-0.00510239i, -0.01340137-0.01058479i, -0.01303555+0.03438563i, +0.01988661-0.01471683i, -0.03730142-0.00901131i, +0.02971408+0.01163941i, -0.00726587-0.01993336i, -0.00014543+0.03955010i, -0.00694483-0.01721931i, -0.00108600+0.00975571i, +0.02544107-0.01871952i, -0.00243129+0.02404375i
+0.00917701-0.00739805i, -0.00418645+0.00376235i, -0.00783177+0.01231340i, -0.00318115-0.01311829i, -0.00348341-0.00210849i, +0.00920544+0.01279705i, -0.01910236+0.00074726i, +0.00965907+0.00984786i, -0.00154337+0.01243918i, -0.01496779-0.01010944i, +0.01029997+0.00955653i, -0.00982604+0.00810363i, +0.00518008-0.00000000i, +0.00220842+0.00162150i, +0.00161154+0.01100208i, -0.00135721+0.00245030i, -0.01286946-0.01179738i, -0.00798680-0.02112497i, +0.00544443-0.01606965i, +0.00916842+0.00967423i, -0.00396626+0.00596089i, +0.00694396-0.00014667i, -0.00480778-0.01416237i, -0.00243155+0.00976374i, +0.01403590-0.00682498i, -0.01233530+0.00403699i, +0.00743795+0.00437430i, -0.01018871-0.01244726i, +0.00663490+0.00360579i, -0.00218372-0.00334207i, -0.00313861+0.01245698i, -0.00545891-0.00817334i
+0.00159665-0.00602665i, -0.00060709+0.00291447i, +0.00051550+0.00770111i, -0.00546258-0.00459693i, -0.00214509+0.00019149i, +0.00793036+0.00257422i, -0.00790999+0.00629811i, +0.00720058+0.00117489i, +0.00323580+0.00578631i, -0.00954573+0.00037535i, +0.00738263+0.00085007i, -0.00165249+0.00653063i, +0.00220842-0.00162150i, +0.00144909-0.00000000i, +0.00413098+0.00418606i, +0.00018839+0.00146948i, -0.00917952-0.00100110i, -0.01001767-0.00650613i, -0.00270910-0.00855522i, +0.00693705+0.00125446i, +0.00017498+0.00378284i, +0.00291450-0.00223617i, -0.00648289-0.00453288i, +0.00201966+0.00492371i, +0.00384753-0.00730329i, -0.00399522+0.00558236i, +0.00454029-0.00046337i, -0.00824007-0.00211730i, +0.00395736-0.00053964i, -0.00197714-0.00074126i, +0.00256128+0.00629325i, -0.00488577-0.00177576i
-0.01285784-0.02179279i, +0.00668850+0.01006215i, +0.02371616+0.02046478i, -0.02885183+0.00267536i, -0.00556196+0.00674252i, +0.03004373-0.01557039i, -0.00435569+0.04080433i, +0.02392102-0.01745138i, +0.02593965+0.00714787i, -0.02612815+0.02864529i, +0.02350165-0.01890323i, +0.01415454+0.02339078i, +0.00161154-0.01100208i, +0.00413098-0.00418606i, +0.02386887+0.00000000i, +0.00478200+0.00364490i, -0.02906040+0.02366347i, -0.04735244+0.01039125i, -0.03243684-0.01656285i, +0.02339960-0.01646329i, +0.01142652+0.01027846i, +0.00184877-0.01479404i, -0.03157544+0.00580536i, +0.01998091+0.00820196i, -0.01012908-0.03193439i, +0.00473668+0.02745510i, +0.01160464-0.01443673i, -0.02960671+0.01776761i, +0.00972255-0.01297022i, -0.00777765+0.00359832i, +0.02548118+0.01054155i, -0.01905780+0.00905153i
-0.00590387-0.00240261i, +0.00287655+0.00099453i, +0.00787648+0.00047843i, -0.00537177+0.00494181i, -0.00008469+0.00220017i, +0.00364143-0.00770727i, +0.00535839+0.00884007i, +0.00212754-0.00714915i, +0.00628839-0.00252908i, -0.00086036+0.00972883i, +0.00182181-0.00737598i, +0.00640768+0.00252475i, -0.00135721-0.00245030i, +0.00018839-0.00146948i, +0.00478200-0.00364490i, +0.00151464+0.00000000i, -0.00220857+0.00917852i, -0.00790002+0.00931279i, -0.00902778+0.00163499i, +0.00217396-0.00687157i, +0.00385882+0.00031435i, -0.00188873-0.00324622i, -0.00543947+0.00598480i, +0.00525555-0.00140797i, -0.00690585-0.00485113i, +0.00514150+0.00477717i, +0.00012037-0.00466441i, -0.00321834+0.00808074i, -0.00003276-0.00408320i, -0.00100873+0.00190859i, +0.00671477-0.00177916i, -0.00243592+0.00472365i
-0.00595080+0.03927996i, +0.00183230-0.01888163i, -0.00858581-0.04842799i, +0.03777951+0.02534630i, +0.01345619-0.00269494i, -0.05201471-0.01082821i, +0.04575625-0.04536115i, -0.04642509-0.00246808i, -0.02449522-0.03441897i, +0.06020986-0.00897239i, -0.04735388-0.00028468i, +0.00595630-0.04251106i, -0.01286946+0.01179738i, -0.00917952+0.00100110i, -0.02906040-0.02366347i, -0.00220857-0.00917852i, +0.05884094+0.00000000i, +0.06795353+0.03429358i, +0.02307161+0.05232302i, -0.04481068-0.00315415i, -0.00372180-0.02384223i, -0.01691761+0.01617891i, +0.04419857+0.02423568i, -0.01619543-0.02979487i, -0.01932741+0.04892210i, +0.02145191-0.03812256i, -0.02844117+0.00607198i, +0.05366094+0.00771983i, -0.02469583+0.00615239i, +0.01303666+0.00332976i, -0.02057255-0.03809627i, +0.03217655+0.00787355i
+0.01602069+0.04883141i, -0.00888849-0.02287369i, -0.03814020-0.05092398i, +0.05840264+0.00725305i, +0.01396947-0.01095481i, -0.06638102+0.01780997i, +0.02640513-0.07905373i, -0.05505330+0.02420709i, -0.04834876-0.02547311i, +0.06430518-0.04545335i, -0.05485340+0.02726994i, -0.01789748-0.05256611i, -0.00798680+0.02112497i, -0.01001767+0.00650613i, -0.04735244-0.01039125i, -0.00790002-0.00931279i, +0.06795353-0.03429358i, +0.09846430-0.00000000i, +0.05713948+0.04697963i, -0.05358872+0.02247386i, -0.01819389-0.02536550i, -0.01010824+0.02854440i, +0.06516852+0.00222928i, -0.03606859-0.02497016i, +0.00619209+0.06776295i, +0.00255560-0.05652910i, -0.02930694+0.02358837i, +0.06647057-0.02235919i, -0.02493471+0.02149838i, +0.01699627-0.00375258i, -0.04596179-0.03200611i, +0.04174853-0.00966017i
+0.03259553+0.02069334i, -0.01607163-0.00903284i, -0.04643004-0.01135393i, +0.03735204-0.02365628i, +0.00287978-0.01302231i, -0.03002379+0.04200719i, -0.02239533-0.05847391i, -0.02039802+0.04031476i, -0.04021092+0.00828612i, +0.01562986-0.05705839i, -0.01882066+0.04199677i, -0.03546655-0.02196515i, +0.00544443+0.01606965i, -0.00270910+0.00855522i, -0.03243684+0.01656285i, -0.00902778-0.00163499i, +0.02307161-0.05232302i, +0.05713948-0.04697963i, +0.05557350+0.00000000i, -0.02037508+0.03861017i, -0.02266051-0.00603904i, +0.00775333+0.02138738i, +0.03888136-0.02979977i, -0.03284469+0.00271883i, +0.03592461+0.03636890i, -0.02548833-0.03402355i, -0.00575245+0.02767151i, +0.02790521-0.04468986i, -0.00421239+0.02437259i, +0.00807260-0.01028696i, -0.04194280+0.00335610i, +0.01961785-0.02552507i
+0.00242628-0.03023288i, -0.00038326+0.01447764i, +0.00913454+0.03642039i, -0.03012989-0.01727747i, -0.01010318+0.00277366i, +0.04019256+0.00545806i, -0.03241438+0.03699781i, +0.03548761-0.00060902i, +0.02049950+0.02489892i, -0.04537223+0.01006051i, +0.03607789-0.00232159i, -0.00225727+0.03269384i, +0.00916842-0.00967423i, +0.00693705-0.00125446i, +0.02339960+0.01646329i, +0.00217396+0.00687157i, -0.04481068+0.00315415i, -0.05358872-0.02247386i, -0.02037508-0.03861017i, +0.03429492+0.00000000i, +0.00411242+0.01795769i, +0.01201644-0.01322801i, -0.03495883-0.01608758i, +0.01393087+0.02182232i, +0.01209646-0.03829297i, -0.01429329+0.03018239i, +0.02133406-0.00614873i, -0.04127963-0.00300261i, +0.01847747-0.00600920i, -0.01010664-0.00183697i, +0.01770929+0.02790966i, -0.02492631-0.00427134i
-0.01553976-0.00489579i, +0.00753490+0.00193674i, +0.02016600-0.00041579i, -0.01265990+0.01370498i, +0.00024085+0.00562288i, +0.00767760-0.02039135i, +0.01548608+0.02140953i, +0.00393654-0.01865525i, +0.01549587-0.00774835i, -0.00017280+0.02496444i, +0.00311058-0.01916969i, +0.01684865+0.00510239i, -0.00396626-0.00596089i, +0.00017498-0.00378284i, +0.01142652-0.01027846i, +0.00385882-0.00031435i, -0.00372180+0.02384223i, -0.01819389+0.02536550i, -0.02266051+0.00603904i, +0.00411242-0.01795769i, +0.00989624-0.00000000i, -0.00548559-0.00787833i, -0.01261590+0.01637622i, +0.01309722-0.00467777i, -0.01860065-0.01092585i, +0.01409031+0.01110360i, -0.00066139-0.01190837i, -0.00652222+0.02125501i, -0.00093088-0.01039586i, -0.00217381+0.00507182i, +0.01673779-0.00592629i, -0.00522558+0.01253986i
