-0.00019998-0.04471610i, +0.01030975+0.03349699i, +0.08118650+0.03346681i, +0.05753072+0.03257461i, +0.02492699+0.00323208i, +0.02515177+0.02785530i, -0.01998387-0.05509308i, -0.01147183-0.03652579i, -0.01811487+0.00564074i, +0.03052577+0.07289679i, +0.02238160-0.04018120i, +0.09848750+0.00000000i, -0.01875483+0.00154591i, +0.05903508-0.02328628i, -0.01957045-0.01060444i, -0.03202355+0.03704194i, -0.02907467+0.02190395i, -0.01582099+0.05214009i, -0.05173944-0.02650924i, +0.02449134+0.02868747i, -0.01431304+0.05857656i, +0.05319830+0.03495549i, -0.00324550-0.00716729i, -0.00755031-0.00621163i, -0.03999682-0.04877237i, +0.02612981+0.02263710i, +0.03965809-0.00387039i, -0.02171995+0.05403103i, -0.03676244+0.09222582i, +0.00008227+0.05198102i, +0.03757834-0.08584525i, +0.00189621-0.04585145i
-0.00066381+0.00851836i, -0.00143748-0.00654061i, -0.01493491-0.00764738i, -0.01044418-0.00710617i, -0.00469608-0.00100675i, -0.00435238-0.00569924i, +0.00294073+0.01080497i, +0.00161124+0.00713562i, +0.00353813-0.00078982i, -0.00466875-0.01436077i, -0.00489280+0.00730033i, -0.01875483-0.00154591i, +0.00359572-0.00000000i, -0.01160747+0.00350773i, +0.00356032+0.00232658i, +0.00667963-0.00655118i, +0.00588046-0.00371476i, +0.00383118-0.00968062i, +0.00943656+0.00586024i, -0.00421356-0.00584734i, +0.00364506-0.01092998i, -0.00958179-0.00749155i, +0.00050553+0.00141580i, +0.00134029+0.00130138i, +0.00685098+0.00991546i, -0.00462054-0.00472090i, -0.00761278+0.00011454i, +0.00498420-0.00994812i, +0.00844824-0.01698538i, +0.00080026-0.00989996i, -0.00850346+0.01575753i, -0.00108080+0.00870166i
+0.01045275-0.02685087i, -0.00174015+0.02251629i, +0.04075171+0.03925622i, +0.02678298+0.03312828i, +0.01417747+0.00783107i, +0.00849032+0.02264379i, +0.00104748-0.03774869i, +0.00175971-0.02460657i, -0.01219205-0.00090191i, +0.00106202+0.05091305i, +0.02291631-0.01879341i, +0.05903508+0.02328628i, -0.01160747-0.00350773i, +0.04089241+0.00000000i, -0.00922356-0.01098370i, -0.02795361+0.01463196i, -0.02260679+0.00625521i, -0.02181131+0.02751296i, -0.02474568-0.02812331i, +0.00789769+0.02298646i, -0.02242926+0.03172762i, +0.02362312+0.03353106i, -0.00025078-0.00506356i, -0.00305712-0.00550854i, -0.01244308-0.03869179i, +0.01031036+0.01974716i, +0.02468684+0.00705674i, -0.02579434+0.02725167i, -0.04384180+0.04658964i, -0.01224102+0.03117775i, +0.04282225-0.04257211i, +0.01197769-0.02703580i
+0.00485445+0.00886400i, -0.00565537-0.00554610i, -0.01973604+0.00209140i, -0.01493933-0.00027840i, -0.00530125+0.00204172i, -0.00799717-0.00282696i, +0.00990303+0.00879582i, +0.00621241+0.00602283i, +0.00299225-0.00307135i, -0.01391479-0.01119852i, -0.00012102+0.01039430i, -0.01957045+0.01060444i, +0.00356032-0.00232658i, -0.00922356+0.01098370i, +0.00503065-0.00000000i, +0.00237498-0.01080867i, +0.00341896-0.00748309i, -0.00247029-0.01206425i, +0.01313547-0.00030329i, -0.00795554-0.00306343i, -0.00346297-0.01318087i, -0.01433479-0.00121799i, +0.00141664+0.00107476i, +0.00216915+0.00042135i, +0.01319923+0.00538498i, -0.00762966-0.00168474i, -0.00746372+0.00503919i, -0.00150171-0.01307515i, -0.00262516-0.02228451i, -0.00561330-0.01032029i, +0.00177602+0.02110447i, +0.00456016+0.00931531i
-0.01675306+0.01461481i, +0.00924624-0.01476924i, -0.01381093-0.04141674i, -0.00645474-0.03222951i, -0.00688948-0.01042616i, +0.00229842-0.01851703i, -0.01422313+0.02542979i, -0.01000754+0.01619114i, +0.00801164+0.00497904i, +0.01749151-0.03518363i, -0.02238993+0.00464715i, -0.03202355-0.03704194i, +0.00667963+0.00655118i, -0.02795361-0.01463196i, +0.00237498+0.01080867i, +0.02434434-0.00000000i, +0.01769198+0.00381307i, +0.02475455-0.01100313i, +0.00685292+0.02807919i, +0.00282615-0.01853922i, +0.02668505-0.01366312i, -0.00415057-0.03137421i, -0.00164039+0.00355113i, +0.00011877+0.00485947i, -0.00533858+0.03090163i, +0.00001780-0.01718816i, -0.01435065-0.01365726i, +0.02738382-0.00939933i, +0.04664030-0.01616089i, +0.01952373-0.01693275i, -0.04450581+0.01377936i, -0.01786166+0.01419557i
-0.00988597+0.01324519i, +0.00440628-0.01218163i, -0.01652408-0.02793594i, -0.00973904-0.02241143i, -0.00663992-0.00649799i, -0.00122999-0.01381705i, -0.00635341+0.02070860i, -0.00473684+0.01333422i, +0.00660224+0.00236359i, +0.00720092-0.02830902i, -0.01554374+0.00688422i, -0.02907467-0.02190395i, +0.00588046+0.00371476i, -0.02260679-0.00625521i, +0.00341896+0.00748309i, +0.01769198-0.00381307i, +0.01345469+0.00000000i, +0.01626667-0.01187373i, +0.00937835+0.01933286i, -0.00084994-0.01391583i, +0.01725300-0.01410922i, -0.00793055-0.02215075i, -0.00063592+0.00283768i, +0.00084745+0.00351296i, +0.00096039+0.02329360i, -0.00267926-0.01249409i, -0.01256832-0.00767751i, +0.01842866-0.01112001i, +0.03136403-0.01905006i, +0.01153646-0.01536370i, -0.03018583+0.01698498i, -0.01075730+0.01311416i
-0.02364094+0.00728904i, +0.01607743-0.01083901i, +0.00467584-0.04835689i, +0.00800356-0.03569001i, -0.00229317-0.01371575i, +0.01070646-0.01779021i, -0.02595653+0.01942975i, -0.01749422+0.01194077i, +0.00589622+0.00868403i, +0.03368851-0.02787070i, -0.02486762-0.00539431i, -0.01582099-0.05214009i, +0.00383118+0.00968062i, -0.02181131-0.02751296i, -0.00247029+0.01206425i, +0.02475455+0.01100313i, +0.01626667+0.01187373i, +0.03014487+0.00000000i, -0.00572281+0.03164971i, +0.01125310-0.01757426i, +0.03331015-0.00183227i, +0.00995997-0.03377885i, -0.00327307+0.00286955i, -0.00207561+0.00499503i, -0.01939542+0.02900941i, +0.00778679-0.01746975i, -0.00841967-0.02037358i, +0.03209355+0.00281920i, +0.05473060+0.00464723i, +0.02750596-0.00839376i, -0.05148374-0.00610414i, -0.02457874+0.00636168i
+0.01214100+0.02343733i, -0.01443229-0.01482231i, -0.05165857+0.00427098i, -0.03899110-0.00162758i, -0.01396511+0.00501150i, -0.02071086-0.00786357i, +0.02532737+0.02356368i, +0.01585803+0.01610067i, +0.00799819-0.00783917i, -0.03565757-0.03007919i, -0.00094264+0.02713311i, -0.05173944+0.02650924i, +0.00943656-0.00586024i, -0.02474568+0.02812331i, +0.01313547+0.00030329i, +0.00685292-0.02807919i, +0.00937835-0.01933286i, -0.00572281-0.03164971i, +0.03431613+0.00000000i, -0.02058790-0.00847850i, -0.00824746-0.03462517i, -0.03735595-0.00404448i, +0.00363417+0.00289170i, +0.00563843+0.00123095i, +0.03413968+0.01485640i, -0.01982012-0.00485899i, -0.01979222+0.01270778i, -0.00313282-0.03423089i, -0.00551104-0.05834503i, -0.01403461-0.02728557i, +0.00336500+0.05521267i, +0.01134538+0.02459800i
-0.01307465-0.01106151i, +0.01232079+0.00532682i, +0.02993724-0.01532568i, +0.02379477-0.00865709i, +0.00714015-0.00645701i, +0.01436831-0.00039931i, -0.02101701-0.00787934i, -0.01349200-0.00574152i, -0.00286167+0.00667921i, +0.02882438+0.00923603i, -0.00613826-0.01651136i, +0.02449134-0.02868747i, -0.00421356+0.00584734i, +0.00789769-0.02298646i, -0.00795554+0.00306343i, +0.00282615+0.01853922i, -0.00084994+0.01391583i, +0.01125310+0.01757426i, -0.02058790+0.00847850i, +0.01444647+0.00000000i, +0.01350291+0.01873561i, +0.02341091-0.00680307i, -0.00289476-0.00083697i, -0.00368690+0.00065458i, -0.02415262-0.00047817i, +0.01309156-0.00198183i, +0.00873459-0.01251409i, +0.01033698+0.01976274i, +0.01772168+0.03364239i, +0.01516150+0.01290240i, -0.01566025-0.03229336i, -0.01288408-0.01195442i
-0.02656634+0.00661746i, +0.01842442-0.01099991i, +0.00810606-0.05315027i, +0.01101327-0.03895107i, -0.00170029-0.01529532i, +0.01291199-0.01900747i, -0.02986301+0.01989222i, -0.02005695+0.01213124i, +0.00598750+0.00995426i, +0.03891993-0.02874953i, -0.02715091-0.00747224i, -0.01431304-0.05857656i, +0.00364506+0.01092998i, -0.02242926-0.03172762i, -0.00346297+0.01318087i, +0.02668505+0.01366312i, +0.01725300+0.01410922i, +0.03331015+0.00183227i, -0.00824746+0.03462517i, +0.01350291-0.01873561i, +0.03691917-0.00000000i, +0.01305895-0.03672032i, -0.00379117+0.00297191i, -0.00259716+0.00539336i, -0.02319525+0.03087657i, +0.00966627-0.01883082i, -0.00806541-0.02302462i, +0.03529210+0.00506594i, +0.06019498+0.00846184i, +0.03090434-0.00760325i, -0.05651864-0.00987439i, -0.02754624+0.00553573i
