+0.06684688+0.00000000i, +0.03473408-0.03132050i, -0.01114257+0.02157257i, -0.00431788-0.01643000i, -0.00219199-0.00868771i, -0.00520952-0.00348715i, -0.00316904-0.00074074i, +0.00199373-0.00109993i, -0.14231644+0.00606166i, -0.07110843+0.06983076i, +0.02176623-0.04693824i, +0.01068261+0.03458779i, -0.00545453-0.01829729i, -0.01140724-0.00695172i, -0.00681404-0.00128967i, +0.00414488-0.00252254i, -0.02243895-0.04535635i, -0.03291074-0.01305389i, +0.01837754+0.00031894i, -0.00969853+0.00844491i, -0.00515891+0.00440356i, -0.00061736+0.00470528i, +0.00056117+0.00239888i, -0.00141556-0.00098354i, -0.05188525-0.09452853i, -0.07125041-0.02480729i, +0.03915454-0.00098745i, -0.01988230+0.01885859i, +0.01058395-0.00984294i, +0.00088767-0.01007347i, -0.00141226-0.00505631i, +0.00310291+0.00196559i
-0.00061736-0.00470528i, -0.00252540-0.00215564i, +0.00162137+0.00058508i, -0.00111661+0.00045567i, -0.00059127+0.00023453i, -0.00019734+0.00039890i, -0.00002287+0.00022991i, -0.00009584-0.00013018i, +0.00174102+0.00996151i, +0.00557202+0.00436033i, -0.00350495-0.00109861i, +0.00233594-0.00107137i, -0.00123755+0.00055292i, -0.00038397+0.00086714i, -0.00002785+0.00049154i, -0.00021584-0.00026846i, -0.00298535+0.00199834i, -0.00061491+0.00243711i, -0.00014727-0.00129652i, +0.00068400+0.00060468i, +0.00035761+0.00032246i, +0.00033690-0.00000000i, +0.00016367-0.00006165i, -0.00005616+0.00010872i, -0.00617458+0.00452515i, -0.00108813+0.00524434i, -0.00043111-0.00274692i, +0.00151106+0.00122533i, -0.00079058-0.00065409i, -0.00071726+0.00003055i, -0.00034287+0.00014610i, +0.00010970-0.00023656i
+0.00056117-0.00239888i, -0.00083239-0.00150941i, +0.00068062+0.00058096i, -0.00062586+0.00001702i, -0.00033017+0.00000573i, -0.00016887+0.00015768i, -0.00005319+0.00010751i, -0.00002274-0.00008078i, -0.00097720+0.00515809i, +0.00190902+0.00313803i, -0.00150171-0.00117515i, +0.00133090-0.00009300i, -0.00070241+0.00004214i, -0.00034523+0.00035100i, -0.00010348+0.00023370i, -0.00005573-0.00016992i, -0.00181604+0.00042449i, -0.00074474+0.00107146i, +0.00016572-0.00065682i, +0.00022164+0.00041894i, +0.00011472+0.00022210i, +0.00016367+0.00006165i, +0.00009080-0.00000000i, -0.00004718+0.00004254i, -0.00382784+0.00106841i, -0.00148838+0.00234865i, +0.00029326-0.00141340i, +0.00050985+0.00087182i, -0.00026437-0.00046245i, -0.00035405-0.00011642i, -0.00019331+0.00000823i, +0.00009659-0.00009485i
-0.00141556+0.00098354i, -0.00027471+0.00117430i, -0.00008145-0.00062077i, +0.00033318+0.00028439i, +0.00017424+0.00015172i, +0.00016163-0.00000280i, +0.00007801-0.00003094i, -0.00002604+0.00005263i, +0.00292453-0.00222232i, +0.00047836-0.00252500i, +0.00022969+0.00131423i, -0.00073512-0.00057526i, +0.00038472+0.00030721i, +0.00034385-0.00002063i, +0.00016327-0.00007295i, -0.00005066+0.00011440i, +0.00114252+0.00063032i, +0.00088899-0.00020780i, -0.00039386+0.00026364i, +0.00008112-0.00032153i, +0.00004445-0.00016916i, -0.00005616-0.00010872i, -0.00004718-0.00004254i, +0.00004445-0.00000000i, +0.00248957+0.00123835i, +0.00187381-0.00052301i, -0.00081462+0.00059701i, +0.00014356-0.00069189i, -0.00007931+0.00036416i, +0.00012942+0.00022638i, +0.00010430+0.00008629i, -0.00009463+0.00000403i
-0.05188525+0.09452853i, +0.01733057+0.07342802i, -0.02185725-0.03250098i, +0.02658521+0.00664670i, +0.01398672+0.00364352i, +0.00897473-0.00466015i, +0.00350724-0.00390641i, +0.00000793+0.00367308i, +0.10189143-0.20595539i, -0.04355508-0.15475610i, +0.04948109+0.06721230i, -0.05720241-0.01174004i, +0.03010800+0.00648872i, +0.01868455-0.01073525i, +0.00711265-0.00863475i, +0.00034995+0.00781924i, +0.08155534+0.00347367i, +0.04400425-0.03640708i, -0.01471530+0.02574022i, -0.00441418-0.02026951i, -0.00222285-0.01071319i, -0.00617458-0.00452515i, -0.00382784-0.00106841i, +0.00248957-0.00123835i, +0.17394563-0.00000000i, +0.09038330-0.08150066i, -0.02899463+0.05613509i, -0.01123578-0.04275334i, +0.00570390+0.02260673i, +0.01355596+0.00907410i, +0.00824633+0.00192753i, -0.00518797+0.00286219i
-0.07125041+0.02480729i, -0.02539895+0.04627377i, +0.00387087-0.02712874i, +0.01069960+0.01590993i, +0.00556045+0.00844655i, +0.00684680+0.00178358i, +0.00365270-0.00038651i, -0.00171687+0.00191227i, +0.14944200-0.05927547i, +0.04987807-0.10081963i, -0.00578101+0.05810787i, -0.02422206-0.03290188i, +0.01260409+0.01747841i, +0.01473852+0.00317637i, +0.00774152-0.00115410i, -0.00348180+0.00422690i, +0.04074914+0.04001696i, +0.03992311+0.00170044i, -0.01970651+0.00648007i, +0.00720346-0.01260039i, +0.00386456-0.00660814i, -0.00108813-0.00524434i, -0.00148838-0.00234865i, +0.00187381+0.00052301i, +0.09038330+0.08150066i, +0.08515016+0.00000000i, -0.04136739+0.01558299i, +0.01419350-0.02747934i, -0.00762840+0.01441911i, +0.00279218+0.01106648i, +0.00338172+0.00486530i, -0.00403676-0.00094357i
+0.03915454+0.00098745i, +0.02080762-0.01783242i, -0.00684525+0.01247121i, -0.00228643-0.00968741i, -0.00115559-0.00512107i, -0.00299989-0.00211950i, -0.00184528-0.00048069i, +0.00118404-0.00061482i, -0.08344922+0.00144825i, -0.04268220+0.03985190i, +0.01344260-0.02717183i, +0.00574625+0.02041707i, -0.00292463-0.01079793i, -0.00657893-0.00424037i, -0.00397217-0.00085606i, +0.00246506-0.00141631i, -0.01247328-0.02689826i, -0.01908413-0.00813227i, +0.01075965+0.00045828i, -0.00580551+0.00480321i, -0.00308680+0.00250311i, -0.00043111+0.00274692i, +0.00029326+0.00141340i, -0.00081462-0.00059701i, -0.02899463-0.05613509i, -0.04136739-0.01558299i, +0.02294876+0.00000000i, -0.01192433+0.01075243i, +0.00634479-0.00560901i, +0.00066874-0.00588727i, -0.00075252-0.00298252i, +0.00178845+0.00119715i
-0.01988230-0.01885859i, -0.01916700-0.00048338i, +0.00940011-0.00327284i, -0.00335090+0.00610493i, -0.00179898+0.00320239i, +0.00056569+0.00250688i, +0.00073359+0.00111436i, -0.00090330-0.00023531i, +0.04403933+0.03834686i, +0.04085021-0.00070895i, -0.01971598+0.00782025i, +0.00658045-0.01330120i, -0.00353962+0.00698098i, +0.00143167+0.00528582i, +0.00166287+0.00230594i, -0.00194446-0.00041906i, -0.00612174+0.01982075i, +0.00610594+0.01316728i, -0.00537606-0.00527946i, +0.00526708+0.00022434i, +0.00277673+0.00014566i, +0.00151106-0.00122533i, +0.00050985-0.00087182i, +0.00014356+0.00069189i, -0.01123578+0.04275334i, +0.01419350+0.02747934i, -0.01192433-0.01075243i, +0.01123392+0.00000000i, -0.00592484-0.00005832i, -0.00310591+0.00274573i, -0.00100642+0.00190232i, -0.00036837-0.00146001i
+0.01058395+0.00984294i, +0.01011131+0.00015544i, -0.00494069+0.00177492i, +0.00173560-0.00323718i, +0.00093217-0.00169830i, -0.00031136-0.00131921i, -0.00039269-0.00058391i, +0.00047763+0.00011941i, -0.02342571-0.01999579i, -0.02154100+0.00058596i, +0.01035775-0.00422680i, -0.00340153+0.00704930i, +0.00183058-0.00370019i, -0.00078251-0.00278035i, -0.00088898-0.00120754i, +0.00102770+0.00021092i, +0.00312576-0.01048538i, -0.00328867-0.00691282i, +0.00286278+0.00275652i, -0.00277906-0.00009098i, -0.00146522-0.00006241i, -0.00079058+0.00065409i, -0.00026437+0.00046245i, -0.00007931-0.00036416i, +0.00570390-0.02260673i, -0.00762840-0.01441911i, +0.00634479+0.00560901i, -0.00592484+0.00005832i, +0.00312511-0.00000000i, +0.00162383-0.00146424i, +0.00052092-0.00100852i, +0.00020186+0.00076811i
+0.00088767+0.01007347i, +0.00518108+0.00481833i, -0.00339884-0.00139266i, +0.00241858-0.00086886i, +0.00128008-0.00044569i, +0.00045632-0.00083135i, +0.00006954-0.00048739i, +0.00019223+0.00028584i, -0.00280331-0.02136585i, -0.01146739-0.00978837i, +0.00736238+0.00265676i, -0.00507034+0.00206911i, +0.00268487-0.00106494i, +0.00089611-0.00181132i, +0.00010386-0.00104397i, +0.00043517+0.00059111i, +0.00653699-0.00398373i, +0.00153013-0.00513282i, +0.00019598+0.00277363i, -0.00140139-0.00134938i, -0.00073210-0.00071894i, -0.00071726-0.00003055i, -0.00035405+0.00011642i, +0.00012942-0.00022638i, +0.01355596-0.00907410i, +0.00279218-0.01106648i, +0.00066874+0.00588727i, -0.00310591-0.00274573i, +0.00162383+0.00146424i, +0.00152981-0.00000000i, +0.00074321-0.00027996i, -0.00025500+0.00049369i
-0.00141226+0.00505631i, +0.00163527+0.00328900i, -0.00139635-0.00129859i, +0.00133399+0.00002051i, +0.00070345+0.00001774i, +0.00037383-0.00032038i, +0.00012298-0.00022406i, +0.00004108+0.00017404i, +0.00254818-0.01089291i, -0.00377972-0.00685396i, +0.00309057+0.00263806i, -0.00284192+0.00007731i, +0.00149925-0.00002602i, +0.00076683-0.00071598i, +0.00024151-0.00048817i, +0.00010324+0.00036681i, +0.00390483-0.00073905i, +0.00168270-0.00221359i, -0.00041238+0.00138334i, -0.00043388-0.00091201i, -0.00022409-0.00048325i, -0.00034287-0.00014610i, -0.00019331-0.00000823i, +0.00010430-0.00008629i, +0.00824633-0.00192753i, +0.00338172-0.00486530i, -0.00075252+0.00298252i, -0.00100642-0.00190232i, +0.00052092+0.00100852i, +0.00074321+0.00027996i, +0.00041230-0.00000000i, -0.00021423+0.00019318i
+0.00310291-0.00196559i, +0.00069133-0.00247518i, +0.00011711+0.00132900i, -0.00068354-0.00063569i, -0.00035721-0.00033881i, -0.00034435-0.00000868i, -0.00016888+0.00005880i, +0.00006020-0.00010968i, -0.00642783+0.00446610i, -0.00124739+0.00533232i, -0.00036984-0.00281881i, +0.00151290+0.00129139i, -0.00079121-0.00068894i, -0.00073391+0.00001274i, -0.00035422+0.00014050i, +0.00011822-0.00023897i, -0.00237525-0.00144555i, -0.00191150+0.00036178i, +0.00086243-0.00052558i, -0.00020187+0.00067718i, -0.00010998+0.00035610i, +0.00010970+0.00023656i, +0.00009659+0.00009485i, -0.00009463-0.00000403i, -0.00518797-0.00286219i, -0.00403676+0.00094357i, +0.00178845-0.00119715i, -0.00036837+0.00146001i, +0.00020186-0.00076811i, -0.00025500-0.00049369i, -0.00021423-0.00019318i, +0.00020183-0.00000000i
