-0.00132627-0.00189016i, +0.00293866+0.00015810i, -0.00026373-0.00083947i, -0.00332619-0.00300026i, -0.00031116-0.00014015i, -0.00182557+0.00162143i, -0.00098464-0.00186457i, -0.00236548-0.00077371i, +0.00567518-0.00490353i, -0.01376114+0.01264460i, +0.00322590+0.01160127i, +0.02432549+0.00000000i, -0.01045371-0.00120249i, +0.02407109+0.00833262i, -0.01233208+0.01031185i, +0.01182883+0.02199097i, +0.00988131+0.00089610i, -0.02278257+0.00018891i, -0.00516414+0.01192638i, +0.01960538+0.01703951i, +0.00879649+0.01077859i, -0.01440700-0.03156718i, +0.02223143+0.00236510i, +0.01089853-0.03201174i, +0.00120896-0.00687535i, +0.00046293+0.01199350i, +0.00520137+0.00328956i, +0.00994858-0.01270986i, -0.00504997+0.00288706i, +0.01706668-0.00332348i, -0.00328711+0.01127784i, +0.01389159+0.00973945i
+0.00164657+0.00170562i, -0.00258172+0.00028470i, +0.00085525+0.00100339i, +0.00309391+0.00219952i, +0.00048572+0.00045947i, +0.00103621-0.00127161i, +0.00101096+0.00154040i, +0.00139926+0.00067918i, -0.00392967+0.00667461i, +0.00774457-0.00925552i, -0.00278285-0.00692595i, -0.01045371+0.00120249i, +0.01751441-0.00000000i, -0.02413708-0.00376349i, +0.00894298-0.01138681i, -0.01271290-0.01598752i, -0.01157852+0.00214575i, +0.01733841-0.00247479i, +0.00307866-0.00934915i, -0.01351163-0.00881658i, -0.01493687-0.01479972i, +0.01747498+0.02492878i, -0.01875108+0.00155919i, -0.00405019+0.02493668i, +0.00031280+0.00766406i, -0.00201058-0.00868462i, -0.00332152-0.00068958i, -0.00327206+0.00874034i, +0.00782834-0.00574600i, -0.01440850+0.00546199i, +0.00116949-0.01022175i, -0.01112887-0.00574200i
-0.00344150-0.00347647i, +0.00665711-0.00131594i, -0.00126144-0.00208005i, -0.00819252-0.00449695i, -0.00143039+0.00014274i, -0.00192378+0.00397897i, -0.00284886-0.00275995i, -0.00338444-0.00083211i, +0.00429342-0.01175918i, -0.01521886+0.02733131i, +0.00880432+0.01540920i, +0.02407109-0.00833262i, -0.02413708+0.00376349i, +0.06694048+0.00000000i, -0.01779594+0.03098607i, +0.03722306+0.03478009i, +0.01830598-0.00601709i, -0.04332814+0.01402301i, -0.00495080+0.02334625i, +0.03648744+0.01477548i, +0.02419178+0.01734299i, -0.05602860-0.05990443i, +0.04458772-0.01025668i, +0.00076467-0.06259151i, -0.00188234-0.01365996i, +0.00876688+0.02201768i, +0.00913963+0.00156106i, +0.00445249-0.02296797i, -0.00837816+0.00938720i, +0.03591293-0.02095027i, +0.00088888+0.02432689i, +0.02919552+0.00960714i
-0.00086593+0.00321404i, -0.00253994-0.00289312i, -0.00127079+0.00127315i, +0.00006171+0.00556967i, +0.00061820+0.00064578i, +0.00249082-0.00025833i, -0.00067358+0.00288317i, +0.00079954+0.00210846i, -0.00790235+0.00109901i, +0.01810486-0.00051968i, +0.00683570-0.01208610i, -0.01233208-0.01031185i, +0.00894298+0.01138681i, -0.01779594-0.03098607i, +0.03002743-0.00000000i, +0.00764987-0.03179438i, -0.00893777-0.00855318i, +0.01964866+0.01736430i, +0.01802335-0.00589421i, -0.00360561-0.02429591i, +0.00176926-0.01757161i, -0.01300736+0.04265063i, -0.02559784-0.02735695i, -0.03498270+0.01911074i, -0.00723254+0.00542809i, +0.00838693-0.01072422i, -0.00264596-0.00752499i, -0.01370083+0.00454300i, +0.00701681+0.00153712i, -0.01925688-0.01110955i, +0.01681301-0.01060571i, -0.00427627-0.01931817i
-0.00426334-0.00028251i, +0.00340264-0.00499252i, -0.00218575-0.00065816i, -0.00855421+0.00192435i, -0.00083464+0.00100478i, +0.00077798+0.00324303i, -0.00356252-0.00003164i, -0.00280419+0.00195139i, -0.00445727-0.00986823i, +0.00603586+0.02452885i, +0.01486450+0.00476999i, +0.01182883-0.02199097i, -0.01271290+0.01598752i, +0.03722306-0.03478009i, +0.00764987+0.03179438i, +0.05579922-0.00000000i, +0.00786159-0.01467799i, -0.01792604+0.03255761i, +0.01075930+0.01811680i, +0.03617657-0.01329007i, +0.02491868-0.00339682i, -0.06348958-0.00455596i, +0.02295133-0.03468727i, -0.04528366-0.04948873i, -0.00926976-0.00761485i, +0.01800510+0.00783932i, +0.00679259-0.00459044i, -0.01142494-0.01958773i, +0.00029310+0.01040516i, +0.00967101-0.03004784i, +0.01574497+0.01568635i, +0.03009119-0.01494888i
-0.00195523-0.00209349i, +0.00300715+0.00033214i, -0.00033983-0.00120971i, -0.00282385-0.00277543i, -0.00046386-0.00043224i, -0.00102307+0.00140503i, -0.00100608-0.00156621i, -0.00135770-0.00050302i, +0.00545571-0.00610248i, -0.00743746+0.00916522i, +0.00181837+0.00644704i, +0.00988131-0.00089610i, -0.01157852-0.00214575i, +0.01830598+0.00601709i, -0.00893777+0.00855318i, +0.00786159+0.01467799i, +0.01850792+0.00000000i, -0.02243704+0.00079149i, -0.00472399+0.01013387i, +0.01565450+0.01118715i, +0.01045525+0.01499706i, -0.01281858-0.02779329i, +0.02022635+0.00126720i, +0.00883195-0.02444521i, +0.00099627-0.00864713i, +0.00189054+0.01006341i, +0.00349913+0.00119027i, +0.00433354-0.00898536i, -0.00694022+0.00336832i, +0.01442089-0.00307168i, -0.00255112+0.01020976i, +0.00999974+0.00743179i
+0.00252844+0.00408692i, -0.00768282-0.00149552i, +0.00003760+0.00244524i, +0.00612255+0.00682885i, +0.00132374+0.00024243i, +0.00228981-0.00286172i, +0.00183401+0.00301499i, +0.00263111+0.00141931i, -0.00806529+0.00736390i, +0.02117613-0.01942343i, -0.00348534-0.01481830i, -0.02278257-0.00018891i, +0.01733841+0.00247479i, -0.04332814-0.01402301i, +0.01964866-0.01736430i, -0.01792604-0.03255761i, -0.02243704-0.00079149i, +0.06016295+0.00000000i, +0.01231694-0.02295563i, -0.03348121-0.02918639i, -0.01676497-0.02119423i, +0.03045683+0.06527302i, -0.04247646-0.00427763i, -0.01894453+0.05444553i, -0.00361521+0.01314488i, -0.00138275-0.02442508i, -0.00811546-0.00413959i, -0.01166747+0.01949635i, +0.00910758-0.00559078i, -0.03361987+0.00694736i, +0.00615941-0.02088369i, -0.02179208-0.01642010i
-0.00147884+0.00244505i, -0.00126240-0.00347605i, -0.00210017+0.00032583i, -0.00190756+0.00483617i, +0.00039964+0.00069560i, +0.00181220+0.00025142i, -0.00107289+0.00195295i, +0.00005914+0.00150701i, -0.00534189-0.00128850i, +0.01326182+0.00461026i, +0.00882179-0.00800436i, -0.00516414-0.01192638i, +0.00307866+0.00934915i, -0.00495080-0.02334625i, +0.01802335+0.00589421i, +0.01075930-0.01811680i, -0.00472399-0.01013387i, +0.01231694+0.02295563i, +0.02370418-0.00000000i, +0.00644228-0.02619416i, +0.00641243-0.01363102i, -0.02164351+0.03087263i, -0.01282343-0.02778835i, -0.03198117+0.00650549i, -0.00713145+0.00208538i, +0.01010665-0.00616255i, -0.00007166-0.00795737i, -0.01246525-0.00134448i, +0.00484035+0.00306546i, -0.01185759-0.01336164i, +0.01486168-0.00357457i, +0.00162775-0.01515617i
-0.00416791-0.00146895i, +0.00543946-0.00363246i, -0.00157560-0.00191531i, -0.00978073-0.00167090i, -0.00107565+0.00065057i, -0.00023628+0.00328718i, -0.00316416-0.00114517i, -0.00295715+0.00084291i, +0.00058957-0.00962661i, -0.00285552+0.02378724i, +0.01248213+0.00775888i, +0.01960538-0.01703951i, -0.01351163+0.00881658i, +0.03648744-0.01477548i, -0.00360561+0.02429591i, +0.03617657+0.01329007i, +0.01565450-0.01118715i, -0.03348121+0.02918639i, +0.00644228+0.02619416i, +0.05716107-0.00000000i, +0.02449976+0.00444662i, -0.05630469-0.02651604i, +0.03309452-0.02253354i, -0.02233057-0.05556583i, -0.00563919-0.01086406i, +0.01451953+0.01448974i, +0.00847533-0.00286488i, -0.00377297-0.02498433i, -0.00287537+0.00940999i, +0.01885033-0.02316875i, +0.00816696+0.01881562i, +0.02831865-0.00224870i
-0.00310535-0.00008259i, +0.00250927-0.00283153i, -0.00188468-0.00037543i, -0.00531853+0.00054735i, -0.00171906-0.00015492i, +0.00101447+0.00246525i, -0.00273114-0.00026443i, -0.00151286+0.00113330i, -0.00264783-0.01019130i, +0.00114028+0.01596706i, +0.00894158+0.00412091i, +0.00879649-0.01077859i, -0.01493687+0.01479972i, +0.02419178-0.01734299i, +0.00176926+0.01757161i, +0.02491868+0.00339682i, +0.01045525-0.01499706i, -0.01676497+0.02119423i, +0.00641243+0.01363102i, +0.02449976-0.00444662i, +0.03577741-0.00000000i, -0.04876764-0.01006957i, +0.02003353-0.02252999i, -0.02333406-0.03358844i, -0.00805795-0.00780625i, +0.01109053+0.00765327i, +0.00447867-0.00269918i, -0.00498016-0.01308050i, -0.00202340+0.01414042i, +0.00911877-0.02019929i, +0.00901954+0.01191225i, +0.01737688-0.00542560i
+0.00697282-0.00062652i, -0.00488836+0.00875114i, +0.00356641+0.00078651i, +0.01279243-0.00476244i, +0.00183439-0.00149755i, -0.00464330-0.00628617i, +0.00624259-0.00114664i, +0.00332060-0.00395366i, +0.00758602+0.01508134i, -0.01280182-0.04075558i, -0.02364582-0.00565835i, -0.01440700+0.03156718i, +0.01747498-0.02492878i, -0.05602860+0.05990443i, -0.01300736-0.04265063i, -0.06348958+0.00455596i, -0.01281858+0.02779329i, +0.03045683-0.06527302i, -0.02164351-0.03087263i, -0.05630469+0.02651604i, -0.04876764+0.01006957i, +0.13924532+0.00000000i, -0.03799669+0.06571712i, +0.07510482+0.07175867i, +0.01730460+0.01176035i, -0.03346650-0.01326850i, -0.01157287+0.00848277i, +0.02069012+0.02854673i, -0.00145272-0.01870454i, -0.01369941+0.06015337i, -0.02788697-0.02385152i, -0.04057007+0.02276507i
-0.00288887-0.00414076i, +0.00602067-0.00018797i, -0.00030853-0.00280645i, -0.00668453-0.00546981i, -0.00151408-0.00017389i, -0.00192576+0.00376600i, -0.00338890-0.00378479i, -0.00345581-0.00045417i, +0.00622128-0.00901073i, -0.01688969+0.01880687i, +0.00574000+0.01860723i, +0.02223143-0.00236510i, -0.01875108-0.00155919i, +0.04458772+0.01025668i, -0.02559784+0.02735695i, +0.02295133+0.03468727i, +0.02022635-0.00126720i, -0.04247646+0.00427763i, -0.01282343+0.02778835i, +0.03309452+0.02253354i, +0.02003353+0.02252999i, -0.03799669-0.06571712i, +0.06463485-0.00000000i, +0.01653030-0.06640570i, +0.00123320-0.01425773i, +0.00348909+0.02107920i, +0.01126986+0.00504709i, +0.00914247-0.02063288i, -0.00912286+0.00638674i, +0.03298586-0.01021047i, -0.00554053+0.02979210i, +0.02622266+0.01589033i
+0.00387257-0.00442678i, +0.00237575+0.00829331i, +0.00277233-0.00161029i, +0.00548834-0.01095360i, +0.00018674-0.00198986i, -0.00544622-0.00143230i, +0.00322198-0.00461728i, -0.00164800-0.00534306i, +0.01364495+0.00459962i, -0.02980423-0.01634127i, -0.01820616+0.01051352i, +0.01089853+0.03201174i, -0.00405019-0.02493668i, +0.00076467+0.06259151i, -0.03498270-0.01911074i, -0.04528366+0.04948873i, +0.00883195+0.02444521i, -0.01894453-0.05444553i, -0.03198117-0.00650549i, -0.02233057+0.05556583i, -0.02333406+0.03358844i, +0.07510482-0.07175867i, +0.01653030+0.06640570i, +0.11316640-0.00000000i, +0.01743750-0.00306529i, -0.02664776+0.01178821i, -0.00216439+0.01228280i, +0.03238970+0.00713770i, -0.01170446-0.01026930i, +0.02383673+0.04046389i, -0.03267203+0.00229898i, -0.01346178+0.04737181i
+0.00205581-0.00171388i, +0.00033918+0.00265389i, +0.00090955-0.00066989i, +0.00206135-0.00314895i, -0.00005456-0.00043482i, -0.00106666-0.00116634i, +0.00142694-0.00089301i, +0.00088113-0.00136344i, +0.00490685+0.00303684i, -0.00680454-0.00537380i, -0.00488833+0.00200022i, +0.00120896+0.00687535i, +0.00031280-0.00766406i, -0.00188234+0.01365996i, -0.00723254-0.00542809i, -0.00926976+0.00761485i, +0.00099627+0.00864713i, -0.00361521-0.01314488i, -0.00713145-0.00208538i, -0.00563919+0.01086406i, -0.00805795+0.00780625i, +0.01730460-0.01176035i, +0.00123320+0.01425773i, +0.01743750+0.00306529i, +0.00987271+0.00000000i, -0.00998834+0.00254655i, -0.00096555+0.00382751i, +0.00987829+0.00294053i, -0.00300274-0.00426055i, +0.00391810+0.01146647i, -0.00893539-0.00103538i, -0.00530027+0.00876878i
