+0.00402749-0.00766503i, -0.00945016-0.00685604i, +0.00717321+0.00465367i, -0.00742212-0.00588090i, +0.00850542-0.01119842i, -0.00221650+0.00702695i, +0.00111508-0.00455223i, -0.01537290+0.01017908i, +0.00933865-0.00672519i, -0.00446742-0.00328811i, +0.01603349-0.00175589i, +0.04048709+0.00000000i, -0.00301322-0.01450513i, +0.01701521-0.00429081i, -0.00071867-0.00299445i, +0.00493515-0.00573216i, +0.00875234+0.00105303i, +0.00514592-0.01225675i, -0.00250138+0.00815288i, +0.00384024+0.00471476i, -0.00765444+0.00472291i, +0.00733944-0.00159275i, -0.01417644+0.00038931i, +0.00826756-0.00150956i, +0.00347757-0.01533717i, -0.00480830-0.00706893i, +0.00887245-0.00653281i, +0.01284855-0.00195182i, -0.00823519-0.00178223i, -0.00127866-0.00930790i, -0.00144276+0.00175156i, +0.00622614-0.00410120i
+0.00532515+0.00457640i, +0.00665239-0.00688986i, -0.00377618+0.00775408i, +0.00409085-0.00772610i, +0.00781978+0.00687599i, -0.00675703-0.00179724i, +0.00380935+0.00115214i, -0.00555491-0.01452904i, +0.00230700+0.00926283i, +0.00187906-0.00369435i, +0.00013511+0.01621630i, -0.00301322+0.01450513i, +0.04123763+0.00000000i, +0.00066317+0.01589387i, +0.00348411-0.00062689i, +0.00287868+0.00240833i, -0.00187917+0.00713512i, +0.01208278+0.00801388i, -0.00644952-0.00159774i, -0.00264363+0.00432280i, -0.00062743-0.01153963i, +0.00245144+0.00817892i, +0.00215882-0.01291036i, +0.00175607+0.01015024i, +0.01320318+0.00417196i, +0.00587215-0.00253507i, +0.00537797+0.00689914i, -0.00075421+0.00940358i, +0.00525802-0.01024973i, +0.00898680-0.00065403i, -0.00327691-0.00059260i, +0.00171275+0.00474859i
+0.00540554-0.00681048i, -0.00482949-0.01013703i, +0.00429758+0.00501006i, -0.00734259-0.00746869i, +0.01202396-0.00673088i, -0.00196898+0.00534399i, +0.00014966-0.00457089i, -0.01613010+0.00382461i, +0.00887902-0.00274764i, -0.00307128-0.00543455i, +0.01596540+0.00169004i, +0.01701521+0.00429081i, +0.00066317-0.01589387i, +0.04037487+0.00000000i, -0.00122970-0.00352128i, +0.00573371-0.00464070i, +0.00794439+0.00342473i, +0.00801219-0.01138344i, -0.00311678+0.00671471i, +0.00545340+0.00267724i, -0.00969418+0.00346160i, +0.00850183-0.00131884i, -0.01365479-0.00165252i, +0.00985007+0.00019613i, +0.00599578-0.01310084i, -0.00132056-0.00716498i, +0.00836751-0.00492779i, +0.01106021+0.00244412i, -0.00776350-0.00425991i, +0.00249468-0.01127823i, -0.00177827+0.00066567i, +0.00582758-0.00347711i
+0.00243044-0.00219067i, +0.00149895+0.00057439i, -0.00150843+0.00063752i, +0.00130014-0.00205405i, -0.00124892+0.00229387i, -0.00126408+0.00005800i, +0.00111684-0.00013683i, -0.00262800-0.00335623i, +0.00029807+0.00161356i, +0.00091139-0.00195224i, +0.00000003+0.00365508i, -0.00071867+0.00299445i, +0.00348411+0.00062689i, -0.00122970+0.00352128i, +0.02444617-0.00000000i, +0.00179709+0.00161940i, -0.00125349+0.00056086i, +0.00044965+0.00237526i, -0.00216792-0.00045809i, -0.00115612+0.00083577i, -0.00079522-0.00144081i, +0.00059278+0.00010916i, +0.00239380-0.00692102i, +0.00046967+0.00038300i, +0.00343635+0.00080572i, -0.00024562-0.00061804i, +0.00074141+0.00167022i, -0.00015181+0.00144756i, +0.00291685-0.00100134i, +0.00214205+0.00116847i, +0.00279774-0.00463251i, +0.00166127+0.00142830i
+0.00458389-0.00068087i, -0.00072937-0.00249857i, -0.00143041+0.00415149i, -0.00033647-0.00484816i, +0.00682116+0.00138958i, +0.00015467+0.00322007i, +0.00321378-0.00091872i, -0.00517834-0.00362178i, +0.00229051+0.00149731i, -0.00030606-0.00259658i, +0.00382535+0.00459611i, +0.00493515+0.00573216i, +0.00287868-0.00240833i, +0.00573371+0.00464070i, +0.00179709-0.00161940i, +0.02732743+0.00000000i, +0.00187067+0.00274785i, +0.00567128-0.00044617i, -0.00271255+0.00079880i, -0.00051898+0.00206794i, -0.00227137-0.00177028i, +0.00121426+0.00092666i, -0.00367113-0.00561174i, +0.00405020+0.00188502i, +0.00597528-0.00206894i, +0.00195246-0.00235390i, +0.00348292+0.00133770i, +0.00173410+0.00394498i, -0.00225559-0.00191753i, +0.00249131-0.00332933i, -0.00141294-0.00150570i, +0.00495988-0.00209749i
+0.00108393-0.00464505i, -0.00572023-0.00324308i, +0.00408199+0.00131895i, -0.00505126-0.00218808i, +0.00502056-0.00577832i, -0.00016247+0.00367067i, -0.00064939-0.00320768i, -0.00623684+0.00467679i, +0.00218848-0.00605641i, -0.00150159-0.00047881i, +0.00986703-0.00161014i, +0.00875234-0.00105303i, -0.00187917-0.00713512i, +0.00794439-0.00342473i, -0.00125349-0.00056086i, +0.00187067-0.00274785i, +0.02922222+0.00000000i, +0.00293523-0.00828795i, -0.00032350+0.00498892i, +0.00459222+0.00201462i, -0.00539502+0.00546568i, +0.00445200-0.00138592i, -0.00601617-0.00117702i, +0.00536434-0.00132191i, +0.00161740-0.00995568i, -0.00229152-0.00268994i, +0.00639769-0.00623170i, +0.00549576-0.00163902i, -0.00430118-0.00037553i, -0.00165937-0.00678312i, -0.00285371+0.00008030i, +0.00195633-0.00377617i
+0.00755114+0.00101152i, +0.00150744-0.01148566i, -0.00077691+0.00471046i, -0.00015231-0.00779859i, +0.01091842+0.00338770i, -0.00466949+0.00035857i, +0.00384785-0.00159162i, -0.01066621-0.00661872i, +0.00712252+0.00512898i, -0.00120225-0.00469451i, +0.00795236+0.01220420i, +0.00514592+0.01225675i, +0.01208278-0.00801388i, +0.00801219+0.01138344i, +0.00044965-0.00237526i, +0.00567128+0.00044617i, +0.00293523+0.00828795i, +0.03789917-0.00000000i, -0.00586245+0.00113976i, -0.00089935+0.00487106i, -0.00726040-0.00385489i, +0.00529006+0.00541111i, -0.00626307-0.01256893i, +0.00418356+0.00847583i, +0.01509464-0.00367038i, +0.00425154-0.00493558i, +0.01091210+0.00371128i, +0.00363668+0.00909681i, -0.00167008-0.00714984i, +0.00492876-0.00896937i, -0.00363981+0.00128485i, +0.00662723+0.00387863i
-0.00476450-0.00198028i, -0.00141504+0.00412441i, +0.00105079-0.00431580i, -0.00112774+0.00380358i, -0.00548291-0.00370623i, +0.00310042-0.00076115i, -0.00132099+0.00184709i, +0.00397446+0.00495920i, -0.00377995-0.00259335i, -0.00197493+0.00109911i, -0.00374915-0.01006086i, -0.00250138-0.00815288i, -0.00644952+0.00159774i, -0.00311678-0.00671471i, -0.00216792+0.00045809i, -0.00271255-0.00079880i, -0.00032350-0.00498892i, -0.00586245-0.00113976i, +0.02603575+0.00000000i, +0.00017612-0.00096866i, +0.00209860+0.00245118i, -0.00253857-0.00427276i, +0.00099404+0.00694453i, -0.00208234-0.00253520i, -0.00952626-0.00098649i, -0.00288780+0.00341572i, -0.00477977-0.00492513i, -0.00196106-0.00372788i, -0.00166497+0.00685949i, -0.00429186+0.00038734i, +0.00132143+0.00108301i, -0.00112646-0.00142332i
-0.00115170-0.00125483i, -0.00312921-0.00020298i, +0.00178265+0.00148628i, -0.00418292-0.00223530i, -0.00013445-0.00368816i, +0.00015455+0.00341513i, -0.00204462-0.00103897i, -0.00257703+0.00430343i, +0.00153433-0.00368534i, -0.00075378+0.00080775i, +0.00456514-0.00349654i, +0.00384024-0.00471476i, -0.00264363-0.00432280i, +0.00545340-0.00267724i, -0.00115612-0.00083577i, -0.00051898-0.00206794i, +0.00459222-0.00201462i, -0.00089935-0.00487106i, +0.00017612+0.00096866i, +0.02483288-0.00000000i, -0.00213069+0.00374436i, +0.00021738-0.00000092i, -0.00318393+0.00283570i, +0.00335742-0.00384663i, -0.00291678-0.00387054i, -0.00073652-0.00050542i, +0.00241057-0.00403067i, +0.00310950-0.00417577i, -0.00234564+0.00091735i, -0.00031777-0.00398807i, -0.00087462+0.00023255i, -0.00042466-0.00297837i
-0.00451214+0.00239737i, +0.00157516+0.00545234i, -0.00117016-0.00256978i, +0.00346813+0.00393634i, -0.00701258+0.00042181i, +0.00220996-0.00311848i, +0.00046712+0.00254390i, +0.00985823-0.00020085i, -0.00457920-0.00106701i, +0.00182277+0.00126948i, -0.00852640-0.00190259i, -0.00765444-0.00472291i, -0.00062743+0.01153963i, -0.00969418-0.00346160i, -0.00079522+0.00144081i, -0.00227137+0.00177028i, -0.00539502-0.00546568i, -0.00726040+0.00385489i, +0.00209860-0.00245118i, -0.00213069-0.00374436i, +0.03123052-0.00000000i, -0.00554721-0.00044537i, +0.00746101+0.00325311i, -0.00698912-0.00313027i, -0.00729458+0.00548429i, +0.00116458+0.00594921i, -0.00857173+0.00024476i, -0.00548725-0.00408964i, +0.00335103+0.00359500i, -0.00343202+0.00583055i, +0.00058568+0.00183191i, -0.00454224+0.00096904i
