+0.00806158-0.02610152i, -0.00823889-0.01776692i, +0.00692397+0.00679956i, -0.01120464-0.00047724i, -0.00362672-0.00019025i, -0.00202223+0.00163984i, -0.00071219+0.00121780i, -0.00027761-0.00133794i, -0.01563635+0.05949794i, +0.02023913+0.03918399i, -0.01612147-0.01453709i, +0.02540527+0.00000000i, -0.00795090-0.00007826i, -0.00427069+0.00377544i, -0.00144440+0.00273019i, -0.00073189-0.00290078i, -0.02015949+0.00325040i, -0.00917261+0.01140881i, +0.00226057-0.00689265i, +0.00339410+0.00766504i, +0.00107463+0.00249288i, +0.00176894+0.00081132i, +0.00105195+0.00007351i, -0.00080438+0.00062946i, -0.04381963+0.00899340i, -0.01901235+0.02582530i, +0.00427651-0.01519492i, +0.00819143+0.01655752i, -0.00253878-0.00526135i, -0.00387756-0.00158236i, -0.00226846-0.00006171i, +0.00167179-0.00142701i
-0.00427113+0.01432757i, +0.00433474+0.00911167i, -0.00378421-0.00364375i, +0.00362976+0.00011883i, +0.00110867+0.00004722i, +0.00082093-0.00067920i, +0.00050980-0.00089175i, +0.00015110+0.00069385i, +0.00800789-0.03173835i, -0.01033082-0.01952720i, +0.00861713+0.00761784i, -0.00795090+0.00007826i, +0.01538724-0.00000000i, +0.00714524-0.00644302i, +0.00177565-0.00343776i, +0.00067989+0.00258705i, +0.01101484-0.00188738i, +0.00466784-0.00592429i, -0.00118693+0.00374307i, -0.00112349-0.00247125i, -0.00033584-0.00075844i, -0.00072715-0.00032488i, -0.00076643-0.00004598i, +0.00041478-0.00033122i, +0.02350935-0.00506661i, +0.00949347-0.01316483i, -0.00220916+0.00815640i, -0.00264185-0.00521036i, +0.00493770+0.00998069i, +0.00646971+0.00256618i, +0.00279461+0.00004850i, -0.00145724+0.00126888i
-0.00861630+0.00525089i, -0.00216796+0.00727245i, -0.00025597-0.00362268i, +0.00187547+0.00180586i, +0.00076020+0.00074654i, +0.00054703+0.00002330i, +0.00067458-0.00022182i, -0.00025266+0.00044195i, +0.01835827-0.01228867i, +0.00406468-0.01610989i, +0.00089743+0.00790047i, -0.00427069-0.00377544i, +0.00714524+0.00644302i, +0.00784826+0.00000000i, +0.00250318-0.00094294i, -0.00088002+0.00170377i, +0.00637389+0.00403230i, +0.00559096-0.00095800i, -0.00234227+0.00137225i, +0.00058825-0.00185508i, +0.00024819-0.00075677i, -0.00016571-0.00037422i, -0.00037221-0.00037843i, +0.00037984+0.00002279i, +0.01407330+0.00808585i, +0.01193298-0.00257173i, -0.00491028+0.00316486i, +0.00109487-0.00404235i, -0.00188561+0.00669977i, +0.00251853+0.00509076i, +0.00141234+0.00131868i, -0.00138502-0.00002404i
-0.00516166+0.00097693i, -0.00219779+0.00289120i, +0.00068442-0.00229590i, +0.00060606+0.00127394i, +0.00043213+0.00093187i, +0.00065327+0.00027838i, -0.00134398-0.00005724i, -0.00091173+0.00075432i, +0.01119970-0.00261786i, +0.00453813-0.00652903i, -0.00128321+0.00508586i, -0.00144440-0.00273019i, +0.00177565+0.00343776i, +0.00250318+0.00094294i, +0.00614008-0.00000000i, +0.00085425-0.00077030i, +0.00236538+0.00313439i, +0.00266551+0.00051417i, -0.00176506+0.00030244i, +0.00065263-0.00082830i, +0.00048110-0.00059839i, -0.00003002-0.00052995i, +0.00040712+0.00091941i, +0.00080758+0.00036082i, +0.00537266+0.00652240i, +0.00577800+0.00086138i, -0.00376722+0.00081189i, +0.00132732-0.00184063i, -0.00165706+0.00225085i, +0.00019129+0.00192277i, +0.00197567+0.00399346i, +0.00078170+0.00031006i
+0.00310235+0.00188806i, +0.00255814-0.00048417i, -0.00120468+0.00073415i, +0.00039037-0.00130949i, +0.00020955-0.00067849i, -0.00021416-0.00046184i, -0.00084429-0.00082912i, -0.00066852-0.00002847i, -0.00696204-0.00384094i, -0.00555063+0.00129742i, +0.00256675-0.00171813i, -0.00073189+0.00290078i, +0.00067989-0.00258705i, -0.00088002-0.00170377i, +0.00085425+0.00077030i, +0.00326532-0.00000000i, +0.00023667-0.00270431i, -0.00117229-0.00155342i, +0.00089116+0.00056377i, -0.00100672+0.00017250i, -0.00052403+0.00008449i, -0.00023844+0.00029656i, -0.00027565+0.00084047i, +0.00020251+0.00045733i, +0.00026119-0.00583601i, -0.00266272-0.00323254i, +0.00196765+0.00113052i, -0.00214868+0.00046307i, +0.00189281-0.00038847i, +0.00082125-0.00111553i, -0.00022783+0.00080949i, +0.00105053+0.00212346i
-0.02007783+0.04058376i, +0.00824070+0.02928012i, -0.00926399-0.01258368i, +0.01058198+0.00217181i, +0.00535668+0.00115444i, +0.00320665-0.00184239i, +0.00122418-0.00148615i, +0.00005951+0.00132975i, +0.03458438-0.07810345i, -0.01789165-0.05455310i, +0.01850791+0.02301995i, -0.02015949-0.00325040i, +0.01101484+0.00188738i, +0.00637389-0.00403230i, +0.00236538-0.00313439i, +0.00023667+0.00270431i, +0.04204769-0.00000000i, +0.02097857-0.01891685i, -0.00666005+0.01289419i, -0.00255010-0.00970338i, -0.00090047-0.00356891i, -0.00206435-0.00138183i, -0.00125938-0.00029437i, +0.00078287-0.00043190i, +0.06603915-0.00281279i, +0.03169830-0.03112875i, -0.00961569+0.02073596i, -0.00466303-0.01509780i, +0.00247054+0.00828744i, +0.00498389+0.00303725i, +0.00298564+0.00056508i, -0.00179448+0.00109210i
-0.02827469+0.01121502i, -0.01019430+0.02060595i, +0.00106944-0.01074948i, +0.00459128+0.00623654i, +0.00216312+0.00299965i, +0.00271897+0.00058598i, +0.00131653-0.00019627i, -0.00060671+0.00073654i, +0.05241820-0.02341973i, +0.01755925-0.03965482i, -0.00115503+0.02038715i, -0.00917261-0.01140881i, +0.00466784+0.00592429i, +0.00559096+0.00095800i, +0.00266551-0.00051417i, -0.00117229+0.00155342i, +0.02097857+0.01891685i, +0.02134921+0.00000000i, -0.00938883+0.00353675i, +0.00330075-0.00639043i, +0.00116168-0.00219579i, -0.00045706-0.00181152i, -0.00051030-0.00073417i, +0.00062416+0.00014589i, +0.03423042+0.02832066i, +0.03352952-0.00142812i, -0.01453670+0.00619448i, +0.00476559-0.01027685i, -0.00250732+0.00527043i, +0.00125400+0.00420657i, +0.00127126+0.00167234i, -0.00147970-0.00028006i
+0.01562361-0.00027115i, +0.00789586-0.00737227i, -0.00351818+0.00711138i, -0.00102734-0.00365025i, -0.00050336-0.00185846i, -0.00111882-0.00072112i, -0.00085837-0.00018499i, +0.00044834-0.00025759i, -0.02948444+0.00176883i, -0.01431885+0.01455818i, +0.00600286-0.01355652i, +0.00226057+0.00689265i, -0.00118693-0.00374307i, -0.00234227-0.00137225i, -0.00176506-0.00030244i, +0.00089116-0.00056377i, -0.00666005-0.01289419i, -0.00938883-0.00353675i, +0.00736381-0.00000000i, -0.00261740+0.00236017i, -0.00096898+0.00085661i, -0.00010091+0.00088839i, +0.00014429+0.00057189i, -0.00028863-0.00019320i, -0.01134408-0.01984322i, -0.01501078-0.00493597i, +0.01146250-0.00048822i, -0.00400500+0.00393304i, +0.00218888-0.00210764i, +0.00014806-0.00209545i, -0.00039589-0.00132801i, +0.00069682+0.00042465i
-0.00814692-0.00709385i, -0.00774314+0.00013438i, +0.00352491-0.00139814i, -0.00198725+0.00401687i, -0.00060195+0.00118720i, +0.00024947+0.00092106i, +0.00030243+0.00041939i, -0.00048958-0.00010551i, +0.01595663+0.01274190i, +0.01461264-0.00087664i, -0.00662291+0.00295903i, +0.00339410-0.00766504i, -0.00112349+0.00247125i, +0.00058825+0.00185508i, +0.00065263+0.00082830i, -0.00100672-0.00017250i, -0.00255010+0.00970338i, +0.00330075+0.00639043i, -0.00261740-0.00236017i, +0.00415970+0.00000000i, +0.00089406+0.00000880i, +0.00048023-0.00042454i, +0.00016242-0.00030700i, +0.00008230+0.00032619i, -0.00336235+0.01543962i, +0.00562218+0.00983440i, -0.00432493-0.00357825i, +0.00648105-0.00027605i, -0.00209955+0.00006873i, -0.00108482+0.00104456i, -0.00035056+0.00073688i, -0.00022580-0.00075744i
-0.00416780-0.00355756i, -0.00369687+0.00010056i, +0.00178270-0.00072749i, -0.00057847+0.00119882i, -0.00227546+0.00459943i, +0.00090006+0.00319802i, +0.00090068+0.00122343i, -0.00102882-0.00021115i, +0.00880095+0.00688710i, +0.00752393-0.00052574i, -0.00356925+0.00163702i, +0.00107463-0.00249288i, -0.00033584+0.00075844i, +0.00024819+0.00075677i, +0.00048110+0.00059839i, -0.00052403-0.00008449i, -0.00090047+0.00356891i, +0.00116168+0.00219579i, -0.00096898-0.00085661i, +0.00089406-0.00000880i, +0.00446112-0.00000000i, +0.00213939-0.00192913i, +0.00059917-0.00116002i, +0.00022942+0.00087296i, -0.00175690+0.00846749i, +0.00294640+0.00503814i, -0.00236017-0.00191388i, +0.00209779-0.00011004i, -0.00064128+0.00002731i, -0.00043972+0.00043182i, -0.00024995+0.00053902i, -0.00012121-0.00039246i
