+0.00017253+0.00012917i, +0.00050419-0.00028831i, -0.00008733+0.00049449i, +0.00057320-0.00001067i, +0.00039303-0.00032542i, -0.00033647+0.00016924i, -0.00005964-0.00026322i, +0.00010724+0.00036070i, -0.00024222-0.00018983i, +0.00023167+0.00006328i, -0.00036927+0.00012813i, +0.03025212-0.00000000i, +0.00068562-0.00037617i, -0.00007246-0.00013448i, +0.00017171+0.00001359i, +0.00002143+0.00033918i, +0.00007933+0.00027970i, -0.00022180+0.00011074i, -0.00025091-0.00011475i, +0.00002596-0.00028504i, -0.00027319-0.00022268i, -0.00024682+0.00006203i, -0.00020143-0.00042740i, +0.00049377-0.00012592i, -0.00037913+0.00011445i, -0.00000756-0.00035500i, +0.00008714+0.00018919i, +0.00016741-0.00026959i, -0.00035040-0.00012794i, +0.00053095-0.00018283i, -0.00053289-0.00025477i, +0.00018284+0.00001823i
+0.00080056+0.00043768i, +0.00096190-0.00063162i, -0.00006997+0.00113888i, +0.00078351-0.00032826i, +0.00060630-0.00103241i, -0.00029525+0.00007898i, -0.00062295-0.00051247i, +0.00019237+0.00105183i, +0.00030834+0.00011146i, -0.00040634+0.00014363i, -0.00048211+0.00033821i, +0.00068562+0.00037617i, +0.03125114-0.00000000i, -0.00037558-0.00025622i, +0.00060344+0.00006276i, -0.00043366+0.00084311i, +0.00004527+0.00048791i, -0.00011880-0.00029403i, -0.00051430-0.00028703i, +0.00050115-0.00061376i, -0.00095200-0.00054291i, -0.00073701+0.00084686i, -0.00062008-0.00076636i, +0.00073853-0.00060859i, -0.00054961+0.00015665i, +0.00018804-0.00073720i, -0.00024974+0.00010538i, +0.00024447-0.00038200i, -0.00137511+0.00020684i, +0.00037041-0.00038714i, -0.00125606-0.00031899i, +0.00002984+0.00022035i
-0.00001145-0.00006208i, -0.00007092+0.00035313i, +0.00001344-0.00010161i, -0.00002944-0.00012312i, +0.00004423+0.00015395i, +0.00015803-0.00002677i, +0.00001929+0.00013766i, -0.00034480+0.00001841i, -0.00009548-0.00013572i, +0.00003888-0.00018866i, +0.00005460-0.00007824i, -0.00007246+0.00013448i, -0.00037558+0.00025622i, +0.03066194+0.00000000i, -0.00009640+0.00010548i, -0.00014678-0.00038575i, -0.00001946-0.00008496i, +0.00007011+0.00029814i, +0.00027359-0.00013886i, +0.00021093+0.00016704i, +0.00017529+0.00008920i, -0.00065902-0.00033883i, +0.00006064+0.00016764i, -0.00004200+0.00020055i, -0.00008171+0.00001307i, +0.00028639-0.00020653i, +0.00000571+0.00010641i, +0.00005122-0.00005945i, +0.00021119-0.00000527i, -0.00030532+0.00013867i, +0.00019796-0.00036994i, -0.00008138+0.00016552i
+0.00002709+0.00004693i, +0.00061104-0.00018512i, -0.00052504+0.00022071i, +0.00036645-0.00007101i, +0.00043187-0.00040991i, -0.00007911-0.00013556i, +0.00011130-0.00080858i, -0.00009615+0.00062209i, +0.00009762-0.00022857i, -0.00011289+0.00024878i, +0.00009320+0.00000382i, +0.00017171-0.00001359i, +0.00060344-0.00006276i, -0.00009640-0.00010548i, +0.03078416-0.00000000i, -0.00032946+0.00003459i, +0.00009621+0.00057065i, -0.00002986-0.00023217i, -0.00037933-0.00048347i, +0.00032566-0.00016247i, -0.00021819-0.00003940i, -0.00054940+0.00004040i, -0.00069042-0.00052566i, +0.00087488-0.00020405i, -0.00039591+0.00003830i, +0.00014668-0.00039334i, -0.00008137+0.00002123i, +0.00004030-0.00001881i, -0.00021722-0.00032660i, +0.00027461-0.00008557i, -0.00076182-0.00047143i, -0.00024911+0.00003525i
-0.00004860-0.00029845i, -0.00103651-0.00013034i, +0.00111861-0.00051746i, -0.00060845-0.00009213i, -0.00083809+0.00028406i, +0.00026557+0.00012482i, +0.00000927+0.00056947i, +0.00022008-0.00093381i, -0.00017100+0.00004157i, +0.00051422+0.00000200i, +0.00032773+0.00021653i, +0.00002143-0.00033918i, -0.00043366-0.00084311i, -0.00014678+0.00038575i, -0.00032946-0.00003459i, +0.03146751-0.00000000i, +0.00023375-0.00021777i, -0.00048837+0.00013031i, +0.00026219+0.00034088i, -0.00078715+0.00018715i, +0.00023776+0.00056283i, +0.00118871+0.00006965i, -0.00008561+0.00071103i, -0.00140065-0.00017212i, +0.00053217+0.00014297i, -0.00033219+0.00044534i, -0.00005781-0.00001017i, -0.00049683+0.00025110i, +0.00054884+0.00059475i, -0.00042016+0.00010968i, +0.00068578+0.00078033i, -0.00002915+0.00037371i
+0.00038174-0.00007840i, -0.00018715-0.00044358i, +0.00032879+0.00015692i, +0.00000293-0.00027202i, -0.00040189-0.00038182i, -0.00004788+0.00005214i, -0.00012122+0.00033126i, +0.00049109+0.00009365i, -0.00003172+0.00011365i, +0.00022145-0.00005021i, -0.00011746+0.00008014i, +0.00007933-0.00027970i, +0.00004527-0.00048791i, -0.00001946+0.00008496i, +0.00009621-0.00057065i, +0.00023375+0.00021777i, +0.03036272-0.00000000i, -0.00041014-0.00043454i, -0.00028256+0.00038420i, -0.00041473-0.00030679i, -0.00056828-0.00002955i, +0.00035754+0.00040136i, -0.00009745+0.00018149i, -0.00002019-0.00064275i, +0.00039657+0.00025260i, -0.00046279+0.00000616i, -0.00000099-0.00019380i, -0.00031069-0.00019536i, -0.00046050+0.00039632i, -0.00002554-0.00020079i, -0.00002195+0.00028697i, -0.00015805-0.00007688i
-0.00015091+0.00040987i, +0.00079925+0.00053595i, -0.00056859+0.00011360i, +0.00012880+0.00008916i, +0.00012582-0.00011408i, -0.00017168-0.00010633i, -0.00006154-0.00008959i, -0.00031852+0.00013780i, -0.00015720+0.00026450i, +0.00003073+0.00008222i, -0.00009853-0.00031659i, -0.00022180-0.00011074i, -0.00011880+0.00029403i, +0.00007011-0.00029814i, -0.00002986+0.00023217i, -0.00048837-0.00013031i, -0.00041014+0.00043454i, +0.03086893-0.00000000i, -0.00033392-0.00015134i, +0.00064175-0.00004303i, +0.00012866-0.00034042i, -0.00070964-0.00013051i, +0.00018030-0.00041195i, +0.00026060+0.00048007i, -0.00025629-0.00037300i, +0.00078750-0.00024226i, +0.00014238-0.00003523i, +0.00037334-0.00003003i, +0.00004739-0.00025250i, -0.00015559+0.00008703i, -0.00010538-0.00047802i, +0.00003920-0.00006246i
-0.00055161-0.00033034i, -0.00065235+0.00054767i, +0.00022205-0.00078795i, -0.00037485+0.00018463i, -0.00016884+0.00068481i, +0.00010962+0.00000220i, +0.00030280+0.00040719i, -0.00051569-0.00059828i, +0.00001113-0.00004277i, +0.00013709-0.00021779i, +0.00041349+0.00001361i, -0.00025091+0.00011475i, -0.00051430+0.00028703i, +0.00027359+0.00013886i, -0.00037933+0.00048347i, +0.00026219-0.00034088i, -0.00028256-0.00038420i, -0.00033392+0.00015134i, +0.03071652-0.00000000i, -0.00040833+0.00022153i, +0.00027254+0.00011138i, +0.00051258-0.00076179i, +0.00044711+0.00059607i, -0.00045313+0.00057143i, +0.00045168-0.00013056i, -0.00008540+0.00044946i, +0.00056697-0.00023041i, -0.00001770+0.00043351i, +0.00058339+0.00016398i, -0.00040539+0.00042444i, +0.00152558+0.00002663i, -0.00005040-0.00006419i
+0.00006530+0.00036900i, +0.00079403+0.00023316i, -0.00089386+0.00000228i, +0.00075161+0.00042184i, +0.00058028-0.00004720i, -0.00030720-0.00037300i, +0.00016049-0.00062327i, -0.00040171+0.00044753i, -0.00001725+0.00022825i, -0.00000713-0.00020367i, -0.00027824-0.00015948i, +0.00002596+0.00028504i, +0.00050115+0.00061376i, +0.00021093-0.00016704i, +0.00032566+0.00016247i, -0.00078715-0.00018715i, -0.00041473+0.00030679i, +0.00064175+0.00004303i, -0.00040833-0.00022153i, +0.03080846-0.00000000i, +0.00010820-0.00060686i, -0.00110684-0.00021929i, +0.00037124-0.00067845i, +0.00100206+0.00042465i, -0.00068100-0.00042278i, +0.00072903-0.00028890i, -0.00002194+0.00006236i, +0.00061062-0.00020600i, -0.00024750-0.00057200i, +0.00027397-0.00004734i, -0.00041095-0.00083480i, +0.00008279-0.00000867i
-0.00043572+0.00012620i, -0.00008935+0.00076440i, -0.00068941-0.00050525i, -0.00025349+0.00047126i, +0.00059678+0.00099437i, +0.00009574-0.00019529i, +0.00053831+0.00036282i, -0.00068785-0.00055789i, -0.00045368+0.00026622i, +0.00026084+0.00003032i, +0.00006367-0.00033139i, -0.00027319+0.00022268i, -0.00095200+0.00054291i, +0.00017529-0.00008920i, -0.00021819+0.00003940i, +0.00023776-0.00056283i, -0.00056828+0.00002955i, +0.00012866+0.00034042i, +0.00027254-0.00011138i, +0.00010820+0.00060686i, +0.03129916-0.00000000i, -0.00001431-0.00111103i, +0.00097802+0.00055218i, -0.00051054+0.00051415i, +0.00044028-0.00026757i, +0.00021153+0.00048628i, -0.00011686-0.00023829i, -0.00024059+0.00067097i, +0.00095314-0.00047940i, +0.00000466+0.00043205i, +0.00081459-0.00016145i, -0.00005066-0.00028057i
-0.00054539-0.00054798i, -0.00154701-0.00028463i, +0.00113871-0.00107267i, -0.00092340+0.00005182i, -0.00128075+0.00055591i, +0.00089004+0.00069550i, +0.00011591+0.00091596i, +0.00026071-0.00128799i, +0.00009857-0.00035494i, -0.00001247-0.00007924i, +0.00044890+0.00022553i, -0.00024682-0.00006203i, -0.00073701-0.00084686i, -0.00065902+0.00033883i, -0.00054940-0.00004040i, +0.00118871-0.00006965i, +0.00035754-0.00040136i, -0.00070964+0.00013051i, +0.00051258+0.00076179i, -0.00110684+0.00021929i, -0.00001431+0.00111103i, +0.03259319+0.00000000i, -0.00001109+0.00125473i, -0.00120332-0.00046208i, +0.00079916+0.00023153i, -0.00075882+0.00062019i, +0.00021878-0.00011700i, -0.00072658+0.00031419i, +0.00068437+0.00088113i, -0.00045775+0.00020661i, +0.00057120+0.00125460i, +0.00031868-0.00024594i
-0.00052421+0.00048418i, +0.00000021+0.00136381i, -0.00060387-0.00097455i, -0.00001824+0.00070425i, +0.00021518+0.00102484i, +0.00037802-0.00076454i, +0.00109312+0.00018753i, -0.00122261-0.00032607i, -0.00058843+0.00003558i, +0.00018343-0.00052078i, +0.00018926-0.00068841i, -0.00020143+0.00042740i, -0.00062008+0.00076636i, +0.00006064-0.00016764i, -0.00069042+0.00052566i, -0.00008561-0.00071103i, -0.00009745-0.00018149i, +0.00018030+0.00041195i, +0.00044711-0.00059607i, +0.00037124+0.00067845i, +0.00097802-0.00055218i, -0.00001109-0.00125473i, +0.03170940-0.00000000i, -0.00036506+0.00119209i, +0.00012473-0.00053456i, +0.00058727+0.00072292i, -0.00015100-0.00020474i, +0.00022886+0.00062761i, +0.00060996-0.00108314i, +0.00022644+0.00046831i, +0.00156066-0.00094529i, -0.00006938-0.00021295i
