+0.01658450+0.00000000i, -0.00026887+0.00676857i, -0.01138572+0.00543995i, -0.00074396+0.00282681i, -0.00010983+0.00540378i, -0.00412614-0.00695263i, +0.00252990-0.00435881i, -0.00509801-0.00296405i, +0.00180748-0.00413453i, +0.00845576+0.00249602i, -0.00645275+0.00206270i, -0.00310760+0.00477789i, -0.00489278+0.00002115i, +0.00075292+0.00160898i, -0.00439887+0.01089866i, +0.00526858+0.00342316i, -0.00624752+0.00296865i, +0.00200932-0.00074630i, +0.00050044-0.00866343i, -0.00414263-0.00057480i, +0.00278931-0.00422582i, +0.00609506+0.00237536i, +0.00603006-0.00391683i, +0.00265947-0.00382707i, -0.00529142+0.00144681i, +0.00556267-0.00443308i, -0.00535953-0.00480755i, -0.00384188+0.00548970i, -0.00245073+0.00768034i, -0.00737176+0.00187414i, -0.00102115+0.01205337i, +0.00296746+0.00419691i
+0.00609506-0.00237536i, +0.01087052+0.00551743i, -0.01841999+0.01145001i, -0.00021055+0.01025706i, +0.00490795+0.01178859i, -0.01160079-0.01702934i, -0.00028559-0.01266737i, -0.01440166-0.00261713i, -0.00512496-0.00555807i, +0.01979399-0.00185572i, -0.00940818+0.00758094i, -0.00264012+0.01025391i, -0.00860985-0.00117760i, +0.00348739+0.00371839i, -0.00247744+0.01776764i, +0.01169448+0.00125813i, -0.01186959+0.00200118i, +0.00609589+0.00234947i, -0.00377403-0.02040501i, -0.01333464+0.00193728i, -0.00597436-0.00821309i, +0.02959595-0.00000000i, +0.01563222-0.01119718i, +0.00488072-0.01521416i, -0.01440447+0.00809685i, +0.01272187-0.01590314i, -0.01282090-0.00383838i, -0.00274282+0.01711998i, +0.00270039+0.00852149i, -0.01559378+0.01465358i, +0.00490709+0.02547596i, +0.01059789+0.00614104i
+0.00603006+0.00391683i, +0.00399896+0.00841914i, -0.03069000-0.00640104i, -0.00876255+0.00992997i, -0.00447846+0.01461927i, +0.00180563-0.01793082i, +0.00893701-0.01785683i, -0.01051876-0.01252046i, -0.00045795-0.00898055i, +0.01460802+0.01204881i, -0.01779297-0.00105012i, -0.00910061+0.00670060i, -0.00716101-0.00907123i, +0.00202087+0.00500102i, -0.01909511+0.01591029i, +0.00824767+0.01133802i, -0.01099365-0.01019095i, +0.00558375+0.00939664i, +0.00732184-0.02472159i, -0.01417152-0.00764229i, +0.00130276-0.00434902i, +0.01563222+0.01119718i, +0.04108948+0.00000000i, +0.01311254-0.01596988i, -0.02131052-0.00427476i, +0.01932843-0.00490044i, -0.00904773-0.01554408i, -0.01536670+0.00990320i, -0.00473412+0.00886888i, -0.01961946-0.00183906i, -0.02078504+0.03054280i, +0.00397547+0.01420656i
+0.00265947+0.00382707i, -0.00146496+0.00709735i, -0.01245444-0.01421509i, -0.01337355+0.00019309i, -0.00825995+0.00664491i, +0.00907112-0.01064246i, +0.01304887-0.00333753i, -0.00018366-0.01521083i, +0.00360050-0.00518419i, +0.00432844+0.01429820i, -0.00779889-0.00758695i, -0.01135097+0.00002449i, -0.00023901-0.00752806i, -0.00068963+0.00433317i, -0.01653426+0.00049470i, -0.00135817+0.01225113i, -0.00298456-0.00858806i, -0.00228427+0.00602121i, +0.01597738-0.00911900i, -0.00248678-0.01383655i, +0.00182393-0.00531686i, +0.00488072+0.01521416i, +0.01311254+0.01596988i, +0.02371627-0.00000000i, -0.00979418-0.01140314i, +0.01505692+0.00521345i, +0.00230678-0.01162365i, -0.01505767-0.00075401i, -0.00682737+0.00347766i, -0.01154491-0.00933829i, -0.02149509+0.00775297i, -0.00712978+0.01407474i
-0.00529142-0.00144681i, -0.00615001-0.00805104i, +0.02841165-0.00056904i, +0.00672608-0.01117133i, +0.00113069-0.02077222i, +0.00285160+0.01739471i, -0.00741414+0.01484582i, +0.01182161+0.01034026i, +0.00794352+0.01265852i, -0.02071045-0.00917326i, +0.01672351-0.00198219i, +0.00856735-0.00894905i, +0.00995315+0.01045397i, -0.00350894-0.00339877i, +0.01539153-0.01834892i, -0.01186316-0.00889280i, +0.01585968+0.00909417i, -0.00588539-0.00496808i, -0.00495457+0.02034280i, +0.01259998+0.00530236i, +0.00382835+0.00892704i, -0.01440447-0.00809685i, -0.02131052+0.00427476i, -0.00979418+0.01140314i, +0.03897884+0.00000000i, -0.02034000+0.01425667i, +0.01075572+0.01502051i, +0.01463863-0.01679881i, +0.00097047-0.01059466i, +0.02309700-0.00365501i, +0.01285814-0.03381825i, -0.00715064-0.01299587i
+0.00556267+0.00443308i, +0.00343223+0.01002628i, -0.02496179-0.01087981i, -0.01203959+0.00658258i, -0.00811432+0.01260619i, +0.00605488-0.02350145i, +0.01319512-0.00938800i, -0.00663333-0.01556998i, +0.00268497-0.00884031i, +0.01799483+0.02030079i, -0.01532601-0.00555071i, -0.01338849+0.00469163i, -0.00393002-0.01015408i, +0.00242995+0.00955074i, -0.02080476+0.00953005i, +0.00583501+0.01389027i, -0.00871954-0.01151993i, +0.00634333+0.01027156i, +0.01357470-0.01612203i, -0.00889301-0.01021056i, +0.00300636-0.00724814i, +0.01272187+0.01590314i, +0.01932843+0.00490044i, +0.01505692-0.00521345i, -0.02034000-0.01425667i, +0.04170170-0.00000000i, -0.00737312-0.01489782i, -0.02164367+0.01075561i, -0.00945725+0.00651398i, -0.02119518-0.00578906i, -0.02519085+0.02542241i, +0.00134774+0.01659163i
-0.00535953+0.00480755i, -0.00847202-0.00012032i, +0.01690582-0.02110550i, -0.00395050-0.01179297i, -0.00799908-0.00904925i, +0.01247353+0.00913002i, +0.00523799+0.01847796i, +0.01394040-0.00162478i, +0.00766070+0.00455811i, -0.01656526+0.00758497i, +0.01343016-0.00857554i, -0.00017824-0.01282001i, +0.00888544-0.00248427i, -0.00419172-0.00106754i, -0.00536201-0.02499318i, -0.01281152+0.00182701i, +0.01050346-0.00504090i, -0.00701566+0.00116630i, +0.01317514+0.01784200i, +0.01051346-0.00570971i, +0.00406709+0.00628342i, -0.01282090+0.00383838i, -0.00904773+0.01554408i, +0.00230678+0.01162365i, +0.01075572-0.01502051i, -0.00737312+0.01489782i, +0.03963698-0.00000000i, +0.00036784-0.02390315i, -0.00680286-0.00632549i, +0.00751004-0.01969878i, -0.01306495-0.03039409i, -0.01602643-0.00514204i
-0.00384188-0.00548970i, +0.00263798-0.01062804i, +0.01952331+0.01870801i, +0.01467773-0.00437461i, +0.01151218-0.00928012i, -0.01231805+0.01368556i, -0.01571137+0.00382862i, +0.00043804+0.01909083i, -0.00486205+0.00802953i, -0.00581646-0.02190283i, +0.01136322+0.01225719i, +0.01602313+0.00137055i, +0.00032552+0.01053686i, +0.00148194-0.00475791i, +0.02308490-0.00142805i, -0.00207361-0.01822732i, +0.00470252+0.01273793i, -0.00048795-0.00665270i, -0.01779904+0.00968357i, +0.00675813+0.01510729i, -0.00557807+0.00566253i, -0.00274282-0.01711998i, -0.01536670-0.00990320i, -0.01505767+0.00075401i, +0.01463863+0.01679881i, -0.02164367-0.01075561i, +0.00036784+0.02390315i, +0.03501066-0.00000000i, +0.00848931-0.00426740i, +0.01932833+0.01399358i, +0.03222882-0.01205071i, +0.00422690-0.01791825i
-0.00245073-0.00768034i, +0.00401340-0.00388173i, +0.00529691+0.01272266i, +0.00600148+0.00198702i, +0.00452981+0.00064115i, -0.00775935+0.00296209i, -0.00841951-0.00292213i, -0.00361041+0.00651105i, -0.00739237-0.00121411i, +0.00210952-0.01060903i, +0.00269673+0.00651959i, +0.00515628+0.00289170i, +0.00227865+0.00632299i, -0.00046780-0.00235509i, +0.01194919+0.00453146i, +0.00267854-0.00648223i, +0.00079965+0.00513557i, +0.00201523-0.00198340i, -0.01217035+0.00126384i, -0.00144462+0.00683745i, -0.00686090-0.00288200i, +0.00270039-0.00852149i, -0.00473412-0.00886888i, -0.00682737-0.00347766i, +0.00097047+0.01059466i, -0.00945725-0.00651398i, -0.00680286+0.00632549i, +0.00848931+0.00426740i, +0.02231944+0.00000000i, +0.00156184+0.01403596i, +0.01627682-0.00154096i, +0.00419853-0.00323756i
-0.00737176-0.00187414i, -0.00640223-0.01349474i, +0.02690265+0.00418584i, +0.00893406-0.00993250i, +0.00423479-0.01461174i, -0.00371471+0.02031849i, -0.01109977+0.01244548i, +0.01055998+0.01352271i, +0.00031913+0.01014573i, -0.02076538-0.01625196i, +0.01532317+0.00216427i, +0.01134285-0.00716810i, +0.00773810+0.00796251i, +0.00229721-0.00305788i, +0.01974470-0.01447131i, -0.01030355-0.01190658i, +0.01161246+0.00717825i, -0.00268920-0.00632345i, -0.00780288+0.01770259i, +0.01197092+0.00660786i, -0.00219710+0.00834671i, -0.01559378-0.01465358i, -0.01961946+0.00183906i, -0.01154491+0.00933829i, +0.02309700+0.00365501i, -0.02119518+0.00578906i, +0.00751004+0.01969878i, +0.01932833-0.01399358i, +0.00156184-0.01403596i, +0.04143065-0.00000000i, +0.02098218-0.02825708i, -0.00152830-0.01767802i
-0.00102115-0.01205337i, +0.00844833-0.01280647i, +0.01899052+0.04500257i, +0.02037833+0.00318410i, +0.02311277-0.00785622i, -0.02494444+0.01306025i, -0.02838680-0.00301464i, -0.00892119+0.02309707i, -0.01153144+0.00854786i, +0.00237022-0.03258046i, +0.01378809+0.02514416i, +0.01790969+0.00690885i, -0.00565822+0.01834247i, +0.00521316-0.00674968i, +0.04220521+0.01456933i, +0.00795354-0.02348934i, -0.00051701+0.02309076i, +0.00354570-0.01007398i, -0.03531517+0.00242280i, -0.00128780+0.02009805i, -0.01086643+0.00419229i, +0.00490709-0.02547596i, -0.02078504-0.03054280i, -0.02149509-0.00775297i, +0.01285814+0.03381825i, -0.02519085-0.02542241i, -0.01306495+0.03039409i, +0.03222882+0.01205071i, +0.01627682+0.00154096i, +0.02098218+0.02825708i, +0.07532161-0.00000000i, +0.01731274-0.02501245i
+0.00296746-0.00419691i, +0.00677259-0.00057883i, -0.00913595+0.01753129i, +0.00713302+0.01412970i, +0.00883896+0.00556935i, -0.01332352-0.00422523i, -0.00687389-0.01064972i, -0.01387922+0.00468020i, -0.00650559-0.00152949i, +0.01197904-0.00993393i, -0.00516392+0.01051164i, +0.00550933+0.01178690i, -0.00680220+0.00289435i, +0.00398785-0.00066295i, +0.00715924+0.01780094i, +0.01606210-0.00134284i, -0.00758555+0.00624028i, +0.00482276-0.00356691i, -0.00994268-0.01022871i, -0.01104671+0.00554519i, -0.00506532-0.00293804i, +0.01059789-0.00614104i, +0.00397547-0.01420656i, -0.00712978-0.01407474i, -0.00715064+0.01299587i, +0.00134774-0.01659163i, -0.01602643+0.00514204i, +0.00422690+0.01791825i, +0.00419853+0.00323756i, -0.00152830+0.01767802i, +0.01731274+0.02501245i, +0.02944090-0.00000000i
