+0.01658450+0.00000000i, -0.00026887+0.00676857i, -0.01138572+0.00543995i, -0.00074396+0.00282681i, -0.00010983+0.00540378i, -0.00412614-0.00695263i, +0.00252990-0.00435881i, -0.00509801-0.00296405i, +0.00180748-0.00413453i, +0.00845576+0.00249602i, -0.00645275+0.00206270i, -0.00310760+0.00477789i, -0.00489278+0.00002115i, +0.00075292+0.00160898i, -0.00439887+0.01089866i, +0.00526858+0.00342316i, -0.00624752+0.00296865i, +0.00200932-0.00074630i, +0.00050044-0.00866343i, -0.00414263-0.00057480i, +0.00278931-0.00422582i, +0.00609506+0.00237536i, +0.00603006-0.00391683i, +0.00265947-0.00382707i, -0.00529142+0.00144681i, +0.00556267-0.00443308i, -0.00535953-0.00480755i, -0.00384188+0.00548970i, -0.00245073+0.00768034i, -0.00737176+0.00187414i, -0.00102115+0.01205337i, +0.00296746+0.00419691i
-0.00310760-0.00477789i, +0.00196440-0.00660809i, +0.01318841+0.01313963i, +0.01182829-0.00066082i, +0.00826002-0.00623603i, -0.00795797+0.01127120i, -0.00979615+0.00227789i, +0.00053445+0.01231477i, -0.00144684+0.00652469i, -0.00739031-0.01643239i, +0.00918686+0.01364113i, +0.02018683+0.00000000i, +0.00079670+0.00679239i, +0.00310648-0.00338233i, +0.01923920-0.00237441i, +0.00109195-0.01373210i, +0.00282963+0.00741727i, -0.00046028-0.00469970i, -0.01105912+0.00593789i, +0.00269825+0.00903917i, -0.00324083+0.00330665i, -0.00264012-0.01025391i, -0.00910061-0.00670060i, -0.01135097-0.00002449i, +0.00856735+0.00894905i, -0.01338849-0.00469163i, -0.00017824+0.01282001i, +0.01602313-0.00137055i, +0.00515628-0.00289170i, +0.01134285+0.00716810i, +0.01790969-0.00690885i, +0.00550933-0.01178690i
-0.00489278-0.00002115i, -0.00571403-0.00237910i, +0.01429101-0.01116145i, -0.00081197-0.00766646i, -0.00901378-0.00837869i, +0.00840801+0.00731443i, +0.00140540+0.00972107i, +0.00957119+0.00077691i, +0.00470466+0.00295343i, -0.01310649+0.00271190i, +0.00581021-0.00841423i, +0.00079670-0.00679239i, +0.01771071+0.00000000i, -0.00506686+0.00254572i, +0.00126876-0.01522787i, -0.00870863+0.00143645i, +0.00946500-0.00275588i, -0.00364599+0.00024400i, +0.00391080+0.01046059i, +0.00665865-0.00195980i, +0.00183250+0.00088988i, -0.00860985+0.00117760i, -0.00716101+0.00907123i, -0.00023901+0.00752806i, +0.00995315-0.01045397i, -0.00393002+0.01015408i, +0.00888544+0.00248427i, +0.00032552-0.01053686i, +0.00227865-0.00632299i, +0.00773810-0.00796251i, -0.00565822-0.01834247i, -0.00680220-0.00289435i
+0.00075292-0.00160898i, +0.00182533-0.00162785i, -0.00427228+0.00630547i, -0.00005780+0.00400123i, +0.00394123+0.00324878i, -0.00832406-0.00360191i, -0.00141485-0.00493943i, -0.00427690+0.00054217i, +0.00045336-0.00094321i, +0.00459506-0.00418281i, -0.00202281+0.00787728i, +0.00310648+0.00338233i, -0.00506686-0.00254572i, +0.01658343-0.00000000i, +0.00637525+0.00420562i, +0.00555010-0.00454888i, -0.00285741+0.00138698i, +0.00496396-0.00107078i, -0.00394539-0.00393228i, -0.00285047+0.00120313i, -0.00187248-0.00044206i, +0.00348739-0.00371839i, +0.00202087-0.00500102i, -0.00068963-0.00433317i, -0.00350894+0.00339877i, +0.00242995-0.00955074i, -0.00419172+0.00106754i, +0.00148194+0.00475791i, -0.00046780+0.00235509i, +0.00229721+0.00305788i, +0.00521316+0.00674968i, +0.00398785+0.00066295i
-0.00439887-0.01089866i, +0.00380466-0.01079305i, +0.02612278+0.02901850i, +0.01598889-0.00296018i, +0.01601970-0.01039758i, -0.01622921+0.01675535i, -0.02320696+0.00287935i, -0.00111999+0.02017504i, -0.00638981+0.01155690i, -0.00831783-0.02833828i, +0.01415576+0.02016418i, +0.01923920+0.00237441i, +0.00126876+0.01522787i, +0.00637525-0.00420562i, +0.05001771+0.00000000i, +0.00325743-0.02492586i, +0.00475032+0.01464473i, +0.00092272-0.00764155i, -0.02438031+0.01032884i, +0.00354084+0.01419715i, -0.00677320+0.00466979i, -0.00247744-0.01776764i, -0.01909511-0.01591029i, -0.01653426-0.00049470i, +0.01539153+0.01834892i, -0.02080476-0.00953005i, -0.00536201+0.02499318i, +0.02308490+0.00142805i, +0.01194919-0.00453146i, +0.01974470+0.01447131i, +0.04220521-0.01456933i, +0.00715924-0.01780094i
+0.00526858-0.00342316i, +0.00739327+0.00391814i, -0.01580845+0.01450585i, +0.00453415+0.01295038i, +0.00694265+0.01025525i, -0.01082105-0.00979564i, -0.00180696-0.01253174i, -0.01557439-0.00114789i, -0.00606617-0.00318206i, +0.01766030-0.00485469i, -0.01188106+0.01024336i, +0.00109195+0.01373210i, -0.00870863-0.00143645i, +0.00555010+0.00454888i, +0.00325743+0.02492586i, +0.02515470-0.00000000i, -0.00888054+0.00277757i, +0.00438185+0.00001264i, -0.00613931-0.01280402i, -0.01215673+0.00338209i, -0.00380902-0.00385392i, +0.01169448-0.00125813i, +0.00824767-0.01133802i, -0.00135817-0.01225113i, -0.01186316+0.00889280i, +0.00583501-0.01389027i, -0.01281152-0.00182701i, -0.00207361+0.01822732i, +0.00267854+0.00648223i, -0.01030355+0.01190658i, +0.00795354+0.02348934i, +0.01606210+0.00134284i
-0.00624752-0.00296865i, -0.00467120-0.00390145i, +0.01783958-0.00821684i, +0.00108123-0.00823603i, -0.00584275-0.01208866i, +0.00658206+0.00967610i, -0.00062236+0.00998925i, +0.00973379+0.00300130i, +0.00497216+0.00313109i, -0.01323970-0.00046410i, +0.00913263-0.00568912i, +0.00282963-0.00741727i, +0.00946500+0.00275588i, -0.00285741-0.00138698i, +0.00475032-0.01464473i, -0.00888054-0.00277757i, +0.02173396-0.00000000i, -0.00681633+0.00308655i, +0.00092270+0.01493053i, +0.00899262-0.00170290i, +0.00270676+0.00452795i, -0.01186959-0.00200118i, -0.01099365+0.01019095i, -0.00298456+0.00858806i, +0.01585968-0.00909417i, -0.00871954+0.01151993i, +0.01050346+0.00504090i, +0.00470252-0.01273793i, +0.00079965-0.00513557i, +0.01161246-0.00717825i, -0.00051701-0.02309076i, -0.00758555-0.00624028i
+0.00200932+0.00074630i, +0.00110596-0.00328466i, -0.00643286+0.00689820i, +0.00104404+0.00481419i, +0.00195026+0.00400589i, -0.00801146-0.00796542i, -0.00268587-0.00556256i, -0.00619614-0.00007490i, -0.00295615-0.00171268i, +0.00828083-0.00346848i, -0.00345818+0.00441991i, -0.00046028+0.00469970i, -0.00364599-0.00024400i, +0.00496396+0.00107078i, +0.00092272+0.00764155i, +0.00438185-0.00001264i, -0.00681633-0.00308655i, +0.01903335-0.00000000i, -0.00696732-0.00416707i, -0.00693150+0.00519447i, +0.00086472-0.00106793i, +0.00609589-0.00234947i, +0.00558375-0.00939664i, -0.00228427-0.00602121i, -0.00588539+0.00496808i, +0.00634333-0.01027156i, -0.00701566-0.00116630i, -0.00048795+0.00665270i, +0.00201523+0.00198340i, -0.00268920+0.00632345i, +0.00354570+0.01007398i, +0.00482276+0.00356691i
+0.00050044+0.00866343i, -0.00630590+0.00857757i, -0.01021874-0.03231307i, -0.01382726-0.00437251i, -0.01458953+0.00252389i, +0.01652297-0.00609939i, +0.01884681+0.00695982i, +0.00762380-0.01409731i, +0.00834022-0.00351943i, -0.00399920+0.01921691i, -0.00522711-0.01595604i, -0.01105912-0.00593789i, +0.00391080-0.01046059i, -0.00394539+0.00393228i, -0.02438031-0.01032884i, -0.00613931+0.01280402i, +0.00092270-0.01493053i, -0.00696732+0.00416707i, +0.04111200+0.00000000i, +0.00469608-0.01948101i, +0.00780525-0.00430367i, -0.00377403+0.02040501i, +0.00732184+0.02472159i, +0.01597738+0.00911900i, -0.00495457-0.02034280i, +0.01357470+0.01612203i, +0.01317514-0.01784200i, -0.01779904-0.00968357i, -0.01217035-0.00126384i, -0.00780288-0.01770259i, -0.03531517-0.00242280i, -0.00994268+0.01022871i
-0.00414263+0.00057480i, -0.00535079-0.00404373i, +0.01706827-0.00837780i, -0.00123926-0.01369966i, -0.00267586-0.00882727i, +0.00567528+0.01108534i, -0.00094407+0.01066921i, +0.01230939+0.00533382i, +0.00344778+0.00481609i, -0.01351027-0.00087178i, +0.00855564-0.00532303i, +0.00269825-0.00903917i, +0.00665865+0.00195980i, -0.00285047-0.00120313i, +0.00354084-0.01419715i, -0.01215673-0.00338209i, +0.00899262+0.00170290i, -0.00693150-0.00519447i, +0.00469608+0.01948101i, +0.02198085+0.00000000i, +0.00269763+0.00342778i, -0.01333464-0.00193728i, -0.01417152+0.00764229i, -0.00248678+0.01383655i, +0.01259998-0.00530236i, -0.00889301+0.01021056i, +0.01051346+0.00570971i, +0.00675813-0.01510729i, -0.00144462-0.00683745i, +0.01197092-0.00660786i, -0.00128780-0.02009805i, -0.01104671-0.00554519i
+0.00278931+0.00422582i, -0.00382248+0.00218198i, -0.00054494-0.00934455i, -0.00356249-0.00276999i, -0.00782983-0.00626436i, +0.00680940-0.00091361i, +0.00525093+0.00318982i, +0.00422800-0.00400615i, +0.00711709-0.00086863i, -0.00347715+0.00673021i, +0.00015632-0.00573731i, -0.00324083-0.00330665i, +0.00183250-0.00088988i, -0.00187248+0.00044206i, -0.00677320-0.00466979i, -0.00380902+0.00385392i, +0.00270676-0.00452795i, +0.00086472+0.00106793i, +0.00780525+0.00430367i, +0.00269763-0.00342778i, +0.01656607+0.00000000i, -0.00597436+0.00821309i, +0.00130276+0.00434902i, +0.00182393+0.00531686i, +0.00382835-0.00892704i, +0.00300636+0.00724814i, +0.00406709-0.00628342i, -0.00557807-0.00566253i, -0.00686090+0.00288200i, -0.00219710-0.00834671i, -0.01086643-0.00419229i, -0.00506532+0.00293804i
