+0.02701565+0.00000000i, +0.00014063+0.00402124i, +0.00233533+0.00146803i, +0.00292072-0.00104401i, -0.00018467+0.00138605i, -0.00032482+0.00040216i, +0.00104736-0.00170203i, +0.00099625-0.00042667i, +0.00376132-0.00162399i, +0.00015179+0.00146831i, +0.00100745+0.00117327i, +0.00027353+0.00111429i, -0.00011521+0.00087904i, -0.00018001+0.00170001i, +0.00246200+0.00200361i, +0.00088426+0.00134761i, +0.00062605+0.00260407i, +0.00019473-0.00024281i, -0.00162767+0.00002652i, +0.00234074+0.00191044i, -0.00045200-0.00374692i, -0.00084286+0.00037023i, +0.00017728-0.00015740i, +0.00014098+0.00251928i, +0.00044831-0.00124213i, +0.00137512+0.00209995i, +0.00061602+0.00043959i, +0.00131106-0.00151042i, +0.00202377-0.00057991i, +0.00098640-0.00002145i, -0.00205020+0.00283122i, +0.00204636-0.00182023i
-0.00084286-0.00037023i, -0.00209482-0.00128602i, -0.00075225-0.00031612i, -0.00059775-0.00033615i, -0.00068145+0.00024478i, -0.00178998-0.00214858i, +0.00014694+0.00088303i, +0.00079378+0.00036663i, -0.00161899+0.00057988i, -0.00000937+0.00000059i, +0.00002762-0.00012342i, -0.00061815-0.00000058i, -0.00011398-0.00086230i, -0.00060549-0.00182752i, -0.00099197-0.00057242i, +0.00035721-0.00130865i, -0.00134042-0.00057653i, -0.00174499-0.00122476i, +0.00080856+0.00034111i, -0.00153278-0.00162592i, +0.00118737+0.00178964i, +0.02620830+0.00000000i, -0.00105219-0.00163325i, +0.00131016-0.00294373i, +0.00099553+0.00030270i, +0.00001913-0.00145807i, -0.00055910-0.00082464i, +0.00015368+0.00173238i, -0.00049573+0.00039743i, -0.00197956+0.00017440i, +0.00189090-0.00165555i, -0.00105847+0.00113292i
+0.00017728+0.00015740i, +0.00348359-0.00114323i, +0.00033809-0.00116318i, -0.00083053-0.00064238i, +0.00117801+0.00054838i, +0.00076127+0.00119758i, -0.00421209-0.00290874i, +0.00068391-0.00176466i, -0.00051088-0.00207930i, +0.00262878-0.00006379i, +0.00091622-0.00235231i, -0.00017650-0.00001147i, -0.00000265+0.00050895i, +0.00144186+0.00228252i, +0.00005797-0.00336286i, +0.00084448+0.00038546i, +0.00205096-0.00123461i, +0.00103552-0.00017240i, +0.00108160+0.00145267i, +0.00389566-0.00219436i, -0.00533205+0.00021907i, -0.00105219+0.00163325i, +0.02684044-0.00000000i, +0.00230224+0.00122311i, -0.00313914+0.00202351i, +0.00284133-0.00107821i, -0.00099020-0.00197713i, -0.00137335-0.00068433i, -0.00111386-0.00283894i, +0.00069349-0.00084707i, +0.00081096+0.00452170i, -0.00205229-0.00125783i
+0.00014098-0.00251928i, +0.00801461-0.00356238i, +0.00191552-0.00371281i, -0.00189849-0.00337344i, +0.00258479-0.00026848i, +0.00018545+0.00165611i, -0.00563794-0.00136754i, +0.00072506-0.00530085i, -0.00153066-0.00620811i, +0.00630970+0.00017670i, +0.00106627-0.00272938i, +0.00140127-0.00081077i, +0.00150736+0.00197061i, +0.00282580+0.00472914i, +0.00343388-0.00467595i, +0.00153545-0.00156754i, +0.00172105-0.00335413i, +0.00087028-0.00146858i, +0.00191102+0.00441047i, +0.00658346-0.00654754i, -0.00717031+0.00107453i, +0.00131016+0.00294373i, +0.00230224-0.00122311i, +0.03324613+0.00000000i, -0.00482851+0.00408482i, +0.00494865-0.00373731i, +0.00117870-0.00456040i, -0.00459448-0.00122359i, -0.00329791-0.00219136i, +0.00095690-0.00281902i, +0.00566946+0.00709815i, -0.00593584-0.00378558i
+0.00044831+0.00124213i, -0.00899588-0.00314493i, -0.00491390+0.00125309i, -0.00049898+0.00350364i, -0.00178333-0.00086849i, +0.00188836-0.00200526i, +0.00384103+0.00609373i, -0.00259220+0.00253571i, -0.00324615+0.00573451i, -0.00452772-0.00345995i, -0.00342608+0.00124965i, +0.00031195-0.00152985i, +0.00026124-0.00279584i, -0.00022176-0.00454718i, -0.00543926+0.00151165i, -0.00217917-0.00212459i, -0.00478725+0.00182961i, -0.00136750+0.00124833i, +0.00043428-0.00359579i, -0.00821936+0.00050376i, +0.00574374+0.00531501i, +0.00099553-0.00030270i, -0.00313914-0.00202351i, -0.00482851-0.00408482i, +0.03364607-0.00000000i, -0.00672543-0.00055428i, -0.00138900+0.00264100i, +0.00172029+0.00339946i, -0.00139027+0.00462021i, -0.00186260+0.00023367i, +0.00178926-0.00768805i, +0.00016467+0.00765198i
+0.00137512-0.00209995i, +0.01111675+0.00051580i, +0.00347491-0.00171605i, -0.00068457-0.00329986i, +0.00289996+0.00065934i, -0.00121415+0.00206425i, -0.00310948-0.00393263i, +0.00274731-0.00183722i, +0.00097198-0.00606523i, +0.00668811+0.00266979i, +0.00238434-0.00175451i, +0.00072380-0.00021442i, +0.00082753+0.00271319i, +0.00306832+0.00417253i, +0.00370567-0.00208099i, +0.00196176+0.00177471i, +0.00306931-0.00122154i, +0.00023847-0.00141323i, -0.00031892+0.00434542i, +0.00865289-0.00274736i, -0.00684573-0.00199789i, +0.00001913+0.00145807i, +0.00284133+0.00107821i, +0.00494865+0.00373731i, -0.00672543+0.00055428i, +0.03366669+0.00000000i, +0.00244855-0.00260000i, -0.00230154-0.00331120i, +0.00005400-0.00399702i, +0.00124726-0.00113808i, +0.00112991+0.00820353i, -0.00317792-0.00576254i
+0.00061602-0.00043959i, +0.00333989+0.00426428i, +0.00493592+0.00080490i, +0.00115152-0.00154706i, -0.00002746+0.00189361i, -0.00086678+0.00011639i, +0.00228922-0.00374141i, +0.00285563+0.00004676i, +0.00360142-0.00111839i, +0.00056694+0.00255520i, +0.00432384+0.00129910i, +0.00047311+0.00118063i, -0.00068938+0.00163324i, -0.00164020+0.00199224i, +0.00284997+0.00249295i, +0.00079875+0.00149244i, +0.00160427+0.00081735i, +0.00038756+0.00044490i, -0.00215147+0.00263609i, +0.00563172+0.00247724i, -0.00216573-0.00342537i, -0.00055910+0.00082464i, -0.00099020+0.00197713i, +0.00117870+0.00456040i, -0.00138900-0.00264100i, +0.00244855+0.00260000i, +0.02882216-0.00000000i, +0.00027832-0.00192858i, +0.00121416-0.00133072i, +0.00130786+0.00085871i, -0.00263386+0.00444871i, +0.00272254-0.00353727i
+0.00131106+0.00151042i, -0.00249722+0.00487647i, +0.00030047+0.00241267i, +0.00466047-0.00003167i, -0.00113036+0.00115024i, -0.00169035+0.00013326i, +0.00312771-0.00159170i, +0.00030137+0.00094414i, +0.00362331+0.00203555i, -0.00165708+0.00254726i, +0.00058429+0.00227971i, -0.00028463+0.00180120i, -0.00171948-0.00015046i, -0.00259967+0.00013617i, -0.00008993+0.00382037i, -0.00080911+0.00174020i, +0.00077923+0.00243313i, +0.00082132+0.00007423i, -0.00230877-0.00206288i, +0.00047473+0.00522731i, +0.00290763-0.00186053i, +0.00015368-0.00173238i, -0.00137335+0.00068433i, -0.00459448+0.00122359i, +0.00172029-0.00339946i, -0.00230154+0.00331120i, +0.00027832+0.00192858i, +0.02997386+0.00000000i, +0.00237201+0.00119258i, +0.00025458+0.00027149i, -0.00435351-0.00327986i, +0.00493689+0.00016489i
+0.00202377+0.00057991i, -0.00092216+0.00528896i, +0.00152683+0.00103840i, +0.00157959-0.00030210i, -0.00270724+0.00117423i, -0.00058796-0.00048085i, +0.00538764-0.00243655i, +0.00158837+0.00182857i, +0.00349066+0.00212502i, -0.00232843+0.00203745i, +0.00154929+0.00252993i, +0.00052867+0.00056606i, -0.00253142+0.00210449i, -0.00275537+0.00031148i, +0.00161027+0.00155863i, -0.00102280+0.00194430i, +0.00097099+0.00124054i, +0.00103090-0.00025407i, -0.00200360-0.00098508i, +0.00080976+0.00495413i, +0.00077033-0.00401322i, -0.00049573-0.00039743i, -0.00111386+0.00283894i, -0.00329791+0.00219136i, -0.00139027-0.00462021i, +0.00005400+0.00399702i, +0.00121416+0.00133072i, +0.00237201-0.00119258i, +0.03338897-0.00000000i, +0.00007032+0.00026588i, -0.00666443-0.00058588i, +0.00409685-0.00180163i
+0.00098640+0.00002145i, +0.00354138+0.00226249i, +0.00179782+0.00008046i, -0.00038405-0.00091964i, +0.00090062+0.00093563i, -0.00103525+0.00068729i, -0.00029796-0.00199848i, -0.00018617-0.00048815i, +0.00113957-0.00125934i, +0.00172425+0.00200646i, +0.00103507-0.00018543i, +0.00012537+0.00101895i, +0.00034963+0.00010043i, -0.00102256+0.00232496i, +0.00186451-0.00033420i, +0.00124527-0.00003571i, +0.00121775+0.00055217i, +0.00026885-0.00087861i, -0.00081697+0.00082605i, +0.00126193+0.00015270i, -0.00235659-0.00192574i, -0.00197956-0.00017440i, +0.00069349+0.00084707i, +0.00095690+0.00281902i, -0.00186260-0.00023367i, +0.00124726+0.00113808i, +0.00130786-0.00085871i, +0.00025458-0.00027149i, +0.00007032-0.00026588i, +0.02798676+0.00000000i, -0.00035232+0.00166976i, +0.00151374-0.00217345i
-0.00205020-0.00283122i, +0.00162204-0.01076572i, -0.00252849-0.00523520i, -0.00346599+0.00061955i, +0.00330349-0.00237046i, +0.00211147+0.00062723i, -0.00477679+0.00529115i, -0.00472933-0.00422023i, -0.00863395-0.00384837i, +0.00346123-0.00621261i, -0.00234581-0.00455356i, +0.00008795-0.00117032i, +0.00420393-0.00027074i, +0.00652617-0.00129052i, -0.00267276-0.00682179i, +0.00296910-0.00412050i, -0.00296954-0.00561580i, -0.00261361-0.00174687i, +0.00594135+0.00303005i, -0.00131025-0.01112972i, -0.00583664+0.00825975i, +0.00189090+0.00165555i, +0.00081096-0.00452170i, +0.00566946-0.00709815i, +0.00178926+0.00768805i, +0.00112991-0.00820353i, -0.00263386-0.00444871i, -0.00435351+0.00327986i, -0.00666443+0.00058588i, -0.00035232-0.00166976i, +0.03811002-0.00000000i, -0.01039547+0.00309589i
+0.00204636+0.00182023i, -0.00238190+0.01052867i, +0.00171717+0.00508178i, +0.00370288+0.00017685i, -0.00228557+0.00105681i, -0.00193788-0.00197605i, +0.00581253-0.00311966i, +0.00217510+0.00311345i, +0.00570004+0.00476809i, -0.00444166+0.00438999i, +0.00086461+0.00402797i, -0.00024562+0.00109466i, -0.00340810-0.00052929i, -0.00524064+0.00018644i, +0.00064779+0.00672149i, -0.00364027+0.00403747i, +0.00007035+0.00387720i, +0.00079400+0.00181412i, -0.00417134-0.00323904i, -0.00039674+0.01244759i, +0.00721877-0.00559006i, -0.00105847-0.00113292i, -0.00205229+0.00125783i, -0.00593584+0.00378558i, +0.00016467-0.00765198i, -0.00317792+0.00576254i, +0.00272254+0.00353727i, +0.00493689-0.00016489i, +0.00409685+0.00180163i, +0.00151374+0.00217345i, -0.01039547-0.00309589i, +0.03780766+0.00000000i
