+0.02701565+0.00000000i, +0.00014063+0.00402124i, +0.00233533+0.00146803i, +0.00292072-0.00104401i, -0.00018467+0.00138605i, -0.00032482+0.00040216i, +0.00104736-0.00170203i, +0.00099625-0.00042667i, +0.00376132-0.00162399i, +0.00015179+0.00146831i, +0.00100745+0.00117327i, +0.00027353+0.00111429i, -0.00011521+0.00087904i, -0.00018001+0.00170001i, +0.00246200+0.00200361i, +0.00088426+0.00134761i, +0.00062605+0.00260407i, +0.00019473-0.00024281i, -0.00162767+0.00002652i, +0.00234074+0.00191044i, -0.00045200-0.00374692i, -0.00084286+0.00037023i, +0.00017728-0.00015740i, +0.00014098+0.00251928i, +0.00044831-0.00124213i, +0.00137512+0.00209995i, +0.00061602+0.00043959i, +0.00131106-0.00151042i, +0.00202377-0.00057991i, +0.00098640-0.00002145i, -0.00205020+0.00283122i, +0.00204636-0.00182023i
+0.00027353-0.00111429i, +0.00218516-0.00002523i, +0.00102833+0.00018682i, +0.00138612-0.00080889i, +0.00097726-0.00014443i, +0.00158111+0.00032766i, -0.00117497-0.00065516i, +0.00137457-0.00062773i, +0.00122365-0.00194116i, +0.00059074+0.00113321i, +0.00124236-0.00006594i, +0.02558771-0.00000000i, +0.00043918+0.00076716i, -0.00040116+0.00082737i, +0.00033241-0.00209014i, +0.00063186-0.00018126i, -0.00029219+0.00015661i, +0.00133556-0.00105178i, -0.00052683+0.00042820i, +0.00045853-0.00129330i, -0.00135518-0.00113969i, -0.00061815+0.00000058i, -0.00017650+0.00001147i, +0.00140127+0.00081077i, +0.00031195+0.00152985i, +0.00072380+0.00021442i, +0.00047311-0.00118063i, -0.00028463-0.00180120i, +0.00052867-0.00056606i, +0.00012537-0.00101895i, +0.00008795+0.00117032i, -0.00024562-0.00109466i
-0.00011521-0.00087904i, +0.00220030-0.00415598i, -0.00013115-0.00193846i, -0.00095592-0.00016804i, +0.00153299-0.00271960i, -0.00023068+0.00080006i, -0.00172978-0.00002901i, -0.00117266-0.00119610i, -0.00297561-0.00198964i, +0.00115772-0.00210046i, -0.00069813-0.00040965i, +0.00043918-0.00076716i, +0.02751783-0.00000000i, +0.00308951+0.00024812i, -0.00167124-0.00248874i, +0.00147243-0.00168958i, -0.00194063-0.00153143i, -0.00102615-0.00072121i, +0.00113949+0.00132742i, -0.00110060-0.00367426i, -0.00293879+0.00374047i, -0.00011398+0.00086230i, -0.00000265-0.00050895i, +0.00150736-0.00197061i, +0.00026124+0.00279584i, +0.00082753-0.00271319i, -0.00068938-0.00163324i, -0.00171948+0.00015046i, -0.00253142-0.00210449i, +0.00034963-0.00010043i, +0.00420393+0.00027074i, -0.00340810+0.00052929i
-0.00018001-0.00170001i, +0.00401979-0.00736705i, -0.00035460-0.00231636i, -0.00249598-0.00195390i, +0.00149394-0.00095993i, +0.00154856+0.00117482i, -0.00296757+0.00193133i, -0.00341948-0.00311174i, -0.00491809-0.00271327i, +0.00227218-0.00340698i, -0.00069469-0.00265285i, -0.00040116-0.00082737i, +0.00308951-0.00024812i, +0.03051235+0.00000000i, -0.00183064-0.00348127i, +0.00284184-0.00187941i, -0.00024466-0.00323728i, -0.00169061-0.00052483i, +0.00291385+0.00131345i, +0.00117986-0.00645606i, -0.00409162+0.00477754i, -0.00060549+0.00182752i, +0.00144186-0.00228252i, +0.00282580-0.00472914i, -0.00022176+0.00454718i, +0.00306832-0.00417253i, -0.00164020-0.00199224i, -0.00259967-0.00013617i, -0.00275537-0.00031148i, -0.00102256-0.00232496i, +0.00652617+0.00129052i, -0.00524064-0.00018644i
+0.00246200-0.00200361i, +0.00639408+0.00324409i, +0.00329774-0.00055555i, +0.00047471-0.00242001i, +0.00173042+0.00068783i, -0.00093044+0.00101380i, -0.00126606-0.00591076i, +0.00223957-0.00119303i, +0.00388184-0.00397620i, +0.00318068+0.00211230i, +0.00203350-0.00052674i, +0.00033241+0.00209014i, -0.00167124+0.00248874i, -0.00183064+0.00348127i, +0.03099511-0.00000000i, +0.00094412+0.00242194i, +0.00372874-0.00181726i, +0.00135600-0.00004793i, -0.00163342+0.00286238i, +0.00767037-0.00050437i, -0.00461179-0.00509141i, -0.00099197+0.00057242i, +0.00005797+0.00336286i, +0.00343388+0.00467595i, -0.00543926-0.00151165i, +0.00370567+0.00208099i, +0.00284997-0.00249295i, -0.00008993-0.00382037i, +0.00161027-0.00155863i, +0.00186451+0.00033420i, -0.00267276+0.00682179i, +0.00064779-0.00672149i
+0.00088426-0.00134761i, +0.00363476-0.00197662i, +0.00165835-0.00185536i, -0.00095848-0.00204846i, +0.00041678+0.00077859i, -0.00050478+0.00097304i, -0.00221464-0.00075805i, +0.00185341-0.00394679i, -0.00060168-0.00420106i, +0.00195984+0.00099320i, +0.00175313-0.00048330i, +0.00063186+0.00018126i, +0.00147243+0.00168958i, +0.00284184+0.00187941i, +0.00094412-0.00242194i, +0.02752309+0.00000000i, +0.00062629-0.00190940i, -0.00126360-0.00224613i, +0.00075249+0.00150092i, +0.00327560-0.00308081i, -0.00299582+0.00013430i, +0.00035721+0.00130865i, +0.00084448-0.00038546i, +0.00153545+0.00156754i, -0.00217917+0.00212459i, +0.00196176-0.00177471i, +0.00079875-0.00149244i, -0.00080911-0.00174020i, -0.00102280-0.00194430i, +0.00124527+0.00003571i, +0.00296910+0.00412050i, -0.00364027-0.00403747i
+0.00062605-0.00260407i, +0.00471747+0.00302556i, +0.00274011-0.00069308i, +0.00100265-0.00191156i, +0.00147867+0.00133549i, -0.00026773+0.00028775i, -0.00085178-0.00396182i, +0.00196527-0.00050364i, +0.00270387-0.00281526i, +0.00203725+0.00193080i, +0.00332003-0.00123768i, -0.00029219-0.00015661i, -0.00194063+0.00153143i, -0.00024466+0.00323728i, +0.00372874+0.00181726i, +0.00062629+0.00190940i, +0.03044679-0.00000000i, +0.00053094-0.00100203i, -0.00108173+0.00193580i, +0.00729319+0.00197200i, -0.00323150-0.00348225i, -0.00134042+0.00057653i, +0.00205096+0.00123461i, +0.00172105+0.00335413i, -0.00478725-0.00182961i, +0.00306931+0.00122154i, +0.00160427-0.00081735i, +0.00077923-0.00243313i, +0.00097099-0.00124054i, +0.00121775-0.00055217i, -0.00296954+0.00561580i, +0.00007035-0.00387720i
+0.00019473+0.00024281i, +0.00012405-0.00027959i, -0.00017318+0.00129384i, +0.00140578-0.00060937i, +0.00110443+0.00012683i, +0.00021301-0.00062966i, +0.00070650-0.00158690i, +0.00069153+0.00036615i, +0.00195137-0.00015428i, -0.00016658+0.00198624i, +0.00092377+0.00058400i, +0.00133556+0.00105178i, -0.00102615+0.00072121i, -0.00169061+0.00052483i, +0.00135600+0.00004793i, -0.00126360+0.00224613i, +0.00053094+0.00100203i, +0.03030906+0.00000000i, -0.00035528-0.00060555i, +0.00214460+0.00008280i, -0.00014171-0.00230855i, -0.00174499+0.00122476i, +0.00103552+0.00017240i, +0.00087028+0.00146858i, -0.00136750-0.00124833i, +0.00023847+0.00141323i, +0.00038756-0.00044490i, +0.00082132-0.00007423i, +0.00103090+0.00025407i, +0.00026885+0.00087861i, -0.00261361+0.00174687i, +0.00079400-0.00181412i
-0.00162767-0.00002652i, -0.00034307-0.00656540i, -0.00239100-0.00512369i, -0.00297817+0.00036242i, +0.00055798-0.00254200i, +0.00110163+0.00028550i, -0.00250942+0.00317468i, -0.00160830-0.00199662i, -0.00478968+0.00018348i, +0.00104819-0.00382982i, -0.00164131-0.00177885i, -0.00052683-0.00042820i, +0.00113949-0.00132742i, +0.00291385-0.00131345i, -0.00163342-0.00286238i, +0.00075249-0.00150092i, -0.00108173-0.00193580i, -0.00035528+0.00060555i, +0.02951478-0.00000000i, -0.00289148-0.00551672i, -0.00132305+0.00575231i, +0.00080856-0.00034111i, +0.00108160-0.00145267i, +0.00191102-0.00441047i, +0.00043428+0.00359579i, -0.00031892-0.00434542i, -0.00215147-0.00263609i, -0.00230877+0.00206288i, -0.00200360+0.00098508i, -0.00081697-0.00082605i, +0.00594135-0.00303005i, -0.00417134+0.00323904i
+0.00234074-0.00191044i, +0.01190528+0.00483329i, +0.00514291-0.00225589i, +0.00051983-0.00698105i, +0.00192608+0.00196012i, -0.00187476+0.00185606i, -0.00239378-0.00784498i, +0.00293306-0.00349860i, +0.00520830-0.00654837i, +0.00620510+0.00476751i, +0.00503462-0.00199748i, +0.00045853+0.00129330i, -0.00110060+0.00367426i, +0.00117986+0.00645606i, +0.00767037+0.00050437i, +0.00327560+0.00308081i, +0.00729319-0.00197200i, +0.00214460-0.00008280i, -0.00289148+0.00551672i, +0.04172491+0.00000000i, -0.00730719-0.00771072i, -0.00153278+0.00162592i, +0.00389566+0.00219436i, +0.00658346+0.00654754i, -0.00821936-0.00050376i, +0.00865289+0.00274736i, +0.00563172-0.00247724i, +0.00047473-0.00522731i, +0.00080976-0.00495413i, +0.00126193-0.00015270i, -0.00131025+0.01112972i, -0.00039674-0.01244759i
-0.00045200+0.00374692i, -0.00973942+0.00423682i, -0.00369189+0.00369906i, +0.00137200+0.00276233i, -0.00266296-0.00133826i, -0.00041062-0.00223374i, +0.00632577+0.00150297i, -0.00020763+0.00365251i, +0.00280005+0.00861037i, -0.00706437+0.00180522i, -0.00129390+0.00366757i, -0.00135518+0.00113969i, -0.00293879-0.00374047i, -0.00409162-0.00477754i, -0.00461179+0.00509141i, -0.00299582-0.00013430i, -0.00323150+0.00348225i, -0.00014171+0.00230855i, -0.00132305-0.00575231i, -0.00730719+0.00771072i, +0.03646235-0.00000000i, +0.00118737-0.00178964i, -0.00533205-0.00021907i, -0.00717031-0.00107453i, +0.00574374-0.00531501i, -0.00684573+0.00199789i, -0.00216573+0.00342537i, +0.00290763+0.00186053i, +0.00077033+0.00401322i, -0.00235659+0.00192574i, -0.00583664-0.00825975i, +0.00721877+0.00559006i
