+0.02973541+0.00000000i, -0.00052842+0.00063746i, -0.00240671+0.00145030i, +0.00041228-0.00266483i, +0.00023198-0.00139168i, -0.00049380+0.00263921i, -0.00230277-0.00196802i, -0.00129987+0.00273945i, -0.00124047+0.00123047i, -0.00090257-0.00279623i, -0.00006589+0.00273584i, -0.00207077+0.00000566i, +0.00129567+0.00073388i, -0.00028887+0.00022629i, -0.00056694+0.00147375i, -0.00027692+0.00038345i, -0.00080783-0.00215020i, +0.00129639-0.00353188i, +0.00191791-0.00104058i, +0.00030670+0.00206265i, -0.00053522+0.00021861i, +0.00181362+0.00102831i, +0.00120387-0.00182625i, -0.00160552+0.00074559i, +0.00377365+0.00087553i, -0.00248789-0.00154487i, +0.00014919+0.00167981i, +0.00035066-0.00259826i, -0.00017397+0.00087111i, +0.00012931-0.00046295i, -0.00200932+0.00069941i, +0.00024069-0.00153797i
-0.00207077-0.00000566i, +0.00150801+0.00028505i, +0.00223531-0.00159629i, -0.00013531+0.00268262i, +0.00003478+0.00180241i, +0.00082363-0.00344525i, +0.00292071+0.00152116i, +0.00037287-0.00298588i, +0.00170774-0.00088882i, +0.00107252+0.00301090i, -0.00133061-0.00242119i, +0.03139982-0.00000000i, -0.00035978+0.00019131i, -0.00030210-0.00055359i, +0.00086171-0.00194033i, +0.00057130-0.00027227i, +0.00020700+0.00351985i, -0.00146834+0.00389592i, -0.00320492+0.00075705i, +0.00134099-0.00245941i, +0.00154805-0.00130290i, -0.00044026-0.00058223i, -0.00110891+0.00250208i, +0.00115636-0.00151837i, -0.00301310-0.00063193i, +0.00206905+0.00088819i, -0.00031058-0.00224585i, -0.00010057+0.00340468i, +0.00015074-0.00133252i, -0.00027652+0.00082408i, +0.00196654-0.00170487i, +0.00032534+0.00275532i
+0.00129567-0.00073388i, -0.00082815+0.00104038i, -0.00030029+0.00038163i, -0.00104658-0.00090593i, -0.00121945-0.00002279i, +0.00049294+0.00188098i, -0.00204012-0.00019706i, +0.00103101+0.00008364i, +0.00074592+0.00124470i, -0.00136496-0.00032626i, +0.00097079+0.00122045i, -0.00035978-0.00019131i, +0.02840898-0.00000000i, -0.00023962+0.00061004i, +0.00068440+0.00080079i, -0.00045649+0.00054338i, -0.00101550-0.00162228i, -0.00114195-0.00132199i, -0.00004648-0.00132635i, +0.00148208+0.00067960i, -0.00081137+0.00070593i, +0.00077852-0.00025730i, -0.00047607-0.00092255i, -0.00057201+0.00092841i, +0.00170470-0.00006210i, -0.00116507-0.00001891i, +0.00025712+0.00009857i, -0.00029924-0.00102217i, -0.00048550+0.00012003i, -0.00016208-0.00004023i, -0.00006047+0.00044993i, -0.00086484-0.00042902i
-0.00028887-0.00022629i, +0.00001167+0.00016321i, +0.00003332+0.00050943i, +0.00093322+0.00023142i, +0.00029241-0.00023330i, +0.00070559+0.00005963i, -0.00059526+0.00048217i, +0.00047216-0.00046862i, +0.00050298+0.00020906i, -0.00054188+0.00079946i, -0.00002289+0.00037870i, -0.00030210+0.00055359i, -0.00023962-0.00061004i, +0.02840990-0.00000000i, -0.00010476+0.00070259i, +0.00035486-0.00014741i, -0.00066321+0.00023186i, -0.00035086-0.00075501i, +0.00051606-0.00062512i, +0.00103066-0.00041392i, -0.00041128+0.00007503i, -0.00094312+0.00032211i, -0.00069008-0.00007279i, +0.00014726+0.00027712i, +0.00018832-0.00035350i, +0.00032304+0.00040965i, +0.00004366+0.00019753i, -0.00021915-0.00041999i, +0.00013151+0.00033557i, -0.00090698-0.00091227i, +0.00007635+0.00100351i, -0.00061466+0.00027098i
-0.00056694-0.00147375i, +0.00056863+0.00060115i, +0.00128176+0.00209887i, -0.00265007-0.00054238i, -0.00112624+0.00101313i, +0.00200373-0.00108764i, -0.00042914+0.00394673i, +0.00204877-0.00037970i, +0.00164363+0.00052574i, -0.00207092+0.00233025i, +0.00068116-0.00198865i, +0.00086171+0.00194033i, +0.00068440-0.00080079i, -0.00010476-0.00070259i, +0.02954633-0.00000000i, -0.00069602+0.00050286i, -0.00134365+0.00142715i, -0.00408216+0.00095021i, -0.00250341-0.00064450i, +0.00123334-0.00093407i, +0.00020720+0.00110465i, +0.00003144-0.00074882i, -0.00288768+0.00128963i, +0.00114226+0.00074950i, -0.00045897-0.00196323i, +0.00070415+0.00206761i, +0.00033668-0.00129704i, -0.00185181+0.00082722i, +0.00046409-0.00095422i, -0.00078234-0.00003094i, +0.00154477+0.00048052i, -0.00082170+0.00040639i
-0.00027692-0.00038345i, -0.00077850+0.00062745i, +0.00045730-0.00004244i, -0.00116442+0.00037340i, +0.00056458-0.00015219i, +0.00114909-0.00077822i, +0.00006120+0.00098930i, +0.00069207-0.00021513i, +0.00099764+0.00010355i, -0.00051201-0.00003956i, -0.00040257-0.00067217i, +0.00057130+0.00027227i, -0.00045649-0.00054338i, +0.00035486+0.00014741i, -0.00069602-0.00050286i, +0.02878764-0.00000000i, +0.00008291+0.00119645i, -0.00110255+0.00052668i, -0.00115985+0.00022304i, -0.00060202-0.00030506i, +0.00070159-0.00003350i, -0.00091001-0.00039917i, -0.00017852-0.00038755i, +0.00012160+0.00114477i, -0.00066849-0.00050502i, +0.00017225+0.00059690i, -0.00001473-0.00038278i, -0.00067454+0.00080047i, +0.00032199+0.00011684i, -0.00038075+0.00067188i, +0.00034307-0.00007383i, -0.00106571-0.00130975i
-0.00080783+0.00215020i, +0.00042329-0.00207757i, -0.00100224-0.00338269i, +0.00263235+0.00186879i, +0.00108993-0.00046730i, -0.00402420-0.00068008i, +0.00410553-0.00329273i, -0.00313037-0.00007224i, -0.00124712-0.00179772i, +0.00406034-0.00105923i, -0.00441040-0.00034295i, +0.00020700-0.00351985i, -0.00101550+0.00162228i, -0.00066321-0.00023186i, -0.00134365-0.00142715i, +0.00008291-0.00119645i, +0.03414323-0.00000000i, +0.00462012+0.00232082i, +0.00186646+0.00499055i, -0.00356674-0.00088458i, -0.00181513-0.00230855i, -0.00138283+0.00109890i, +0.00301712+0.00185714i, -0.00185166-0.00252376i, -0.00046037+0.00527904i, +0.00146101-0.00298787i, -0.00213051+0.00082412i, +0.00444525+0.00021874i, -0.00086797+0.00067194i, +0.00081837+0.00011589i, -0.00137129-0.00303936i, +0.00218825+0.00067411i
+0.00129639+0.00353188i, -0.00023242-0.00210282i, -0.00327813-0.00406459i, +0.00420606+0.00100404i, +0.00111029-0.00037286i, -0.00542287+0.00149913i, +0.00218642-0.00574469i, -0.00404445+0.00150042i, -0.00404554-0.00271425i, +0.00568338-0.00232349i, -0.00347440+0.00201652i, -0.00146834-0.00389592i, -0.00114195+0.00132199i, -0.00035086+0.00075501i, -0.00408216-0.00095021i, -0.00110255-0.00052668i, +0.00462012-0.00232082i, +0.03700670-0.00000000i, +0.00372853+0.00271131i, -0.00448295+0.00181288i, -0.00153326-0.00212987i, -0.00085712+0.00179533i, +0.00501158-0.00013577i, -0.00254266-0.00273747i, +0.00066828+0.00503366i, +0.00038401-0.00357527i, -0.00226288+0.00143393i, +0.00507924-0.00246861i, -0.00186727+0.00161191i, +0.00239897+0.00047872i, -0.00290209-0.00250776i, +0.00300210-0.00009396i
+0.00191791+0.00104058i, -0.00096812-0.00097552i, -0.00300584-0.00103640i, +0.00292396-0.00212503i, -0.00034015-0.00036852i, -0.00233133+0.00302776i, -0.00209036-0.00411239i, -0.00074286+0.00358590i, -0.00302082+0.00139698i, +0.00141266-0.00451376i, -0.00125546+0.00346391i, -0.00320492-0.00075705i, -0.00004648+0.00132635i, +0.00051606+0.00062512i, -0.00250341+0.00064450i, -0.00115985-0.00022304i, +0.00186646-0.00499055i, +0.00372853-0.00271131i, +0.03513619-0.00000000i, -0.00289872+0.00258968i, -0.00276683-0.00092307i, +0.00079574+0.00222712i, +0.00401263-0.00177707i, -0.00245884-0.00016451i, +0.00256318+0.00328209i, -0.00182315-0.00236758i, -0.00025991+0.00317887i, +0.00127253-0.00402178i, -0.00152884+0.00191577i, +0.00010989-0.00037401i, -0.00345222+0.00002395i, +0.00102031-0.00164094i
+0.00030670-0.00206265i, -0.00001013+0.00084933i, +0.00164121+0.00255081i, -0.00260205-0.00159375i, -0.00032651+0.00067642i, +0.00309312+0.00031159i, -0.00203328+0.00220529i, +0.00278473-0.00042423i, +0.00137875+0.00221377i, -0.00335123+0.00057905i, +0.00259518+0.00072004i, +0.00134099+0.00245941i, +0.00148208-0.00067960i, +0.00103066+0.00041392i, +0.00123334+0.00093407i, -0.00060202+0.00030506i, -0.00356674+0.00088458i, -0.00448295-0.00181288i, -0.00289872-0.00258968i, +0.03200565+0.00000000i, +0.00107509+0.00054512i, +0.00112463-0.00108268i, -0.00315059-0.00089342i, +0.00141055+0.00126368i, +0.00041436-0.00319952i, -0.00123307+0.00139924i, +0.00143252-0.00067994i, -0.00250475+0.00051687i, +0.00153485-0.00073498i, -0.00149594-0.00014257i, +0.00145077+0.00181266i, -0.00271683-0.00087239i
-0.00053522-0.00021861i, +0.00064421-0.00024936i, +0.00190494-0.00047113i, -0.00094866+0.00117633i, +0.00031565-0.00087830i, +0.00114554-0.00216165i, +0.00110158+0.00076333i, +0.00044271-0.00161779i, +0.00085144-0.00039498i, +0.00042724+0.00146639i, +0.00006377-0.00085537i, +0.00154805+0.00130290i, -0.00081137-0.00070593i, -0.00041128-0.00007503i, +0.00020720-0.00110465i, +0.00070159+0.00003350i, -0.00181513+0.00230855i, -0.00153326+0.00212987i, -0.00276683+0.00092307i, +0.00107509-0.00054512i, +0.03006165+0.00000000i, -0.00000048-0.00102601i, -0.00051270+0.00166820i, +0.00118438+0.00008182i, -0.00175141-0.00228166i, +0.00082624+0.00062408i, -0.00091635-0.00184767i, +0.00003679+0.00175434i, +0.00013575-0.00150912i, -0.00110602-0.00002213i, +0.00122292-0.00042517i, -0.00112290+0.00041200i
