+0.02973541+0.00000000i, -0.00052842+0.00063746i, -0.00240671+0.00145030i, +0.00041228-0.00266483i, +0.00023198-0.00139168i, -0.00049380+0.00263921i, -0.00230277-0.00196802i, -0.00129987+0.00273945i, -0.00124047+0.00123047i, -0.00090257-0.00279623i, -0.00006589+0.00273584i, -0.00207077+0.00000566i, +0.00129567+0.00073388i, -0.00028887+0.00022629i, -0.00056694+0.00147375i, -0.00027692+0.00038345i, -0.00080783-0.00215020i, +0.00129639-0.00353188i, +0.00191791-0.00104058i, +0.00030670+0.00206265i, -0.00053522+0.00021861i, +0.00181362+0.00102831i, +0.00120387-0.00182625i, -0.00160552+0.00074559i, +0.00377365+0.00087553i, -0.00248789-0.00154487i, +0.00014919+0.00167981i, +0.00035066-0.00259826i, -0.00017397+0.00087111i, +0.00012931-0.00046295i, -0.00200932+0.00069941i, +0.00024069-0.00153797i
+0.00181362-0.00102831i, +0.00076330+0.00050937i, -0.00120281+0.00161922i, -0.00090185-0.00125826i, -0.00057514-0.00034621i, +0.00097228-0.00016503i, -0.00114293-0.00035759i, +0.00059304+0.00108371i, -0.00040550+0.00127857i, -0.00088096-0.00175564i, +0.00147971+0.00069387i, -0.00044026+0.00058223i, +0.00077852+0.00025730i, -0.00094312-0.00032211i, +0.00003144+0.00074882i, -0.00091001+0.00039917i, -0.00138283-0.00109890i, -0.00085712-0.00179533i, +0.00079574-0.00222712i, +0.00112463+0.00108268i, -0.00000048+0.00102601i, +0.03008480+0.00000000i, -0.00085879-0.00121047i, +0.00042924+0.00042742i, +0.00190664-0.00111442i, -0.00106263-0.00018214i, +0.00076493+0.00065422i, -0.00085568-0.00145667i, +0.00062845+0.00010538i, -0.00016729-0.00057761i, -0.00043837+0.00064287i, -0.00090388-0.00143782i
+0.00120387+0.00182625i, -0.00062461-0.00127882i, -0.00227000-0.00277352i, +0.00247845+0.00024128i, +0.00045800-0.00023159i, -0.00296609+0.00085872i, +0.00083180-0.00509492i, -0.00305021+0.00193547i, -0.00211225-0.00130520i, +0.00288320-0.00272230i, -0.00234213+0.00179606i, -0.00110891-0.00250208i, -0.00047607+0.00092255i, -0.00069008+0.00007279i, -0.00288768-0.00128963i, -0.00017852+0.00038755i, +0.00301712-0.00185714i, +0.00501158+0.00013577i, +0.00401263+0.00177707i, -0.00315059+0.00089342i, -0.00051270-0.00166820i, -0.00085879+0.00121047i, +0.03216734-0.00000000i, -0.00313895-0.00140447i, +0.00109318+0.00313918i, -0.00080520-0.00203594i, -0.00106616+0.00281760i, +0.00316985-0.00113727i, -0.00075802+0.00089724i, +0.00005443-0.00026484i, -0.00213769-0.00171265i, +0.00178534-0.00088048i
-0.00160552-0.00074559i, +0.00131331+0.00080639i, +0.00153170+0.00027535i, -0.00188364+0.00097111i, -0.00041676+0.00066403i, +0.00178417-0.00230783i, +0.00164578+0.00310208i, +0.00061711-0.00319688i, +0.00147696-0.00056104i, -0.00100859+0.00248095i, +0.00136348-0.00173596i, +0.00115636+0.00151837i, -0.00057201-0.00092841i, +0.00014726-0.00027712i, +0.00114226-0.00074950i, +0.00012160-0.00114477i, -0.00185166+0.00252376i, -0.00254266+0.00273747i, -0.00245884+0.00016451i, +0.00141055-0.00126368i, +0.00118438-0.00008182i, +0.00042924-0.00042742i, -0.00313895+0.00140447i, +0.03049434-0.00000000i, -0.00177826-0.00129718i, +0.00149744+0.00154088i, +0.00021953-0.00143791i, -0.00157048+0.00327464i, +0.00071552-0.00105167i, -0.00070037+0.00065574i, +0.00222402+0.00006108i, -0.00093501+0.00126312i
+0.00377365-0.00087553i, -0.00030898+0.00028878i, -0.00335825+0.00183054i, +0.00054232-0.00211899i, +0.00032206-0.00157828i, +0.00029978+0.00342080i, -0.00413754-0.00067838i, +0.00099889+0.00313767i, -0.00145494+0.00281869i, -0.00208357-0.00298282i, +0.00071164+0.00325885i, -0.00301310+0.00063193i, +0.00170470+0.00006210i, +0.00018832+0.00035350i, -0.00045897+0.00196323i, -0.00066849+0.00050502i, -0.00046037-0.00527904i, +0.00066828-0.00503366i, +0.00256318-0.00328209i, +0.00041436+0.00319952i, -0.00175141+0.00228166i, +0.00190664+0.00111442i, +0.00109318-0.00313918i, -0.00177826+0.00129718i, +0.03237386+0.00000000i, -0.00246322-0.00064813i, +0.00134125+0.00244411i, -0.00106846-0.00367262i, +0.00147172+0.00103880i, -0.00021863-0.00125029i, -0.00257417+0.00111369i, +0.00013571-0.00221462i
-0.00248789+0.00154487i, +0.00229831-0.00036205i, +0.00190893-0.00179928i, -0.00018047+0.00263239i, +0.00080846+0.00036238i, -0.00091050-0.00397627i, +0.00396173+0.00127868i, -0.00067237-0.00293753i, +0.00054694-0.00305571i, +0.00150807+0.00355410i, -0.00094015-0.00205970i, +0.00206905-0.00088819i, -0.00116507+0.00001891i, +0.00032304-0.00040965i, +0.00070415-0.00206761i, +0.00017225-0.00059690i, +0.00146101+0.00298787i, +0.00038401+0.00357527i, -0.00182315+0.00236758i, -0.00123307-0.00139924i, +0.00082624-0.00062408i, -0.00106263+0.00018214i, -0.00080520+0.00203594i, +0.00149744-0.00154088i, -0.00246322+0.00064813i, +0.03224761+0.00000000i, -0.00089356-0.00161525i, +0.00040101+0.00266605i, -0.00122765-0.00128898i, -0.00037303+0.00079253i, +0.00142567-0.00213350i, +0.00041469+0.00324671i
+0.00014919-0.00167981i, -0.00030592+0.00089046i, +0.00107551+0.00137364i, -0.00032498-0.00106466i, -0.00083257-0.00048267i, +0.00175264+0.00090268i, -0.00235493+0.00147821i, +0.00184165+0.00089097i, +0.00008426+0.00109135i, -0.00272238-0.00055569i, +0.00167793+0.00113943i, -0.00031058+0.00224585i, +0.00025712-0.00009857i, +0.00004366-0.00019753i, +0.00033668+0.00129704i, -0.00001473+0.00038278i, -0.00213051-0.00082412i, -0.00226288-0.00143393i, -0.00025991-0.00317887i, +0.00143252+0.00067994i, -0.00091635+0.00184767i, +0.00076493-0.00065422i, -0.00106616-0.00281760i, +0.00021953+0.00143791i, +0.00134125-0.00244411i, -0.00089356+0.00161525i, +0.03051349+0.00000000i, -0.00339295-0.00032762i, +0.00137183-0.00033989i, -0.00024674+0.00003593i, -0.00033631+0.00232361i, +0.00032899-0.00044930i
+0.00035066+0.00259826i, +0.00012114-0.00137253i, -0.00105990-0.00255149i, +0.00401738+0.00159194i, +0.00000999-0.00034412i, -0.00339758+0.00022353i, +0.00268450-0.00273656i, -0.00365064+0.00005932i, -0.00198987-0.00188558i, +0.00393222-0.00147858i, -0.00301251+0.00047102i, -0.00010057-0.00340468i, -0.00029924+0.00102217i, -0.00021915+0.00041999i, -0.00185181-0.00082722i, -0.00067454-0.00080047i, +0.00444525-0.00021874i, +0.00507924+0.00246861i, +0.00127253+0.00402178i, -0.00250475-0.00051687i, +0.00003679-0.00175434i, -0.00085568+0.00145667i, +0.00316985+0.00113727i, -0.00157048-0.00327464i, -0.00106846+0.00367262i, +0.00040101-0.00266605i, -0.00339295+0.00032762i, +0.03241016+0.00000000i, -0.00096129+0.00042669i, +0.00047764-0.00022940i, -0.00201391-0.00257665i, +0.00246613-0.00006578i
-0.00017397-0.00087111i, +0.00002773+0.00058255i, -0.00032776+0.00136163i, -0.00089177-0.00111612i, -0.00163742+0.00114880i, +0.00163529+0.00058341i, -0.00136478+0.00196149i, +0.00131425-0.00008364i, +0.00056604+0.00155227i, -0.00211320-0.00057246i, +0.00206111+0.00065042i, +0.00015074+0.00133252i, -0.00048550-0.00012003i, +0.00013151-0.00033557i, +0.00046409+0.00095422i, +0.00032199-0.00011684i, -0.00086797-0.00067194i, -0.00186727-0.00161191i, -0.00152884-0.00191577i, +0.00153485+0.00073498i, +0.00013575+0.00150912i, +0.00062845-0.00010538i, -0.00075802-0.00089724i, +0.00071552+0.00105167i, +0.00147172-0.00103880i, -0.00122765+0.00128898i, +0.00137183+0.00033989i, -0.00096129-0.00042669i, +0.02816833+0.00000000i, -0.00051558-0.00079057i, +0.00035149+0.00192114i, -0.00074445-0.00003040i
+0.00012931+0.00046295i, -0.00083907-0.00017042i, -0.00039569-0.00073092i, +0.00009186+0.00040363i, +0.00028449+0.00015037i, -0.00219653+0.00051745i, +0.00018378-0.00072607i, -0.00136085-0.00006841i, -0.00046930-0.00053367i, +0.00098939+0.00004641i, -0.00049530+0.00015510i, -0.00027652-0.00082408i, -0.00016208+0.00004023i, -0.00090698+0.00091227i, -0.00078234+0.00003094i, -0.00038075-0.00067188i, +0.00081837-0.00011589i, +0.00239897-0.00047872i, +0.00010989+0.00037401i, -0.00149594+0.00014257i, -0.00110602+0.00002213i, -0.00016729+0.00057761i, +0.00005443+0.00026484i, -0.00070037-0.00065574i, -0.00021863+0.00125029i, -0.00037303-0.00079253i, -0.00024674-0.00003593i, +0.00047764+0.00022940i, -0.00051558+0.00079057i, +0.02787590+0.00000000i, -0.00141351-0.00065260i, +0.00123706-0.00022090i
-0.00200932-0.00069941i, +0.00064411+0.00074184i, +0.00335440+0.00064530i, -0.00200318+0.00078118i, +0.00047735+0.00060499i, +0.00124912-0.00176754i, -0.00037011+0.00454037i, +0.00187019-0.00249197i, +0.00161843-0.00019526i, -0.00097195+0.00310874i, +0.00068446-0.00272900i, +0.00196654+0.00170487i, -0.00006047-0.00044993i, +0.00007635-0.00100351i, +0.00154477-0.00048052i, +0.00034307+0.00007383i, -0.00137129+0.00303936i, -0.00290209+0.00250776i, -0.00345222-0.00002395i, +0.00145077-0.00181266i, +0.00122292+0.00042517i, -0.00043837-0.00064287i, -0.00213769+0.00171265i, +0.00222402-0.00006108i, -0.00257417-0.00111369i, +0.00142567+0.00213350i, -0.00033631-0.00232361i, -0.00201391+0.00257665i, +0.00035149-0.00192114i, -0.00141351+0.00065260i, +0.03035054-0.00000000i, -0.00286330+0.00120287i
+0.00024069+0.00153797i, -0.00012041-0.00113411i, -0.00121600-0.00184126i, +0.00321934+0.00061447i, +0.00019005+0.00035928i, -0.00229331-0.00002563i, +0.00079846-0.00240502i, -0.00372448+0.00135604i, -0.00145274-0.00121422i, +0.00231655-0.00152923i, -0.00154574+0.00035255i, +0.00032534-0.00275532i, -0.00086484+0.00042902i, -0.00061466-0.00027098i, -0.00082170-0.00040639i, -0.00106571+0.00130975i, +0.00218825-0.00067411i, +0.00300210+0.00009396i, +0.00102031+0.00164094i, -0.00271683+0.00087239i, -0.00112290-0.00041200i, -0.00090388+0.00143782i, +0.00178534+0.00088048i, -0.00093501-0.00126312i, +0.00013571+0.00221462i, +0.00041469-0.00324671i, +0.00032899+0.00044930i, +0.00246613+0.00006578i, -0.00074445+0.00003040i, +0.00123706+0.00022090i, -0.00286330-0.00120287i, +0.03064218+0.00000000i
