-0.00014371+0.00071380i, +0.00215412-0.00548061i, -0.00034238+0.00758435i, +0.00553598+0.00502485i, +0.00081647-0.00836095i, -0.00259993+0.00433806i, -0.00239438-0.00870599i, +0.00665773-0.00465326i, +0.00118109-0.00211757i, -0.00660896-0.00224752i, +0.00456671-0.00888904i, +0.02675503-0.00000000i, -0.00236981-0.00339836i, +0.00493300-0.00775506i, -0.00075563+0.00518970i, +0.00795479-0.00237066i, -0.00629170+0.00155999i, -0.00145106+0.00897118i, +0.00447905-0.00037440i, +0.00084793+0.00343345i, -0.00009865-0.00074888i, +0.00212510-0.00136417i, -0.00149031+0.00247721i, +0.00773033+0.00501491i, -0.00362542+0.00304101i, +0.01215657+0.00228461i, +0.01430040+0.00730133i, -0.01223564+0.00308158i, +0.01038979-0.00320511i, +0.00631169+0.00267414i, -0.00072625-0.00067930i, -0.01175435+0.00500437i
-0.00157430-0.00215854i, +0.00310971+0.00360246i, -0.00710830-0.00264151i, -0.00471993+0.00374878i, +0.00703830+0.00117532i, -0.00344049-0.00370451i, +0.00771442-0.00027254i, +0.00128994+0.00611576i, +0.00212598+0.00148006i, +0.00441571-0.00331524i, +0.00865219+0.00892157i, -0.00236981+0.00339836i, +0.02487120-0.00000000i, +0.00390059+0.00393129i, -0.00530410-0.00192081i, -0.00095805+0.00808404i, -0.00159335-0.00803758i, -0.00752288-0.00375416i, +0.00038647+0.00331448i, -0.00276322-0.00061590i, +0.00277670+0.00130518i, -0.00019868+0.00430051i, -0.00246980-0.00205461i, -0.00561842+0.00714949i, -0.00045915-0.00147431i, -0.00467507+0.01065108i, -0.01033147+0.01007580i, +0.00119141-0.00709478i, -0.00214678+0.01342056i, -0.00545389+0.00445758i, +0.00101864-0.00076550i, -0.00189602-0.01069197i
+0.00002608+0.00004815i, +0.00380085-0.00135001i, -0.00656251+0.00525927i, +0.00237574+0.00689102i, +0.00793759-0.00661564i, -0.00296136-0.00137110i, +0.00581134-0.00622984i, +0.00539546+0.00396209i, +0.00257725+0.00083143i, -0.00123820-0.00495357i, +0.01253033-0.00031977i, +0.00493300+0.00775506i, +0.00390059-0.00393129i, +0.02642281+0.00000000i, -0.00513776+0.00313092i, +0.00431369+0.00329585i, -0.00589575-0.00582985i, -0.00850863+0.00259433i, +0.00291689+0.00196818i, -0.00290653+0.00261494i, +0.00164827+0.00050003i, +0.00398901+0.00195002i, -0.00149935+0.00186219i, +0.00226621+0.00920515i, -0.00608048-0.00148564i, +0.00596832+0.01165374i, +0.00111084+0.01412691i, -0.00400508-0.00673331i, +0.00867966+0.00571224i, -0.00137980+0.01157004i, -0.00200223-0.00109483i, -0.01067801-0.00541244i
-0.00036679+0.00159681i, -0.00381422-0.00130163i, +0.00606288+0.00168248i, +0.00340132-0.00513584i, -0.00664161-0.00055077i, +0.00223683+0.00226382i, -0.00659569+0.00258834i, -0.00342785-0.00738619i, -0.00330041-0.00128479i, -0.00230017+0.00182113i, -0.00448506-0.00310864i, -0.00075563-0.00518970i, -0.00530410+0.00192081i, -0.00513776-0.00313092i, +0.02320995-0.00000000i, -0.00076551-0.00496103i, +0.00179265+0.00620144i, +0.00734941+0.00263449i, +0.00052303-0.00281600i, +0.00387091-0.00132102i, -0.00016211+0.00080554i, -0.00070501-0.00494618i, +0.00179677+0.00157548i, +0.00290638-0.00854247i, +0.00158333+0.00468567i, +0.00157865-0.00880980i, +0.00529361-0.01209089i, -0.00012283+0.00495571i, -0.00339579-0.00778330i, +0.00316074-0.00493638i, -0.00066079+0.00624317i, +0.00365091+0.00648555i
-0.00194148+0.00046905i, +0.00407615-0.00268180i, -0.00581323+0.00777770i, +0.00493430+0.00575705i, +0.00442478-0.00885751i, -0.00162061+0.00246915i, +0.00169210-0.01082017i, +0.00729496-0.00058505i, +0.00330152-0.00288925i, -0.00802071-0.00767413i, +0.00725098-0.00706733i, +0.00795479+0.00237066i, -0.00095805-0.00808404i, +0.00431369-0.00329585i, -0.00076551+0.00496103i, +0.02671666-0.00000000i, -0.00686386-0.00152346i, -0.00660854+0.00638247i, +0.00506063+0.00280375i, +0.00108718+0.00423226i, -0.00110411-0.00111472i, +0.00377327+0.00020157i, -0.00191162+0.00195225i, +0.00745905+0.00769065i, -0.00601804+0.00112598i, +0.01107140+0.00485062i, +0.01141117+0.01275591i, -0.00798375-0.00499624i, +0.01185094+0.00041073i, +0.00559056+0.00644994i, -0.00077907+0.00050179i, -0.01421536+0.00439181i
+0.00364962+0.00059983i, -0.00540967+0.00579507i, +0.00245054-0.00876901i, -0.00549647-0.00550495i, -0.00333520+0.01363192i, +0.00354328-0.00234505i, +0.00248453+0.01095059i, -0.00858948+0.00207978i, +0.00035512+0.00404973i, +0.00522525+0.00448512i, -0.00910618+0.00850219i, -0.00629170-0.00155999i, -0.00159335+0.00803758i, -0.00589575+0.00582985i, +0.00179265-0.00620144i, -0.00686386+0.00152346i, +0.03385558-0.00000000i, +0.00660064-0.01231522i, -0.00737821-0.00073257i, +0.00491201-0.00726511i, -0.00384319+0.00275396i, -0.00503590+0.00120935i, +0.00270621-0.00392015i, -0.01605204-0.00807531i, +0.00819876-0.00562043i, -0.01628872-0.00676663i, -0.01528970-0.01534954i, +0.01267441+0.00232382i, -0.01314698+0.00163771i, -0.00741736-0.00667277i, +0.00253686+0.00015884i, +0.01332727-0.00500537i
+0.00302493+0.00026839i, -0.00643405+0.00055279i, +0.00964749-0.00106822i, +0.00287224-0.00914247i, -0.01121109+0.00307395i, +0.00347043+0.00512443i, -0.00946720+0.00724151i, -0.00674227-0.00647399i, -0.00356299+0.00212103i, +0.00051590+0.00835730i, -0.01252491-0.00363363i, -0.00145106-0.00897118i, -0.00752288+0.00375416i, -0.00850863-0.00259433i, +0.00734941-0.00263449i, -0.00660854-0.00638247i, +0.00660064+0.01231522i, +0.03801818+0.00000000i, -0.00233018-0.00515762i, +0.00317740-0.00406117i, +0.00041135+0.00088778i, -0.00452560-0.00539235i, +0.00309423-0.00208079i, +0.00592317-0.01844772i, +0.00910652+0.00464239i, -0.00169331-0.01873420i, +0.00442151-0.02378033i, +0.00397952+0.01247940i, -0.00833742-0.01352845i, +0.00281143-0.01167136i, +0.00228100+0.00222529i, +0.01119101+0.01195655i
-0.00013112+0.00022426i, +0.00213583-0.00364860i, -0.00114997+0.00774933i, +0.00284848+0.00348163i, +0.00099362-0.00494326i, -0.00207582+0.00045750i, -0.00210142-0.00833401i, +0.00282311-0.00145961i, +0.00077611-0.00201829i, -0.00422409-0.00089430i, +0.00371427-0.00398533i, +0.00447905+0.00037440i, +0.00038647-0.00331448i, +0.00291689-0.00196818i, +0.00052303+0.00281600i, +0.00506063-0.00280375i, -0.00737821+0.00073257i, -0.00233018+0.00515762i, +0.02873400-0.00000000i, +0.00052142+0.00371354i, -0.00471593+0.00371245i, -0.00211075-0.00090384i, -0.00179074+0.00374143i, +0.00718339+0.00267161i, -0.00219958+0.00353781i, +0.00801066+0.00203529i, +0.01055646+0.00545535i, -0.00848200-0.00140152i, +0.00571774-0.00141058i, +0.00420123+0.00440056i, -0.00211469-0.00032682i, -0.00606952+0.00291936i
+0.00106423+0.00160422i, -0.00326828-0.00138757i, +0.00226592-0.00046140i, +0.00343247-0.00129969i, -0.00411980-0.00052583i, +0.00012722+0.00028059i, -0.00460536-0.00006375i, -0.00126582-0.00656950i, -0.00092756+0.00146484i, -0.00299344+0.00384612i, -0.00422708-0.00475347i, +0.00084793-0.00343345i, -0.00276322+0.00061590i, -0.00290653-0.00261494i, +0.00387091+0.00132102i, +0.00108718-0.00423226i, +0.00491201+0.00726511i, +0.00317740+0.00406117i, +0.00052142-0.00371354i, +0.02705770+0.00000000i, -0.00167212-0.00143401i, -0.00186851-0.00047723i, +0.00069148+0.00030665i, +0.00238505-0.00630932i, +0.00280405+0.00298465i, +0.00127755-0.00830789i, +0.00779898-0.00751403i, +0.00194306+0.00392611i, -0.00190985-0.00531236i, +0.00269543-0.00244708i, -0.00125165+0.00259857i, +0.00218052+0.00501698i
-0.00353910-0.00132148i, +0.00147031+0.00161002i, -0.00100187+0.00007345i, -0.00099356+0.00063318i, +0.00371566+0.00063577i, -0.00209409+0.00018265i, +0.00039869+0.00005794i, +0.00119977+0.00125717i, +0.00118361+0.00075924i, +0.00136087-0.00033177i, +0.00269720-0.00001832i, -0.00009865+0.00074888i, +0.00277670-0.00130518i, +0.00164827-0.00050003i, -0.00016211-0.00080554i, -0.00110411+0.00111472i, -0.00384319-0.00275396i, +0.00041135-0.00088778i, -0.00471593-0.00371245i, -0.00167212+0.00143401i, +0.02443820-0.00000000i, +0.00217624-0.00069522i, -0.00191696+0.00103941i, -0.00107802+0.00331692i, +0.00131425+0.00163638i, -0.00016259+0.00260534i, -0.00181144+0.00241956i, +0.00019203-0.00180024i, +0.00004822+0.00235394i, -0.00059600+0.00031615i, +0.00103663+0.00114263i, -0.00161210-0.00149384i
