+0.00591887-0.00101296i, -0.00156723+0.00065284i, -0.00443021-0.00288670i, +0.00323722+0.00027626i, +0.00111445+0.00433085i, -0.00169317+0.00628707i, +0.00426624-0.00344639i, -0.00794075+0.00141167i, +0.00399360+0.00720919i, +0.00014539+0.00943942i, +0.00028061+0.00540709i, +0.02084454-0.00000000i, -0.00003841+0.00463677i, +0.00643532-0.00014877i, -0.00145087-0.00187994i, -0.00370349-0.00216549i, +0.00869683-0.00768315i, +0.00253098+0.00079339i, +0.00082888-0.00209036i, +0.00265457-0.01357132i, -0.00123291-0.00697656i, -0.00134213+0.00354832i, +0.00744693-0.00080212i, +0.00867074+0.00285446i, -0.00426060+0.00829357i, +0.00230979-0.00308749i, +0.00742478-0.00270674i, +0.00369532+0.00324480i, +0.00566712+0.00593161i, -0.00085545-0.00033163i, +0.00284418+0.00115947i, -0.00457713+0.00120381i
-0.00576268-0.00414493i, +0.00208260+0.00311058i, -0.00171655+0.00813031i, -0.00271313-0.00234839i, +0.00763829-0.00178700i, +0.00796467-0.00275019i, -0.00901084-0.00407227i, +0.00446555+0.00500694i, +0.00330367+0.00213472i, +0.00804817-0.00790845i, +0.00842825-0.00918396i, -0.00003841-0.00463677i, +0.02641368+0.00000000i, -0.00466078-0.01156504i, +0.00118888+0.00718153i, -0.00669532+0.01020186i, -0.01670984-0.00529850i, -0.00314732+0.00156989i, -0.00509552+0.00142732i, -0.01211019+0.00328228i, -0.01062372+0.00865154i, +0.00939302+0.00119957i, -0.01032004-0.01242883i, +0.00162631-0.01244755i, +0.01432535+0.00174135i, -0.00455165-0.00243575i, -0.00882552-0.00845058i, +0.00560850-0.00743760i, +0.00668877-0.01277379i, -0.00196732-0.00110410i, -0.00101954-0.00482862i, +0.00603235+0.00417706i
+0.00840859-0.00300477i, -0.00510501+0.00008642i, -0.00892570-0.00818270i, +0.00720615+0.00152559i, -0.00203390+0.00851915i, -0.00188509+0.01218251i, +0.01199539-0.00987886i, -0.00934835+0.00609548i, +0.00068106+0.00523582i, +0.00278290+0.02211521i, +0.00151074+0.01552360i, +0.00643532+0.00014877i, -0.00466078+0.01156504i, +0.03193181-0.00000000i, -0.00878047-0.00342062i, -0.00606119-0.00644533i, +0.01602498-0.01809730i, -0.00079180-0.00430216i, +0.00303705-0.00415450i, +0.00573661-0.01940267i, -0.00217194-0.01311917i, -0.00886497+0.01490745i, +0.01855400-0.00308910i, +0.01790431+0.01180707i, -0.01065473+0.01505748i, +0.00859612-0.00326981i, +0.01546918-0.00540264i, +0.00673738+0.01230612i, +0.01196069+0.01496553i, +0.00493009-0.00449241i, +0.00693687+0.00193861i, -0.00845221+0.00643661i
-0.00293118+0.00261972i, +0.00239219-0.00138671i, +0.00371566+0.00112137i, -0.00143606+0.00101444i, -0.00069325-0.00104720i, -0.00003615-0.00411819i, -0.00281008+0.00454610i, +0.00246197-0.00268621i, -0.00103408+0.00088324i, -0.00265039-0.00492496i, -0.00254725-0.00545178i, -0.00145087+0.00187994i, +0.00118888-0.00718153i, -0.00878047+0.00342062i, +0.01779768+0.00000000i, +0.00226293+0.00192365i, -0.00399652+0.00762819i, -0.00032409+0.00125867i, +0.00176580+0.00315618i, +0.00146171+0.00542849i, +0.00357432+0.00658024i, +0.00020549-0.00501518i, -0.00778805+0.00674233i, -0.00539714-0.00132714i, +0.00071726-0.00705399i, -0.00129515+0.00218425i, -0.00637319+0.00351800i, -0.00298918-0.00294021i, -0.00564549-0.00182900i, -0.00116253+0.00101609i, -0.00029892-0.00294126i, +0.00237259-0.00440222i
-0.00051036+0.00570572i, +0.00133200-0.00065057i, +0.00577800-0.00112908i, +0.00008245+0.00220286i, -0.00469182-0.00359043i, -0.00467291-0.00530317i, -0.00065615+0.00772744i, +0.00196556-0.00458573i, -0.00132201-0.00149684i, -0.00682210-0.00507498i, -0.00689476-0.00369535i, -0.00370349+0.00216549i, -0.00669532-0.01020186i, -0.00606119+0.00644533i, +0.00226293-0.00192365i, +0.02169499-0.00000000i, +0.00152445+0.01142835i, +0.00312544+0.00045411i, +0.00118969+0.00279968i, +0.00689746+0.00833499i, +0.00568426+0.00293401i, -0.00267762-0.00820894i, -0.00536999+0.00815140i, -0.01124534+0.00545444i, -0.00194331-0.00893998i, -0.00018283+0.00447017i, -0.00201753+0.00754342i, -0.00794186-0.00115632i, -0.00967352-0.00075001i, -0.00000916+0.00059198i, -0.00210124+0.00302596i, +0.00255651-0.00652008i
+0.01524691+0.00837113i, -0.00662678-0.00437662i, -0.00013330-0.01972338i, +0.00563194+0.00903397i, -0.01221413+0.00723233i, -0.01571875+0.00864130i, +0.02385899+0.00350866i, -0.01560678-0.00624958i, -0.00512572+0.00996708i, -0.01853520+0.02102127i, -0.01738686+0.01762244i, +0.00869683+0.00768315i, -0.01670984+0.00529850i, +0.01602498+0.01809730i, -0.00399652-0.00762819i, +0.00152445-0.01142835i, +0.06814405+0.00000000i, +0.00507099-0.00573417i, +0.00766899-0.00295485i, +0.03317591-0.02275078i, +0.01576362-0.02190967i, -0.02164521+0.00328705i, +0.02689663+0.02561210i, +0.00577927+0.03280149i, -0.03656011+0.00387447i, +0.01117567+0.00315955i, +0.02634222+0.01349401i, -0.00851246+0.02056840i, -0.00631910+0.03050585i, +0.00380271+0.00012869i, +0.00646013+0.01463299i, -0.01484401-0.00398174i
+0.00150756+0.00158700i, +0.00033799+0.00135608i, +0.00093744-0.00169973i, -0.00008342+0.00334452i, -0.00219994-0.00027197i, -0.00551765+0.00064914i, +0.00285444+0.00231298i, -0.00401219-0.00316939i, -0.00070894+0.00037829i, -0.00312176+0.00504360i, -0.00212710+0.00135310i, +0.00253098-0.00079339i, -0.00314732-0.00156989i, -0.00079180+0.00430216i, -0.00032409-0.00125867i, +0.00312544-0.00045411i, +0.00507099+0.00573417i, +0.02497422+0.00000000i, +0.00741259+0.00359661i, +0.00502877-0.00195442i, +0.00451021-0.00215102i, -0.00184304-0.00477622i, -0.00055641+0.00559733i, -0.00337086+0.00321106i, -0.00401593-0.00217153i, -0.00090060+0.00182573i, +0.00493185+0.00418725i, -0.00659341+0.00183055i, -0.00403121+0.00440036i, +0.00044097+0.00461558i, -0.00115395+0.00121145i, -0.00325772-0.00423044i
+0.00136849+0.00255593i, +0.00042727-0.00112003i, +0.00275407-0.00328500i, +0.00007738+0.00366225i, -0.00151042+0.00260194i, -0.00461450+0.00095517i, +0.00672794+0.00060790i, -0.00305252-0.00159490i, +0.00163421+0.00012031i, -0.00395662+0.00372354i, -0.00326899+0.00606618i, +0.00082888+0.00209036i, -0.00509552-0.00142732i, +0.00303705+0.00415450i, +0.00176580-0.00315618i, +0.00118969-0.00279968i, +0.00766899+0.00295485i, +0.00741259-0.00359661i, +0.02721091+0.00000000i, +0.00762943+0.00016495i, +0.00512075-0.00400533i, -0.00472128-0.00003112i, +0.00429390+0.01196491i, +0.00105389+0.00588351i, -0.00839506-0.00157865i, +0.00345199+0.00092740i, +0.00419482+0.00385388i, -0.00258658+0.00377146i, -0.00238539+0.01059639i, +0.00224126+0.00032963i, +0.00171483-0.00184582i, -0.00305837-0.00262295i
+0.00596028+0.01093800i, -0.00113076-0.00743130i, +0.00766110-0.01492854i, +0.00236520+0.01182031i, -0.01070675+0.00043837i, -0.01601637-0.00204239i, +0.01435179+0.01124136i, -0.00688174-0.01132955i, -0.00754608+0.00273692i, -0.02427164+0.00877067i, -0.01650691+0.00379603i, +0.00265457+0.01357132i, -0.01211019-0.00328228i, +0.00573661+0.01940267i, +0.00146171-0.00542849i, +0.00689746-0.00833499i, +0.03317591+0.02275078i, +0.00502877+0.00195442i, +0.00762943-0.00016495i, +0.05175929-0.00000000i, +0.01839253-0.00499612i, -0.01524266-0.00701090i, +0.00697692+0.02532798i, -0.00881566+0.03150464i, -0.02415688-0.01132544i, +0.00799913+0.00937652i, +0.01169127+0.01884746i, -0.01761376+0.01132159i, -0.01460513+0.01741852i, +0.00375644-0.00042969i, -0.00139548+0.01015398i, -0.00630608-0.01299551i
+0.00148372+0.00916320i, -0.00013674-0.00428361i, +0.00802995-0.00646917i, -0.00151248+0.00564296i, -0.00427922-0.00206670i, -0.01181857-0.00358304i, +0.00738811+0.01024962i, -0.00293177-0.01008127i, -0.00533865-0.00218746i, -0.01543895+0.00039994i, -0.01404400-0.00149318i, -0.00123291+0.00697656i, -0.01062372-0.00865154i, -0.00217194+0.01311917i, +0.00357432-0.00658024i, +0.00568426-0.00293401i, +0.01576362+0.02190967i, +0.00451021+0.00215102i, +0.00512075+0.00400533i, +0.01839253+0.00499612i, +0.03834680+0.00000000i, -0.00916993-0.00990083i, +0.00100446+0.02297553i, -0.01457367+0.01892402i, -0.01944277-0.01275520i, +0.00323414+0.00734251i, +0.00198024+0.02015398i, -0.01304013+0.00606014i, -0.01607322+0.00831738i, +0.00105113+0.00293217i, -0.00414869+0.00512270i, -0.00219814-0.00884901i
