+0.03081958-0.00000000i, -0.00011729-0.00026444i, +0.00048565-0.00025732i, -0.00007066+0.00010524i, +0.00020513+0.00015012i, -0.00016074-0.00009231i, +0.00020026-0.00015000i, -0.00029928+0.00008314i, +0.00066528-0.00011892i, +0.00004849-0.00021037i, -0.00026279-0.00047103i, -0.00033366+0.00031556i, -0.00016476+0.00005987i, +0.00013788-0.00013152i, -0.00001904-0.00008984i, +0.00022700-0.00005990i, -0.00051652+0.00002513i, +0.00067560-0.00095398i, -0.00001152+0.00016735i, -0.00049292-0.00057456i, -0.00013388-0.00006756i, +0.00053282+0.00016651i, -0.00001793-0.00002956i, +0.00026112-0.00036131i, -0.00095445+0.00016359i, -0.00010568+0.00018623i, +0.00009540+0.00024552i, +0.00014695-0.00036989i, -0.00003386+0.00002738i, +0.00012510-0.00022675i, -0.00029708-0.00012013i, +0.00000677+0.00006839i
-0.00033366-0.00031556i, +0.00024992+0.00045701i, -0.00121809-0.00123236i, -0.00029544-0.00090664i, +0.00002619-0.00028166i, -0.00032504-0.00007531i, +0.00118742-0.00119641i, -0.00056914+0.00089469i, -0.00053802-0.00095252i, -0.00060758+0.00062795i, -0.00091663+0.00066851i, +0.03147002+0.00000000i, +0.00056900+0.00082201i, +0.00018355-0.00014382i, -0.00006262+0.00044273i, -0.00090900-0.00107273i, -0.00096638+0.00040983i, -0.00165875-0.00118156i, +0.00093982-0.00024190i, -0.00108926+0.00169468i, +0.00023969+0.00037398i, +0.00051742-0.00073600i, +0.00058042+0.00009670i, -0.00103096-0.00015550i, +0.00023515+0.00105131i, +0.00066264+0.00056514i, +0.00063607-0.00041184i, -0.00044666-0.00010471i, -0.00003944+0.00001563i, -0.00026281+0.00009930i, +0.00049371+0.00103884i, +0.00012078-0.00001378i
-0.00016476-0.00005987i, +0.00030594+0.00027713i, -0.00080040-0.00014079i, -0.00034915+0.00013352i, -0.00046565-0.00083807i, +0.00014544-0.00001180i, -0.00006424-0.00071598i, -0.00003056+0.00036169i, -0.00032327+0.00033282i, +0.00035892+0.00023447i, -0.00001359+0.00083324i, +0.00056900-0.00082201i, +0.03039677-0.00000000i, -0.00016344-0.00042600i, +0.00072531-0.00052762i, -0.00094209+0.00001598i, -0.00050067+0.00049149i, -0.00074134+0.00040356i, +0.00012542-0.00048116i, +0.00041336+0.00054041i, +0.00084935+0.00013835i, +0.00011423-0.00047649i, +0.00019978-0.00028798i, -0.00052010+0.00013168i, +0.00054989+0.00018239i, +0.00016818+0.00000631i, +0.00018532-0.00033681i, -0.00012869+0.00000594i, +0.00015820-0.00014397i, +0.00014866+0.00014075i, +0.00033308-0.00002497i, +0.00019669-0.00019430i
+0.00013788+0.00013152i, -0.00026392+0.00001822i, -0.00053233-0.00054016i, -0.00018811-0.00024966i, -0.00000128-0.00039609i, -0.00021677-0.00027685i, +0.00058481+0.00001106i, +0.00007843+0.00028936i, +0.00026696-0.00009011i, +0.00001651+0.00037435i, -0.00067086-0.00006060i, +0.00018355+0.00014382i, -0.00016344+0.00042600i, +0.03035679-0.00000000i, -0.00008495+0.00006950i, -0.00027495-0.00053087i, -0.00057338-0.00033071i, -0.00040825-0.00100340i, +0.00029102+0.00016867i, -0.00059871+0.00044404i, +0.00007421+0.00016659i, +0.00091876+0.00029668i, +0.00004476+0.00005625i, -0.00024487-0.00028405i, -0.00001501+0.00013191i, +0.00038966-0.00016705i, +0.00004493-0.00006795i, +0.00002314+0.00009746i, -0.00005591+0.00028466i, -0.00013282-0.00004071i, +0.00008602+0.00003687i, +0.00014631-0.00008453i
-0.00001904+0.00008984i, +0.00034991-0.00014881i, -0.00036051+0.00056863i, -0.00031383+0.00015860i, -0.00005670-0.00023676i, +0.00021555-0.00010983i, -0.00096903-0.00045150i, +0.00046748+0.00015494i, -0.00011508-0.00017695i, +0.00004190-0.00022372i, -0.00014691+0.00063419i, -0.00006262-0.00044273i, +0.00072531+0.00052762i, -0.00008495-0.00006950i, +0.03090683-0.00000000i, -0.00067371+0.00019158i, -0.00030210+0.00037230i, -0.00057145+0.00033327i, +0.00041974+0.00003576i, +0.00030026+0.00046077i, +0.00008083+0.00040741i, -0.00023971-0.00023212i, +0.00068154+0.00009753i, -0.00037885+0.00054547i, +0.00031680+0.00046833i, +0.00019703-0.00012120i, -0.00026745+0.00028361i, -0.00024864+0.00019923i, +0.00005272-0.00043308i, -0.00023118+0.00039626i, +0.00043418-0.00003590i, -0.00025069+0.00023913i
+0.00022700+0.00005990i, -0.00057047-0.00068259i, +0.00130865+0.00019763i, +0.00033312+0.00035729i, +0.00000734+0.00037071i, +0.00005204+0.00016439i, -0.00003695+0.00163716i, -0.00025534-0.00100693i, +0.00101526+0.00095189i, +0.00003171-0.00014123i, +0.00013672-0.00093693i, -0.00090900+0.00107273i, -0.00094209-0.00001598i, -0.00027495+0.00053087i, -0.00067371-0.00019158i, +0.03118746-0.00000000i, +0.00032450-0.00072419i, +0.00171757-0.00028638i, -0.00071311+0.00058362i, -0.00044562-0.00110523i, -0.00044673-0.00010490i, +0.00007092+0.00084446i, -0.00025525+0.00028916i, +0.00109949-0.00021991i, -0.00073116-0.00047642i, -0.00040021-0.00002817i, -0.00024541+0.00022295i, +0.00053443+0.00015454i, -0.00020544+0.00009945i, +0.00031489-0.00033802i, -0.00060181-0.00030768i, -0.00008563+0.00021757i
-0.00051652-0.00002513i, +0.00008742-0.00066471i, +0.00085342+0.00104347i, +0.00024207+0.00049943i, -0.00068389+0.00002553i, -0.00028283-0.00007376i, -0.00135385+0.00073425i, +0.00058207-0.00059018i, -0.00085283+0.00123183i, -0.00001473-0.00071370i, +0.00115147-0.00035508i, -0.00096638-0.00040983i, -0.00050067-0.00049149i, -0.00057338+0.00033071i, -0.00030210-0.00037230i, +0.00032450+0.00072419i, +0.03208330-0.00000000i, +0.00147114+0.00181201i, -0.00145954-0.00063450i, +0.00102147-0.00108051i, -0.00025048+0.00000166i, -0.00113972+0.00038948i, -0.00067096-0.00050997i, +0.00102259+0.00067913i, +0.00062716-0.00134720i, -0.00040403-0.00066241i, -0.00049252+0.00012595i, -0.00003631+0.00035358i, -0.00015494-0.00015761i, +0.00013338+0.00035389i, -0.00014802-0.00107662i, -0.00029931+0.00002174i
+0.00067560+0.00095398i, -0.00136605-0.00125553i, +0.00275066+0.00024097i, +0.00092988+0.00075894i, -0.00058152+0.00078987i, -0.00007243+0.00013102i, -0.00034944+0.00287112i, -0.00065135-0.00187691i, +0.00176032+0.00149357i, -0.00133424-0.00068072i, +0.00109414-0.00208855i, -0.00165875+0.00118156i, -0.00074134-0.00040356i, -0.00040825+0.00100340i, -0.00057145-0.00033327i, +0.00171757+0.00028638i, +0.00147114-0.00181201i, +0.03558073-0.00000000i, -0.00193654+0.00137743i, -0.00028539-0.00297773i, -0.00099423-0.00058559i, -0.00039536+0.00229503i, -0.00065373+0.00026591i, +0.00231561-0.00084528i, -0.00170502-0.00200834i, -0.00060131-0.00007311i, -0.00001465+0.00126337i, +0.00083058-0.00022612i, -0.00003119+0.00005919i, +0.00064327-0.00050411i, -0.00161605-0.00063941i, -0.00059574+0.00040765i
-0.00001152-0.00016735i, +0.00007594+0.00071763i, -0.00115310-0.00157925i, -0.00031642-0.00071935i, +0.00023538-0.00035850i, +0.00021514-0.00011330i, +0.00133682-0.00103068i, -0.00049880+0.00070036i, -0.00027522-0.00108936i, +0.00019620+0.00052726i, -0.00168236+0.00073999i, +0.00093982+0.00024190i, +0.00012542+0.00048116i, +0.00029102-0.00016867i, +0.00041974-0.00003576i, -0.00071311-0.00058362i, -0.00145954+0.00063450i, -0.00193654-0.00137743i, +0.03197183-0.00000000i, -0.00097795+0.00141132i, +0.00025813+0.00087431i, +0.00095046-0.00080558i, +0.00071718+0.00034698i, -0.00102587-0.00025467i, +0.00020690+0.00102902i, +0.00053472+0.00021823i, +0.00046900-0.00048176i, -0.00034674-0.00015233i, +0.00021325+0.00013568i, -0.00041102-0.00012542i, +0.00065588+0.00063944i, +0.00023129+0.00006243i
-0.00049292+0.00057456i, +0.00085823-0.00055656i, -0.00087139+0.00182353i, -0.00111507+0.00036726i, -0.00068094-0.00049140i, +0.00005624+0.00015426i, -0.00224638-0.00072464i, +0.00132137+0.00019104i, -0.00083640+0.00128285i, +0.00057658-0.00032789i, +0.00131574+0.00062594i, -0.00108926-0.00169468i, +0.00041336-0.00054041i, -0.00059871-0.00044404i, +0.00030026-0.00046077i, -0.00044562+0.00110523i, +0.00102147+0.00108051i, -0.00028539+0.00297773i, -0.00097795-0.00141132i, +0.03333413-0.00000000i, +0.00018870-0.00082257i, -0.00142020-0.00037581i, -0.00015901-0.00068249i, +0.00050303+0.00130707i, +0.00119207-0.00081480i, +0.00038632-0.00086872i, -0.00071577+0.00016902i, +0.00016618+0.00054123i, -0.00014620-0.00016412i, +0.00062551+0.00032618i, +0.00075472-0.00044336i, -0.00021675-0.00032715i
-0.00013388+0.00006756i, +0.00013465+0.00009731i, -0.00057247+0.00020771i, -0.00032684-0.00016483i, +0.00028002-0.00045532i, -0.00015854-0.00009551i, -0.00006811-0.00056232i, +0.00023472+0.00027910i, -0.00067144+0.00018930i, +0.00012204-0.00014558i, +0.00001468+0.00028654i, +0.00023969-0.00037398i, +0.00084935-0.00013835i, +0.00007421-0.00016659i, +0.00008083-0.00040741i, -0.00044673+0.00010490i, -0.00025048-0.00000166i, -0.00099423+0.00058559i, +0.00025813-0.00087431i, +0.00018870+0.00082257i, +0.03073003-0.00000000i, -0.00015600-0.00062953i, +0.00028954-0.00076916i, -0.00082130+0.00025725i, +0.00065065-0.00014698i, +0.00015518-0.00036035i, -0.00026129-0.00036754i, +0.00021300+0.00010859i, -0.00047093-0.00044390i, +0.00005163+0.00008054i, +0.00028574-0.00024578i, +0.00029198-0.00035680i
+0.00053282-0.00016651i, -0.00050967+0.00056919i, -0.00012705-0.00148563i, +0.00032985-0.00052353i, +0.00030236-0.00004862i, +0.00003815-0.00037530i, +0.00159919-0.00021147i, -0.00083160+0.00050016i, +0.00083163-0.00082540i, -0.00038480+0.00066652i, -0.00135673-0.00005900i, +0.00051742+0.00073600i, +0.00011423+0.00047649i, +0.00091876-0.00029668i, -0.00023971+0.00023212i, +0.00007092-0.00084446i, -0.00113972-0.00038948i, -0.00039536-0.00229503i, +0.00095046+0.00080558i, -0.00142020+0.00037581i, -0.00015600+0.00062953i, +0.03156999-0.00000000i, +0.00026427+0.00089408i, -0.00106164-0.00084657i, -0.00070323+0.00076818i, +0.00025974+0.00037361i, +0.00034069-0.00013251i, -0.00010745-0.00035282i, +0.00028877+0.00001274i, -0.00005018-0.00045491i, -0.00008326+0.00097122i, +0.00034553+0.00031199i
-0.00001793+0.00002956i, +0.00014917+0.00054259i, -0.00064239-0.00031623i, +0.00002800-0.00059722i, +0.00042584-0.00024431i, +0.00011739+0.00005037i, +0.00053521-0.00122337i, -0.00000157+0.00041985i, -0.00033178-0.00034586i, -0.00000688+0.00011679i, -0.00023285+0.00056502i, +0.00058042-0.00009670i, +0.00019978+0.00028798i, +0.00004476-0.00005625i, +0.00068154-0.00009753i, -0.00025525-0.00028916i, -0.00067096+0.00050997i, -0.00065373-0.00026591i, +0.00071718-0.00034698i, -0.00015901+0.00068249i, +0.00028954+0.00076916i, +0.00026427-0.00089408i, +0.03107127+0.00000000i, -0.00091421+0.00050322i, +0.00027304+0.00103821i, +0.00014011+0.00005944i, -0.00011394+0.00003318i, -0.00012978+0.00013969i, +0.00008044-0.00000879i, -0.00024391-0.00030931i, +0.00060380+0.00027032i, +0.00024711+0.00018468i
+0.00026112+0.00036131i, -0.00033254-0.00086949i, +0.00127537+0.00067355i, +0.00028753+0.00020272i, -0.00048065+0.00024575i, +0.00003439+0.00000622i, -0.00117380+0.00146868i, +0.00019971-0.00137798i, +0.00029857+0.00115493i, -0.00017444-0.00048481i, +0.00085130-0.00074781i, -0.00103096+0.00015550i, -0.00052010-0.00013168i, -0.00024487+0.00028405i, -0.00037885-0.00054547i, +0.00109949+0.00021991i, +0.00102259-0.00067913i, +0.00231561+0.00084528i, -0.00102587+0.00025467i, +0.00050303-0.00130707i, -0.00082130-0.00025725i, -0.00106164+0.00084657i, -0.00091421-0.00050322i, +0.03218064-0.00000000i, -0.00000422-0.00104375i, -0.00058098-0.00014450i, -0.00031416+0.00075282i, +0.00027216-0.00001963i, +0.00020394+0.00013625i, +0.00053161+0.00011926i, -0.00088155-0.00107767i, -0.00062021-0.00003013i
-0.00095445-0.00016359i, +0.00060402-0.00024749i, -0.00118781+0.00110911i, -0.00039497+0.00026378i, -0.00062268-0.00057694i, -0.00018822-0.00008138i, -0.00085817-0.00125114i, +0.00080740+0.00049471i, -0.00155052+0.00033614i, +0.00010733-0.00020064i, +0.00074697+0.00117735i, +0.00023515-0.00105131i, +0.00054989-0.00018239i, -0.00001501-0.00013191i, +0.00031680-0.00046833i, -0.00073116+0.00047642i, +0.00062716+0.00134720i, -0.00170502+0.00200834i, +0.00020690-0.00102902i, +0.00119207+0.00081480i, +0.00065065+0.00014698i, -0.00070323-0.00076818i, +0.00027304-0.00103821i, -0.00000422+0.00104375i, +0.03194922-0.00000000i, +0.00035591-0.00005331i, -0.00047975-0.00053174i, -0.00047294+0.00010659i, +0.00031366-0.00015132i, -0.00009830+0.00049407i, +0.00135322-0.00030341i, +0.00022004-0.00078939i
-0.00010568-0.00018623i, -0.00005693+0.00005528i, -0.00065931-0.00011174i, -0.00013064-0.00015427i, +0.00017382-0.00034252i, -0.00005082-0.00016820i, -0.00005265-0.00072481i, +0.00015435+0.00056992i, -0.00010057-0.00018141i, -0.00030621+0.00020456i, -0.00015577+0.00035172i, +0.00066264-0.00056514i, +0.00016818-0.00000631i, +0.00038966+0.00016705i, +0.00019703+0.00012120i, -0.00040021+0.00002817i, -0.00040403+0.00066241i, -0.00060131+0.00007311i, +0.00053472-0.00021823i, +0.00038632+0.00086872i, +0.00015518+0.00036035i, +0.00025974-0.00037361i, +0.00014011-0.00005944i, -0.00058098+0.00014450i, +0.00035591+0.00005331i, +0.03112736-0.00000000i, -0.00010693-0.00020980i, -0.00011747+0.00008555i, +0.00003300-0.00000707i, +0.00022898+0.00036966i, +0.00012897+0.00022394i, -0.00027462-0.00030886i
+0.00009540-0.00024552i, +0.00035239+0.00049049i, -0.00035746-0.00077861i, +0.00022005-0.00030313i, +0.00029730+0.00003030i, +0.00001974+0.00004350i, +0.00098364-0.00023969i, -0.00043243+0.00028339i, -0.00001212-0.00025397i, +0.00002375+0.00055035i, -0.00106062-0.00004619i, +0.00063607+0.00041184i, +0.00018532+0.00033681i, +0.00004493+0.00006795i, -0.00026745-0.00028361i, -0.00024541-0.00022295i, -0.00049252-0.00012595i, -0.00001465-0.00126337i, +0.00046900+0.00048176i, -0.00071577-0.00016902i, -0.00026129+0.00036754i, +0.00034069+0.00013251i, -0.00011394-0.00003318i, -0.00031416-0.00075282i, -0.00047975+0.00053174i, -0.00010693+0.00020980i, +0.02999616-0.00000000i, +0.00015768-0.00034820i, -0.00031738-0.00012806i, -0.00047380-0.00010071i, +0.00013048+0.00029065i, +0.00020299+0.00001942i
+0.00014695+0.00036989i, +0.00000871-0.00000673i, +0.00056598+0.00014268i, -0.00034254-0.00004525i, -0.00000276+0.00020670i, +0.00000029+0.00004781i, -0.00034087+0.00060024i, +0.00006348-0.00052747i, +0.00024297-0.00001600i, -0.00001596-0.00032487i, +0.00027042-0.00056900i, -0.00044666+0.00010471i, -0.00012869-0.00000594i, +0.00002314-0.00009746i, -0.00024864-0.00019923i, +0.00053443-0.00015454i, -0.00003631-0.00035358i, +0.00083058+0.00022612i, -0.00034674+0.00015233i, +0.00016618-0.00054123i, +0.00021300-0.00010859i, -0.00010745+0.00035282i, -0.00012978-0.00013969i, +0.00027216+0.00001963i, -0.00047294-0.00010659i, -0.00011747-0.00008555i, +0.00015768+0.00034820i, +0.03041807-0.00000000i, +0.00012941+0.00051964i, +0.00031280+0.00010420i, -0.00029134-0.00005407i, +0.00028097-0.00008568i
-0.00003386-0.00002738i, +0.00013660+0.00022495i, -0.00013603-0.00002402i, +0.00003779+0.00004468i, +0.00045337+0.00002712i, +0.00013499-0.00000377i, +0.00007925-0.00020875i, -0.00018572-0.00013073i, -0.00001422-0.00047195i, -0.00014991-0.00013687i, +0.00000471-0.00005594i, -0.00003944-0.00001563i, +0.00015820+0.00014397i, -0.00005591-0.00028466i, +0.00005272+0.00043308i, -0.00020544-0.00009945i, -0.00015494+0.00015761i, -0.00003119-0.00005919i, +0.00021325-0.00013568i, -0.00014620+0.00016412i, -0.00047093+0.00044390i, +0.00028877-0.00001274i, +0.00008044+0.00000879i, +0.00020394-0.00013625i, +0.00031366+0.00015132i, +0.00003300+0.00000707i, -0.00031738+0.00012806i, +0.00012941-0.00051964i, +0.02988710-0.00000000i, +0.00004674-0.00011093i, -0.00008260-0.00016928i, -0.00023327-0.00000735i
+0.00012510+0.00022675i, +0.00002328-0.00028593i, +0.00051630+0.00029185i, +0.00027296+0.00049398i, +0.00006443+0.00014495i, +0.00040210+0.00037520i, -0.00049996+0.00030692i, -0.00006492-0.00054965i, +0.00041844+0.00034101i, -0.00006607-0.00042348i, +0.00020227-0.00008643i, -0.00026281-0.00009930i, +0.00014866-0.00014075i, -0.00013282+0.00004071i, -0.00023118-0.00039626i, +0.00031489+0.00033802i, +0.00013338-0.00035389i, +0.00064327+0.00050411i, -0.00041102+0.00012542i, +0.00062551-0.00032618i, +0.00005163-0.00008054i, -0.00005018+0.00045491i, -0.00024391+0.00030931i, +0.00053161-0.00011926i, -0.00009830-0.00049407i, +0.00022898-0.00036966i, -0.00047380+0.00010071i, +0.00031280-0.00010420i, +0.00004674+0.00011093i, +0.03017933-0.00000000i, -0.00008241-0.00000505i, -0.00042117-0.00000291i
