+0.00451708-0.00134386i, -0.00307349-0.00036857i, -0.00186682-0.00049860i, +0.00059917+0.00061185i, -0.00091018+0.00130835i, +0.00161102-0.00004802i, +0.00221899+0.00137382i, -0.00073378-0.00226589i, +0.00071453+0.00017296i, -0.00045399+0.00329466i, -0.00065615+0.00044412i, +0.03363292-0.00000000i, -0.00029940+0.00043278i, -0.00142945-0.00012168i, -0.00109859-0.00003058i, +0.00032349+0.00139153i, -0.00379130+0.00080680i, -0.00142221-0.00197875i, -0.00186385+0.00100846i, +0.00029031+0.00211020i, +0.00002401+0.00305130i, +0.00113862-0.00028190i, +0.00016672-0.00109481i, -0.00074068+0.00008612i, +0.00242785+0.00027062i, -0.00007422+0.00278650i, +0.00115999+0.00166398i, +0.00044483+0.00048805i, +0.00270372+0.00045250i, +0.00137625+0.00099080i, +0.00052149+0.00331915i, +0.00244555-0.00174561i
+0.00001580-0.00014434i, +0.00015976-0.00012874i, -0.00003685-0.00043378i, -0.00040697-0.00046771i, -0.00028861-0.00032749i, +0.00040869-0.00031081i, +0.00043709-0.00035333i, -0.00029419+0.00053315i, +0.00044097+0.00050553i, -0.00027154+0.00033636i, -0.00001278+0.00012793i, -0.00029940-0.00043278i, +0.02921134-0.00000000i, +0.00042365+0.00058534i, +0.00007576+0.00034366i, -0.00014244+0.00016170i, -0.00017560-0.00033641i, +0.00010800+0.00017506i, +0.00039840-0.00037803i, +0.00027999+0.00046767i, -0.00017315+0.00031099i, +0.00003973-0.00004365i, +0.00006045-0.00010504i, -0.00015566+0.00011675i, -0.00009847-0.00009693i, -0.00008226+0.00011662i, -0.00004456-0.00023498i, +0.00001823-0.00004115i, -0.00027901-0.00049232i, +0.00011630+0.00006190i, -0.00032069-0.00012689i, +0.00004081+0.00040942i
-0.00096231+0.00158799i, +0.00099216-0.00005897i, +0.00038881-0.00080941i, -0.00018989+0.00024813i, -0.00029511-0.00129182i, -0.00080126+0.00015266i, -0.00098869-0.00012113i, +0.00082289+0.00057926i, -0.00029555-0.00030344i, -0.00036316-0.00055618i, +0.00041561-0.00048629i, -0.00142945+0.00012168i, +0.00042365-0.00058534i, +0.03018595-0.00000000i, +0.00018556+0.00033766i, -0.00000767-0.00029907i, +0.00115636-0.00092159i, +0.00079869+0.00073637i, +0.00121418-0.00058507i, -0.00068109-0.00058100i, -0.00055439-0.00022192i, -0.00060329-0.00005290i, +0.00013169+0.00053002i, +0.00009415+0.00038958i, -0.00112217+0.00011622i, -0.00064181-0.00115087i, -0.00053406-0.00023786i, -0.00023380+0.00010471i, -0.00098275+0.00011892i, -0.00080199-0.00034737i, -0.00054556-0.00064338i, -0.00053238+0.00091802i
-0.00035944+0.00060346i, +0.00040082-0.00022070i, +0.00040919+0.00002375i, -0.00062931-0.00045789i, +0.00006955-0.00058213i, -0.00027033+0.00039906i, -0.00138709-0.00032527i, +0.00003104+0.00033053i, -0.00018199+0.00064389i, -0.00050440-0.00065155i, +0.00001072+0.00013397i, -0.00109859+0.00003058i, +0.00007576-0.00034366i, +0.00018556-0.00033766i, +0.02992432-0.00000000i, -0.00038017-0.00116293i, +0.00124366-0.00038099i, +0.00102217+0.00080142i, +0.00055789-0.00084703i, -0.00041545-0.00036943i, -0.00054680-0.00076656i, -0.00046328+0.00030603i, -0.00003472+0.00041141i, +0.00045514-0.00008944i, -0.00016378+0.00019637i, -0.00047432-0.00059342i, -0.00022549-0.00044133i, -0.00026989-0.00003635i, -0.00018518-0.00005783i, -0.00073554+0.00032249i, -0.00061064-0.00076372i, -0.00069523+0.00072590i
-0.00066026-0.00183287i, -0.00058327+0.00086947i, -0.00056636+0.00068508i, +0.00038783+0.00056090i, +0.00054836+0.00048061i, +0.00019837-0.00077118i, +0.00063940-0.00064468i, -0.00128010+0.00048966i, +0.00043789-0.00114489i, +0.00116575+0.00072482i, -0.00026799+0.00053851i, +0.00032349-0.00139153i, -0.00014244-0.00016170i, -0.00000767+0.00029907i, -0.00038017+0.00116293i, +0.03062167-0.00000000i, -0.00025803+0.00139905i, -0.00098879+0.00025552i, +0.00039061+0.00053113i, +0.00118484-0.00026582i, +0.00126021-0.00018036i, +0.00035155-0.00021969i, -0.00049117+0.00013185i, -0.00070304+0.00062414i, -0.00013277-0.00060421i, +0.00141162+0.00003079i, +0.00043256-0.00043425i, +0.00020067-0.00005337i, +0.00052155-0.00137622i, +0.00052709-0.00041936i, +0.00130049-0.00017437i, -0.00105243-0.00146309i
-0.00423854+0.00193363i, +0.00274937+0.00068094i, +0.00174181+0.00103249i, +0.00018097-0.00130255i, +0.00105988-0.00118318i, -0.00237584-0.00064124i, -0.00190694-0.00129416i, +0.00053638+0.00175398i, -0.00125613-0.00062322i, -0.00000704-0.00356612i, +0.00109248-0.00026448i, -0.00379130-0.00080680i, -0.00017560+0.00033641i, +0.00115636+0.00092159i, +0.00124366+0.00038099i, -0.00025803-0.00139905i, +0.03508969-0.00000000i, +0.00069972+0.00344758i, +0.00172837-0.00103789i, -0.00010046-0.00116810i, -0.00041687-0.00218684i, -0.00125171-0.00027717i, -0.00016079+0.00154191i, +0.00098788-0.00022942i, -0.00237476-0.00157748i, +0.00083620-0.00228573i, -0.00112853-0.00158738i, -0.00055107-0.00054049i, -0.00269460-0.00046359i, -0.00113369-0.00114745i, +0.00030309-0.00349019i, -0.00333288+0.00105442i
-0.00009160+0.00294957i, +0.00162571-0.00039954i, +0.00087034-0.00093621i, -0.00023480+0.00004511i, -0.00063546-0.00143868i, -0.00055587+0.00128328i, -0.00143712+0.00106560i, +0.00127298+0.00024567i, -0.00081196+0.00063733i, -0.00183971-0.00127915i, -0.00024170-0.00035499i, -0.00142221+0.00197875i, +0.00010800-0.00017506i, +0.00079869-0.00073637i, +0.00102217-0.00080142i, -0.00098879-0.00025552i, +0.00069972-0.00344758i, +0.03151031-0.00000000i, +0.00041533-0.00148629i, -0.00112492-0.00086542i, -0.00177470-0.00000866i, -0.00044324+0.00100610i, +0.00064458+0.00056944i, -0.00007388-0.00038437i, -0.00100598+0.00099943i, -0.00128852-0.00095519i, -0.00125056-0.00016731i, -0.00094012+0.00000482i, -0.00046453+0.00120902i, -0.00160037+0.00146958i, -0.00204748-0.00043201i, +0.00029869+0.00268303i
-0.00211807-0.00037584i, +0.00098730+0.00056152i, +0.00126175+0.00203547i, +0.00066859-0.00052897i, +0.00079177-0.00024950i, -0.00040073-0.00092359i, -0.00064694-0.00146431i, -0.00052227+0.00098302i, -0.00053362-0.00007654i, +0.00102431-0.00118554i, +0.00019159-0.00040281i, -0.00186385-0.00100846i, +0.00039840+0.00037803i, +0.00121418+0.00058507i, +0.00055789+0.00084703i, +0.00039061-0.00053113i, +0.00172837+0.00103789i, +0.00041533+0.00148629i, +0.03090748-0.00000000i, +0.00036943-0.00143641i, +0.00104121-0.00130492i, -0.00112097-0.00051619i, -0.00135189+0.00116270i, +0.00049699+0.00078880i, -0.00058629-0.00055237i, +0.00093698-0.00134434i, -0.00015769-0.00146510i, +0.00021224-0.00067849i, -0.00055899-0.00149934i, -0.00073077-0.00063753i, +0.00081894-0.00229804i, -0.00154097+0.00037078i
-0.00009680-0.00216839i, -0.00100461+0.00074072i, -0.00077284+0.00020603i, +0.00073546+0.00097984i, +0.00047608+0.00083496i, +0.00023948-0.00122788i, +0.00080782-0.00053985i, -0.00081091-0.00011760i, +0.00024857-0.00018624i, +0.00133890+0.00044516i, +0.00007994+0.00011487i, +0.00029031-0.00211020i, +0.00027999-0.00046767i, -0.00068109+0.00058100i, -0.00041545+0.00036943i, +0.00118484+0.00026582i, -0.00010046+0.00116810i, -0.00112492+0.00086542i, +0.00036943+0.00143641i, +0.03047793-0.00000000i, +0.00119267+0.00031455i, +0.00049028-0.00046868i, -0.00100569-0.00041290i, -0.00017634+0.00121882i, +0.00037112-0.00074844i, +0.00107050+0.00036423i, +0.00047939-0.00011257i, -0.00033054-0.00082700i, +0.00038994-0.00133634i, +0.00015996+0.00037900i, +0.00088913-0.00001784i, -0.00046953-0.00171489i
-0.00083939-0.00288402i, -0.00042647+0.00177695i, -0.00084700+0.00170910i, +0.00088235+0.00030815i, +0.00038796+0.00186846i, +0.00045013-0.00170022i, +0.00107913-0.00196187i, -0.00105436+0.00016510i, +0.00020963-0.00000989i, +0.00244512-0.00015920i, +0.00036914+0.00006805i, +0.00002401-0.00305130i, -0.00017315-0.00031099i, -0.00055439+0.00022192i, -0.00054680+0.00076656i, +0.00126021+0.00018036i, -0.00041687+0.00218684i, -0.00177470+0.00000866i, +0.00104121+0.00130492i, +0.00119267-0.00031455i, +0.03117837-0.00000000i, -0.00010746+0.00006758i, -0.00093413+0.00042952i, -0.00027452+0.00032222i, +0.00128509-0.00160283i, +0.00196082+0.00035446i, +0.00084562-0.00069782i, +0.00003107+0.00027391i, +0.00030617-0.00163273i, +0.00097174-0.00085690i, +0.00229817-0.00062464i, -0.00092523-0.00203061i
