-0.00032888-0.00176260i, +0.00034868+0.00110459i, +0.00337732+0.00127830i, +0.00165739+0.00157512i, +0.00090416-0.00003119i, +0.00078506+0.00093696i, -0.00060549-0.00182112i, -0.00008459-0.00067714i, -0.00060004+0.00056250i, +0.00099755+0.00221986i, +0.00037627-0.00124455i, +0.03405943-0.00000000i, -0.00073923+0.00008708i, +0.00200137-0.00080207i, -0.00099566-0.00037973i, -0.00125008+0.00103630i, -0.00106994+0.00065660i, -0.00030861+0.00160447i, -0.00193243-0.00116201i, +0.00127297+0.00122179i, -0.00010577+0.00186396i, +0.00166571+0.00125997i, -0.00018358-0.00012556i, -0.00029954-0.00022269i, -0.00122659-0.00183679i, +0.00064474+0.00069303i, +0.00158113-0.00066738i, -0.00102914+0.00259934i, -0.00112160+0.00292975i, +0.00014575+0.00177199i, +0.00078864-0.00261453i, -0.00040593-0.00164592i
-0.00056951+0.00047387i, -0.00033162-0.00038019i, -0.00043841-0.00012483i, -0.00027266-0.00025680i, +0.00016284-0.00012722i, -0.00032782-0.00027723i, -0.00003432+0.00015327i, +0.00045802+0.00061773i, -0.00003202-0.00037996i, -0.00062483-0.00056965i, -0.00049926-0.00015988i, -0.00073923-0.00008708i, +0.02970084-0.00000000i, -0.00045492+0.00019158i, -0.00016688-0.00034556i, +0.00016237+0.00022760i, +0.00029274+0.00008667i, +0.00008452-0.00035124i, +0.00018205+0.00005555i, -0.00019507+0.00010717i, -0.00001931-0.00072416i, -0.00046848-0.00011214i, +0.00015741-0.00024313i, +0.00006098+0.00014958i, +0.00016382+0.00033983i, -0.00014076-0.00000653i, -0.00001443-0.00002496i, +0.00021200-0.00018238i, +0.00023790+0.00025054i, +0.00014460-0.00057551i, -0.00006617+0.00040402i, +0.00011332+0.00021163i
+0.00014679-0.00095473i, -0.00033332+0.00057754i, +0.00119024+0.00132032i, +0.00106320+0.00104974i, +0.00080926+0.00066276i, +0.00033989+0.00071540i, +0.00018899-0.00135488i, -0.00001279-0.00109381i, -0.00018639+0.00014983i, +0.00062248+0.00193074i, +0.00069747-0.00072621i, +0.00200137+0.00080207i, -0.00045492-0.00019158i, +0.03121097-0.00000000i, -0.00099562-0.00008943i, -0.00139865+0.00034796i, -0.00058987-0.00008715i, -0.00085936+0.00095353i, -0.00084677-0.00097342i, +0.00018353+0.00102910i, -0.00071185+0.00079566i, +0.00054481+0.00092759i, -0.00013267+0.00005399i, -0.00005229-0.00016574i, -0.00034167-0.00087774i, +0.00049307+0.00039826i, +0.00049247-0.00001653i, -0.00090350+0.00131120i, -0.00143859+0.00170102i, -0.00071489+0.00182845i, +0.00145220-0.00141986i, +0.00021321-0.00085462i
+0.00061467+0.00026602i, -0.00007682-0.00007286i, -0.00056995+0.00042626i, -0.00064429+0.00022949i, -0.00069264+0.00006147i, -0.00012011-0.00053872i, +0.00043893+0.00037575i, +0.00011472-0.00018004i, +0.00015507-0.00070634i, -0.00056649-0.00017569i, -0.00024013+0.00013721i, -0.00099566+0.00037973i, -0.00016688+0.00034556i, -0.00099562+0.00008943i, +0.03031307-0.00000000i, +0.00027381-0.00063897i, +0.00040244-0.00022783i, -0.00000928-0.00040778i, +0.00026566-0.00008723i, -0.00041379-0.00002853i, -0.00003401-0.00009620i, -0.00014803+0.00006381i, -0.00016888-0.00061915i, -0.00020313+0.00017581i, +0.00026875+0.00029572i, -0.00020060-0.00024940i, -0.00018863+0.00040704i, +0.00013352-0.00047910i, -0.00043515-0.00052429i, -0.00005936-0.00038277i, -0.00007885+0.00152071i, +0.00028407+0.00029214i
-0.00038463+0.00046906i, +0.00026415-0.00043738i, -0.00070844-0.00126855i, -0.00015397-0.00110058i, -0.00042704-0.00081303i, +0.00033399-0.00055295i, -0.00022385+0.00092023i, -0.00009495+0.00028306i, +0.00001373+0.00035280i, +0.00049058-0.00065650i, -0.00062986+0.00028960i, -0.00125008-0.00103630i, +0.00016237-0.00022760i, -0.00139865-0.00034796i, +0.00027381+0.00063897i, +0.03087777-0.00000000i, +0.00034620-0.00015795i, +0.00060899-0.00054319i, +0.00029586+0.00085125i, +0.00024787-0.00058383i, +0.00098228-0.00039711i, +0.00002723-0.00094985i, +0.00002279+0.00028891i, -0.00028868-0.00014726i, -0.00006769+0.00101114i, +0.00005463-0.00057480i, -0.00031464-0.00053382i, +0.00101278-0.00011598i, +0.00179635-0.00037629i, +0.00071036-0.00079753i, -0.00145708+0.00068894i, -0.00031248+0.00122376i
-0.00085229+0.00051330i, +0.00032787-0.00044348i, -0.00055176-0.00103453i, +0.00019577-0.00051420i, -0.00045035-0.00029156i, -0.00002932-0.00030447i, -0.00018094+0.00062630i, -0.00007473+0.00065821i, +0.00076541-0.00017709i, +0.00010831-0.00093461i, -0.00053436+0.00003402i, -0.00106994-0.00065660i, +0.00029274-0.00008667i, -0.00058987+0.00008715i, +0.00040244+0.00022783i, +0.00034620+0.00015795i, +0.03019461-0.00000000i, +0.00084976-0.00049573i, +0.00073600+0.00096347i, +0.00041785-0.00113000i, +0.00051527-0.00022445i, -0.00009952-0.00070206i, +0.00036607-0.00021119i, -0.00012011-0.00022650i, +0.00004007+0.00135705i, -0.00036946-0.00049559i, -0.00078376-0.00042317i, +0.00071530-0.00052568i, +0.00158236-0.00036284i, +0.00051544-0.00019582i, -0.00153291+0.00038692i, -0.00031023+0.00071855i
-0.00130665+0.00014176i, +0.00064645+0.00009661i, +0.00012231-0.00134601i, -0.00011068-0.00125814i, -0.00013340-0.00072300i, +0.00015056-0.00074610i, -0.00071985+0.00066516i, -0.00054911+0.00040729i, +0.00022527+0.00001870i, +0.00188302-0.00190995i, -0.00070105-0.00027336i, -0.00030861-0.00160447i, +0.00008452+0.00035124i, -0.00085936-0.00095353i, -0.00000928+0.00040778i, +0.00060899+0.00054319i, +0.00084976+0.00049573i, +0.03138328+0.00000000i, +0.00064641+0.00070118i, +0.00123836-0.00061501i, +0.00169991-0.00002173i, -0.00005669-0.00160943i, -0.00041105+0.00031296i, -0.00022631+0.00027840i, -0.00063847+0.00177341i, -0.00013822-0.00068143i, +0.00008667-0.00047286i, +0.00092561+0.00076157i, +0.00184566-0.00011721i, +0.00200260-0.00009657i, -0.00152439+0.00000754i, -0.00057259+0.00020031i
+0.00024198+0.00056959i, -0.00005884-0.00050447i, -0.00168334+0.00060870i, -0.00117483+0.00016221i, -0.00041350-0.00011203i, -0.00085467-0.00032197i, +0.00054736+0.00097857i, +0.00002618+0.00031953i, +0.00049684+0.00001519i, -0.00092144-0.00101641i, +0.00062416+0.00065126i, -0.00193243+0.00116201i, +0.00018205-0.00005555i, -0.00084677+0.00097342i, +0.00026566+0.00008723i, +0.00029586-0.00085125i, +0.00073600-0.00096347i, +0.00064641-0.00070118i, +0.03105192-0.00000000i, -0.00066175-0.00026733i, -0.00028669-0.00103364i, -0.00139845-0.00013843i, -0.00020134-0.00002521i, +0.00026189+0.00011221i, +0.00109803+0.00072720i, -0.00088156-0.00016508i, -0.00053874+0.00124913i, -0.00039013-0.00085341i, -0.00000678-0.00206077i, -0.00033170-0.00079006i, -0.00077312+0.00130653i, +0.00021422+0.00057014i
-0.00031314-0.00068370i, +0.00030731+0.00046773i, +0.00067995-0.00044142i, +0.00074843+0.00009043i, +0.00020775-0.00018609i, +0.00039304+0.00008458i, -0.00055066-0.00031087i, -0.00056209+0.00002089i, -0.00007798+0.00049066i, +0.00139096+0.00021511i, -0.00015933-0.00105312i, +0.00127297-0.00122179i, -0.00019507-0.00010717i, +0.00018353-0.00102910i, -0.00041379+0.00002853i, +0.00024787+0.00058383i, +0.00041785+0.00113000i, +0.00123836+0.00061501i, -0.00066175+0.00026733i, +0.03055972+0.00000000i, +0.00016980+0.00048972i, +0.00069022-0.00036438i, -0.00059165+0.00002984i, -0.00010249-0.00033977i, -0.00097768+0.00013682i, +0.00032425-0.00032383i, +0.00056541+0.00018480i, +0.00063524+0.00089818i, +0.00019291+0.00094808i, +0.00093795+0.00068823i, -0.00044206-0.00072705i, -0.00105129-0.00068101i
-0.00098067-0.00003899i, +0.00051483-0.00057227i, +0.00038120-0.00142044i, +0.00047571-0.00116231i, +0.00034229-0.00013629i, +0.00091350-0.00104968i, -0.00042132+0.00064158i, -0.00041349+0.00033374i, +0.00017504-0.00027264i, +0.00113812-0.00100238i, -0.00086041-0.00015209i, -0.00010577-0.00186396i, -0.00001931+0.00072416i, -0.00071185-0.00079566i, -0.00003401+0.00009620i, +0.00098228+0.00039711i, +0.00051527+0.00022445i, +0.00169991+0.00002173i, -0.00028669+0.00103364i, +0.00016980-0.00048972i, +0.03125827-0.00000000i, +0.00026389-0.00119990i, -0.00112756-0.00053805i, -0.00013992+0.00029988i, -0.00047148+0.00116963i, +0.00051442-0.00085348i, -0.00029193-0.00108812i, +0.00111858+0.00006774i, +0.00262174+0.00059665i, +0.00123672-0.00033299i, -0.00144364-0.00027680i, -0.00087010+0.00021419i
