+0.00946086-0.00063363i, +0.02334431-0.01200462i, -0.00264858+0.00576670i, -0.01629259+0.01589550i, -0.00592055+0.00619098i, +0.00150760-0.01841665i, -0.00778222+0.00754699i, +0.00482998+0.02378682i, -0.00818045-0.01297995i, +0.00359186-0.00335683i, -0.00281336+0.01615978i, +0.04238778-0.00000000i, +0.01334390-0.00421582i, +0.02266108+0.00280052i, -0.00593497-0.00306864i, +0.00462535+0.00703448i, -0.00522897-0.00046892i, +0.00471928-0.00369073i, -0.00299681+0.01713809i, +0.01500380-0.00387235i, -0.00606140+0.00941677i, -0.01033782+0.00829719i, +0.01349196+0.00470400i, +0.00441723-0.00326743i, +0.00606034+0.00324035i, +0.01017950-0.01655617i, +0.00652027+0.00235271i, +0.00232526+0.01602767i, -0.00969320+0.00074295i, +0.01208088+0.01475502i, -0.00170311-0.00661113i, -0.01109390-0.00018255i
+0.00995241-0.00107277i, +0.02102029-0.00317814i, -0.00139716+0.00262626i, -0.01575250+0.00358168i, -0.00559061+0.00301792i, +0.00645860-0.00885597i, -0.00785636+0.00364875i, -0.00055404+0.01489469i, -0.00084413-0.01263343i, +0.00616777-0.00037235i, -0.01147967+0.00967221i, +0.01334390+0.00421582i, +0.03174959-0.00000000i, +0.01514646+0.00909414i, -0.00260127-0.00402612i, +0.00626344+0.00265555i, -0.00460489-0.00271357i, +0.00248276-0.00197693i, -0.01027109+0.01224289i, +0.00707216+0.00026395i, -0.01403108+0.00805123i, -0.01057697+0.00461167i, +0.01070797+0.00874495i, +0.00230316-0.00006717i, +0.00253580+0.00202973i, +0.01250747-0.00978651i, +0.00372598+0.00285787i, -0.00233194+0.01005441i, -0.00785550-0.00100771i, +0.00541192+0.01584975i, -0.00072579-0.00690543i, -0.00759793-0.00054409i
+0.00965041-0.00303107i, +0.02406700-0.02326620i, -0.00067817+0.00334289i, -0.01710232+0.01941404i, -0.00268835+0.00854090i, +0.00104608-0.02097672i, -0.00947649+0.01114295i, +0.01034600+0.01797508i, -0.00806379-0.01080813i, +0.00369860-0.01144135i, -0.00012003+0.01700421i, +0.02266108-0.00280052i, +0.01514646-0.00909414i, +0.04832331+0.00000000i, -0.00714147-0.00646855i, +0.01014972+0.00335877i, -0.00474200-0.00086836i, -0.00074889-0.00493626i, +0.00025828+0.01844775i, +0.00912519-0.00327720i, -0.00520995+0.01243357i, -0.01583702+0.01299746i, +0.01621364+0.00284415i, +0.00088175-0.00102732i, +0.00677607+0.00159179i, +0.00602312-0.02245581i, +0.00639998+0.00071604i, +0.00438491+0.01485166i, -0.01081128+0.00363756i, +0.01710568+0.01561184i, -0.00470159-0.00728272i, -0.00991438+0.00369984i
-0.00271669+0.00255382i, -0.00363408+0.00671825i, -0.00097131+0.00108732i, +0.00056082-0.00636085i, -0.00063139-0.00072159i, +0.00328434+0.00609375i, +0.00113755-0.00683794i, -0.00509481-0.00146924i, +0.00337766+0.00095387i, +0.00183588+0.00293441i, -0.00237336-0.00489817i, -0.00593497+0.00306864i, -0.00260127+0.00402612i, -0.00714147+0.00646855i, +0.01876962-0.00000000i, +0.00007192-0.00300744i, +0.00225815-0.00131097i, -0.00040376+0.00110477i, -0.00229694-0.00430075i, -0.00110984+0.00192961i, +0.00009710-0.00368882i, +0.00008789-0.00450847i, -0.00833639+0.00320481i, -0.00110211+0.00087130i, -0.00114387+0.00099633i, +0.00136001+0.00466055i, -0.00121944+0.00181115i, -0.00254475-0.00260919i, +0.00220639-0.00237443i, -0.00458420-0.00114082i, +0.00202196+0.00181426i, +0.00214239-0.00409884i
+0.00250480-0.00348082i, +0.00585600-0.01343937i, +0.00167790+0.00324320i, -0.00349089+0.00812389i, -0.00085958+0.00491731i, -0.00378850-0.00437537i, -0.00089442+0.00428059i, +0.00538215+0.00298516i, -0.00465438-0.00215371i, +0.00164404+0.00229092i, +0.00150762+0.00658149i, +0.00462535-0.00703448i, +0.00626344-0.00265555i, +0.01014972-0.00335877i, +0.00007192+0.00300744i, +0.02500939-0.00000000i, -0.00139259+0.00059851i, -0.00118604-0.00095223i, +0.00292851+0.00643845i, +0.00165095-0.00229429i, -0.00011602+0.00381919i, -0.00450565+0.00525495i, +0.00611002-0.00168344i, -0.00474275+0.00211872i, +0.00189741-0.00058548i, -0.00130676-0.00895130i, +0.00248569-0.00102702i, +0.00427964+0.00459836i, -0.00333598+0.00294125i, +0.00802321+0.00293437i, -0.00175367-0.00280987i, -0.00195426+0.00520454i
-0.00173416+0.00278943i, -0.00598742+0.00371390i, +0.00050088-0.00173600i, +0.00240330-0.00439364i, +0.00148464-0.00236175i, -0.00014287+0.00377984i, +0.00188531-0.00280029i, -0.00176608-0.00299644i, +0.00677732+0.00370690i, +0.00053516+0.00095822i, -0.00030813-0.00364626i, -0.00522897+0.00046892i, -0.00460489+0.00271357i, -0.00474200+0.00086836i, +0.00225815+0.00131097i, -0.00139259-0.00059851i, +0.01716651+0.00000000i, +0.00038335-0.00158897i, -0.00201395-0.00492955i, -0.00451818+0.00441927i, +0.00167562-0.00311732i, +0.00271544-0.00478355i, -0.00461855-0.00006071i, +0.00028291+0.00080343i, -0.00032948+0.00030937i, -0.00092642+0.00678396i, -0.00135656-0.00061013i, -0.00216699-0.00391028i, +0.00230233+0.00040172i, -0.00434635-0.00263136i, +0.00123803+0.00046792i, +0.00326155-0.00194255i
+0.00141201+0.00129948i, +0.00439564+0.00528002i, -0.00048437+0.00032671i, -0.00343618-0.00179546i, -0.00186972-0.00027162i, +0.00405959-0.00208154i, -0.00278515-0.00143647i, -0.00359391+0.00397164i, +0.00069613-0.00136972i, +0.00738906+0.00357371i, -0.00163274+0.00127304i, +0.00471928+0.00369073i, +0.00248276+0.00197693i, -0.00074889+0.00493626i, -0.00040376-0.00110477i, -0.00118604+0.00095223i, +0.00038335+0.00158897i, +0.02636061+0.00000000i, -0.00249839+0.00499325i, -0.00115335+0.00162514i, -0.00511970+0.00072630i, -0.00135453-0.00468480i, -0.00089555+0.00382006i, +0.00038948+0.00465797i, -0.00008021+0.00313729i, +0.00429418-0.00202469i, +0.00257426-0.00110551i, -0.00627899+0.00153696i, -0.00388343-0.00286661i, -0.00322060+0.00254363i, +0.00295920-0.00020897i, -0.00307025-0.00399786i
-0.00247608-0.00834285i, -0.01628232-0.01828777i, +0.00514861+0.00273216i, +0.01598114+0.01390234i, +0.00696952+0.00369898i, -0.01342625-0.00043717i, +0.00681126+0.00707020i, +0.01436775-0.00827151i, -0.01041293+0.00770424i, -0.00337011-0.00317812i, +0.02069750+0.00352070i, -0.00299681-0.01713809i, -0.01027109-0.01224289i, +0.00025828-0.01844775i, -0.00229694+0.00430075i, +0.00292851-0.00643845i, -0.00201395+0.00492955i, -0.00249839-0.00499325i, +0.03823841+0.00000000i, -0.00183994-0.01019764i, +0.01544667+0.00422347i, +0.00869412+0.00949141i, +0.00250200-0.02012956i, -0.00167680-0.00220773i, +0.00270824-0.00801708i, -0.02158139-0.00787522i, -0.00001215-0.00848362i, +0.01416219-0.00395918i, +0.00368240+0.01036538i, +0.01272668-0.01573474i, -0.00584588+0.00449968i, +0.00212261+0.00959794i
+0.00374993-0.00020280i, +0.00958086-0.00267682i, -0.00243068+0.00207432i, -0.00788932+0.00605145i, -0.00329361+0.00236781i, +0.00289799-0.00654206i, -0.00397911+0.00208941i, +0.00005532+0.01013203i, -0.00198096-0.00599939i, +0.00315831-0.00076962i, -0.00351993+0.00497026i, +0.01500380+0.00387235i, +0.00707216-0.00026395i, +0.00912519+0.00327720i, -0.00110984-0.00192961i, +0.00165095+0.00229429i, -0.00451818-0.00441927i, -0.00115335-0.00162514i, -0.00183994+0.01019764i, +0.02554353-0.00000000i, -0.00418799+0.00296158i, -0.01068644+0.00335915i, +0.00779566+0.00273002i, +0.00189918-0.00767077i, +0.00300142-0.00040327i, +0.00705826-0.00845599i, +0.00188610+0.00284157i, +0.00039301+0.00822620i, -0.00167767-0.00065722i, +0.00664536+0.00902663i, -0.00015956-0.00404251i, -0.00480696-0.00232968i
-0.00561717-0.00505414i, -0.01371345-0.00744827i, +0.00270868-0.00041044i, +0.01184291+0.00408180i, +0.00515357+0.00170570i, -0.01051314+0.00314344i, +0.00701713+0.00248043i, +0.00736187-0.00919313i, -0.00453852+0.00682475i, -0.00410536-0.00074596i, +0.01065688-0.00071084i, -0.00606140-0.00941677i, -0.01403108-0.00805123i, -0.00520995-0.01243357i, +0.00009710+0.00368882i, -0.00011602-0.00381919i, +0.00167562+0.00311732i, -0.00511970-0.00072630i, +0.01544667-0.00422347i, -0.00418799-0.00296158i, +0.02581995+0.00000000i, +0.00905968+0.00194509i, -0.00155391-0.01077358i, +0.00086743-0.00263662i, -0.00130882-0.00531442i, -0.01410210+0.00202987i, -0.00161154-0.00557827i, +0.00852886-0.00576816i, +0.00547720+0.00709986i, +0.00519998-0.01160207i, -0.00419991+0.00473140i, +0.00526513+0.00615650i
