+0.00006313-0.00016530i, -0.00031288-0.00006833i, -0.00004008-0.00012912i, -0.00032239+0.00034665i, +0.00019964+0.00001881i, -0.00018361+0.00024956i, +0.00013721+0.00023167i, -0.00025066-0.00009753i, -0.00028122-0.00049282i, +0.00030892+0.00031432i, -0.00073939-0.00003475i, +0.03034157+0.00000000i, +0.00065769-0.00018623i, -0.00009283-0.00006045i, -0.00017182-0.00025374i, +0.00011811+0.00015591i, +0.00027408+0.00033025i, +0.00000618-0.00081722i, +0.00002545+0.00038112i, -0.00005477+0.00012655i, +0.00001426+0.00003542i, +0.00019738+0.00009886i, +0.00001121+0.00003469i, -0.00035390-0.00006174i, +0.00015026-0.00019801i, -0.00044228-0.00014154i, +0.00043648+0.00026317i, +0.00012868-0.00025670i, -0.00027195+0.00019724i, -0.00019325-0.00051576i, -0.00018507-0.00011743i, +0.00014109+0.00000151i
+0.00011771+0.00019090i, -0.00083678-0.00046753i, +0.00030365-0.00105691i, -0.00050946+0.00079412i, +0.00041145+0.00033367i, -0.00001884+0.00033330i, -0.00002396+0.00044785i, +0.00005351+0.00014331i, -0.00007016-0.00159463i, +0.00084762+0.00061753i, -0.00116804-0.00017595i, +0.00065769+0.00018623i, +0.03225575+0.00000000i, +0.00036619+0.00082587i, -0.00071452+0.00028841i, -0.00005876+0.00074609i, -0.00021455+0.00067409i, -0.00019769-0.00177505i, +0.00011283+0.00018548i, -0.00004175+0.00045167i, +0.00014640-0.00007120i, +0.00100131+0.00015680i, +0.00037327-0.00003431i, -0.00031556-0.00016826i, +0.00044018-0.00033256i, -0.00141701+0.00046914i, +0.00076316+0.00075365i, -0.00022647-0.00039800i, -0.00077535+0.00042856i, -0.00074332-0.00092587i, -0.00003144-0.00105784i, +0.00036367+0.00023151i
-0.00000782+0.00002878i, -0.00045802+0.00034930i, -0.00022852-0.00018638i, +0.00018148+0.00072059i, +0.00030500-0.00016252i, +0.00019368+0.00056782i, +0.00013346+0.00019371i, +0.00005965-0.00000888i, -0.00039887-0.00019943i, +0.00047696-0.00023189i, -0.00010781+0.00037097i, -0.00009283+0.00006045i, +0.00036619-0.00082587i, +0.03118011-0.00000000i, +0.00049250-0.00012198i, +0.00039698+0.00017013i, +0.00009347+0.00036534i, -0.00034831-0.00015636i, -0.00002467+0.00006555i, +0.00008230+0.00002681i, +0.00007795+0.00003781i, +0.00015929-0.00063290i, +0.00001614-0.00003709i, -0.00014932-0.00023053i, +0.00003489-0.00041507i, -0.00009483+0.00044149i, +0.00037695-0.00005732i, -0.00008063+0.00009442i, +0.00000481+0.00025507i, -0.00061181+0.00035479i, -0.00014732-0.00019408i, +0.00016196+0.00015137i
-0.00000204+0.00007173i, -0.00022295+0.00023254i, -0.00003327-0.00013854i, +0.00019495+0.00033829i, -0.00004217-0.00016031i, +0.00004272+0.00030584i, +0.00053189+0.00041013i, +0.00003091-0.00032154i, -0.00021337+0.00041407i, +0.00032099+0.00009197i, -0.00012178+0.00043724i, -0.00017182+0.00025374i, -0.00071452-0.00028841i, +0.00049250+0.00012198i, +0.03107026+0.00000000i, +0.00029666-0.00002794i, +0.00023564-0.00011287i, -0.00035671+0.00018150i, +0.00001067-0.00016892i, +0.00012253-0.00009037i, +0.00015541-0.00007645i, -0.00015796-0.00013099i, -0.00006872-0.00004973i, -0.00017002+0.00028473i, -0.00020391+0.00011904i, +0.00017549+0.00030829i, -0.00005507-0.00028664i, -0.00018350+0.00013247i, +0.00032741+0.00010094i, -0.00026673+0.00036311i, -0.00046576+0.00011511i, -0.00019218+0.00019799i
-0.00018723+0.00010252i, -0.00008636+0.00070623i, -0.00035524-0.00012221i, +0.00095212+0.00016221i, +0.00014940-0.00022835i, +0.00017187+0.00018259i, +0.00020214+0.00001741i, -0.00006849+0.00014554i, -0.00075811+0.00024141i, +0.00043763-0.00040473i, -0.00022098+0.00059559i, +0.00011811-0.00015591i, -0.00005876-0.00074609i, +0.00039698-0.00017013i, +0.00029666+0.00002794i, +0.03090623-0.00000000i, +0.00024217-0.00001041i, -0.00103583+0.00041149i, +0.00027436+0.00006661i, +0.00004778-0.00015772i, +0.00010053+0.00021444i, -0.00004663-0.00062317i, +0.00005482-0.00000165i, -0.00004576-0.00004693i, -0.00033985-0.00012650i, +0.00051386+0.00021608i, +0.00032052-0.00069400i, -0.00019543+0.00001803i, +0.00045714+0.00030872i, -0.00058977+0.00072652i, -0.00036900+0.00021625i, -0.00003055+0.00003309i
-0.00006218+0.00021445i, +0.00005220+0.00040967i, -0.00045793-0.00007811i, +0.00036875+0.00016930i, -0.00032439-0.00016250i, +0.00006587-0.00005472i, +0.00019390-0.00018877i, +0.00009441-0.00016718i, -0.00038844+0.00069628i, +0.00003703-0.00044806i, +0.00004298+0.00050399i, +0.00027408-0.00033025i, -0.00021455-0.00067409i, +0.00009347-0.00036534i, +0.00023564+0.00011287i, +0.00024217+0.00001041i, +0.03136057+0.00000000i, -0.00089997+0.00084230i, +0.00043450+0.00008258i, -0.00008254-0.00003564i, -0.00004698+0.00003338i, -0.00035115-0.00036398i, -0.00018361+0.00001336i, +0.00001712+0.00017803i, -0.00020328+0.00013921i, +0.00055629+0.00033776i, +0.00015364-0.00026136i, +0.00002434-0.00001425i, +0.00057440+0.00041313i, -0.00020826+0.00056069i, -0.00037232+0.00048549i, +0.00003908-0.00004776i
+0.00043180+0.00065898i, +0.00094356-0.00113665i, +0.00110627+0.00093745i, -0.00113611-0.00129124i, -0.00039246+0.00050151i, -0.00063596-0.00036898i, -0.00045263-0.00025168i, -0.00000124+0.00004513i, +0.00171263+0.00013115i, -0.00120832+0.00089227i, +0.00069872-0.00132131i, +0.00000618+0.00081722i, -0.00019769+0.00177505i, -0.00034831+0.00015636i, -0.00035671-0.00018150i, -0.00103583-0.00041149i, -0.00089997-0.00084230i, +0.03410506-0.00000000i, -0.00092517-0.00046886i, -0.00032898-0.00003696i, -0.00002955+0.00007844i, -0.00025167+0.00148007i, -0.00027575+0.00068009i, +0.00038507-0.00032519i, +0.00058000+0.00048281i, -0.00019284-0.00187959i, -0.00103724+0.00073922i, +0.00055582-0.00016281i, -0.00043382-0.00121026i, +0.00150011-0.00050210i, +0.00106577+0.00018125i, -0.00038367+0.00023546i
+0.00005979+0.00015818i, -0.00000089+0.00047199i, +0.00004206-0.00006665i, +0.00002755+0.00011951i, +0.00006408+0.00014713i, +0.00005991+0.00011114i, +0.00024826-0.00017635i, -0.00011744+0.00010832i, -0.00022834+0.00008181i, +0.00011689-0.00034653i, +0.00012979+0.00059763i, +0.00002545-0.00038112i, +0.00011283-0.00018548i, -0.00002467-0.00006555i, +0.00001067+0.00016892i, +0.00027436-0.00006661i, +0.00043450-0.00008258i, -0.00092517+0.00046886i, +0.03120181+0.00000000i, -0.00027355-0.00013223i, +0.00008471-0.00010596i, -0.00029453-0.00045868i, +0.00001745-0.00025998i, -0.00002709+0.00031414i, +0.00003102+0.00008643i, +0.00039767+0.00018801i, -0.00049338-0.00041188i, -0.00000098+0.00023535i, +0.00059815+0.00027854i, -0.00009336+0.00033089i, +0.00005945+0.00009573i, +0.00017842-0.00022536i
-0.00006978-0.00012727i, -0.00026784+0.00043477i, -0.00001768-0.00009938i, +0.00022551+0.00002038i, +0.00011647-0.00022560i, +0.00009334+0.00025935i, +0.00009675-0.00000306i, +0.00001781-0.00000126i, -0.00042221-0.00007750i, +0.00035202-0.00011669i, -0.00010746+0.00020899i, -0.00005477-0.00012655i, -0.00004175-0.00045167i, +0.00008230-0.00002681i, +0.00012253+0.00009037i, +0.00004778+0.00015772i, -0.00008254+0.00003564i, -0.00032898+0.00003696i, -0.00027355+0.00013223i, +0.03121965-0.00000000i, -0.00005787-0.00012759i, +0.00019439-0.00022741i, +0.00027386+0.00014934i, +0.00021329+0.00027886i, -0.00006658-0.00010179i, +0.00027277+0.00057124i, +0.00046523-0.00039032i, -0.00007292+0.00006937i, +0.00009936+0.00039017i, -0.00038626+0.00007594i, -0.00025209+0.00002626i, -0.00024615-0.00021706i
-0.00012267+0.00007081i, -0.00020313+0.00004873i, +0.00006811-0.00005502i, -0.00014092+0.00005646i, +0.00011690+0.00026301i, -0.00012226+0.00007149i, +0.00011619+0.00000640i, +0.00009652+0.00000352i, -0.00002523-0.00006456i, +0.00014981+0.00007408i, +0.00014955+0.00007312i, +0.00001426-0.00003542i, +0.00014640+0.00007120i, +0.00007795-0.00003781i, +0.00015541+0.00007645i, +0.00010053-0.00021444i, -0.00004698-0.00003338i, -0.00002955-0.00007844i, +0.00008471+0.00010596i, -0.00005787+0.00012759i, +0.03007442+0.00000000i, +0.00004478+0.00028818i, -0.00018622+0.00020945i, +0.00032162-0.00029691i, +0.00004775+0.00031376i, +0.00004326-0.00011767i, -0.00026378+0.00006339i, -0.00000486-0.00003000i, -0.00019658+0.00000512i, +0.00003227-0.00001832i, +0.00003820-0.00012355i, -0.00005422-0.00020092i
