+0.00073196-0.00141342i, -0.00079225+0.00106101i, -0.00003069-0.00001253i, +0.00033441-0.00066567i, +0.00037554+0.00106615i, +0.00053914+0.00048357i, -0.00002566+0.00016989i, +0.00030892-0.00042226i, -0.00038782+0.00027192i, -0.00012650+0.00106534i, -0.00036471+0.00010189i, +0.03040355+0.00000000i, +0.00062011-0.00051574i, -0.00061860-0.00001018i, -0.00013287+0.00031432i, +0.00112294+0.00036744i, -0.00031151+0.00020846i, -0.00085998+0.00014737i, +0.00103281+0.00032270i, +0.00045425+0.00018210i, +0.00051665-0.00048562i, -0.00015400-0.00047024i, -0.00037618+0.00016138i, +0.00073841-0.00061205i, +0.00026903+0.00036027i, +0.00028149+0.00007009i, +0.00079236-0.00113784i, +0.00066285-0.00052849i, -0.00073136+0.00004341i, +0.00000974+0.00016435i, +0.00026341+0.00032112i, -0.00016659-0.00094823i
+0.00141431-0.00108329i, -0.00127875+0.00085659i, +0.00044090+0.00017546i, +0.00108093-0.00018919i, -0.00019202+0.00060992i, +0.00073787+0.00138780i, +0.00035999+0.00028321i, +0.00106348-0.00079430i, -0.00116853+0.00011998i, -0.00045917+0.00102044i, +0.00001556+0.00032193i, +0.00062011+0.00051574i, +0.03143464+0.00000000i, +0.00022167-0.00135108i, -0.00104079+0.00023434i, +0.00088047+0.00101485i, -0.00099793+0.00023282i, -0.00099489-0.00075910i, +0.00088336+0.00129146i, +0.00067327+0.00116165i, +0.00105074-0.00034512i, +0.00022288-0.00040888i, -0.00069816+0.00009604i, +0.00060072-0.00019930i, -0.00010008+0.00010433i, +0.00053607+0.00034631i, +0.00149863-0.00094086i, +0.00034300+0.00004090i, -0.00091248-0.00145885i, -0.00043140+0.00038988i, +0.00041987+0.00043165i, +0.00040009-0.00102030i
+0.00024866+0.00097515i, -0.00012601-0.00107924i, +0.00005937-0.00014164i, -0.00022240+0.00006654i, -0.00021154-0.00059445i, -0.00064157-0.00034046i, +0.00005795+0.00007541i, +0.00004821+0.00009440i, +0.00090116-0.00079065i, -0.00104577-0.00086956i, -0.00001201-0.00038257i, -0.00061860+0.00001018i, +0.00022167+0.00135108i, +0.03057822-0.00000000i, -0.00004808-0.00028226i, -0.00114879+0.00042705i, -0.00018516-0.00007396i, +0.00042541-0.00042558i, -0.00055619-0.00016953i, -0.00065019+0.00037766i, -0.00006339+0.00050277i, +0.00000343+0.00037040i, +0.00008626-0.00037121i, -0.00033938+0.00006928i, -0.00011342+0.00003338i, -0.00075541+0.00030754i, +0.00015050+0.00072848i, -0.00009470+0.00030151i, +0.00049694-0.00002678i, -0.00038360-0.00095441i, -0.00032957-0.00009972i, +0.00054254+0.00040536i
-0.00017431+0.00037988i, +0.00088017-0.00022574i, -0.00012836+0.00052756i, -0.00006572+0.00015705i, +0.00003562-0.00041759i, -0.00039388-0.00053366i, +0.00006263-0.00026017i, -0.00005700-0.00006364i, +0.00025788+0.00003479i, +0.00042728-0.00060930i, -0.00000118+0.00011903i, -0.00013287-0.00031432i, -0.00104079-0.00023434i, -0.00004808+0.00028226i, +0.03033600+0.00000000i, -0.00047597-0.00050934i, +0.00023432-0.00017815i, +0.00075913+0.00057263i, -0.00038237-0.00044273i, -0.00035164-0.00040038i, -0.00015244+0.00030055i, -0.00032752+0.00022635i, +0.00009930-0.00026690i, -0.00053852+0.00028074i, -0.00049285-0.00034265i, -0.00028847-0.00025981i, -0.00075983-0.00002099i, -0.00018741-0.00000575i, +0.00000291+0.00020990i, +0.00032379-0.00006202i, -0.00026299-0.00089616i, -0.00048542+0.00049849i
-0.00000839-0.00265700i, +0.00026096+0.00238613i, +0.00055938-0.00034965i, +0.00046910-0.00091715i, +0.00064628+0.00051584i, +0.00154809+0.00047809i, -0.00024588+0.00010350i, +0.00057704-0.00182857i, -0.00028277+0.00110567i, +0.00052796+0.00166452i, +0.00011204+0.00051087i, +0.00112294-0.00036744i, +0.00088047-0.00101485i, -0.00114879-0.00042705i, -0.00047597+0.00050934i, +0.03190717+0.00000000i, -0.00025056+0.00076780i, -0.00142801+0.00028316i, +0.00180052+0.00012772i, +0.00205312+0.00010466i, +0.00024290-0.00122495i, -0.00011411-0.00098142i, -0.00034421+0.00040786i, +0.00062989-0.00088494i, +0.00060345+0.00034035i, +0.00054303+0.00005316i, +0.00034790-0.00225895i, +0.00046961-0.00027947i, -0.00089274-0.00009733i, +0.00002581+0.00072538i, +0.00086807+0.00014997i, -0.00098948-0.00244754i
-0.00140852+0.00021646i, +0.00189333-0.00043257i, -0.00032542-0.00011617i, -0.00086066+0.00008244i, -0.00012605-0.00049485i, -0.00026251-0.00120677i, +0.00013555+0.00009356i, -0.00130359+0.00006273i, +0.00121846+0.00020162i, +0.00068687-0.00032336i, +0.00052522-0.00024681i, -0.00031151-0.00020846i, -0.00099793-0.00023282i, -0.00018516+0.00007396i, +0.00023432+0.00017815i, -0.00025056-0.00076780i, +0.03224233+0.00000000i, +0.00122038+0.00014837i, +0.00000767-0.00095634i, -0.00009417-0.00088984i, -0.00112232+0.00041260i, -0.00079244-0.00013089i, +0.00070729+0.00002390i, -0.00075304-0.00061453i, -0.00026215-0.00006931i, -0.00072561-0.00048332i, -0.00215920+0.00024012i, -0.00050897-0.00043512i, -0.00014863+0.00084849i, +0.00028942+0.00001021i, -0.00040504-0.00057549i, -0.00114921+0.00081032i
-0.00005148+0.00199779i, +0.00048393-0.00249639i, -0.00061396+0.00046775i, -0.00070442+0.00067591i, -0.00045865-0.00104226i, -0.00123126+0.00007884i, +0.00007672-0.00013608i, -0.00027098+0.00078719i, +0.00056133-0.00062381i, +0.00035653-0.00100940i, -0.00021645-0.00022393i, -0.00085998-0.00014737i, -0.00099489+0.00075910i, +0.00042541+0.00042558i, +0.00075913-0.00057263i, -0.00142801-0.00028316i, +0.00122038-0.00014837i, +0.03149701+0.00000000i, -0.00126816-0.00094222i, -0.00087221-0.00070880i, -0.00035686+0.00088556i, -0.00032164+0.00072822i, +0.00053065-0.00053307i, -0.00114190+0.00113488i, -0.00010783+0.00006458i, -0.00077061-0.00067540i, -0.00100011+0.00131839i, -0.00067166-0.00001611i, +0.00088507+0.00018280i, -0.00009536-0.00023905i, -0.00068070-0.00019383i, +0.00019713+0.00191740i
-0.00100633-0.00218609i, -0.00004930+0.00243999i, +0.00026978-0.00093041i, +0.00013916-0.00121714i, +0.00045938+0.00092261i, +0.00167317+0.00013107i, -0.00020310-0.00027219i, +0.00007913-0.00115272i, -0.00026246+0.00117938i, +0.00069972+0.00078746i, +0.00017326+0.00089287i, +0.00103281-0.00032270i, +0.00088336-0.00129146i, -0.00055619+0.00016953i, -0.00038237+0.00044273i, +0.00180052-0.00012772i, +0.00000767+0.00095634i, -0.00126816+0.00094222i, +0.03198918-0.00000000i, +0.00124615-0.00033232i, +0.00027737-0.00123926i, +0.00012571-0.00072100i, -0.00021886+0.00031450i, +0.00068867-0.00066200i, +0.00081352+0.00021693i, +0.00091688-0.00027741i, -0.00037698-0.00222231i, +0.00046577-0.00019926i, -0.00092714+0.00042122i, -0.00006596+0.00039731i, +0.00078288-0.00052297i, -0.00069666-0.00142199i
-0.00052346-0.00177675i, +0.00063434+0.00151173i, -0.00005118-0.00049571i, +0.00024210-0.00156839i, +0.00039299+0.00040617i, +0.00134437-0.00025824i, -0.00006590-0.00009594i, -0.00017188-0.00140786i, -0.00051022+0.00115540i, +0.00064401+0.00093519i, -0.00012829+0.00037317i, +0.00045425-0.00018210i, +0.00067327-0.00116165i, -0.00065019-0.00037766i, -0.00035164+0.00040038i, +0.00205312-0.00010466i, -0.00009417+0.00088984i, -0.00087221+0.00070880i, +0.00124615+0.00033232i, +0.03152747+0.00000000i, -0.00010145-0.00113634i, +0.00056127-0.00053656i, -0.00047867+0.00083480i, +0.00082217-0.00076043i, +0.00030779-0.00004731i, +0.00073818-0.00022430i, -0.00006380-0.00190892i, -0.00010713-0.00046846i, -0.00095898-0.00002465i, -0.00032268-0.00022264i, +0.00100597+0.00002001i, -0.00053361-0.00113241i
+0.00165474-0.00050442i, -0.00162432+0.00046202i, +0.00028239+0.00021170i, +0.00104298+0.00013170i, -0.00042405+0.00030373i, +0.00033381+0.00116590i, +0.00032075+0.00024259i, +0.00100564+0.00005829i, -0.00096139-0.00027084i, -0.00020947+0.00062520i, -0.00054283+0.00040904i, +0.00051665+0.00048562i, +0.00105074+0.00034512i, -0.00006339-0.00050277i, -0.00015244-0.00030055i, +0.00024290+0.00122495i, -0.00112232-0.00041260i, -0.00035686-0.00088556i, +0.00027737+0.00123926i, -0.00010145+0.00113634i, +0.03111948-0.00000000i, +0.00071892-0.00050314i, -0.00059625-0.00008437i, +0.00099417+0.00040949i, -0.00007583+0.00027273i, +0.00013645+0.00086654i, +0.00100428+0.00006031i, -0.00035126+0.00048638i, -0.00071300-0.00038598i, -0.00046353-0.00003776i, +0.00012458+0.00051118i, +0.00110213-0.00056768i
