-0.00434280+0.00580024i, +0.00960049-0.01689996i, -0.00325804+0.02559205i, +0.02016012+0.01145600i, +0.00082002-0.03080749i, -0.00655916+0.00852456i, -0.00965932-0.02839248i, +0.01896444-0.01267203i, +0.00096454-0.00873487i, -0.01833830-0.00825503i, +0.01756958-0.02706762i, +0.02133308-0.00000000i, -0.00604207-0.01893811i, +0.01278576-0.01684670i, +0.00101473+0.01765919i, +0.02150310-0.00914985i, -0.02825263+0.00643334i, -0.00883080+0.03093826i, +0.01484198-0.00175613i, +0.00189537+0.01232299i, +0.00015802-0.00348224i, +0.01285274-0.00375865i, -0.00154244+0.00801911i, +0.03339290+0.01265741i, -0.01661157+0.01254947i, +0.04092501+0.00487323i, +0.04835090+0.02573234i, -0.02867364+0.00021252i, +0.03459194-0.01242908i, +0.02483101+0.01400882i, -0.00648637+0.00129226i, -0.03451519+0.01986688i
-0.00391908-0.00549802i, +0.01228357+0.01330917i, -0.02179617-0.01014059i, -0.01587974+0.01465220i, +0.02711661+0.00945341i, -0.00570982-0.00823716i, +0.02794073-0.00053344i, +0.00587819+0.02042442i, +0.00748106+0.00333019i, +0.01252214-0.01394150i, +0.01905270+0.02326335i, -0.00604207+0.01893811i, +0.01852327+0.00000000i, +0.01133414+0.01612177i, -0.01596406-0.00410072i, +0.00203242+0.02168050i, +0.00229076-0.02690291i, -0.02496385-0.01660190i, -0.00264465+0.01367311i, -0.01147635-0.00180760i, +0.00304655+0.00112654i, -0.00030354+0.01247436i, -0.00668198-0.00364049i, -0.02069413+0.02605912i, -0.00643578-0.01830098i, -0.01591712+0.03495031i, -0.03653767+0.03563470i, +0.00793243-0.02551476i, +0.00123641+0.03422868i, -0.01946888+0.01807569i, +0.00068992-0.00612417i, -0.00786093-0.03626712i
-0.00718325+0.00004681i, +0.01909982-0.00254733i, -0.02216266+0.01276546i, +0.00303598+0.02278644i, +0.02482008-0.01781658i, -0.01066299-0.00007065i, +0.01663228-0.02464468i, +0.02137322+0.00738133i, +0.00747600-0.00447346i, -0.00447189-0.01942929i, +0.03190539-0.00234803i, +0.01278576+0.01684670i, +0.01133414-0.01612177i, +0.02096682+0.00000000i, -0.01333726+0.01138518i, +0.02011328+0.01149708i, -0.02201331-0.01845529i, -0.02972454+0.01156886i, +0.01028220+0.01066816i, -0.00859547+0.00888242i, +0.00284463-0.00196226i, +0.01067135+0.00789708i, -0.00725712+0.00358811i, +0.01001815+0.03395640i, -0.01986626-0.00559673i, +0.02067960+0.03523912i, +0.00865783+0.05360502i, -0.01735308-0.02251614i, +0.03054754+0.01986795i, +0.00381947+0.02800504i, -0.00490804-0.00434777i, -0.03637516-0.01534958i
+0.00459478+0.00387079i, -0.01353286-0.00875100i, +0.02102972+0.00391427i, +0.01044203-0.01614331i, -0.02546294-0.00214419i, +0.00674450+0.00583505i, -0.02396230+0.00664531i, -0.00958764-0.01630122i, -0.00718471-0.00121391i, -0.00770566+0.01478750i, -0.02157043-0.01583132i, +0.00101473-0.01765919i, -0.01596406+0.00410072i, -0.01333726-0.01138518i, +0.01466627-0.00000000i, -0.00655129-0.01823515i, +0.00398155+0.02369309i, +0.02519016+0.00878161i, -0.00074772-0.01236949i, +0.01029093-0.00098280i, -0.00287503-0.00029644i, -0.00249999-0.01081808i, +0.00656472+0.00165824i, +0.01206598-0.02704005i, +0.00959810+0.01434772i, +0.00598062-0.03364528i, +0.02360069-0.03880013i, -0.00118797+0.02374569i, -0.00864319-0.02922587i, +0.01277739-0.01988837i, +0.00076118+0.00543078i, +0.01480373+0.02951612i
-0.00686516+0.00398382i, +0.01692547-0.01291695i, -0.01426055+0.02439861i, +0.01540725+0.02019406i, +0.01404002-0.03070129i, -0.01026766+0.00577924i, +0.00244137-0.03276167i, +0.02455067-0.00463909i, +0.00471865-0.00839079i, -0.01494383-0.01618619i, +0.02931902-0.01974766i, +0.02150310+0.00914985i, +0.00203242-0.02168050i, +0.02011328-0.01149708i, -0.00655129+0.01823515i, +0.02559888-0.00000000i, -0.03123707-0.00563307i, -0.02217074+0.02739725i, +0.01571347+0.00459567i, -0.00337491+0.01323413i, +0.00165283-0.00344222i, +0.01456727+0.00172400i, -0.00499416+0.00742146i, +0.02823020+0.02708065i, -0.02212647+0.00552471i, +0.03916102+0.02246498i, +0.03769952+0.04667533i, -0.02899330-0.01208403i, +0.04019851+0.00230851i, +0.01902046+0.02477059i, -0.00709232-0.00147947i, -0.04331125+0.00522148i
+0.00750057-0.00637195i, -0.01781093+0.01948641i, +0.01203251-0.03291050i, -0.02324446-0.02125145i, -0.01037649+0.04055283i, +0.01125740-0.00931154i, +0.00423017+0.04051471i, -0.02893715+0.01106327i, -0.00391154+0.01127722i, +0.02179703+0.01646282i, -0.03143109+0.03054881i, -0.02825263-0.00643334i, +0.00229076+0.02690291i, -0.02201331+0.01845529i, +0.00398155-0.02369309i, -0.03123707+0.00563307i, +0.03935666+0.00000000i, +0.02102508-0.03831025i, -0.02018567-0.00215010i, +0.00120605-0.01689162i, -0.00125940+0.00456408i, -0.01815511+0.00110184i, +0.00446103-0.01015502i, -0.04040709-0.02683311i, +0.02578415-0.01161049i, -0.05272975-0.01879550i, -0.05627387-0.04865982i, +0.03803824+0.00836554i, -0.04956029+0.00602878i, -0.02866055-0.02604088i, +0.00897998+0.00024465i, +0.05170163-0.01590223i
+0.01020948+0.00389713i, -0.02848325-0.00692737i, +0.03846348-0.00586883i, +0.00826879-0.03397937i, -0.04501794+0.01156349i, +0.01507788+0.00598368i, -0.03717768+0.02576143i, -0.02622790-0.02225757i, -0.01306700+0.00221697i, -0.00438072+0.03001225i, -0.04652767-0.01427565i, -0.00883080-0.03093826i, -0.02496385+0.01660190i, -0.02972454-0.01156886i, +0.02519016-0.00878161i, -0.02217074-0.02739725i, +0.02102508+0.03831025i, +0.04852366+0.00000000i, -0.00869064-0.02079760i, +0.01708681-0.00784984i, -0.00511553+0.00121231i, -0.01077135-0.01708378i, +0.01226819-0.00108258i, +0.00453344-0.05366751i, +0.02507618+0.01889606i, -0.00987347-0.06136869i, +0.01730348-0.08077267i, +0.01217763+0.04149592i, -0.03234454-0.04502190i, +0.01003750-0.04181006i, +0.00455912+0.00887192i, +0.04309942+0.04183173i
-0.00349887+0.00367788i, +0.00807050-0.01096743i, -0.00437343+0.01753685i, +0.01308286+0.00962981i, +0.00310656-0.02136606i, -0.00526512+0.00539081i, -0.00438298-0.02054853i, +0.01423721-0.00725512i, +0.00139011-0.00599768i, -0.01207888-0.00725283i, +0.01445180-0.01738532i, +0.01484198+0.00175613i, -0.00264465-0.01367311i, +0.01028220-0.01066816i, -0.00074772+0.01236949i, +0.01571347-0.00459567i, -0.02018567+0.00215010i, -0.00869064+0.02079760i, +0.01047051-0.00000000i, +0.00030423+0.00872945i, +0.00039659-0.00240968i, +0.00925140-0.00155696i, -0.00173324+0.00545213i, +0.02219035+0.01155498i, -0.01259016+0.00736353i, +0.02807143+0.00675935i, +0.03152070+0.02188287i, -0.01996649-0.00221254i, +0.02508967-0.00579964i, +0.01612238+0.01179037i, -0.00461911+0.00036511i, -0.02564854+0.01098063i
+0.00296465+0.00302393i, -0.00890924-0.00704719i, +0.01449370+0.00415576i, +0.00840868-0.01062761i, -0.01772299-0.00321081i, +0.00434143+0.00454626i, -0.01725902+0.00305711i, -0.00563504-0.01208061i, -0.00495998-0.00133322i, -0.00639778+0.00985963i, -0.01407453-0.01255387i, +0.00189537-0.01232299i, -0.01147635+0.00180760i, -0.00859547-0.00888242i, +0.01029093+0.00098280i, -0.00337491-0.01323413i, +0.00120605+0.01689162i, +0.01708681+0.00784984i, +0.00030423-0.00872945i, +0.00728673+0.00000000i, -0.00199747-0.00040066i, -0.00102925-0.00775829i, +0.00449517+0.00160345i, +0.01027835-0.01816474i, +0.00577328+0.01071059i, +0.00645104-0.02320724i, +0.01916001-0.02564352i, -0.00242478+0.01658212i, -0.00410625-0.02108621i, +0.01029830-0.01309892i, +0.00017018+0.00386164i, +0.00840949+0.02170269i
-0.00097895-0.00066592i, +0.00282973+0.00144193i, -0.00420158-0.00034225i, -0.00172066+0.00337563i, +0.00503484-0.00009434i, -0.00144007-0.00100752i, +0.00456302-0.00178702i, +0.00220895+0.00300174i, +0.00143296+0.00009274i, +0.00121165-0.00305454i, +0.00454844+0.00266743i, +0.00015802+0.00348224i, +0.00304655-0.00112654i, +0.00284463+0.00196226i, -0.00287503+0.00029644i, +0.00165283+0.00344222i, -0.00125940-0.00456408i, -0.00511553-0.00121231i, +0.00039659+0.00240968i, -0.00199747+0.00040066i, +0.00056958-0.00000000i, +0.00070873+0.00207014i, -0.00132040-0.00019238i, -0.00181875+0.00554455i, -0.00217152-0.00261859i, -0.00049233+0.00671637i, -0.00384220+0.00808302i, -0.00024708-0.00467888i, +0.00228505+0.00555445i, -0.00210276+0.00415698i, -0.00025898-0.00104921i, -0.00349857-0.00548683i
