+0.01596177-0.00000000i, +0.00075936+0.00099217i, +0.00060060+0.00160998i, -0.00037753-0.00187762i, +0.00410748+0.00253892i, +0.00257413+0.00123107i, -0.00182918-0.00106922i, -0.00295084-0.00008055i, +0.00079181-0.00013364i, -0.00256773-0.00125948i, -0.00093016+0.00095648i, -0.00265023+0.00326910i, +0.00128424-0.00113207i, +0.00103679-0.00251014i, -0.00000432+0.00010498i, +0.00015427-0.00331259i, -0.00188158-0.00234639i, -0.00242454-0.00234479i, +0.00428326-0.00158135i, +0.00131795+0.00086987i, -0.00039862-0.00190737i, -0.00311364+0.00262395i, +0.00147439-0.00004376i, -0.00197021+0.00195898i, -0.00029791-0.00118657i, -0.00100428+0.00122073i, -0.00198126-0.00106656i, -0.00160187+0.00039068i, +0.00134931+0.00251904i, -0.00320027+0.00125756i, -0.00138069-0.00145871i, +0.00100501-0.00244176i, +0.00170909-0.00280017i, -0.00194487-0.00156907i, +0.00314096-0.00187207i, +0.00144691+0.00147749i, -0.00065633-0.00159037i, -0.00035392+0.00232140i, -0.00073469-0.00107188i, -0.00312684+0.00097999i, +0.00249759+0.00003671i, +0.00073407-0.00097211i, +0.00219292+0.00200734i, -0.00162847+0.00212950i, -0.00189726-0.00397466i, +0.00339832-0.00299613i, +0.00096558+0.00119864i, -0.00215317+0.00055730i, -0.00220737-0.00624266i, -0.00180440-0.00104336i, +0.00230437-0.00113351i, -0.00202188+0.00218671i, +0.00055772-0.00423195i, -0.00015632-0.00366561i, +0.00057268+0.00211349i, +0.00199189+0.00011000i, -0.00032452+0.00063512i, -0.00247773-0.00309969i, -0.00217790-0.00040049i, -0.00050031-0.00100601i, -0.00066914+0.00125075i, +0.00232230+0.00033097i, +0.00120333+0.00128966i, +0.00175204-0.00054641i
-0.00265023-0.00326910i, +0.00109020-0.00122210i, +0.00102056-0.00214903i, -0.00155976+0.00037153i, +0.00045482-0.00460848i, +0.00136023-0.00280495i, -0.00035819+0.00227391i, +0.00169465+0.00112041i, -0.00128367-0.00111347i, +0.00047261+0.00373653i, +0.00168098+0.00025392i, +0.01579163-0.00000000i, -0.00140393+0.00013783i, -0.00182428-0.00021582i, -0.00026910-0.00045496i, -0.00349939+0.00169797i, -0.00068727+0.00250415i, -0.00048422+0.00426498i, -0.00358556-0.00317432i, +0.00145667-0.00107347i, -0.00117781+0.00173065i, +0.00422255+0.00110815i, -0.00131026-0.00155780i, +0.00389290+0.00093794i, -0.00101860+0.00038451i, +0.00219265-0.00036467i, +0.00012037+0.00242909i, +0.00106051+0.00076395i, +0.00041307-0.00269686i, +0.00221671+0.00195275i, +0.00027486+0.00203090i, -0.00263366+0.00109126i, -0.00150698+0.00009485i, -0.00064051+0.00325290i, -0.00396408-0.00156808i, +0.00116930-0.00234161i, -0.00192872+0.00167841i, +0.00185950-0.00107121i, -0.00013479+0.00114075i, +0.00425462+0.00190931i, -0.00202691-0.00183004i, -0.00121172+0.00013576i, -0.00016218-0.00340913i, +0.00540083-0.00100301i, -0.00117095+0.00377456i, -0.00533165-0.00125292i, +0.00091915-0.00190426i, +0.00224686+0.00057501i, -0.00287249+0.00322873i, -0.00043619+0.00136591i, -0.00240911-0.00103359i, +0.00317280+0.00088475i, -0.00354234+0.00135705i, -0.00351972+0.00285647i, +0.00161309-0.00127800i, -0.00054612-0.00013199i, +0.00034712-0.00024578i, -0.00057418+0.00402566i, +0.00059039+0.00244403i, +0.00077404+0.00400479i, +0.00178094-0.00174386i, -0.00100698-0.00249627i, +0.00036402-0.00202824i, -0.00195233-0.00186930i
+0.00128424+0.00113207i, +0.00060275-0.00089162i, +0.00032421+0.00052099i, -0.00058519-0.00054987i, +0.00001700-0.00032777i, -0.00036475-0.00019303i, +0.00023405+0.00025071i, -0.00024344-0.00105134i, -0.00035086+0.00011457i, +0.00001558-0.00020123i, -0.00146374-0.00077483i, -0.00140393-0.00013783i, +0.01235370-0.00000000i, +0.00180352+0.00010516i, -0.00130174+0.00044636i, +0.00056361+0.00014775i, +0.00090130-0.00020985i, +0.00065557-0.00152802i, +0.00066858+0.00055920i, +0.00019569+0.00044003i, +0.00043293-0.00104763i, -0.00047980-0.00081846i, -0.00035542+0.00123582i, -0.00084664-0.00072282i, +0.00032022+0.00041332i, +0.00031832+0.00017555i, -0.00029485+0.00021836i, -0.00027493-0.00046110i, -0.00016052+0.00024868i, -0.00047091-0.00024963i, +0.00051557-0.00082792i, +0.00037657-0.00006103i, +0.00072676-0.00088860i, +0.00054560-0.00104435i, +0.00070032+0.00047810i, -0.00031107+0.00044415i, +0.00076463-0.00090844i, +0.00013175+0.00017479i, +0.00007685+0.00000782i, -0.00057303-0.00079868i, +0.00053364+0.00064056i, -0.00037046+0.00042726i, -0.00057136+0.00061705i, -0.00123576+0.00001245i, +0.00150519-0.00182951i, +0.00120091+0.00063977i, -0.00062781+0.00050266i, -0.00073544-0.00060889i, +0.00144101+0.00013106i, +0.00008613-0.00044806i, +0.00001979+0.00017029i, -0.00003883-0.00010788i, +0.00098717+0.00008907i, +0.00161356+0.00003201i, -0.00053866+0.00032299i, +0.00014178-0.00017533i, +0.00036883+0.00001155i, +0.00087382-0.00096995i, -0.00012227-0.00056406i, -0.00015800+0.00019593i, +0.00142532+0.00227325i, +0.00074215+0.00127106i, -0.00020901+0.00021135i, -0.00011489+0.00136319i
+0.00103679+0.00251014i, -0.00123118-0.00081284i, -0.00009115+0.00132016i, +0.00116952+0.00008287i, -0.00079416+0.00105793i, -0.00152666+0.00118395i, +0.00044763-0.00098225i, -0.00157207-0.00168710i, -0.00020432+0.00149243i, -0.00007788-0.00301272i, -0.00090555-0.00036029i, -0.00182428+0.00021582i, +0.00180352-0.00010516i, +0.01432995-0.00000000i, -0.00027632+0.00106879i, +0.00208349+0.00002835i, +0.00068115-0.00056911i, +0.00157395-0.00170209i, +0.00134307+0.00196239i, +0.00037993+0.00106752i, +0.00065167-0.00094630i, -0.00242705-0.00101071i, +0.00006642+0.00035468i, -0.00145040-0.00170966i, +0.00027392+0.00049699i, -0.00040155-0.00018598i, +0.00065049-0.00076404i, -0.00002297-0.00085366i, -0.00106602+0.00087240i, -0.00090810-0.00172049i, +0.00021461-0.00079931i, +0.00097061+0.00043941i, +0.00097455-0.00024703i, +0.00061499-0.00262976i, +0.00179117+0.00111083i, -0.00029363+0.00081152i, +0.00086646-0.00122025i, -0.00107318-0.00050250i, +0.00032829-0.00012806i, -0.00135902-0.00109119i, +0.00015927+0.00151369i, +0.00090480+0.00082952i, -0.00060647+0.00122146i, -0.00093575-0.00045143i, +0.00080916-0.00161530i, +0.00349698-0.00024492i, -0.00055974+0.00114091i, -0.00052097-0.00027148i, +0.00180236-0.00128206i, +0.00086308-0.00013306i, +0.00125930+0.00055568i, -0.00128053-0.00063079i, +0.00206013-0.00067550i, +0.00159629+0.00007215i, -0.00094716+0.00044240i, +0.00040181+0.00112977i, -0.00052374+0.00002557i, +0.00191633-0.00220591i, +0.00008121-0.00175321i, +0.00030809-0.00012317i, -0.00048727+0.00097933i, +0.00183179+0.00366403i, -0.00092147+0.00076661i, +0.00045087+0.00140241i
-0.00000432-0.00010498i, -0.00133128+0.00078758i, +0.00045177+0.00058273i, -0.00001241-0.00048474i, +0.00026210+0.00147920i, -0.00001305+0.00183668i, +0.00001791-0.00098962i, -0.00090507+0.00107637i, +0.00061218+0.00009808i, -0.00109334-0.00068842i, -0.00117249-0.00009698i, -0.00026910+0.00045496i, -0.00130174-0.00044636i, -0.00027632-0.00106879i, +0.01067496+0.00000000i, +0.00099248-0.00128985i, +0.00035958-0.00099637i, -0.00080966-0.00123347i, +0.00079632+0.00028750i, -0.00014861+0.00017349i, +0.00006606-0.00063613i, -0.00095754-0.00063678i, +0.00037081-0.00017262i, -0.00081105+0.00040108i, +0.00037316-0.00031257i, -0.00042099+0.00018012i, -0.00042529-0.00044089i, +0.00037115-0.00007482i, -0.00015195+0.00177963i, -0.00095154-0.00006047i, -0.00019524-0.00043879i, +0.00014787-0.00042074i, +0.00016486-0.00051409i, -0.00038213-0.00025420i, +0.00049919+0.00048725i, +0.00022361+0.00029877i, -0.00026754-0.00008579i, -0.00075737+0.00023617i, -0.00018690-0.00098203i, -0.00068710+0.00055035i, +0.00058476+0.00000295i, +0.00030047-0.00041936i, -0.00031567+0.00055634i, -0.00094363+0.00081243i, -0.00015807-0.00063731i, +0.00078813-0.00043911i, +0.00132773-0.00064695i, +0.00005829-0.00056951i, +0.00020035-0.00120793i, +0.00012852-0.00011684i, +0.00032870-0.00058966i, -0.00114917+0.00022904i, +0.00047204-0.00111815i, +0.00006496-0.00157358i, -0.00019522+0.00083339i, +0.00058836+0.00002312i, +0.00015490+0.00044949i, -0.00069397-0.00131833i, -0.00120081-0.00062913i, +0.00027993-0.00034155i, -0.00043862+0.00001425i, +0.00072506-0.00000768i, +0.00178433+0.00191260i, +0.00050398-0.00031102i
+0.00015427+0.00331259i, -0.00263461+0.00008191i, -0.00190532+0.00034085i, +0.00124502+0.00000840i, -0.00168336+0.00356171i, -0.00243791+0.00182126i, +0.00160632-0.00192547i, -0.00005075-0.00253745i, +0.00031702+0.00070549i, +0.00032696-0.00386695i, -0.00072098-0.00163795i, -0.00349939-0.00169797i, +0.00056361-0.00014775i, +0.00208349-0.00002835i, +0.00099248+0.00128985i, +0.01421448-0.00000000i, +0.00232558-0.00166442i, +0.00208857-0.00413057i, +0.00152536+0.00385798i, -0.00062079+0.00100216i, +0.00200474-0.00069707i, -0.00196002-0.00314528i, +0.00074418+0.00214724i, -0.00233419-0.00197975i, +0.00111086+0.00052497i, -0.00138534-0.00163330i, +0.00087505-0.00182902i, -0.00047717-0.00180209i, -0.00200397+0.00194783i, -0.00078239-0.00357514i, +0.00082914-0.00137616i, +0.00303436+0.00041223i, +0.00190775+0.00091146i, +0.00151199-0.00195586i, +0.00231220+0.00278144i, -0.00187961+0.00279761i, +0.00185459-0.00080332i, -0.00196332-0.00049231i, +0.00118982-0.00110833i, -0.00147142-0.00345406i, +0.00078522+0.00271095i, +0.00100891+0.00072564i, -0.00241912+0.00268982i, -0.00374207-0.00118660i, +0.00345332-0.00221022i, +0.00413708+0.00321000i, -0.00150281+0.00125387i, +0.00051562-0.00317482i, +0.00398720-0.00099224i, +0.00052393-0.00087750i, +0.00100502+0.00181838i, -0.00245349-0.00236682i, +0.00323945+0.00054713i, +0.00388756-0.00083799i, -0.00159860+0.00025267i, +0.00014703+0.00122784i, -0.00026898+0.00039660i, +0.00259073-0.00298723i, +0.00046144-0.00203179i, +0.00105456-0.00052942i, -0.00125518-0.00036025i, +0.00003849+0.00291036i, -0.00142577+0.00192708i, +0.00162949+0.00351612i
-0.00188158+0.00234639i, -0.00144126-0.00041258i, -0.00198553-0.00139286i, +0.00110355+0.00032683i, -0.00389549+0.00165951i, -0.00246832+0.00058112i, +0.00203682-0.00033851i, +0.00021191-0.00224238i, -0.00006943+0.00074510i, +0.00210243-0.00258789i, -0.00032189-0.00169280i, -0.00068727-0.00250415i, +0.00090130+0.00020985i, +0.00068115+0.00056911i, +0.00035958+0.00099637i, +0.00232558+0.00166442i, +0.01515377+0.00000000i, +0.00357831-0.00198638i, -0.00014008+0.00418723i, -0.00162690-0.00010264i, +0.00337130-0.00107736i, +0.00039733-0.00402213i, -0.00152599+0.00213741i, -0.00098761-0.00274297i, +0.00051070+0.00009966i, +0.00060279-0.00216269i, +0.00176940-0.00172778i, +0.00145637-0.00159719i, -0.00390576+0.00071586i, -0.00038476-0.00130464i, +0.00177825-0.00096566i, +0.00173942+0.00258478i, +0.00307262+0.00058684i, +0.00235417-0.00019209i, +0.00060583+0.00312120i, -0.00198600+0.00080063i, +0.00120589-0.00035523i, -0.00141397-0.00175543i, +0.00159898-0.00004934i, +0.00022205-0.00315596i, -0.00028439+0.00356186i, +0.00077643+0.00069249i, -0.00235184+0.00078080i, -0.00181026-0.00193821i, +0.00289070+0.00055991i, +0.00091273+0.00358376i, -0.00169073+0.00009418i, +0.00006468-0.00158449i, +0.00547616+0.00281322i, +0.00096420-0.00070201i, +0.00030924+0.00225968i, -0.00066788-0.00291669i, +0.00313602+0.00198112i, +0.00390105+0.00152044i, -0.00147235-0.00123749i, -0.00081277+0.00115949i, -0.00054133-0.00067699i, +0.00338795-0.00112537i, +0.00104259-0.00170507i, +0.00123300+0.00101055i, -0.00180405-0.00098801i, -0.00179437+0.00227262i, -0.00119055+0.00060309i, -0.00042764+0.00080952i
-0.00242454+0.00234479i, -0.00199147-0.00205859i, -0.00194797-0.00138526i, +0.00133735+0.00205493i, -0.00582813+0.00031379i, -0.00415148-0.00153026i, +0.00357296+0.00079051i, +0.00174858-0.00323018i, -0.00095061+0.00073076i, +0.00523934-0.00195499i, +0.00106412-0.00265405i, -0.00048422-0.00426498i, +0.00065557+0.00152802i, +0.00157395+0.00170209i, -0.00080966+0.00123347i, +0.00208857+0.00413057i, +0.00357831+0.00198638i, +0.02034691+0.00000000i, -0.00269979+0.00514925i, -0.00164843-0.00139070i, +0.00345093+0.00275787i, +0.00194436-0.00620508i, -0.00263333+0.00222133i, +0.00132974-0.00456790i, +0.00046009+0.00235544i, +0.00027507-0.00232623i, +0.00349502-0.00055743i, +0.00139231-0.00096967i, -0.00525899-0.00176681i, +0.00278092-0.00500252i, +0.00255565-0.00016074i, +0.00157760+0.00333917i, +0.00029411+0.00239894i, +0.00667500-0.00025918i, -0.00168516+0.00560290i, -0.00310811-0.00032559i, +0.00166492+0.00152586i, -0.00132626-0.00291591i, +0.00146377+0.00070313i, +0.00170459-0.00420918i, -0.00217961+0.00264750i, +0.00092250+0.00276224i, -0.00477743-0.00022910i, -0.00083102-0.00541711i, +0.00488486+0.00158869i, -0.00065952+0.00739009i, -0.00234723-0.00099639i, +0.00145155-0.00234764i, +0.00446320+0.00420344i, +0.00322922+0.00124003i, -0.00053543+0.00348206i, +0.00074076-0.00397016i, +0.00275956+0.00523677i, +0.00518973+0.00479230i, -0.00177006-0.00154147i, -0.00018005+0.00150504i, -0.00124124-0.00033301i, +0.00631309+0.00052832i, +0.00201517-0.00121780i, +0.00127544+0.00128751i, -0.00149045-0.00186861i, -0.00326507+0.00244260i, -0.00257595-0.00036516i, -0.00213262+0.00218983i
+0.00428326+0.00158135i, -0.00048928+0.00234769i, -0.00102231+0.00259446i, +0.00047537-0.00158603i, +0.00292283+0.00472899i, +0.00120152+0.00367439i, -0.00128739-0.00266115i, -0.00337011-0.00020526i, +0.00170343+0.00130589i, -0.00342766-0.00244694i, -0.00146978-0.00018824i, -0.00358556+0.00317432i, +0.00066858-0.00055920i, +0.00134307-0.00196239i, +0.00079632-0.00028750i, +0.00152536-0.00385798i, -0.00014008-0.00418723i, -0.00269979-0.00514925i, +0.01729652+0.00000000i, +0.00020520+0.00187998i, +0.00121998-0.00447851i, -0.00506417+0.00160847i, +0.00271022+0.00023628i, -0.00435619+0.00175990i, +0.00042234-0.00112040i, -0.00216002+0.00113232i, -0.00240362-0.00281660i, -0.00134708-0.00077621i, +0.00075477+0.00431592i, -0.00453593+0.00094178i, -0.00168269-0.00136127i, +0.00223243-0.00318346i, +0.00184368-0.00165553i, -0.00196915-0.00324085i, +0.00690784-0.00240126i, +0.00152330+0.00321026i, -0.00046669-0.00312662i, -0.00183491+0.00270210i, -0.00046818-0.00137416i, -0.00473604+0.00075596i, +0.00344763+0.00051042i, +0.00100617-0.00148011i, +0.00252521+0.00383106i, -0.00303285+0.00355884i, -0.00147361-0.00440316i, +0.00551479-0.00288792i, +0.00116810+0.00103196i, -0.00274713+0.00032953i, +0.00044907-0.00525763i, -0.00099603-0.00089553i, +0.00486585+0.00063249i, -0.00341125+0.00216046i, +0.00292764-0.00398084i, +0.00082790-0.00483960i, +0.00002783+0.00216957i, +0.00169074+0.00115239i, -0.00063589+0.00102081i, -0.00190562-0.00450453i, -0.00138989-0.00107040i, -0.00001751-0.00192086i, -0.00131631+0.00218307i, +0.00339681+0.00169544i, +0.00077314+0.00253381i, +0.00218991+0.00045556i
+0.00131795-0.00086987i, +0.00004621-0.00046141i, +0.00035928+0.00059685i, -0.00120096-0.00020664i, +0.00099020-0.00034199i, +0.00107097-0.00077848i, -0.00095836+0.00000544i, -0.00047719+0.00010445i, +0.00060947-0.00069300i, -0.00051693-0.00013762i, +0.00061947+0.00133431i, +0.00145667+0.00107347i, +0.00019569-0.00044003i, +0.00037993-0.00106752i, -0.00014861-0.00017349i, -0.00062079-0.00100216i, -0.00162690+0.00010264i, -0.00164843+0.00139070i, +0.00020520-0.00187998i, +0.01323391-0.00000000i, -0.00107820+0.00079227i, -0.00007078+0.00221699i, +0.00018765-0.00071094i, +0.00085347+0.00103057i, +0.00002180+0.00110565i, +0.00057170+0.00061829i, -0.00095956+0.00076023i, -0.00134304+0.00002842i, +0.00148292-0.00051645i, -0.00062271+0.00113692i, -0.00017424+0.00020663i, -0.00015748-0.00060196i, -0.00044859-0.00062040i, -0.00117463-0.00016372i, +0.00024644-0.00184216i, +0.00338526-0.00053187i, -0.00003701-0.00033795i, +0.00037503+0.00049638i, -0.00033301-0.00049573i, +0.00020973+0.00127818i, +0.00046301-0.00098316i, -0.00060733-0.00058502i, +0.00078452-0.00046622i, +0.00154242+0.00112822i, -0.00105464+0.00009816i, +0.00002140-0.00158946i, +0.00037531+0.00026065i, +0.00038528-0.00059998i, -0.00133820-0.00080514i, -0.00049897+0.00037934i, +0.00024122-0.00099657i, +0.00124539+0.00236190i, -0.00109821-0.00122261i, -0.00218786-0.00089549i, +0.00056223+0.00057707i, +0.00092065+0.00019986i, +0.00024091+0.00032804i, -0.00084892+0.00039740i, -0.00057694+0.00036710i, +0.00055166+0.00042410i, +0.00113498+0.00040641i, +0.00055151-0.00066410i, +0.00064092-0.00015890i, -0.00020232+0.00000447i
-0.00039862+0.00190737i, -0.00139250-0.00041760i, -0.00158378-0.00102666i, +0.00112380+0.00024556i, -0.00322125+0.00200011i, -0.00176946+0.00087318i, +0.00123628-0.00172227i, -0.00009594-0.00194345i, -0.00097064+0.00118081i, +0.00104910-0.00264303i, -0.00009987-0.00207365i, -0.00117781-0.00173065i, +0.00043293+0.00104763i, +0.00065167+0.00094630i, +0.00006606+0.00063613i, +0.00200474+0.00069707i, +0.00337130+0.00107736i, +0.00345093-0.00275787i, +0.00121998+0.00447851i, -0.00107820-0.00079227i, +0.01539452+0.00000000i, +0.00034284-0.00308704i, -0.00157608+0.00142149i, -0.00134751-0.00255691i, +0.00169445+0.00145607i, +0.00063314-0.00092318i, +0.00135014-0.00112220i, +0.00042549-0.00065324i, -0.00259778+0.00087046i, -0.00057031-0.00212777i, +0.00124373-0.00095452i, +0.00086475+0.00191813i, +0.00077990+0.00171766i, +0.00165123-0.00084036i, +0.00053131+0.00320222i, -0.00072303+0.00066009i, +0.00403051-0.00076627i, -0.00106429-0.00035723i, +0.00031175-0.00038175i, -0.00084983-0.00330178i, -0.00227404+0.00148409i, +0.00034476+0.00051132i, -0.00191188+0.00152037i, -0.00220436-0.00217085i, +0.00245353-0.00016222i, +0.00152049+0.00367833i, -0.00136950+0.00028829i, -0.00019457-0.00170854i, +0.00310300+0.00091938i, -0.00015287-0.00018434i, +0.00030131+0.00237946i, -0.00031411-0.00185374i, +0.00422027+0.00378638i, +0.00307850+0.00040387i, -0.00134811-0.00032401i, -0.00057929+0.00086527i, -0.00052465+0.00037507i, +0.00303337-0.00094937i, +0.00063724-0.00102245i, +0.00082310-0.00012506i, -0.00207802-0.00139519i, -0.00092456+0.00238873i, -0.00117381+0.00079573i, +0.00003599+0.00100118i
-0.00311364-0.00262395i, +0.00086196-0.00160039i, +0.00037556-0.00243300i, -0.00108605+0.00152761i, -0.00190878-0.00524534i, -0.00033301-0.00385667i, +0.00011147+0.00298128i, +0.00382053+0.00178807i, -0.00055608-0.00103307i, +0.00272945+0.00419763i, +0.00260696+0.00042722i, +0.00422255-0.00110815i, -0.00047980+0.00081846i, -0.00242705+0.00101071i, -0.00095754+0.00063678i, -0.00196002+0.00314528i, +0.00039733+0.00402213i, +0.00194436+0.00620508i, -0.00506417-0.00160847i, -0.00007078-0.00221699i, +0.00034284+0.00308704i, +0.01914835+0.00000000i, -0.00265462-0.00092526i, +0.00427556+0.00027378i, -0.00186896+0.00186269i, +0.00277702-0.00108784i, +0.00083196+0.00362709i, +0.00145143+0.00111296i, -0.00002222-0.00353948i, +0.00507738+0.00121791i, +0.00064757+0.00230356i, -0.00251487+0.00230127i, -0.00113122+0.00135287i, +0.00084463+0.00407212i, -0.00519967-0.00013020i, -0.00072514-0.00272554i, -0.00124218+0.00223731i, +0.00461091-0.00305708i, +0.00028096+0.00176663i, +0.00423346+0.00036147i, -0.00302149-0.00149502i, -0.00247522+0.00050799i, -0.00133348-0.00450381i, +0.00332392-0.00192120i, +0.00047513+0.00439005i, -0.00591080+0.00167338i, +0.00035798-0.00229097i, +0.00240497+0.00085763i, -0.00240198+0.00553194i, +0.00017975+0.00216302i, -0.00357100+0.00006024i, +0.00424761-0.00131374i, -0.00356149+0.00425946i, -0.00103104+0.00644104i, +0.00116425-0.00264086i, -0.00123762-0.00098596i, +0.00054347-0.00082996i, +0.00095667+0.00519928i, +0.00178845+0.00187311i, -0.00083438+0.00160185i, +0.00186993-0.00200072i, -0.00402766-0.00314644i, -0.00036844-0.00225172i, -0.00227375-0.00143007i
+0.00147439+0.00004376i, +0.00001854+0.00064428i, -0.00012216+0.00093147i, +0.00004601-0.00038418i, +0.00211825+0.00233166i, +0.00069213+0.00165685i, -0.00138549-0.00095673i, -0.00151066+0.00018621i, +0.00050703-0.00017524i, -0.00223412-0.00094613i, -0.00018502+0.00043719i, -0.00131026+0.00155780i, -0.00035542-0.00123582i, +0.00006642-0.00035468i, +0.00037081+0.00017262i, +0.00074418-0.00214724i, -0.00152599-0.00213741i, -0.00263333-0.00222133i, +0.00271022-0.00023628i, +0.00018765+0.00071094i, -0.00157608-0.00142149i, -0.00265462+0.00092526i, +0.01198930-0.00000000i, -0.00055958+0.00091444i, +0.00025406-0.00141487i, -0.00202881+0.00014444i, -0.00129703-0.00041033i, -0.00114138-0.00000236i, +0.00125041+0.00103405i, -0.00092461-0.00029757i, -0.00097070-0.00058204i, +0.00121723-0.00214267i, +0.00070373-0.00113819i, -0.00153260-0.00137695i, +0.00214827-0.00121906i, +0.00108417+0.00098367i, -0.00028524-0.00096181i, -0.00005683+0.00121572i, +0.00155876-0.00129683i, -0.00174752+0.00119181i, +0.00140792-0.00012273i, +0.00077421-0.00031806i, +0.00242549+0.00166160i, -0.00055927+0.00203188i, -0.00087266-0.00208861i, +0.00195052-0.00170124i, +0.00063643+0.00115670i, -0.00129875+0.00061423i, -0.00017951-0.00326003i, -0.00105506-0.00060430i, +0.00091096+0.00011916i, -0.00169923+0.00141032i, +0.00038688-0.00217218i, -0.00054118-0.00299981i, +0.00139952+0.00294484i, +0.00028161+0.00046616i, +0.00025151-0.00015124i, -0.00159061-0.00197020i, -0.00159989-0.00018451i, +0.00009994-0.00067923i, -0.00004030+0.00107172i, +0.00139054-0.00004122i, +0.00017708+0.00057307i, +0.00150998+0.00005936i
-0.00197021-0.00195898i, +0.00165106-0.00115384i, +0.00058464-0.00187866i, -0.00090113+0.00057591i, -0.00024710-0.00335189i, +0.00004532-0.00355535i, -0.00048603+0.00240676i, +0.00144856+0.00080078i, -0.00084210-0.00165984i, +0.00166824+0.00170577i, +0.00180057-0.00010892i, +0.00389290-0.00093794i, -0.00084664+0.00072282i, -0.00145040+0.00170966i, -0.00081105-0.00040108i, -0.00233419+0.00197975i, -0.00098761+0.00274297i, +0.00132974+0.00456790i, -0.00435619-0.00175990i, +0.00085347-0.00103057i, -0.00134751+0.00255691i, +0.00427556-0.00027378i, -0.00055958-0.00091444i, +0.01480935-0.00000000i, -0.00120253+0.00070808i, +0.00107451-0.00080155i, +0.00019440+0.00206898i, +0.00007411+0.00086564i, +0.00024509-0.00362915i, +0.00284656+0.00099592i, -0.00000716+0.00210636i, -0.00182014+0.00143730i, -0.00050540+0.00059728i, +0.00095004+0.00257135i, -0.00323881-0.00006802i, +0.00032606-0.00225113i, -0.00075426+0.00264024i, +0.00119445-0.00129450i, +0.00007469+0.00096832i, +0.00523698+0.00017197i, -0.00178530-0.00119538i, -0.00092214+0.00046030i, -0.00026587-0.00279263i, +0.00433932-0.00087821i, +0.00023117+0.00311001i, -0.00372269-0.00001144i, +0.00024293-0.00195296i, +0.00182326+0.00093716i, -0.00176052+0.00311751i, +0.00001716+0.00146918i, -0.00281723+0.00013592i, +0.00187387+0.00031899i, -0.00309150+0.00190016i, -0.00230890+0.00336682i, +0.00115556-0.00120687i, +0.00052323+0.00121228i, +0.00050096-0.00102698i, +0.00045421+0.00356336i, +0.00107411+0.00084983i, -0.00096557+0.00148112i, +0.00113867-0.00117692i, -0.00246443-0.00213835i, -0.00008650-0.00185510i, -0.00241489-0.00098280i
-0.00029791+0.00118657i, -0.00107833+0.00007136i, +0.00002445+0.00085937i, +0.00065765-0.00033016i, -0.00083542+0.00195289i, -0.00101665+0.00092412i, -0.00015704-0.00103753i, -0.00120204-0.00132075i, +0.00000303+0.00031288i, -0.00046679-0.00213161i, -0.00064293-0.00130720i, -0.00101860-0.00038451i, +0.00032022-0.00041332i, +0.00027392-0.00049699i, +0.00037316+0.00031257i, +0.00111086-0.00052497i, +0.00051070-0.00009966i, +0.00046009-0.00235544i, +0.00042234+0.00112040i, +0.00002180-0.00110565i, +0.00169445-0.00145607i, -0.00186896-0.00186269i, +0.00025406+0.00141487i, -0.00120253-0.00070808i, +0.01271680-0.00000000i, -0.00023163-0.00038540i, +0.00071312-0.00085894i, -0.00054033+0.00003913i, -0.00140297+0.00045259i, -0.00142318-0.00205998i, +0.00080072-0.00089038i, +0.00101781+0.00020373i, +0.00065045+0.00082453i, -0.00038177-0.00134725i, +0.00120217+0.00070188i, -0.00031998+0.00064467i, +0.00087835-0.00175693i, -0.00056367+0.00024568i, +0.00001621-0.00060789i, -0.00117471-0.00045503i, -0.00159849+0.00151099i, +0.00028816+0.00014066i, -0.00066807+0.00155547i, -0.00172141-0.00034898i, +0.00104809-0.00085958i, +0.00172137+0.00072401i, -0.00033605+0.00097756i, -0.00013960-0.00145596i, +0.00260206-0.00122681i, +0.00076001-0.00044050i, +0.00096153+0.00056401i, -0.00130485-0.00080545i, +0.00206056-0.00069314i, +0.00101589-0.00096538i, -0.00108593+0.00082270i, +0.00037384+0.00029185i, +0.00073450+0.00182290i, +0.00144962-0.00206424i, -0.00020421-0.00109029i, +0.00053378-0.00043134i, -0.00108446-0.00038841i, +0.00091451+0.00150587i, -0.00025988+0.00086886i, +0.00053439+0.00103131i
