+0.01583578+0.00000000i, +0.00034634-0.00016875i, +0.00007931-0.00006169i, +0.00031329+0.00006248i, -0.00017210-0.00022931i, -0.00010373+0.00014743i, +0.00026997-0.00017098i, -0.00009934-0.00020270i, +0.00012972+0.00022103i, -0.00004044-0.00008836i, +0.00009526+0.00000351i, -0.00016359+0.00000069i, -0.00008986-0.00014911i, -0.00044017-0.00006439i, +0.00011474+0.00014329i, +0.00010566-0.00009564i, +0.00016045-0.00016121i, -0.00000865+0.00021893i, +0.00010827-0.00013506i, +0.00014259-0.00001342i, +0.00012801-0.00021953i, +0.00010075+0.00019586i, -0.00030085+0.00005656i, -0.00018057+0.00009780i, +0.00031846+0.00004593i, -0.00006285+0.00006374i, -0.00005677-0.00009497i, +0.00018628-0.00030663i, +0.00011522-0.00012591i, +0.00011662+0.00007297i, -0.00002529+0.00006257i, -0.00008264+0.00016644i, -0.00017068-0.00024776i, +0.00014525-0.00002667i, -0.00009937-0.00000111i, -0.00018935-0.00010188i, +0.00020550+0.00016946i, +0.00027190-0.00001412i, -0.00002421-0.00003951i, +0.00005681+0.00026390i, +0.00022297-0.00004269i, +0.00014276+0.00022049i, +0.00005069+0.00003493i, -0.00002187-0.00003287i, +0.00020404+0.00001645i, -0.00001824+0.00015170i, -0.00005814+0.00000311i, -0.00004616-0.00005128i, +0.00002207-0.00017277i, -0.00007907-0.00009781i, +0.00008808+0.00008815i, -0.00001693+0.00006920i, +0.00005802+0.00017136i, +0.00008017+0.00021026i, -0.00013266-0.00014096i, +0.00006860-0.00004449i, -0.00000477-0.00003872i, +0.00008857-0.00002263i, -0.00018745+0.00009731i, +0.00015624-0.00005385i, +0.00023032-0.00004600i, +0.00003091+0.00017600i, -0.00002798-0.00027967i, -0.00003569-0.00010584i
-0.00016359-0.00000069i, -0.00022545+0.00011589i, -0.00002694+0.00010901i, -0.00002960-0.00015899i, +0.00009447+0.00011207i, +0.00002063-0.00022082i, +0.00003606+0.00002006i, +0.00005728+0.00019691i, +0.00009546-0.00003394i, +0.00002299+0.00000431i, +0.00001086-0.00001906i, +0.01548848-0.00000000i, +0.00007379+0.00014009i, +0.00020264+0.00000817i, -0.00016001-0.00010502i, -0.00013324+0.00013442i, -0.00004425+0.00003333i, -0.00003603-0.00011331i, -0.00011166+0.00003869i, -0.00001260+0.00002981i, -0.00008716+0.00016471i, -0.00007463-0.00011291i, +0.00023866-0.00007837i, -0.00001118-0.00003068i, -0.00023022+0.00013372i, -0.00005814-0.00008607i, +0.00014658+0.00009663i, -0.00015014+0.00028508i, -0.00004808+0.00006706i, -0.00014944+0.00008430i, -0.00002792-0.00002347i, +0.00013172-0.00006859i, +0.00019194+0.00006606i, -0.00013450-0.00000340i, +0.00001946+0.00006114i, +0.00026995-0.00004911i, -0.00015926-0.00008248i, -0.00025320-0.00001668i, +0.00011981+0.00000248i, -0.00015507-0.00018137i, -0.00009572+0.00003477i, -0.00007975-0.00013213i, -0.00010961-0.00003928i, -0.00011375-0.00019437i, -0.00012981+0.00003061i, -0.00002323-0.00003156i, +0.00003728-0.00008915i, +0.00005718+0.00002324i, +0.00002544+0.00009614i, +0.00006780+0.00002563i, -0.00001472-0.00004339i, +0.00010755+0.00019316i, -0.00010320-0.00010524i, -0.00006823-0.00013890i, +0.00006771+0.00015850i, -0.00000808+0.00004258i, -0.00001160-0.00008791i, -0.00005696-0.00002144i, +0.00009888-0.00012877i, -0.00007224+0.00000778i, -0.00010624+0.00006464i, -0.00002821-0.00012553i, +0.00003736+0.00018945i, +0.00000591-0.00004002i
-0.00008986+0.00014911i, -0.00001314+0.00006329i, +0.00003328+0.00002993i, -0.00002714-0.00009917i, +0.00017240-0.00006358i, -0.00004682-0.00022083i, +0.00016763+0.00014750i, +0.00017212+0.00004530i, -0.00011630+0.00003877i, +0.00002101+0.00001214i, +0.00001572+0.00004665i, +0.00007379-0.00014009i, +0.01557216-0.00000000i, +0.00017192-0.00021104i, -0.00007695-0.00007745i, -0.00013859+0.00010569i, -0.00007029+0.00013051i, -0.00009716-0.00007778i, +0.00002467+0.00010948i, -0.00003264+0.00002757i, -0.00000118+0.00021073i, -0.00022572-0.00000368i, +0.00015063-0.00004800i, +0.00013054-0.00014353i, -0.00009163+0.00015485i, +0.00001429+0.00002459i, +0.00024757-0.00008893i, +0.00008603+0.00028774i, +0.00007231+0.00013644i, -0.00005269+0.00000283i, +0.00002257+0.00018166i, -0.00000477-0.00010995i, +0.00011214+0.00003743i, -0.00011012+0.00012028i, +0.00002241-0.00004199i, +0.00012126-0.00017950i, -0.00016020+0.00006945i, -0.00014959+0.00016874i, +0.00004578+0.00001286i, -0.00024616-0.00007156i, -0.00004620+0.00008894i, -0.00019093-0.00006923i, +0.00011135+0.00000171i, +0.00005706-0.00000652i, -0.00002784-0.00005101i, -0.00001024-0.00007002i, +0.00004034-0.00008848i, +0.00009931+0.00005889i, +0.00004984+0.00005320i, +0.00002939+0.00005200i, -0.00011230-0.00003238i, +0.00000594+0.00002409i, -0.00027503-0.00012908i, -0.00014128-0.00005085i, +0.00015929-0.00001934i, +0.00004085+0.00006229i, +0.00000180-0.00011665i, -0.00007995-0.00002005i, +0.00002676-0.00011596i, +0.00003277+0.00007498i, -0.00003260+0.00015967i, -0.00009086-0.00005346i, +0.00023568+0.00006987i, +0.00007371-0.00000415i
-0.00044017+0.00006439i, -0.00040223-0.00002270i, -0.00005694+0.00019513i, -0.00010546-0.00018978i, +0.00016997+0.00026103i, +0.00024795-0.00013401i, -0.00013945+0.00019703i, +0.00005691+0.00023214i, -0.00005490-0.00019973i, -0.00009379-0.00006806i, -0.00005772+0.00003670i, +0.00020264-0.00000817i, +0.00017192+0.00021104i, +0.01598739-0.00000000i, -0.00039208-0.00006143i, -0.00013675+0.00021124i, -0.00012600-0.00005404i, +0.00009142-0.00024723i, -0.00010168+0.00005224i, -0.00019133-0.00005368i, -0.00025852+0.00017190i, -0.00015035-0.00025400i, +0.00025117+0.00007960i, +0.00027992-0.00015009i, -0.00029477-0.00001570i, -0.00008569+0.00009036i, +0.00015297+0.00012689i, -0.00026874+0.00031438i, -0.00018694+0.00010930i, -0.00008906+0.00008419i, +0.00000327-0.00008242i, +0.00012107-0.00016311i, +0.00009315+0.00022472i, -0.00021021-0.00000916i, +0.00002227+0.00005578i, +0.00035138+0.00012903i, -0.00011083-0.00018334i, -0.00039825+0.00000061i, +0.00011025+0.00007560i, -0.00003713-0.00033393i, -0.00015840-0.00006723i, -0.00013923-0.00023331i, -0.00001878+0.00007342i, +0.00005092-0.00004749i, -0.00015199+0.00008328i, -0.00006952-0.00024803i, +0.00008354-0.00000336i, +0.00005247-0.00002733i, -0.00007556+0.00020559i, +0.00012828+0.00001605i, -0.00008797-0.00010754i, -0.00002335-0.00007926i, -0.00008067-0.00022282i, -0.00013150-0.00043838i, +0.00007187+0.00013717i, -0.00013748+0.00006407i, +0.00007255-0.00013982i, -0.00010444-0.00006024i, +0.00021745-0.00012691i, -0.00024081+0.00003829i, -0.00020684+0.00004660i, +0.00003426-0.00024325i, +0.00011509+0.00035512i, +0.00002269+0.00006732i
+0.00011474-0.00014329i, -0.00008186-0.00014180i, +0.00002532-0.00011751i, -0.00003018+0.00013467i, -0.00019862-0.00001183i, -0.00001197+0.00016199i, -0.00001206-0.00004265i, -0.00007826-0.00012714i, +0.00003785-0.00009401i, -0.00001216+0.00006832i, +0.00002970-0.00009397i, -0.00016001+0.00010502i, -0.00007695+0.00007745i, -0.00039208+0.00006143i, +0.01544265+0.00000000i, +0.00008044-0.00007588i, -0.00000680-0.00001886i, +0.00009809+0.00008651i, +0.00008581-0.00009793i, -0.00000198+0.00004367i, -0.00002719-0.00016977i, +0.00003224+0.00002149i, -0.00016434+0.00008277i, -0.00009637+0.00009875i, +0.00007253-0.00019730i, +0.00003350+0.00007585i, +0.00000566-0.00006849i, +0.00002487-0.00021797i, +0.00003467-0.00008146i, +0.00007540+0.00000493i, +0.00002187+0.00003410i, -0.00004640+0.00013862i, -0.00017525-0.00004942i, +0.00002298-0.00005348i, +0.00000259+0.00002840i, -0.00015518+0.00010617i, +0.00005118-0.00008430i, +0.00009477-0.00004088i, -0.00010518+0.00008316i, +0.00017589-0.00001600i, +0.00002271+0.00002154i, +0.00015916+0.00003394i, +0.00008323-0.00004246i, +0.00002142+0.00006145i, +0.00008605-0.00015372i, +0.00003900+0.00008499i, -0.00006853-0.00010092i, +0.00001267+0.00001722i, -0.00002792-0.00010470i, -0.00002914+0.00006286i, +0.00002153+0.00007666i, +0.00003927-0.00003500i, +0.00008259-0.00005432i, +0.00005320+0.00006785i, -0.00014246-0.00022168i, +0.00001170-0.00004919i, +0.00010112+0.00004667i, +0.00000409-0.00002110i, -0.00013336+0.00005154i, +0.00003377-0.00005288i, +0.00000443-0.00004768i, +0.00012390+0.00003562i, -0.00013445-0.00012511i, -0.00003421+0.00000668i
+0.00010566+0.00009564i, +0.00007754+0.00019773i, +0.00015853+0.00000438i, +0.00002097+0.00007782i, +0.00004249-0.00004388i, -0.00001963-0.00006818i, -0.00000639+0.00000868i, +0.00016727-0.00007856i, -0.00015845+0.00003139i, -0.00002935+0.00002333i, -0.00007678+0.00002335i, -0.00013324-0.00013442i, -0.00013859-0.00010569i, -0.00013675-0.00021124i, +0.00008044+0.00007588i, +0.01542510-0.00000000i, +0.00006446+0.00001433i, -0.00003321-0.00002899i, +0.00009398+0.00011912i, +0.00005859-0.00001111i, +0.00003268-0.00000138i, -0.00003422+0.00005305i, -0.00014236-0.00013362i, +0.00000123-0.00003362i, +0.00009240+0.00005252i, -0.00010594+0.00001480i, +0.00008431-0.00004254i, +0.00013861-0.00004001i, +0.00006899+0.00000342i, +0.00004019+0.00008401i, -0.00002786+0.00007340i, +0.00000847+0.00016034i, -0.00004127-0.00006614i, +0.00008773+0.00004346i, -0.00004735+0.00000002i, -0.00000292-0.00016863i, +0.00002040+0.00011751i, +0.00009664+0.00009757i, +0.00000214+0.00000001i, -0.00017333+0.00015597i, +0.00003936+0.00004953i, -0.00006206+0.00009091i, +0.00007590+0.00005403i, -0.00000358-0.00004162i, +0.00005722+0.00012380i, -0.00009489+0.00010558i, -0.00004642-0.00002662i, -0.00010549-0.00015596i, +0.00004977-0.00008009i, -0.00000055-0.00003394i, -0.00002352+0.00001819i, +0.00000169+0.00006025i, -0.00009518+0.00008603i, -0.00005180+0.00001234i, -0.00003200-0.00012159i, -0.00004393-0.00014052i, -0.00002317+0.00007122i, -0.00002164+0.00008277i, -0.00013548+0.00008318i, +0.00006776+0.00002276i, +0.00006768+0.00005760i, -0.00000570+0.00003478i, +0.00010157-0.00009803i, +0.00001555-0.00010309i
+0.00016045+0.00016121i, +0.00014931-0.00000978i, +0.00006067-0.00004295i, -0.00004422+0.00005486i, +0.00009569-0.00008406i, +0.00001632+0.00002524i, +0.00003674-0.00009761i, -0.00014278-0.00013811i, +0.00012905+0.00012836i, +0.00000935+0.00005196i, +0.00006827-0.00002425i, -0.00004425-0.00003333i, -0.00007029-0.00013051i, -0.00012600+0.00005404i, -0.00000680+0.00001886i, +0.00006446-0.00001433i, +0.01558992+0.00000000i, -0.00002984+0.00001654i, +0.00009345+0.00013160i, +0.00028331+0.00002145i, +0.00006631-0.00001298i, +0.00006345+0.00006387i, -0.00012361-0.00012916i, -0.00015569-0.00006861i, +0.00016982+0.00000683i, -0.00014171+0.00008933i, -0.00006079+0.00000869i, +0.00017260-0.00005734i, +0.00004105+0.00001264i, +0.00008529+0.00001585i, +0.00006831-0.00002773i, -0.00006958+0.00002862i, -0.00001421-0.00007739i, +0.00007496-0.00004620i, -0.00005482-0.00009172i, -0.00017685-0.00004974i, +0.00001864+0.00010358i, +0.00007663+0.00000832i, -0.00004354+0.00005297i, +0.00006861+0.00010207i, +0.00012252+0.00014068i, +0.00002205+0.00011452i, -0.00002355-0.00000232i, +0.00009172-0.00001463i, +0.00002507+0.00000770i, +0.00001121+0.00007616i, -0.00000594-0.00002558i, +0.00002949-0.00001466i, +0.00006062+0.00009715i, -0.00000815-0.00008360i, -0.00000235+0.00002973i, +0.00002503-0.00000500i, +0.00006027+0.00010592i, +0.00005141+0.00008028i, +0.00000632+0.00001474i, +0.00002313-0.00006874i, -0.00012303+0.00005379i, -0.00001391+0.00008383i, -0.00011741+0.00004352i, +0.00005561-0.00006365i, +0.00013002+0.00004195i, -0.00000912+0.00009816i, -0.00005064-0.00007079i, -0.00000343-0.00002422i
-0.00000865-0.00021893i, +0.00001632-0.00015420i, -0.00003037-0.00004843i, +0.00011391-0.00001129i, -0.00011056+0.00005695i, +0.00006498+0.00013438i, -0.00013449-0.00007181i, -0.00005437+0.00016595i, +0.00007403-0.00019393i, -0.00002122-0.00004885i, -0.00002325+0.00000540i, -0.00003603+0.00011331i, -0.00009716+0.00007778i, +0.00009142+0.00024723i, +0.00009809-0.00008651i, -0.00003321+0.00002899i, -0.00002984-0.00001654i, +0.01558821-0.00000000i, +0.00015793-0.00010801i, +0.00007434-0.00018679i, -0.00014202-0.00016890i, +0.00013279-0.00015164i, +0.00013176+0.00023701i, +0.00003552+0.00008325i, +0.00003738-0.00010632i, -0.00000281-0.00003040i, -0.00011773+0.00013929i, -0.00015171-0.00006443i, -0.00009163-0.00002373i, +0.00002044-0.00002271i, +0.00010834-0.00001533i, +0.00006326+0.00006833i, -0.00004831+0.00010122i, -0.00004404-0.00015289i, -0.00006070+0.00005566i, +0.00002110+0.00013874i, +0.00001360-0.00013392i, -0.00011877-0.00019345i, -0.00001956+0.00005152i, +0.00016976-0.00013701i, -0.00010563-0.00004396i, +0.00008663+0.00003964i, -0.00006956-0.00003317i, +0.00003818+0.00000435i, -0.00000143-0.00008633i, +0.00011058-0.00003392i, +0.00004155+0.00001199i, -0.00001315-0.00002686i, -0.00008498+0.00002411i, +0.00007295+0.00016767i, +0.00006221-0.00007662i, -0.00004815-0.00010353i, +0.00011636-0.00009221i, +0.00012808-0.00013166i, -0.00006210+0.00003836i, -0.00005084-0.00002336i, +0.00013026-0.00002313i, -0.00008486-0.00000008i, +0.00015195+0.00006736i, -0.00004125-0.00014572i, -0.00011824-0.00015558i, +0.00007536+0.00000978i, -0.00014573+0.00006099i, -0.00003755+0.00006671i
+0.00010827+0.00013506i, +0.00012323+0.00001666i, +0.00005912-0.00004300i, +0.00001619-0.00002503i, +0.00001871-0.00026119i, -0.00014149+0.00003113i, +0.00000346-0.00009193i, -0.00002203-0.00008868i, +0.00007486+0.00012284i, -0.00002479+0.00003383i, -0.00001794-0.00002270i, -0.00011166-0.00003869i, +0.00002467-0.00010948i, -0.00010168-0.00005224i, +0.00008581+0.00009793i, +0.00009398-0.00011912i, +0.00009345-0.00013160i, +0.00015793+0.00010801i, +0.01545424+0.00000000i, +0.00009164+0.00010668i, +0.00009506-0.00003956i, -0.00002983+0.00021370i, -0.00020248-0.00009644i, +0.00005447-0.00014112i, +0.00004489+0.00004778i, +0.00001319+0.00006907i, +0.00009366-0.00008558i, +0.00017337+0.00011258i, +0.00000684-0.00001486i, +0.00007933+0.00014079i, +0.00001050-0.00006886i, -0.00015829-0.00005795i, +0.00004411-0.00016019i, +0.00004892+0.00004706i, +0.00004272-0.00010520i, -0.00006794-0.00016616i, +0.00005671+0.00015223i, +0.00007432+0.00004998i, +0.00004184+0.00004279i, -0.00002584+0.00016451i, +0.00003475-0.00004457i, -0.00006893+0.00010617i, +0.00004671+0.00008205i, -0.00001124-0.00004623i, +0.00009016+0.00003629i, -0.00006001+0.00004408i, -0.00004033+0.00003553i, +0.00000649-0.00002215i, +0.00005803-0.00003762i, +0.00001985+0.00001843i, +0.00001416+0.00020170i, -0.00002934-0.00002219i, -0.00004022+0.00012624i, -0.00004377+0.00007309i, +0.00005327-0.00009967i, +0.00006349+0.00001701i, +0.00003996+0.00006148i, -0.00004016+0.00009770i, -0.00018628+0.00005964i, +0.00005842-0.00001747i, +0.00010562+0.00006142i, -0.00004895+0.00003407i, +0.00010061-0.00021402i, +0.00004933-0.00001785i
+0.00014259+0.00001342i, +0.00005546-0.00010835i, +0.00003271-0.00006127i, +0.00013764+0.00023759i, -0.00004745-0.00003158i, -0.00002037+0.00017074i, +0.00003732-0.00005109i, -0.00011786-0.00003745i, +0.00014891+0.00005136i, +0.00010227-0.00002314i, -0.00002992-0.00000562i, -0.00001260-0.00002981i, -0.00003264-0.00002757i, -0.00019133+0.00005368i, -0.00000198-0.00004367i, +0.00005859+0.00001111i, +0.00028331-0.00002145i, +0.00007434+0.00018679i, +0.00009164-0.00010668i, +0.01541655-0.00000000i, +0.00007714-0.00011451i, +0.00015627+0.00017437i, -0.00007695+0.00000934i, -0.00003895+0.00008040i, +0.00005552+0.00003952i, +0.00003278+0.00004666i, -0.00010990-0.00004545i, +0.00003320-0.00011950i, +0.00000609-0.00004976i, +0.00005778-0.00002614i, +0.00010359-0.00003216i, -0.00004428+0.00016456i, -0.00006859-0.00006322i, +0.00000113-0.00002477i, -0.00003823-0.00003325i, -0.00007086-0.00006162i, +0.00006685+0.00002037i, +0.00006191-0.00002145i, -0.00004761-0.00000036i, +0.00003589+0.00013855i, +0.00004566-0.00003417i, +0.00002934+0.00003859i, -0.00000406+0.00002734i, +0.00000764+0.00007444i, +0.00005339-0.00006750i, -0.00003985+0.00004080i, +0.00002171-0.00000313i, +0.00001440-0.00014241i, +0.00001089-0.00007799i, -0.00002031-0.00002755i, -0.00002079+0.00006032i, +0.00016793+0.00013569i, +0.00005074+0.00007899i, +0.00007336+0.00010814i, -0.00006016-0.00004236i, +0.00001375+0.00002391i, -0.00000820+0.00002301i, +0.00003532+0.00002788i, -0.00003244+0.00010146i, +0.00003726-0.00000665i, +0.00012834-0.00006552i, -0.00001217+0.00007248i, -0.00001478-0.00010148i, -0.00011752-0.00003052i
+0.00012801+0.00021953i, +0.00018007+0.00014280i, +0.00004491-0.00010178i, -0.00013493+0.00015111i, +0.00006638-0.00016266i, -0.00016591+0.00004257i, +0.00021373-0.00007996i, +0.00002324-0.00020701i, +0.00005931+0.00017612i, -0.00004822+0.00007069i, +0.00000849+0.00001351i, -0.00008716-0.00016471i, -0.00000118-0.00021073i, -0.00025852-0.00017190i, -0.00002719+0.00016977i, +0.00003268+0.00000138i, +0.00006631+0.00001298i, -0.00014202+0.00016890i, +0.00009506+0.00003956i, +0.00007714+0.00011451i, +0.01571492+0.00000000i, +0.00006648+0.00023646i, -0.00029594-0.00025454i, -0.00047905-0.00002475i, +0.00018433+0.00008014i, +0.00009316-0.00002175i, -0.00011141-0.00010860i, +0.00040740-0.00005183i, +0.00021107+0.00000014i, +0.00008180+0.00014661i, +0.00001599-0.00007198i, -0.00032762-0.00000930i, -0.00008262-0.00020856i, +0.00011510+0.00007094i, -0.00000309-0.00006808i, -0.00019180-0.00024839i, +0.00007345+0.00015211i, +0.00019168+0.00014210i, +0.00003176+0.00009056i, -0.00012071+0.00038082i, +0.00019081+0.00009377i, -0.00000479+0.00026598i, +0.00003641+0.00002146i, -0.00006971+0.00007631i, +0.00010151-0.00007241i, -0.00015301+0.00000539i, -0.00002357+0.00001061i, +0.00001559-0.00007305i, +0.00007828-0.00006409i, -0.00003225-0.00003537i, -0.00001624+0.00011283i, +0.00004772+0.00006090i, -0.00005926+0.00031969i, -0.00001635+0.00018997i, +0.00012999-0.00019468i, +0.00011954+0.00000516i, -0.00006515-0.00001909i, -0.00003391+0.00011605i, -0.00025351-0.00002737i, +0.00018258+0.00003022i, +0.00031700+0.00015506i, -0.00008095+0.00013418i, +0.00016016-0.00031935i, -0.00000097-0.00006670i
+0.00010075-0.00019586i, +0.00009903-0.00023308i, -0.00002632-0.00005047i, +0.00021396+0.00015466i, -0.00009937+0.00001470i, +0.00006437+0.00022500i, -0.00000798-0.00026006i, -0.00015846+0.00004770i, +0.00011135+0.00012466i, +0.00008535+0.00006651i, +0.00008210+0.00007496i, -0.00007463+0.00011291i, -0.00022572+0.00000368i, -0.00015035+0.00025400i, +0.00003224-0.00002149i, -0.00003422-0.00005305i, +0.00006345-0.00006387i, +0.00013279+0.00015164i, -0.00002983-0.00021370i, +0.00015627-0.00017437i, +0.00006648-0.00023646i, +0.01584104-0.00000000i, -0.00036186+0.00017802i, -0.00014885+0.00014771i, +0.00004219-0.00021812i, +0.00009045-0.00006158i, -0.00022593+0.00013521i, -0.00015522-0.00036922i, -0.00007633-0.00020879i, -0.00001460-0.00013418i, -0.00006369-0.00001917i, -0.00003342+0.00005501i, -0.00019060-0.00002278i, -0.00001117-0.00015926i, -0.00002590+0.00001862i, -0.00029114+0.00005848i, +0.00019671-0.00009794i, +0.00015508-0.00022682i, -0.00009366-0.00007100i, +0.00023601+0.00007703i, +0.00006981-0.00013069i, +0.00019211+0.00010738i, +0.00007302-0.00004319i, -0.00000004+0.00003519i, +0.00000843-0.00016215i, +0.00004242-0.00002506i, +0.00003036-0.00001977i, -0.00008642+0.00001953i, -0.00007279-0.00014150i, -0.00004650+0.00007253i, +0.00007742+0.00006448i, +0.00005322-0.00002527i, +0.00025646-0.00006826i, +0.00018602+0.00022548i, -0.00020624+0.00000672i, -0.00003844-0.00008809i, +0.00000616+0.00006317i, +0.00008642+0.00005541i, -0.00001368+0.00021482i, +0.00007878-0.00018720i, +0.00006794-0.00011901i, +0.00017408+0.00025351i, -0.00018661-0.00017379i, -0.00009808+0.00009843i
-0.00030085-0.00005656i, -0.00015239+0.00008417i, -0.00005866+0.00000116i, -0.00000768-0.00014257i, +0.00010728+0.00023984i, +0.00014999-0.00006361i, +0.00006641+0.00021627i, +0.00013795+0.00026093i, -0.00003520-0.00007756i, -0.00005807-0.00012781i, -0.00015218-0.00012594i, +0.00023866+0.00007837i, +0.00015063+0.00004800i, +0.00025117-0.00007960i, -0.00016434-0.00008277i, -0.00014236+0.00013362i, -0.00012361+0.00012916i, +0.00013176-0.00023701i, -0.00020248+0.00009644i, -0.00007695-0.00000934i, -0.00029594+0.00025454i, -0.00036186-0.00017802i, +0.01569952+0.00000000i, +0.00023339-0.00014216i, -0.00018329-0.00009591i, +0.00003472-0.00013313i, +0.00007778+0.00010340i, -0.00031572+0.00034960i, +0.00003142+0.00013681i, -0.00013637+0.00006966i, +0.00005898+0.00002242i, +0.00001698-0.00012218i, +0.00020411+0.00015611i, -0.00021519+0.00000556i, +0.00010659+0.00002095i, +0.00029715+0.00005638i, -0.00016539-0.00012359i, -0.00025301+0.00001308i, +0.00001564-0.00000039i, -0.00014172-0.00019527i, -0.00014615+0.00004933i, -0.00010819-0.00012176i, -0.00009032-0.00002742i, -0.00005468-0.00006428i, -0.00008547+0.00003529i, +0.00001400-0.00013519i, +0.00007933-0.00013370i, +0.00002650+0.00004976i, -0.00002209+0.00016130i, +0.00003516+0.00004055i, -0.00001739-0.00010621i, +0.00000417+0.00000918i, -0.00016638-0.00010394i, -0.00004734-0.00020658i, +0.00008576+0.00023600i, -0.00004219+0.00011762i, +0.00002744-0.00006427i, -0.00008961-0.00006778i, +0.00023483-0.00011136i, -0.00013722+0.00002559i, -0.00014981+0.00002164i, -0.00000825-0.00013802i, +0.00025672+0.00037494i, +0.00005533+0.00007336i
-0.00018057-0.00009780i, -0.00023056+0.00004105i, -0.00003574+0.00008292i, +0.00004352-0.00018899i, +0.00008902+0.00015614i, +0.00008814-0.00008265i, -0.00007470+0.00008301i, +0.00008922+0.00016403i, -0.00011307-0.00017037i, -0.00007275-0.00003759i, -0.00000315+0.00001037i, -0.00001118+0.00003068i, +0.00013054+0.00014353i, +0.00027992+0.00015009i, -0.00009637-0.00009875i, +0.00000123+0.00003362i, -0.00015569+0.00006861i, +0.00003552-0.00008325i, +0.00005447+0.00014112i, -0.00003895-0.00008040i, -0.00047905+0.00002475i, -0.00014885-0.00014771i, +0.00023339+0.00014216i, +0.01561347-0.00000000i, -0.00008016-0.00008769i, -0.00007225+0.00011730i, +0.00016799+0.00017671i, -0.00024290+0.00020053i, -0.00026340+0.00003603i, -0.00014999-0.00000173i, +0.00008470-0.00005758i, +0.00012502-0.00015288i, +0.00002704+0.00017042i, -0.00008879-0.00004139i, -0.00000160+0.00004356i, +0.00023765+0.00007486i, -0.00006974-0.00005233i, -0.00019554-0.00000826i, +0.00002991+0.00002201i, -0.00002891-0.00033389i, -0.00009832-0.00006669i, -0.00002465-0.00022787i, -0.00004677+0.00000393i, +0.00004498+0.00000587i, -0.00012523-0.00002020i, +0.00005207-0.00005562i, +0.00002831+0.00005034i, -0.00007919-0.00007188i, -0.00011594+0.00006417i, +0.00007425+0.00006785i, -0.00003463-0.00004602i, +0.00001017-0.00008053i, -0.00013029-0.00017194i, +0.00004162-0.00023776i, +0.00001774+0.00012071i, -0.00007273+0.00017372i, +0.00003981-0.00009634i, -0.00007789-0.00006314i, +0.00014922-0.00003097i, -0.00018615+0.00007518i, -0.00015406-0.00003672i, +0.00007445-0.00014557i, -0.00005994+0.00023802i, +0.00013741+0.00004202i
+0.00031846-0.00004593i, +0.00015899-0.00002808i, +0.00005280-0.00001261i, -0.00004299+0.00009959i, -0.00004629-0.00020671i, -0.00013429+0.00010082i, +0.00005750-0.00021218i, -0.00011379-0.00011348i, +0.00001583+0.00008673i, +0.00002419+0.00000020i, -0.00002765+0.00003185i, -0.00023022-0.00013372i, -0.00009163-0.00015485i, -0.00029477+0.00001570i, +0.00007253+0.00019730i, +0.00009240-0.00005252i, +0.00016982-0.00000683i, +0.00003738+0.00010632i, +0.00004489-0.00004778i, +0.00005552-0.00003952i, +0.00018433-0.00008014i, +0.00004219+0.00021812i, -0.00018329+0.00009591i, -0.00008016+0.00008769i, +0.01567530-0.00000000i, -0.00001598-0.00001629i, -0.00004673-0.00003449i, +0.00038337-0.00029644i, +0.00009403-0.00001221i, +0.00013783-0.00006633i, -0.00002569-0.00001723i, -0.00006760+0.00010609i, -0.00028351-0.00013663i, +0.00006815-0.00008688i, -0.00004594-0.00008054i, -0.00027333-0.00004722i, +0.00015247+0.00010862i, +0.00022636+0.00010527i, -0.00005099-0.00012500i, +0.00009715+0.00022679i, +0.00015174-0.00002821i, +0.00002199+0.00020765i, +0.00004621+0.00004787i, +0.00002175+0.00010007i, +0.00011233+0.00001421i, +0.00003962+0.00015832i, -0.00002633-0.00002188i, -0.00001239-0.00009965i, -0.00012448-0.00011955i, -0.00006422+0.00000267i, +0.00005217+0.00005885i, +0.00001028+0.00004157i, +0.00015374+0.00018853i, +0.00014643+0.00017091i, -0.00006017-0.00013769i, +0.00007026-0.00007441i, -0.00007244+0.00025969i, +0.00007199+0.00011804i, -0.00014053+0.00010424i, +0.00009536-0.00002481i, +0.00019698+0.00001007i, -0.00003819+0.00010976i, -0.00005157-0.00022584i, -0.00002057-0.00005286i
