+0.01566211-0.00000000i, -0.00016701+0.00005184i, -0.00017687+0.00008635i, +0.00008504-0.00017534i, +0.00014078+0.00019776i, -0.00009362+0.00014836i, -0.00005422+0.00010321i, +0.00017911-0.00008031i, -0.00010297+0.00021571i, -0.00005072-0.00000547i, -0.00024011-0.00039685i, +0.00028814-0.00010880i, -0.00000233-0.00000218i, -0.00011433-0.00003282i, -0.00007344+0.00004480i, +0.00002322-0.00012493i, +0.00013828-0.00022634i, +0.00011049+0.00001155i, +0.00013229+0.00017003i, -0.00015210+0.00016457i, -0.00002731-0.00025847i, -0.00007520-0.00000012i, -0.00004431+0.00002481i, +0.00012599-0.00002767i, +0.00018140-0.00013626i, -0.00018234+0.00008112i, -0.00034860-0.00009809i, +0.00008628-0.00011258i, +0.00007421-0.00015548i, +0.00003621-0.00020099i, +0.00000261+0.00007598i, -0.00000811+0.00019110i, +0.00060736+0.00052704i, -0.00021205+0.00007837i, -0.00001029+0.00009189i, +0.00016128-0.00005416i, -0.00005611+0.00035268i, -0.00023895-0.00001375i, -0.00000412+0.00028371i, -0.00005343-0.00001574i, -0.00020954+0.00016014i, -0.00001728-0.00006331i, +0.00006913-0.00018280i, +0.00000621+0.00003801i, +0.00006901-0.00008702i, +0.00006195+0.00000259i, -0.00001498+0.00011055i, -0.00028402-0.00008390i, +0.00007397-0.00033747i, +0.00000937-0.00007643i, +0.00023450+0.00003492i, -0.00010128-0.00002379i, +0.00016203-0.00014247i, +0.00003879-0.00004099i, -0.00009157-0.00015058i, -0.00014329+0.00009040i, -0.00016796-0.00014252i, -0.00007880-0.00003181i, -0.00003083+0.00006102i, -0.00010634+0.00004335i, +0.00010727-0.00001562i, +0.00007037-0.00009365i, +0.00018764-0.00013031i, +0.00030293-0.00002960i
-0.00021205-0.00007837i, +0.00039059-0.00005075i, +0.00010347-0.00024153i, -0.00001419+0.00014070i, -0.00003411-0.00018756i, +0.00041790+0.00008008i, -0.00010990+0.00001407i, -0.00020572-0.00004810i, +0.00018083-0.00010922i, +0.00015233-0.00000267i, +0.00000379+0.00045016i, +0.00009023-0.00021006i, +0.00007525-0.00011937i, -0.00001354+0.00008621i, +0.00015702-0.00013332i, -0.00011358+0.00005942i, +0.00002185+0.00011597i, +0.00012383-0.00005082i, -0.00003776-0.00009720i, +0.00023878-0.00008642i, +0.00000980+0.00032169i, -0.00016790+0.00006965i, -0.00014630+0.00000569i, -0.00024443-0.00005027i, -0.00001439-0.00017535i, -0.00003542+0.00014334i, +0.00010311+0.00018542i, -0.00014156+0.00003869i, -0.00007604-0.00000839i, -0.00025686+0.00013238i, +0.00024607-0.00003731i, -0.00014921+0.00003572i, -0.00001715-0.00063251i, +0.01561989-0.00000000i, +0.00043489-0.00026286i, -0.00023641-0.00009994i, +0.00020957-0.00020762i, +0.00005708+0.00028255i, -0.00002235-0.00007789i, -0.00007653+0.00020900i, +0.00033684+0.00006635i, -0.00015435+0.00032777i, -0.00001218+0.00005519i, +0.00014162-0.00002314i, +0.00016640+0.00017883i, +0.00003007-0.00000941i, -0.00000857-0.00002811i, +0.00009225+0.00030763i, +0.00014428+0.00000011i, -0.00022503+0.00025680i, -0.00008161-0.00021028i, +0.00011214+0.00014163i, -0.00024518-0.00010052i, -0.00009111+0.00004630i, -0.00016294-0.00005391i, +0.00026025+0.00009731i, -0.00007081+0.00005047i, +0.00004660-0.00007564i, +0.00011350-0.00024434i, +0.00001719+0.00015977i, -0.00011485+0.00000457i, -0.00030951-0.00024007i, -0.00021563-0.00017945i, -0.00027840-0.00016929i
-0.00001029-0.00009189i, +0.00003157+0.00014186i, +0.00068038-0.00037252i, +0.00004506+0.00011750i, +0.00022867-0.00023595i, +0.00018429+0.00006181i, +0.00002229-0.00002660i, -0.00002792-0.00025684i, +0.00042764-0.00013084i, -0.00001408+0.00000563i, -0.00045662+0.00051784i, +0.00010884-0.00002187i, +0.00010430-0.00022041i, -0.00009871+0.00008331i, +0.00026257+0.00003944i, -0.00010440-0.00008502i, -0.00003979+0.00012827i, +0.00003128-0.00014899i, +0.00005519-0.00002769i, +0.00024998+0.00012922i, -0.00018416+0.00022720i, -0.00019568+0.00011773i, -0.00023337-0.00005879i, -0.00013421-0.00027963i, +0.00015413-0.00007414i, -0.00016351+0.00015266i, -0.00003899+0.00048091i, -0.00022241-0.00017382i, -0.00013996-0.00011479i, -0.00021245-0.00014928i, +0.00011721-0.00001652i, -0.00010211+0.00003857i, +0.00009335-0.00020141i, +0.00043489+0.00026286i, +0.01595451-0.00000000i, +0.00001682+0.00033241i, +0.00063457-0.00001950i, +0.00001623+0.00030377i, +0.00031736-0.00008690i, -0.00014623+0.00013951i, +0.00038101+0.00023974i, -0.00014395-0.00003748i, -0.00019321-0.00015379i, +0.00008717+0.00009240i, -0.00004206+0.00023298i, +0.00007968-0.00006138i, -0.00004321+0.00005227i, -0.00018075+0.00047456i, -0.00008381+0.00008370i, +0.00006978-0.00001529i, -0.00021165-0.00018996i, -0.00004719+0.00015880i, -0.00020953-0.00029036i, -0.00025016-0.00010504i, -0.00018647-0.00002384i, +0.00017431+0.00014180i, -0.00019866+0.00015070i, +0.00011570-0.00011934i, +0.00031993+0.00009114i, -0.00002046+0.00020431i, -0.00011828-0.00009110i, -0.00029491-0.00013000i, -0.00017235-0.00010898i, -0.00007063-0.00047513i
+0.00016128+0.00005416i, +0.00001867+0.00003150i, -0.00011565+0.00010060i, +0.00019725-0.00007520i, -0.00000683+0.00008790i, -0.00021143+0.00005810i, +0.00003535-0.00001423i, +0.00005263+0.00017457i, -0.00002500-0.00002999i, -0.00009725+0.00017084i, -0.00004002-0.00011391i, -0.00002327+0.00012377i, +0.00000193+0.00004758i, -0.00010421-0.00005517i, +0.00000958-0.00001111i, +0.00016661-0.00010611i, -0.00007090+0.00002431i, -0.00005797+0.00003355i, +0.00001229+0.00006461i, +0.00024888+0.00007200i, -0.00000408-0.00013570i, -0.00009044-0.00010436i, +0.00017203-0.00014874i, +0.00013663+0.00002486i, -0.00003383-0.00000983i, -0.00003658-0.00005605i, -0.00005646-0.00017330i, -0.00000603+0.00009565i, +0.00011932-0.00001194i, +0.00003835-0.00002779i, -0.00011649+0.00003780i, -0.00001215-0.00011232i, +0.00019361+0.00030068i, -0.00023641+0.00009994i, +0.00001682-0.00033241i, +0.01525974-0.00000000i, -0.00000281+0.00003881i, -0.00027970-0.00008900i, -0.00004554-0.00000669i, -0.00000329-0.00001870i, -0.00006316-0.00010585i, +0.00006016-0.00018832i, +0.00007057-0.00014571i, -0.00006036+0.00002399i, +0.00002952+0.00012923i, -0.00002639+0.00006280i, +0.00002842+0.00005017i, -0.00009529-0.00020170i, -0.00006456-0.00008285i, +0.00008982-0.00000166i, +0.00003143+0.00006080i, -0.00016465-0.00000049i, -0.00001226+0.00002553i, +0.00009996-0.00011082i, +0.00003951-0.00008236i, -0.00011001-0.00003953i, +0.00000534+0.00001186i, +0.00010931+0.00008346i, -0.00008378+0.00021137i, -0.00004624+0.00006422i, +0.00010446+0.00004102i, -0.00006116+0.00000756i, +0.00007021-0.00008843i, +0.00009620+0.00009561i
-0.00005611-0.00035268i, -0.00003360+0.00016733i, +0.00030693-0.00011511i, -0.00019487+0.00029756i, +0.00067765-0.00049184i, +0.00017480+0.00024628i, -0.00005413-0.00024194i, -0.00006442-0.00028661i, +0.00054182-0.00006173i, +0.00014880-0.00002299i, -0.00038980+0.00056611i, +0.00010431-0.00008631i, +0.00035598-0.00014231i, +0.00003098+0.00003824i, +0.00031580+0.00002715i, -0.00030180-0.00008655i, -0.00030682+0.00002716i, +0.00008466-0.00018498i, +0.00008921-0.00022922i, +0.00027414+0.00022349i, -0.00015574+0.00043665i, -0.00009205+0.00012781i, -0.00026144-0.00020043i, -0.00019766-0.00039506i, +0.00011320-0.00008728i, -0.00015868+0.00010026i, -0.00007814+0.00046180i, -0.00010464-0.00016332i, -0.00010372-0.00018378i, -0.00044805-0.00015762i, +0.00012401+0.00011447i, -0.00016537-0.00009770i, +0.00048790-0.00040817i, +0.00020957+0.00020762i, +0.00063457+0.00001950i, -0.00000281-0.00003881i, +0.01583976-0.00000000i, -0.00020387+0.00046480i, +0.00026351+0.00011498i, -0.00042216+0.00021813i, +0.00028866+0.00036254i, -0.00003581+0.00005644i, -0.00028349-0.00036934i, +0.00010951+0.00010061i, +0.00009714+0.00012781i, +0.00000612-0.00008385i, -0.00013834+0.00020213i, -0.00047768+0.00040747i, -0.00006484+0.00013828i, +0.00011557-0.00004229i, -0.00000741-0.00031516i, -0.00007330+0.00020978i, -0.00046548-0.00021508i, -0.00016923-0.00011176i, -0.00009184-0.00023081i, +0.00024432+0.00037835i, -0.00028997+0.00023480i, +0.00010251+0.00005624i, +0.00047746-0.00002323i, -0.00002676+0.00021123i, -0.00014095-0.00031809i, -0.00033747-0.00024523i, -0.00018482-0.00046376i, +0.00015969-0.00067375i
-0.00023895+0.00001375i, +0.00018949-0.00017527i, -0.00006119-0.00024895i, +0.00025982+0.00001101i, -0.00045108-0.00002834i, +0.00027587-0.00034171i, -0.00019527+0.00017617i, -0.00016729+0.00020493i, -0.00011019-0.00022802i, -0.00000801-0.00020012i, +0.00061197+0.00004869i, -0.00006648-0.00021508i, -0.00011014+0.00003857i, +0.00017591+0.00012343i, -0.00007678-0.00015438i, -0.00007917+0.00032676i, +0.00010234+0.00003738i, -0.00026898+0.00006869i, -0.00014036+0.00006811i, -0.00009300-0.00031134i, +0.00049660+0.00011599i, +0.00032618+0.00035427i, +0.00003821+0.00034793i, -0.00019276+0.00032751i, -0.00003471-0.00009998i, +0.00013938-0.00000661i, +0.00034808-0.00003403i, +0.00003929+0.00010290i, -0.00014226+0.00036607i, -0.00000466+0.00037164i, +0.00004595-0.00003678i, -0.00011145-0.00005454i, -0.00043473-0.00025616i, +0.00005708-0.00028255i, +0.00001623-0.00030377i, -0.00027970+0.00008900i, -0.00020387-0.00046480i, +0.01570951-0.00000000i, -0.00030434-0.00050439i, -0.00001983+0.00005442i, +0.00029648-0.00032604i, +0.00014571+0.00002229i, -0.00013975+0.00027695i, +0.00015743-0.00006908i, +0.00005951-0.00000341i, -0.00008940+0.00011909i, +0.00004562-0.00021232i, +0.00035876+0.00006365i, +0.00015541-0.00005103i, +0.00006309+0.00004628i, -0.00029276+0.00007027i, +0.00022907-0.00004227i, -0.00022672+0.00025947i, -0.00007340+0.00047127i, +0.00005759+0.00018251i, +0.00017540-0.00031228i, +0.00012769+0.00020999i, -0.00017378-0.00005691i, -0.00024228-0.00034267i, +0.00018655+0.00003534i, -0.00004135+0.00023142i, -0.00012684+0.00009910i, -0.00009762+0.00026729i, -0.00045323+0.00007406i
-0.00000412-0.00028371i, -0.00013596+0.00011468i, +0.00002797-0.00000986i, -0.00006926+0.00011478i, +0.00014314-0.00004710i, +0.00013017+0.00013826i, +0.00044181-0.00029603i, -0.00002869-0.00013020i, +0.00021959+0.00009753i, +0.00017127-0.00002247i, -0.00016156+0.00052077i, +0.00003756-0.00003424i, -0.00001661+0.00015274i, +0.00002548+0.00004375i, +0.00002974+0.00007304i, -0.00015613-0.00002427i, -0.00011312+0.00000460i, +0.00003387-0.00014999i, +0.00008441-0.00010634i, +0.00022949+0.00010794i, -0.00025570+0.00022935i, -0.00011692+0.00008396i, -0.00003950-0.00005262i, -0.00020075-0.00034556i, +0.00003901-0.00000137i, -0.00013500+0.00018713i, -0.00005298+0.00042785i, -0.00006592-0.00003860i, -0.00006550-0.00015206i, -0.00016829-0.00003940i, -0.00003396+0.00013670i, -0.00008323+0.00001822i, +0.00046219-0.00028038i, -0.00002235+0.00007789i, +0.00031736+0.00008690i, -0.00004554+0.00000669i, +0.00026351-0.00011498i, -0.00030434+0.00050439i, +0.01570992-0.00000000i, +0.00007799+0.00037794i, +0.00009720+0.00040785i, -0.00003825+0.00004978i, -0.00023258-0.00011190i, +0.00009302-0.00010349i, -0.00005223+0.00011710i, +0.00011890-0.00003417i, +0.00008585+0.00005817i, -0.00015843+0.00019703i, -0.00007739+0.00000114i, -0.00007544+0.00003323i, -0.00008956-0.00033890i, -0.00000491+0.00014394i, -0.00005106-0.00031042i, -0.00017362+0.00000638i, -0.00035420+0.00006222i, +0.00010105+0.00019418i, -0.00005197+0.00007238i, +0.00003481+0.00000792i, +0.00024554-0.00020173i, -0.00002375+0.00010988i, -0.00022289-0.00010829i, -0.00012232-0.00009330i, -0.00023767-0.00052725i, +0.00000393-0.00043569i
-0.00005343+0.00001574i, +0.00011395+0.00010105i, -0.00012653-0.00013294i, +0.00005645+0.00014124i, -0.00012407-0.00000695i, +0.00001042-0.00021005i, +0.00001119+0.00005311i, -0.00002211+0.00002532i, -0.00008542-0.00009022i, -0.00013159-0.00012807i, +0.00032739-0.00000920i, -0.00009750+0.00002807i, -0.00016404-0.00010903i, +0.00003245-0.00015969i, -0.00005158-0.00012591i, -0.00003714+0.00006851i, +0.00000725+0.00004175i, +0.00002650-0.00001883i, -0.00002040-0.00003731i, +0.00016368-0.00019212i, +0.00011447+0.00003243i, +0.00007010+0.00002394i, -0.00012784+0.00018614i, +0.00000907+0.00030104i, -0.00008962-0.00008820i, +0.00007412+0.00011562i, +0.00017689-0.00008220i, -0.00015386+0.00036838i, -0.00010896+0.00001535i, -0.00016061+0.00019161i, +0.00003158-0.00019082i, -0.00006221+0.00009199i, -0.00005016-0.00011989i, -0.00007653-0.00020900i, -0.00014623-0.00013951i, -0.00000329+0.00001870i, -0.00042216-0.00021813i, -0.00001983-0.00005442i, +0.00007799-0.00037794i, +0.01528967-0.00000000i, +0.00004067-0.00003123i, +0.00001021+0.00004063i, -0.00022969+0.00010207i, +0.00013927+0.00000052i, +0.00019449+0.00007542i, +0.00002609+0.00010399i, +0.00014924+0.00003475i, +0.00038211+0.00000660i, +0.00002374+0.00005345i, +0.00003508-0.00001272i, -0.00029717+0.00006640i, +0.00006187-0.00014764i, -0.00023743+0.00008936i, -0.00005613+0.00017312i, -0.00012146+0.00013769i, +0.00014420+0.00009887i, -0.00005270+0.00002720i, -0.00011432-0.00008397i, -0.00010364-0.00028113i, +0.00010447-0.00002679i, -0.00007855+0.00005256i, -0.00015123+0.00019436i, -0.00018201+0.00005773i, -0.00035395-0.00007591i
-0.00020954-0.00016014i, +0.00020689+0.00015027i, +0.00014149-0.00009146i, +0.00017393+0.00019319i, -0.00005758-0.00036481i, +0.00027367-0.00014207i, -0.00018627-0.00005655i, -0.00016332-0.00013401i, +0.00061765-0.00050171i, +0.00000680-0.00003987i, +0.00031852+0.00048164i, +0.00010067-0.00009927i, +0.00003022-0.00010690i, -0.00002874+0.00012078i, +0.00018005-0.00006996i, -0.00012569+0.00013653i, -0.00002934+0.00009873i, -0.00008424-0.00003204i, -0.00007045-0.00009985i, +0.00027892-0.00025497i, +0.00021597+0.00045114i, +0.00003320+0.00024090i, -0.00027966+0.00028790i, -0.00035815+0.00001047i, -0.00036426-0.00027060i, +0.00002759+0.00032777i, +0.00030991+0.00016745i, -0.00018542-0.00004549i, -0.00023742-0.00001339i, -0.00035248+0.00001377i, +0.00006091+0.00005595i, -0.00007568+0.00001245i, -0.00012835-0.00069008i, +0.00033684-0.00006635i, +0.00038101-0.00023974i, -0.00006316+0.00010585i, +0.00028866-0.00036254i, +0.00029648+0.00032604i, +0.00009720-0.00040785i, +0.00004067+0.00003123i, +0.01548168-0.00000000i, +0.00010300+0.00024226i, -0.00033909-0.00007012i, +0.00035974-0.00013970i, +0.00014787+0.00000141i, +0.00006718+0.00001652i, +0.00009134+0.00005264i, +0.00025126+0.00043817i, +0.00027574+0.00018345i, +0.00020976+0.00016722i, -0.00009766-0.00032298i, +0.00025774+0.00009395i, -0.00053717+0.00002415i, -0.00015171+0.00001085i, -0.00014900+0.00002562i, +0.00025422-0.00002345i, -0.00011530+0.00035895i, +0.00010080-0.00011481i, +0.00016148-0.00047527i, +0.00029064+0.00028500i, -0.00003767-0.00003517i, -0.00022795+0.00006911i, -0.00038926-0.00017044i, -0.00038042-0.00032386i
-0.00001728+0.00006331i, +0.00003356-0.00018413i, -0.00013462+0.00003849i, -0.00007087-0.00008599i, -0.00008938-0.00003907i, -0.00011092-0.00015687i, -0.00001437+0.00003400i, +0.00003992+0.00018299i, -0.00003051+0.00001277i, +0.00022032-0.00014379i, +0.00010314-0.00009044i, +0.00000590-0.00012181i, -0.00001937+0.00010828i, +0.00004571-0.00010461i, +0.00001265-0.00005025i, -0.00012704-0.00007669i, -0.00000247+0.00001236i, +0.00000042+0.00007246i, +0.00000968+0.00005233i, -0.00004728-0.00008314i, +0.00001719+0.00008617i, +0.00005265+0.00004467i, -0.00001136+0.00008558i, -0.00005183+0.00002399i, -0.00005990-0.00001200i, -0.00010353-0.00031513i, +0.00004585-0.00001645i, +0.00004480+0.00003829i, -0.00002796+0.00009086i, +0.00003592+0.00003354i, -0.00008214+0.00001652i, +0.00012094-0.00002643i, -0.00011395+0.00009210i, -0.00015435-0.00032777i, -0.00014395+0.00003748i, +0.00006016+0.00018832i, -0.00003581-0.00005644i, +0.00014571-0.00002229i, -0.00003825-0.00004978i, +0.00001021-0.00004063i, +0.00010300-0.00024226i, +0.01511883+0.00000000i, +0.00019628+0.00015206i, +0.00005719+0.00003422i, +0.00001380-0.00000057i, +0.00008804-0.00018733i, -0.00001190-0.00000981i, +0.00009716-0.00008082i, +0.00008976-0.00010569i, +0.00004525+0.00002604i, +0.00003875+0.00006567i, +0.00000688+0.00000942i, -0.00018380+0.00012262i, -0.00013165+0.00001540i, +0.00004181-0.00008332i, -0.00000432+0.00002877i, +0.00007148+0.00003821i, -0.00004982+0.00011332i, -0.00015021-0.00000907i, -0.00002416+0.00002050i, +0.00004863+0.00002246i, -0.00000492-0.00010368i, +0.00006730+0.00007206i, -0.00000068+0.00028450i
+0.00006913+0.00018280i, -0.00015130-0.00012955i, -0.00016967+0.00018563i, -0.00012509-0.00017845i, +0.00001117+0.00017471i, -0.00024982+0.00012374i, +0.00021567+0.00006669i, +0.00007966+0.00015222i, -0.00014733+0.00011113i, +0.00005344+0.00001000i, +0.00017799-0.00067042i, +0.00000728+0.00015007i, +0.00007367+0.00028671i, -0.00011323+0.00001463i, -0.00026297+0.00009623i, +0.00016617-0.00007080i, +0.00007142-0.00008951i, -0.00002533+0.00004780i, +0.00007877+0.00014663i, -0.00021744+0.00018087i, -0.00014848-0.00031579i, +0.00007293-0.00023259i, +0.00006392-0.00009882i, +0.00031568+0.00000205i, -0.00009174+0.00019093i, -0.00001826-0.00029275i, -0.00048576-0.00052516i, +0.00018611-0.00006772i, +0.00018325-0.00007119i, +0.00027038-0.00017837i, -0.00004367+0.00001254i, +0.00014612+0.00005911i, -0.00011720+0.00072323i, -0.00001218-0.00005519i, -0.00019321+0.00015379i, +0.00007057+0.00014571i, -0.00028349+0.00036934i, -0.00013975-0.00027695i, -0.00023258+0.00011190i, -0.00022969-0.00010207i, -0.00033909+0.00007012i, +0.00019628-0.00015206i, +0.01579898-0.00000000i, -0.00016970+0.00021860i, -0.00046533-0.00007163i, -0.00006819+0.00005292i, -0.00045495-0.00029287i, -0.00014863-0.00048406i, -0.00011869-0.00007278i, -0.00001404+0.00001538i, +0.00041022+0.00017778i, -0.00017303+0.00000430i, +0.00034651-0.00009740i, +0.00016598-0.00009966i, +0.00046354-0.00014103i, -0.00034312+0.00004970i, +0.00009692-0.00024824i, -0.00013280+0.00009158i, -0.00026584+0.00050399i, -0.00023273-0.00020083i, +0.00006002-0.00000781i, +0.00033665-0.00006735i, +0.00046001+0.00006618i, +0.00028385+0.00034400i
+0.00000621-0.00003801i, +0.00011321-0.00005168i, +0.00007048-0.00012672i, -0.00003254+0.00013217i, -0.00000992-0.00006100i, +0.00007726-0.00001726i, -0.00009251-0.00007386i, +0.00001747-0.00005001i, +0.00018459-0.00004878i, +0.00000643+0.00002010i, +0.00006069+0.00013935i, +0.00012784-0.00022909i, +0.00002693-0.00000752i, -0.00007276-0.00008434i, +0.00004489+0.00008131i, -0.00007575+0.00012081i, +0.00011299-0.00004915i, +0.00000250+0.00001125i, +0.00005376+0.00006364i, -0.00001606-0.00012134i, +0.00004306+0.00013673i, +0.00005820+0.00006415i, -0.00004519+0.00004878i, -0.00021124-0.00011464i, -0.00000385-0.00006504i, +0.00002570+0.00000771i, +0.00005388+0.00008318i, -0.00018023-0.00020343i, +0.00001342+0.00012006i, -0.00008105-0.00004747i, +0.00002709+0.00009927i, -0.00003488+0.00009286i, +0.00025736-0.00009288i, +0.00014162+0.00002314i, +0.00008717-0.00009240i, -0.00006036-0.00002399i, +0.00010951-0.00010061i, +0.00015743+0.00006908i, +0.00009302+0.00010349i, +0.00013927-0.00000052i, +0.00035974+0.00013970i, +0.00005719-0.00003422i, -0.00016970-0.00021860i, +0.01519878+0.00000000i, +0.00003789+0.00008915i, +0.00000608-0.00007478i, +0.00005555+0.00000613i, -0.00006321-0.00001761i, -0.00008768+0.00001719i, +0.00006311-0.00016182i, -0.00007628-0.00006691i, +0.00025561+0.00021754i, -0.00012544+0.00006156i, -0.00018096+0.00007708i, -0.00005983-0.00005536i, +0.00023576-0.00007528i, -0.00007703+0.00010983i, -0.00008554-0.00002081i, +0.00001498-0.00001472i, -0.00021157+0.00031324i, +0.00011367-0.00009189i, -0.00006399+0.00017793i, -0.00008880-0.00005488i, +0.00004907-0.00020699i
+0.00006901+0.00008702i, +0.00012462+0.00012042i, +0.00006758-0.00008484i, +0.00010284+0.00006827i, +0.00002384-0.00003385i, +0.00019759-0.00009230i, -0.00021353+0.00005584i, -0.00013685-0.00002047i, +0.00012348-0.00001275i, -0.00008560+0.00003562i, +0.00020180+0.00014670i, +0.00002021-0.00003062i, +0.00009021-0.00027243i, -0.00001735+0.00005600i, +0.00005611-0.00019652i, -0.00006827+0.00003794i, -0.00001717-0.00002231i, -0.00005510-0.00005940i, -0.00001038+0.00000956i, +0.00004096-0.00022280i, +0.00011032+0.00021785i, -0.00010501+0.00014196i, -0.00020347+0.00008285i, -0.00029638+0.00007891i, +0.00003050-0.00002994i, -0.00003685+0.00016678i, +0.00000266+0.00009835i, -0.00004598+0.00006728i, -0.00005296-0.00011819i, -0.00018120+0.00005847i, +0.00003806-0.00012659i, -0.00008711+0.00005759i, -0.00010544-0.00026454i, +0.00016640-0.00017883i, -0.00004206-0.00023298i, +0.00002952-0.00012923i, +0.00009714-0.00012781i, +0.00005951+0.00000341i, -0.00005223-0.00011710i, +0.00019449-0.00007542i, +0.00014787-0.00000141i, +0.00001380+0.00000057i, -0.00046533+0.00007163i, +0.00003789-0.00008915i, +0.01529539-0.00000000i, +0.00001722+0.00013180i, +0.00020050+0.00011651i, +0.00008905+0.00032525i, +0.00014067-0.00011243i, +0.00005716+0.00001833i, -0.00014618+0.00007276i, +0.00000124-0.00004004i, -0.00036666-0.00012269i, -0.00012062+0.00008822i, -0.00026730+0.00007673i, +0.00010109-0.00005078i, +0.00009611+0.00006304i, -0.00003396-0.00015208i, -0.00008316-0.00018360i, +0.00007201+0.00009465i, -0.00041865+0.00029331i, -0.00021039+0.00019052i, -0.00040313-0.00009572i, -0.00020179-0.00008451i
+0.00006195-0.00000259i, -0.00004890+0.00015521i, +0.00003705-0.00011844i, -0.00006895-0.00002885i, -0.00003335-0.00000121i, -0.00005831+0.00012419i, +0.00005162-0.00000904i, +0.00012855+0.00007175i, +0.00007732+0.00002982i, +0.00005514-0.00001839i, -0.00000602-0.00006764i, +0.00000968-0.00003523i, +0.00003121-0.00010165i, +0.00024214-0.00007472i, -0.00006324+0.00013867i, +0.00003304-0.00006181i, +0.00008160+0.00002318i, -0.00003649-0.00000157i, -0.00007095+0.00000788i, -0.00005210+0.00007845i, -0.00007464-0.00004636i, -0.00008795-0.00000379i, +0.00004754-0.00004036i, -0.00001926-0.00002966i, +0.00006732-0.00000199i, +0.00000185-0.00009131i, -0.00005109-0.00010827i, +0.00011341-0.00013751i, +0.00004124-0.00011101i, -0.00001447-0.00014213i, +0.00003655-0.00005675i, -0.00003511+0.00005488i, +0.00010256+0.00010694i, +0.00003007+0.00000941i, +0.00007968+0.00006138i, -0.00002639-0.00006280i, +0.00000612+0.00008385i, -0.00008940-0.00011909i, +0.00011890+0.00003417i, +0.00002609-0.00010399i, +0.00006718-0.00001652i, +0.00008804+0.00018733i, -0.00006819-0.00005292i, +0.00000608+0.00007478i, +0.00001722-0.00013180i, +0.01532635-0.00000000i, -0.00027638+0.00006069i, -0.00009068+0.00004370i, +0.00009740+0.00004573i, +0.00001755-0.00008223i, +0.00000139-0.00004199i, +0.00005547-0.00001316i, +0.00000254+0.00001235i, -0.00017288-0.00023929i, -0.00005401-0.00003402i, +0.00000286-0.00008273i, -0.00006063-0.00004722i, +0.00007090-0.00002283i, -0.00010491+0.00012310i, -0.00015517+0.00011001i, +0.00015954-0.00005086i, -0.00030346+0.00013445i, +0.00013070-0.00003235i, +0.00001845-0.00008421i
-0.00001498-0.00011055i, +0.00013045-0.00004954i, -0.00004819-0.00014594i, +0.00005279-0.00005418i, +0.00005222-0.00007785i, +0.00001417-0.00006067i, -0.00010702+0.00019444i, -0.00006929-0.00000563i, -0.00010018-0.00001789i, -0.00002740-0.00006514i, +0.00005480+0.00001066i, -0.00003656+0.00004672i, -0.00010822-0.00007356i, +0.00000679+0.00005955i, +0.00022083-0.00030095i, -0.00002065+0.00004413i, +0.00005382+0.00001856i, +0.00000742-0.00006062i, +0.00008967+0.00016545i, -0.00006997-0.00022206i, +0.00010123+0.00012831i, +0.00008843+0.00002473i, -0.00005119+0.00006210i, +0.00006327-0.00002654i, +0.00002708-0.00007055i, +0.00013922+0.00005389i, +0.00003993+0.00011297i, -0.00003980+0.00000350i, +0.00002428+0.00006257i, +0.00000771+0.00017473i, -0.00006735-0.00022018i, +0.00016951+0.00001959i, -0.00007697-0.00016516i, -0.00000857+0.00002811i, -0.00004321-0.00005227i, +0.00002842-0.00005017i, -0.00013834-0.00020213i, +0.00004562+0.00021232i, +0.00008585-0.00005817i, +0.00014924-0.00003475i, +0.00009134-0.00005264i, -0.00001190+0.00000981i, -0.00045495+0.00029287i, +0.00005555-0.00000613i, +0.00020050-0.00011651i, -0.00027638-0.00006069i, +0.01553760-0.00000000i, +0.00005314+0.00037585i, +0.00005239-0.00000965i, -0.00006100-0.00003101i, -0.00026568-0.00011386i, +0.00009788-0.00008494i, -0.00004870+0.00002238i, +0.00001864-0.00004671i, -0.00017632-0.00007509i, +0.00006970-0.00000935i, +0.00009264+0.00003621i, +0.00001080-0.00001934i, -0.00001221-0.00006535i, +0.00008242+0.00005508i, -0.00009420+0.00003679i, -0.00004778+0.00016275i, -0.00043621+0.00033920i, -0.00015029-0.00007681i
