+0.31070397+0.00000000i, -0.14766009-0.01442374i, -0.04113037-0.01789963i, -0.14647378+0.08094675i
-0.14766009+0.01442374i, +0.25542179+0.00000000i, +0.03577779+0.01571097i, +0.11638528-0.07927398i
-0.04113037+0.01789963i, +0.03577779-0.01571097i, +0.14161833-0.00000000i, +0.02301838-0.03441416i
-0.14647378-0.08094675i, +0.11638528+0.07927398i, +0.02301838+0.03441416i, +0.29225592-0.00000000i
