+0.35537258-0.00000000i, -0.01011759-0.03984070i, -0.03089701+0.13956437i, -0.29584533+0.07592417i
-0.01011759+0.03984070i, +0.07967551+0.00000000i, -0.02197746-0.01093599i, +0.00290845-0.04573871i
-0.03089701-0.13956437i, -0.02197746+0.01093599i, +0.15041535+0.00000000i, +0.06873739+0.13780712i
-0.29584533-0.07592417i, +0.00290845+0.04573871i, +0.06873739-0.13780712i, +0.41453656-0.00000000i
