-0.00304571+0.00523217i, +0.00278304-0.00779649i, +0.00308224+0.00441440i, +0.00482254-0.00289100i, -0.00066996+0.00229771i, +0.00315577-0.00806452i, +0.00477027+0.00074418i, -0.00420747+0.00196200i, -0.00512500+0.00863001i, -0.00369016-0.00634215i, -0.00361790+0.01104567i, +0.03500982-0.00000000i, -0.00342821-0.00338847i, +0.00342957+0.00683551i, -0.00382815-0.00075319i, +0.00190279-0.00395562i, -0.00455635-0.00440520i, -0.00376881-0.00710988i, +0.00313145-0.00276960i, -0.00391027+0.00160429i, +0.00420014+0.00294319i, +0.00217269-0.00302518i, -0.01284598-0.00248632i, +0.00199022+0.00744452i, +0.00446560+0.00292643i, -0.00443156-0.00340686i, -0.00247492+0.00194865i, +0.00475499+0.00226393i, +0.00631951-0.00898650i, +0.00149307-0.00679746i, +0.00038552+0.00767513i, +0.00033737+0.00459522i
-0.00139645-0.00197499i, +0.00114524+0.00186266i, -0.00072664-0.00025967i, +0.00020029+0.00117559i, -0.00080471-0.00039048i, +0.00107395+0.00121835i, -0.00071900+0.00072473i, -0.00015201-0.00098261i, -0.00063426-0.00356500i, +0.00209801+0.00029971i, -0.00153408-0.00179030i, -0.00342821+0.00338847i, +0.02655939+0.00000000i, -0.00013840-0.00103335i, -0.00020727-0.00092265i, -0.00141405+0.00225233i, -0.00016700-0.00131868i, +0.00213671+0.00045534i, -0.00053447+0.00215811i, -0.00118829-0.00089856i, -0.00156017-0.00011097i, +0.00170104+0.00040580i, +0.00197327-0.00178798i, +0.00026992-0.00084133i, -0.00164703-0.00063789i, +0.00060970-0.00062942i, -0.00047780-0.00005980i, -0.00215111+0.00004482i, +0.00023062+0.00204930i, +0.00075235+0.00268702i, -0.00141238-0.00078418i, -0.00014195-0.00069865i
+0.00149635+0.00352447i, -0.00431691-0.00524567i, +0.00451530-0.00008405i, -0.00114678-0.00273174i, +0.00170951-0.00003999i, -0.00396080-0.00570876i, +0.00244984-0.00331704i, -0.00016295+0.00309686i, +0.00219762+0.00692290i, -0.00593315-0.00001111i, +0.00545525+0.00642991i, +0.00342957-0.00683551i, -0.00013840+0.00103335i, +0.03176210-0.00000000i, -0.00377820+0.00207424i, -0.00363632-0.00285175i, -0.00334390+0.00038766i, -0.00495405-0.00071169i, -0.00074560-0.00269472i, -0.00082581+0.00169614i, +0.00504026-0.00116409i, +0.00081610-0.00361782i, -0.00674081+0.00981460i, +0.00381623+0.00026710i, +0.00351422-0.00210445i, -0.00326708+0.00046888i, +0.00077333+0.00147433i, +0.00298564-0.00272337i, -0.00460024-0.00773929i, -0.00433985-0.00174288i, +0.00490569+0.00383149i, +0.00328482+0.00260093i
+0.00010274-0.00250667i, +0.00030666+0.00399351i, -0.00103065+0.00031229i, -0.00147072+0.00123116i, -0.00046911-0.00168919i, -0.00017360+0.00258309i, -0.00235987-0.00037283i, +0.00045164-0.00071923i, +0.00081462-0.00346813i, +0.00040744+0.00074529i, +0.00031039-0.00454790i, -0.00382815+0.00075319i, -0.00020727+0.00092265i, -0.00377820-0.00207424i, +0.02924148+0.00000000i, +0.00010863-0.00145597i, +0.00105231+0.00118023i, +0.00178729+0.00119131i, +0.00047148+0.00212998i, +0.00053922-0.00153696i, -0.00208257-0.00214045i, -0.00001151+0.00022736i, +0.00710444-0.00248411i, +0.00022176-0.00023598i, -0.00235837-0.00008714i, +0.00098004+0.00001640i, -0.00020176-0.00144872i, -0.00174380-0.00048860i, -0.00164315+0.00415708i, +0.00179870+0.00246246i, -0.00231753-0.00221534i, -0.00179094-0.00270270i
-0.00297395-0.00238504i, +0.00339769+0.00095415i, -0.00169489+0.00322395i, +0.00105645+0.00113742i, -0.00139257+0.00084142i, +0.00438884-0.00105337i, -0.00054571+0.00237155i, -0.00240100-0.00185590i, -0.00541804-0.00136870i, +0.00268064-0.00233736i, -0.00345223-0.00174108i, +0.00190279+0.00395562i, -0.00141405-0.00225233i, -0.00363632+0.00285175i, +0.00010863+0.00145597i, +0.02649962+0.00000000i, +0.00280734-0.00106433i, +0.00267277-0.00194494i, +0.00097562+0.00161824i, +0.00033163-0.00006582i, +0.00001427+0.00266058i, +0.00153985+0.00220921i, -0.00097012-0.00771942i, -0.00125912+0.00175934i, +0.00004661+0.00291342i, +0.00173238-0.00136482i, -0.00218567-0.00055014i, -0.00054084+0.00164652i, +0.00656808+0.00372161i, +0.00206345-0.00016857i, -0.00381083+0.00051819i, -0.00284958+0.00063319i
-0.00156458-0.00435926i, +0.00382155+0.00428030i, -0.00423412-0.00123493i, +0.00094022+0.00219641i, -0.00254948+0.00075537i, +0.00386306+0.00488409i, -0.00238763+0.00269663i, +0.00087639-0.00386660i, -0.00268792-0.00573919i, +0.00491774+0.00028619i, -0.00448725-0.00577271i, -0.00455635+0.00440520i, -0.00016700+0.00131868i, -0.00334390-0.00038766i, +0.00105231-0.00118023i, +0.00280734+0.00106433i, +0.02926534-0.00000000i, +0.00590578+0.00158630i, +0.00357245+0.00148585i, +0.00270275-0.00605307i, -0.00402756+0.00069874i, +0.00040388+0.00328795i, +0.00658734-0.00840173i, -0.00253890+0.00020053i, -0.00345718+0.00162239i, +0.00440528-0.00038441i, -0.00032297-0.00253412i, -0.00304908+0.00078713i, +0.00333049+0.00755357i, +0.00344875+0.00353358i, -0.00460608-0.00489846i, -0.00327093-0.00247205i
-0.00243173-0.00450024i, +0.00474191+0.00457285i, -0.00363284+0.00221149i, +0.00144856+0.00207342i, -0.00193941-0.00054698i, +0.00442721+0.00535073i, -0.00265624+0.00281037i, -0.00025776-0.00313569i, -0.00228632-0.00776767i, +0.00457270-0.00090249i, -0.00406122-0.00471240i, -0.00376881+0.00710988i, +0.00213671-0.00045534i, -0.00495405+0.00071169i, +0.00178729-0.00119131i, +0.00267277+0.00194494i, +0.00590578-0.00158630i, +0.02869854+0.00000000i, +0.00196899+0.00190907i, +0.00233988-0.00254285i, -0.00636758+0.00175482i, +0.00069787+0.00298928i, +0.00845464-0.01021016i, -0.00431857-0.00017023i, -0.00288119+0.00224539i, +0.00281307-0.00269974i, -0.00033603-0.00200704i, -0.00377112+0.00225764i, +0.00446917+0.00741286i, +0.00559711+0.00447353i, -0.00494161-0.00427190i, -0.00345676-0.00255176i
-0.00445141+0.00158027i, +0.00486909-0.00165721i, -0.00216044+0.00241945i, +0.00182902+0.00066945i, -0.00111735+0.00106326i, +0.00401866-0.00001498i, -0.00065875+0.00123402i, -0.00299019+0.00011900i, -0.00361727-0.00124827i, +0.00308194-0.00186400i, -0.00413505+0.00019761i, +0.00313145+0.00276960i, -0.00053447-0.00215811i, -0.00074560+0.00269472i, +0.00047148-0.00212998i, +0.00097562-0.00161824i, +0.00357245-0.00148585i, +0.00196899-0.00190907i, +0.02919740+0.00000000i, -0.00097564-0.00233843i, -0.00058096+0.00278393i, +0.00168946+0.00204725i, -0.00226495-0.00683847i, -0.00138015+0.00143283i, -0.00098416+0.00159195i, +0.00000463-0.00235943i, -0.00151011-0.00121893i, -0.00093306+0.00204106i, +0.00446875+0.00040256i, +0.00326192+0.00009453i, -0.00416657+0.00023079i, -0.00322351+0.00132380i
+0.00250226-0.00091779i, -0.00113909+0.00308537i, -0.00003301-0.00254724i, -0.00113933+0.00135500i, -0.00117468-0.00067237i, -0.00179424+0.00357015i, -0.00206484-0.00016648i, +0.00211205-0.00060363i, +0.00084993-0.00199702i, +0.00121961+0.00209972i, +0.00317222-0.00313533i, -0.00391027-0.00160429i, -0.00118829+0.00089856i, -0.00082581-0.00169614i, +0.00053922+0.00153696i, +0.00033163+0.00006582i, +0.00270275+0.00605307i, +0.00233988+0.00254285i, -0.00097564+0.00233843i, +0.02489638-0.00000000i, -0.00048655+0.00009702i, -0.00183782-0.00002747i, +0.00715512+0.00146572i, -0.00122947-0.00219874i, -0.00055847-0.00080008i, +0.00107762+0.00189416i, +0.00089099-0.00118623i, -0.00171337-0.00099064i, -0.00296843+0.00384978i, -0.00047579+0.00335196i, +0.00125727-0.00417274i, -0.00021563-0.00226174i
+0.00210117+0.00445090i, -0.00135868-0.00525933i, +0.00419040+0.00056285i, -0.00004272-0.00191784i, +0.00117457+0.00071658i, -0.00050762-0.00502641i, +0.00310100-0.00146430i, -0.00056687+0.00363164i, -0.00000178+0.00680410i, -0.00617978-0.00158146i, +0.00403611+0.00638931i, +0.00420014-0.00294319i, -0.00156017+0.00011097i, +0.00504026+0.00116409i, -0.00208257+0.00214045i, +0.00001427-0.00266058i, -0.00402756-0.00069874i, -0.00636758-0.00175482i, -0.00058096-0.00278393i, -0.00048655-0.00009702i, +0.02963194+0.00000000i, +0.00246805-0.00241277i, -0.01069694+0.00561320i, +0.00111290+0.00238399i, +0.00385256-0.00122201i, -0.00318743+0.00034321i, -0.00006795+0.00244108i, +0.00378526-0.00045500i, +0.00041097-0.00942573i, -0.00246757-0.00406672i, +0.00229226+0.00557586i, +0.00262910+0.00359297i
