+0.00132090-0.00148033i, +0.00088919+0.00167844i, -0.00084076+0.00067117i, -0.00080265+0.00076567i, -0.00147902-0.00139927i, +0.00040218+0.00078457i, +0.00068491-0.00139996i, -0.00093932-0.00027866i, +0.00007767-0.00134626i, +0.00007731-0.00025181i, +0.00103494-0.00137368i, +0.02927040-0.00000000i, +0.00051402+0.00007823i, +0.00014784-0.00081066i, -0.00073397-0.00109975i, +0.00063521-0.00079744i, -0.00013898-0.00157983i, -0.00142259+0.00025453i, -0.00092871+0.00178068i, +0.00126962+0.00140364i, +0.00057286-0.00128713i, +0.00044084+0.00137266i, +0.00114819-0.00058566i, -0.00149942-0.00121558i, -0.00036255+0.00030149i, +0.00172442-0.00050082i, +0.00029381+0.00052187i, -0.00244573-0.00003176i, +0.00063950+0.00257589i, +0.00090933+0.00071936i, +0.00074926+0.00066229i, -0.00188091-0.00134676i
+0.00084193-0.00138729i, +0.00168192-0.00003073i, -0.00046291-0.00022229i, -0.00007299+0.00148384i, -0.00158615-0.00066947i, +0.00018342-0.00013317i, -0.00032760-0.00122324i, +0.00004559+0.00052289i, +0.00038055-0.00079290i, +0.00028704-0.00126542i, -0.00045903-0.00074971i, +0.00051402-0.00007823i, +0.03081958+0.00000000i, +0.00060189+0.00046793i, -0.00097099+0.00038336i, -0.00091645-0.00122382i, -0.00177552-0.00167787i, -0.00088559+0.00073288i, +0.00116736+0.00235971i, +0.00092806+0.00043602i, -0.00093958-0.00240203i, +0.00112086+0.00046949i, +0.00023411-0.00170014i, -0.00162007+0.00016832i, -0.00050628+0.00089951i, +0.00141555-0.00070738i, +0.00072190-0.00005698i, -0.00171226+0.00167897i, +0.00128822+0.00179106i, +0.00100964-0.00018457i, +0.00172858+0.00026534i, -0.00105206+0.00041805i
+0.00024452-0.00004275i, +0.00032779-0.00046235i, -0.00041050-0.00051952i, +0.00072158-0.00031987i, +0.00005771-0.00029067i, +0.00020963-0.00045039i, -0.00035459-0.00041015i, +0.00043402+0.00034673i, -0.00053442+0.00057185i, -0.00008641-0.00048970i, -0.00044388-0.00044861i, +0.00014784+0.00081066i, +0.00060189-0.00046793i, +0.02791561-0.00000000i, +0.00072811+0.00047826i, -0.00029016-0.00085558i, -0.00003369+0.00008193i, -0.00094806+0.00021084i, -0.00015965+0.00055549i, -0.00024930-0.00074520i, -0.00036479+0.00005761i, -0.00023689+0.00020696i, +0.00064285-0.00027029i, +0.00043142+0.00021612i, +0.00016217-0.00006015i, +0.00028138+0.00002216i, +0.00002619-0.00051749i, -0.00033591+0.00060312i, +0.00041715+0.00000432i, -0.00030790+0.00018815i, +0.00083898+0.00040337i, -0.00033298-0.00015027i
+0.00031682+0.00280636i, -0.00252881-0.00061352i, -0.00033958-0.00074631i, -0.00018336-0.00100764i, +0.00108760-0.00006493i, -0.00079514-0.00077816i, -0.00047542+0.00058038i, +0.00047711-0.00014610i, +0.00023091+0.00048022i, +0.00072215+0.00171933i, +0.00093486+0.00164643i, -0.00073397+0.00109975i, -0.00097099-0.00038336i, +0.00072811-0.00047826i, +0.02913995-0.00000000i, +0.00016250+0.00073207i, +0.00103137+0.00205132i, +0.00109826-0.00053609i, -0.00077536-0.00207587i, -0.00071582-0.00015621i, +0.00035300+0.00136939i, -0.00126559-0.00011651i, +0.00006022+0.00152894i, +0.00234320+0.00010213i, +0.00027787-0.00136661i, -0.00138143+0.00087481i, -0.00051811-0.00007987i, +0.00207443-0.00192212i, -0.00145974-0.00174533i, -0.00092604-0.00022614i, -0.00164740-0.00008097i, +0.00148858-0.00018095i
+0.00029793+0.00045296i, +0.00032717+0.00027433i, +0.00013456+0.00033457i, -0.00104005-0.00000797i, -0.00002174-0.00119445i, +0.00018101+0.00010750i, +0.00067197-0.00039190i, -0.00025298-0.00031134i, +0.00017438-0.00057343i, +0.00006280+0.00054300i, +0.00039592-0.00023995i, +0.00063521+0.00079744i, -0.00091645+0.00122382i, -0.00029016+0.00085558i, +0.00016250-0.00073207i, +0.02854613-0.00000000i, +0.00121370-0.00074997i, -0.00034866-0.00005605i, -0.00066145+0.00095141i, -0.00002688+0.00045842i, +0.00140455-0.00035117i, +0.00017825+0.00032199i, +0.00018249+0.00011485i, +0.00022335-0.00079800i, -0.00033588+0.00010723i, +0.00080283+0.00119186i, +0.00052628+0.00059340i, -0.00053700-0.00120488i, -0.00052078+0.00142944i, +0.00029141+0.00074989i, -0.00036080+0.00080647i, -0.00071655-0.00087171i
+0.00338769+0.00203086i, -0.00274660+0.00280650i, -0.00099409-0.00027951i, -0.00175633-0.00139257i, +0.00173374-0.00272072i, -0.00107908+0.00001524i, +0.00223619+0.00103717i, -0.00025893-0.00004965i, +0.00061695-0.00049717i, +0.00188044+0.00184194i, +0.00204455+0.00000553i, -0.00013898+0.00157983i, -0.00177552+0.00167787i, -0.00003369-0.00008193i, +0.00103137-0.00205132i, +0.00121370+0.00074997i, +0.03496819-0.00000000i, -0.00001149-0.00135053i, -0.00400103-0.00103447i, -0.00149040+0.00172484i, +0.00316562+0.00104279i, -0.00131630+0.00171805i, +0.00184131+0.00184023i, +0.00323025-0.00324463i, -0.00150241-0.00251570i, -0.00071274+0.00243052i, -0.00056137+0.00087435i, +0.00009602-0.00435495i, -0.00365471+0.00114753i, -0.00093452+0.00186789i, -0.00244432+0.00190015i, +0.00206589-0.00233835i
-0.00151148+0.00164066i, -0.00146872-0.00179795i, +0.00089744+0.00030142i, +0.00045316-0.00072187i, +0.00090714+0.00101259i, -0.00039073-0.00083578i, -0.00098172+0.00129132i, +0.00018335+0.00021777i, +0.00012220+0.00061709i, -0.00108752+0.00042018i, -0.00085499+0.00136407i, -0.00142259-0.00025453i, -0.00088559-0.00073288i, -0.00094806-0.00021084i, +0.00109826+0.00053609i, -0.00034866+0.00005605i, -0.00001149+0.00135053i, +0.03165298+0.00000000i, +0.00120877-0.00165929i, -0.00147124-0.00098763i, -0.00166167+0.00030169i, -0.00003553-0.00208168i, -0.00195234+0.00089839i, +0.00233448+0.00168103i, +0.00130201-0.00023397i, -0.00239703-0.00085959i, -0.00075146-0.00068671i, +0.00246982+0.00063726i, -0.00026521-0.00253866i, -0.00157968-0.00070523i, -0.00085035-0.00156978i, +0.00102012+0.00032511i
-0.00280427-0.00144911i, +0.00212976-0.00425190i, +0.00099688-0.00004594i, +0.00157576+0.00097336i, -0.00044165+0.00228995i, +0.00106948-0.00094608i, -0.00314273+0.00025832i, +0.00078026+0.00006994i, -0.00090284+0.00078053i, -0.00232548-0.00133863i, -0.00152130+0.00022894i, -0.00092871-0.00178068i, +0.00116736-0.00235971i, -0.00015965-0.00055549i, -0.00077536+0.00207587i, -0.00066145-0.00095141i, -0.00400103+0.00103447i, +0.00120877+0.00165929i, +0.03336997-0.00000000i, +0.00145247-0.00218756i, -0.00290881-0.00008382i, +0.00195845-0.00334286i, -0.00320624-0.00118986i, -0.00135043+0.00344307i, +0.00097974+0.00074617i, -0.00006327-0.00270323i, +0.00030800-0.00208962i, +0.00129533+0.00471417i, +0.00374612-0.00242039i, +0.00007168-0.00208684i, +0.00083594-0.00243834i, -0.00051930+0.00273677i
+0.00003306-0.00145859i, +0.00233886-0.00047370i, +0.00026962+0.00070151i, +0.00036245+0.00028048i, -0.00129080+0.00036969i, +0.00101256+0.00039691i, -0.00044317-0.00158519i, -0.00030987+0.00080130i, -0.00034999-0.00104350i, +0.00049992-0.00102201i, -0.00066251-0.00076429i, +0.00126962-0.00140364i, +0.00092806-0.00043602i, -0.00024930+0.00074520i, -0.00071582+0.00015621i, -0.00002688-0.00045842i, -0.00149040-0.00172484i, -0.00147124+0.00098763i, +0.00145247+0.00218756i, +0.03130020-0.00000000i, -0.00024418-0.00148949i, +0.00123178+0.00098425i, +0.00063810-0.00134862i, -0.00251935+0.00002154i, -0.00026058+0.00065897i, +0.00059013-0.00143110i, +0.00070262+0.00025780i, -0.00231286+0.00027871i, +0.00222811+0.00091645i, +0.00048438-0.00048178i, +0.00083786+0.00004848i, -0.00098003+0.00066472i
+0.00330499+0.00062328i, -0.00122651+0.00288481i, -0.00122032+0.00063874i, -0.00129698-0.00011547i, +0.00034410-0.00290985i, -0.00073263+0.00034275i, +0.00201123-0.00037290i, -0.00077431-0.00058330i, +0.00199349-0.00086585i, +0.00188960+0.00104583i, +0.00193990-0.00009270i, +0.00057286+0.00128713i, -0.00093958+0.00240203i, -0.00036479-0.00005761i, +0.00035300-0.00136939i, +0.00140455+0.00035117i, +0.00316562-0.00104279i, -0.00166167-0.00030169i, -0.00290881+0.00008382i, -0.00024418+0.00148949i, +0.03463138-0.00000000i, -0.00075974+0.00216651i, +0.00250685+0.00070717i, -0.00019314-0.00330396i, -0.00106686-0.00131920i, +0.00112908+0.00232157i, +0.00006636+0.00077339i, -0.00129805-0.00432931i, -0.00181103+0.00397655i, -0.00043633+0.00165326i, -0.00045437+0.00217313i, +0.00063576-0.00272646i
