+0.00049676-0.00039253i, -0.00015927+0.00211945i, +0.00103021-0.00086914i, -0.00035064+0.00162600i, +0.00045745-0.00074656i, +0.00147326+0.00377178i, +0.00025244-0.00104064i, +0.00026865-0.00041120i, +0.00309710-0.00052906i, +0.00232026-0.00061655i, +0.00020582+0.00233624i, +0.02778921-0.00000000i, +0.00017020-0.00077449i, +0.00025797+0.00138688i, +0.00049815-0.00033910i, +0.00012444-0.00031527i, +0.00111807-0.00049107i, +0.00019954+0.00071094i, +0.00015683+0.00046590i, -0.00148350+0.00047571i, +0.00082891-0.00069712i, -0.00001434-0.00049335i, +0.00042310-0.00159969i, -0.00107932-0.00111611i, -0.00065373+0.00193516i, +0.00096006-0.00065254i, +0.00170088-0.00023684i, +0.00013076+0.00190905i, +0.00069173+0.00029630i, +0.00121541+0.00158028i, +0.00130585-0.00211801i, -0.00061824+0.00050469i
+0.00119423+0.00322921i, -0.00158098+0.00143998i, +0.00139838+0.00042221i, -0.00180788-0.00030937i, -0.00030094-0.00091969i, -0.00071341+0.00439653i, -0.00014537-0.00092247i, +0.00102905-0.00124086i, +0.00100878+0.00348686i, +0.00237326+0.00378315i, -0.00085452+0.00309217i, +0.00017020+0.00077449i, +0.02850208-0.00000000i, -0.00099484+0.00005497i, +0.00189080-0.00002798i, +0.00077629-0.00041231i, -0.00070838+0.00017199i, +0.00037323+0.00049040i, -0.00199771-0.00241141i, -0.00035453-0.00144118i, +0.00176476-0.00058834i, -0.00026300-0.00086419i, +0.00070125-0.00107978i, -0.00048104-0.00086212i, -0.00371264+0.00082276i, -0.00071260+0.00061351i, +0.00100659+0.00052417i, -0.00008025+0.00115365i, +0.00108596+0.00016340i, -0.00117791+0.00265366i, +0.00336525-0.00025153i, -0.00154558+0.00260484i
+0.00053520-0.00069690i, +0.00189159+0.00123610i, +0.00017515-0.00176897i, +0.00078376+0.00098195i, -0.00038329-0.00015995i, +0.00327169-0.00033533i, -0.00233972-0.00013185i, -0.00080272-0.00062552i, +0.00173549-0.00074223i, +0.00106651-0.00202360i, +0.00223273-0.00063906i, +0.00025797-0.00138688i, -0.00099484-0.00005497i, +0.03011442-0.00000000i, -0.00173420-0.00227202i, -0.00019633-0.00039686i, +0.00012142-0.00070499i, +0.00017192+0.00011026i, -0.00047389+0.00197252i, -0.00243432+0.00112320i, -0.00075000-0.00233988i, -0.00005544+0.00058386i, -0.00121588-0.00072634i, -0.00074430+0.00101461i, +0.00163916+0.00181731i, +0.00026824-0.00188216i, -0.00002339-0.00202300i, -0.00010981-0.00028944i, +0.00044953-0.00020673i, +0.00259510-0.00119915i, -0.00194622-0.00272482i, +0.00160267+0.00065231i
+0.00092774+0.00076471i, -0.00079385+0.00080976i, +0.00051209+0.00027898i, -0.00101612+0.00132408i, -0.00007618-0.00012131i, -0.00050855+0.00267021i, +0.00005456-0.00200381i, +0.00039926-0.00153586i, +0.00025366+0.00186267i, +0.00153254+0.00103229i, -0.00039294+0.00318881i, +0.00049815+0.00033910i, +0.00189080+0.00002798i, -0.00173420+0.00227202i, +0.02995898-0.00000000i, -0.00038963-0.00085493i, +0.00054372+0.00006491i, +0.00018330+0.00120519i, -0.00142530-0.00115381i, -0.00022599-0.00123391i, +0.00083577-0.00094418i, -0.00039743+0.00018921i, +0.00088467-0.00127592i, +0.00068281-0.00019505i, -0.00180939+0.00157641i, -0.00076418-0.00005519i, +0.00178054+0.00051207i, +0.00001361+0.00085027i, +0.00008637+0.00073077i, -0.00053108+0.00152117i, +0.00398559-0.00169765i, -0.00017887+0.00139303i
+0.00068842+0.00074415i, -0.00248259-0.00044570i, +0.00017621+0.00026299i, -0.00033416-0.00067864i, -0.00014760+0.00055735i, -0.00159335+0.00037312i, +0.00055794-0.00116345i, +0.00194758-0.00166757i, +0.00019608+0.00122424i, -0.00011599+0.00153643i, -0.00118098+0.00073473i, +0.00012444+0.00031527i, +0.00077629+0.00041231i, -0.00019633+0.00039686i, -0.00038963+0.00085493i, +0.02508969-0.00000000i, +0.00049512+0.00018203i, -0.00028667-0.00038586i, -0.00043193-0.00175986i, +0.00093582-0.00061010i, +0.00146684+0.00100342i, -0.00035705-0.00111594i, +0.00033321+0.00001143i, +0.00046440-0.00060838i, -0.00177745-0.00057605i, -0.00062177-0.00015230i, +0.00044951+0.00087537i, +0.00101307+0.00090145i, -0.00041250+0.00008600i, -0.00099949-0.00064512i, +0.00214495+0.00115700i, +0.00028980+0.00003648i
+0.00050960-0.00122989i, -0.00035707+0.00025033i, +0.00016579-0.00044514i, +0.00037980-0.00021764i, +0.00018644-0.00016745i, +0.00034282-0.00041037i, -0.00017199+0.00013149i, +0.00010569+0.00018761i, +0.00095804-0.00115133i, -0.00010470-0.00084180i, +0.00059801+0.00062292i, +0.00111807+0.00049107i, -0.00070838-0.00017199i, +0.00012142+0.00070499i, +0.00054372-0.00006491i, +0.00049512-0.00018203i, +0.02779314-0.00000000i, +0.00039354+0.00019101i, -0.00007023-0.00011139i, +0.00103857+0.00070617i, -0.00112470+0.00002694i, -0.00069545+0.00146144i, -0.00032171-0.00085423i, -0.00042490-0.00067227i, +0.00045673+0.00057124i, +0.00113396-0.00082756i, +0.00010056+0.00069369i, +0.00002089+0.00025224i, +0.00037996-0.00011756i, +0.00048378+0.00040368i, +0.00033093-0.00040425i, -0.00030718-0.00037332i
+0.00016759-0.00123981i, +0.00036120-0.00034937i, -0.00074414-0.00003356i, +0.00050423+0.00041494i, -0.00081995-0.00004344i, +0.00203429-0.00003944i, -0.00123937+0.00048121i, -0.00139871-0.00018208i, +0.00132235-0.00052486i, +0.00084412-0.00245913i, +0.00118392-0.00069128i, +0.00019954-0.00071094i, +0.00037323-0.00049040i, +0.00017192-0.00011026i, +0.00018330-0.00120519i, -0.00028667+0.00038586i, +0.00039354-0.00019101i, +0.02967831+0.00000000i, +0.00114450+0.00251153i, -0.00144100+0.00006205i, -0.00071133+0.00011297i, +0.00040978+0.00057919i, -0.00147181-0.00020695i, -0.00060822+0.00141532i, +0.00177844+0.00114515i, -0.00015381+0.00013744i, +0.00009095-0.00107366i, +0.00075843+0.00129942i, +0.00006971-0.00071656i, +0.00063989-0.00071269i, -0.00110594-0.00200969i, +0.00137910-0.00000696i
-0.00471006-0.00170480i, +0.00107054-0.00346231i, -0.00321285-0.00071004i, +0.00322653-0.00198381i, -0.00071537+0.00163757i, -0.00131616-0.00626535i, +0.00007308+0.00360173i, +0.00079504+0.00293914i, -0.00447120-0.00341469i, -0.00496313-0.00157622i, -0.00207841-0.00574409i, +0.00015683-0.00046590i, -0.00199771+0.00241141i, -0.00047389-0.00197252i, -0.00142530+0.00115381i, -0.00043193+0.00175986i, -0.00007023+0.00011139i, +0.00114450-0.00251153i, +0.03392292-0.00000000i, +0.00181429+0.00347939i, -0.00262005+0.00220540i, +0.00086285-0.00047553i, -0.00101849+0.00431652i, +0.00181183+0.00000432i, +0.00344613-0.00468225i, -0.00143380-0.00046398i, -0.00338285+0.00011844i, -0.00175215-0.00135109i, -0.00042765-0.00112831i, -0.00014179-0.00473047i, -0.00588936+0.00440637i, -0.00037151-0.00492579i
-0.00233483+0.00169709i, -0.00278702-0.00266782i, -0.00210782+0.00192310i, +0.00080023-0.00295676i, +0.00121743+0.00019752i, -0.00559513-0.00346348i, +0.00296718+0.00083238i, +0.00210271+0.00108129i, -0.00380875+0.00113635i, -0.00323467+0.00252730i, -0.00385104-0.00179694i, -0.00148350-0.00047571i, -0.00035453+0.00144118i, -0.00243432-0.00112320i, -0.00022599+0.00123391i, +0.00093582+0.00061010i, +0.00103857-0.00070617i, -0.00144100-0.00006205i, +0.00181429-0.00347939i, +0.02746027-0.00000000i, +0.00056136+0.00335569i, +0.00101528-0.00120597i, +0.00206945+0.00188425i, +0.00243533+0.00011092i, -0.00122436-0.00416713i, -0.00104610+0.00034254i, -0.00115424+0.00222166i, -0.00044114+0.00060785i, -0.00071307-0.00013613i, -0.00373717-0.00117564i, +0.00041793+0.00655004i, -0.00310940-0.00190177i
+0.00106255+0.00267957i, -0.00248880+0.00230055i, +0.00160932+0.00153522i, -0.00177663-0.00020430i, +0.00105515-0.00076656i, -0.00352925+0.00547014i, +0.00067190-0.00354413i, +0.00221109-0.00224166i, +0.00025898+0.00398939i, +0.00263426+0.00359164i, -0.00162207+0.00379478i, +0.00082891+0.00069712i, +0.00176476+0.00058834i, -0.00075000+0.00233988i, +0.00083577+0.00094418i, +0.00146684-0.00100342i, -0.00112470-0.00002694i, -0.00071133-0.00011297i, -0.00262005-0.00220540i, +0.00056136-0.00335569i, +0.02954624-0.00000000i, -0.00113512-0.00146154i, +0.00257881-0.00235676i, -0.00004353-0.00209065i, -0.00444451+0.00120844i, +0.00023197+0.00105216i, +0.00168620+0.00047901i, +0.00061349+0.00012567i, -0.00038173+0.00101741i, -0.00103574+0.00379831i, +0.00533548+0.00003239i, -0.00228636+0.00185890i
