+0.00575510-0.00000000i, -0.00029675-0.01587044i, +0.01671425+0.00107710i, -0.01541811-0.00418443i, +0.00114295+0.00665972i, -0.00740383+0.00139499i, -0.00661913+0.00189113i, -0.00075475+0.00059675i, +0.01836328-0.01030786i, -0.00527371+0.01541187i, -0.00383389-0.01637477i, +0.00374144+0.00681562i, +0.01104115+0.02119356i, -0.00437379+0.00677385i, -0.00580951-0.00019186i, -0.01148720+0.00337951i, -0.01043384-0.00076335i, +0.02415657-0.01915968i, -0.00625519+0.00106422i, -0.00624703+0.00333214i, -0.00017984+0.00077028i, +0.00694506+0.01360202i, +0.00067534+0.00554555i, +0.00251500-0.00601733i, +0.00905721+0.00010528i, -0.01440241-0.01609482i, -0.00491637+0.01449122i, +0.00302668-0.00346398i, -0.01022188-0.00726286i, +0.00680342-0.01537563i, +0.01216117-0.00594537i, -0.00063537+0.00571728i
+0.00374144-0.00681562i, -0.01898788-0.00996609i, +0.01214167-0.01909404i, -0.01497897+0.01553895i, +0.00862998+0.00297597i, -0.00316125+0.00967506i, -0.00206354+0.00906831i, +0.00021604+0.00128178i, -0.00026920-0.02844841i, +0.01482340+0.01626493i, -0.02188468-0.00610500i, +0.01050392+0.00000000i, +0.03227696+0.00070238i, +0.00517866+0.00958352i, -0.00400403+0.00675533i, -0.00346567+0.01580106i, -0.00768715+0.01186027i, -0.00698591-0.04106391i, -0.00280623+0.00809972i, -0.00011508+0.00956446i, +0.00079531+0.00071375i, +0.02062359+0.00061794i, +0.00700651+0.00280542i, -0.00549115-0.00689037i, +0.00601286-0.01065778i, -0.02842383+0.00659302i, +0.01396541+0.01524322i, -0.00213463-0.00583639i, -0.01524657+0.00738386i, -0.01378601-0.01805296i, +0.00086513-0.01826731i, +0.00635777+0.00446931i
+0.01104115-0.02119356i, -0.05901330-0.02935460i, +0.03603275-0.05948500i, -0.04498905+0.04875045i, +0.02671763+0.00856764i, -0.00906709+0.02994139i, -0.00573456+0.02800353i, +0.00074958+0.00392428i, -0.00272952-0.08739968i, +0.04663768+0.04898846i, -0.06765654-0.01729636i, +0.03227696-0.00070238i, +0.09922919+0.00000000i, +0.01655407+0.02910241i, -0.01185206+0.02102586i, -0.00959288+0.04878602i, -0.02282837+0.03695885i, -0.02421253-0.12571606i, -0.00808150+0.02507686i, +0.00028594+0.02939783i, +0.00249160+0.00214006i, +0.06341450+0.00051976i, +0.02171754+0.00815213i, -0.01733423-0.02080590i, +0.01776395-0.03315181i, -0.08690129+0.02216002i, +0.04393289+0.04590627i, -0.00694966-0.01779162i, -0.04635666+0.02370901i, -0.04356950-0.05455218i, +0.00143692-0.05619054i, +0.01983532+0.01330837i
-0.00437379-0.00677385i, -0.01845425+0.01241058i, -0.01143483-0.02049154i, +0.00679240+0.02132748i, +0.00696997-0.00640657i, +0.00726872+0.00765426i, +0.00725633+0.00635359i, +0.00127598+0.00043483i, -0.02608836-0.01378006i, +0.02214798-0.00550555i, -0.01635967+0.01695714i, +0.00517866-0.00958352i, +0.01655407-0.02910241i, +0.01129695-0.00000000i, +0.00418933+0.00698370i, +0.01270785+0.01095225i, +0.00703109+0.01286094i, -0.04090991-0.01387161i, +0.00600645+0.00655367i, +0.00866964+0.00482048i, +0.00104331-0.00037373i, +0.01073166-0.01851180i, +0.00601396-0.00500943i, -0.00899386+0.00161289i, -0.00675942-0.01074050i, -0.00799825+0.02918371i, +0.02079279-0.00522646i, -0.00637740-0.00092988i, -0.00078003+0.01755100i, -0.02326788+0.00367752i, -0.01624012-0.00979550i, +0.00721220-0.00359721i
-0.00580951+0.00019186i, +0.00082862+0.01601059i, -0.01690819-0.00053008i, +0.01570338+0.00371000i, -0.00137578-0.00668458i, +0.00742732-0.00165500i, +0.00661867-0.00212967i, +0.00074199-0.00062755i, -0.01819327+0.01101750i, +0.00480979-0.01573340i, +0.00441603+0.01640178i, -0.00400403-0.00675533i, -0.01185206-0.02102586i, +0.00418933-0.00698370i, +0.00587084+0.00000000i, +0.01148315-0.00379441i, +0.01055793+0.00042273i, -0.02374624+0.02014613i, +0.00627885-0.00128281i, +0.00619501-0.00357190i, +0.00015586-0.00078356i, -0.00746418-0.01349910i, -0.00086660-0.00557547i, -0.00233818+0.00615807i, -0.00914635+0.00019566i, +0.01507514+0.01576686i, +0.00447977-0.01479213i, -0.00293982+0.00359763i, +0.01056065+0.00699077i, -0.00635517+0.01574781i, -0.01207795+0.00640700i, +0.00045078-0.00579251i
-0.01148720-0.00337951i, -0.00872713+0.03185171i, -0.03272922-0.01196484i, +0.02831743+0.01740596i, +0.00162938-0.01396399i, +0.01559723+0.00156328i, +0.01432232+0.00011218i, +0.00185691-0.00074791i, -0.04270617+0.00979125i, +0.01957652-0.02766532i, -0.00196313+0.03493544i, -0.00346567-0.01580106i, -0.00959288-0.04878602i, +0.01270785-0.01095225i, +0.01148315+0.00379441i, +0.02491302-0.00000000i, +0.02037773+0.00765061i, -0.05946756+0.02405756i, +0.01311031+0.00154899i, +0.01442580-0.00298259i, +0.00081129-0.00143188i, -0.00587499-0.03122798i, +0.00190847-0.01146553i, -0.00855345+0.01053376i, -0.01801640-0.00552872i, +0.01929607+0.04058271i, +0.01832264-0.02603754i, -0.00807539+0.00513679i, +0.01613802+0.02049920i, -0.02260854+0.02669472i, -0.02776498+0.00472570i, +0.00462550-0.01103860i
-0.01043384+0.00076335i, +0.00264303+0.02873330i, -0.03044534+0.00026420i, +0.02850762+0.00554121i, -0.00295548-0.01192228i, +0.01323790-0.00351110i, +0.01174946-0.00430652i, +0.00128919-0.00118200i, -0.03192490+0.02112355i, +0.00751689-0.02864079i, +0.00912267+0.02917847i, -0.00768715-0.01186027i, -0.02282837-0.03695885i, +0.00703109-0.01286094i, +0.01055793-0.00042273i, +0.02037773-0.00765061i, +0.01901750-0.00000000i, -0.04125388+0.03794005i, +0.01119932-0.00275908i, +0.01088372-0.00686968i, +0.00022388-0.00142035i, -0.01439536-0.02373891i, -0.00195993-0.00996436i, -0.00376149+0.01124284i, -0.01643443+0.00101046i, +0.02824597+0.02726914i, +0.00699115-0.02692428i, -0.00502784+0.00668155i, +0.01949533+0.01181155i, -0.01029501+0.02877799i, -0.02125927+0.01239183i, +0.00039357-0.01044954i
+0.02415657+0.01915968i, +0.05158972-0.06760280i, +0.06657089+0.06016554i, -0.05078563-0.06889321i, -0.01737384+0.03175871i, -0.03572111-0.01879322i, -0.03407914-0.01409829i, -0.00515467-0.00000788i, +0.11139497+0.01786796i, -0.07344465+0.04713302i, +0.03842183-0.08149543i, -0.00698591+0.04106391i, -0.02421253+0.12571606i, -0.04090991+0.01387161i, -0.02374624-0.02014613i, -0.05946756-0.02405756i, -0.04125388-0.03794005i, +0.16518098+0.00000000i, -0.02979859-0.01635757i, -0.03731465-0.00681099i, -0.00331927+0.00263448i, -0.01613203+0.08021466i, -0.01562736+0.02552535i, +0.03058919-0.01688442i, +0.03766639+0.03059486i, -0.00687067-0.11550471i, -0.06887975+0.04445832i, +0.02423642-0.00446344i, -0.01872626-0.06451562i, +0.07974482-0.04188828i, +0.07083865+0.01553131i, -0.02170066+0.02188256i
-0.00625519-0.00106422i, -0.00261219+0.01730436i, -0.01796745-0.00426145i, +0.01598408+0.00739910i, -0.00001077-0.00744976i, +0.00830513-0.00014711i, +0.00754399-0.00083147i, +0.00093068-0.00050904i, -0.02186505+0.00780787i, +0.00858189-0.01577587i, +0.00113906+0.01850659i, -0.00280623-0.00809972i, -0.00808150-0.02507686i, +0.00600645-0.00655367i, +0.00627885+0.00128281i, +0.01311031-0.00154899i, +0.01119932+0.00275908i, -0.02979859+0.01635757i, +0.00699552+0.00000000i, +0.00740603-0.00246650i, +0.00033791-0.00080396i, -0.00503330-0.01606822i, +0.00029144-0.00615231i, -0.00384625+0.00607514i, -0.00982476-0.00178927i, +0.01267769+0.02015662i, +0.00802326-0.01484130i, -0.00393024+0.00320529i, +0.00976708+0.00978417i, -0.01023782+0.01545362i, -0.01431731+0.00421318i, +0.00174780-0.00609658i
-0.00624703-0.00333214i, -0.00886670+0.01739881i, -0.01751931-0.01084654i, +0.01431326+0.01346902i, +0.00261525-0.00789073i, +0.00884437+0.00277251i, +0.00827986+0.00177962i, +0.00116477-0.00021076i, -0.02590106+0.00055681i, +0.01464780-0.01367581i, -0.00531921+0.01999421i, -0.00011508-0.00956446i, +0.00028594-0.02939783i, +0.00866964-0.00482048i, +0.00619501+0.00357190i, +0.01442580+0.00298259i, +0.01088372+0.00686968i, -0.03731465+0.00681099i, +0.00740603+0.00246650i, +0.00871028-0.00000000i, +0.00064120-0.00073200i, +0.00033672-0.01878580i, +0.00247775-0.00641059i, -0.00621394+0.00507552i, -0.00977043-0.00535831i, +0.00631476+0.02580940i, +0.01372687-0.01288336i, -0.00529100+0.00200765i, +0.00689050+0.01380203i, -0.01628728+0.01275079i, -0.01664298-0.00058762i, +0.00399992-0.00583810i
-0.00017984-0.00077028i, -0.00211488+0.00053565i, -0.00037814-0.00227075i, -0.00007826+0.00219437i, +0.00085564-0.00036109i, +0.00041807+0.00094736i, +0.00045996+0.00082683i, +0.00010346+0.00008237i, -0.00195347-0.00213570i, +0.00222758+0.00022425i, -0.00207185+0.00102484i, +0.00079531-0.00071375i, +0.00249160-0.00214006i, +0.00104331+0.00037373i, +0.00015586+0.00078356i, +0.00081129+0.00143188i, +0.00022388+0.00142035i, -0.00331927-0.00263448i, +0.00033791+0.00080396i, +0.00064120+0.00073200i, +0.00010872+0.00000000i, +0.00160352-0.00135460i, +0.00072113-0.00026368i, -0.00088397-0.00014858i, -0.00026894-0.00121554i, -0.00170413+0.00243062i, +0.00209319+0.00020519i, -0.00055821-0.00029686i, -0.00065266+0.00159509i, -0.00227053-0.00043012i, -0.00117577-0.00144191i, +0.00078507-0.00009362i
