+0.00575510-0.00000000i, -0.00029675-0.01587044i, +0.01671425+0.00107710i, -0.01541811-0.00418443i, +0.00114295+0.00665972i, -0.00740383+0.00139499i, -0.00661913+0.00189113i, -0.00075475+0.00059675i, +0.01836328-0.01030786i, -0.00527371+0.01541187i, -0.00383389-0.01637477i, +0.00374144+0.00681562i, +0.01104115+0.02119356i, -0.00437379+0.00677385i, -0.00580951-0.00019186i, -0.01148720+0.00337951i, -0.01043384-0.00076335i, +0.02415657-0.01915968i, -0.00625519+0.00106422i, -0.00624703+0.00333214i, -0.00017984+0.00077028i, +0.00694506+0.01360202i, +0.00067534+0.00554555i, +0.00251500-0.00601733i, +0.00905721+0.00010528i, -0.01440241-0.01609482i, -0.00491637+0.01449122i, +0.00302668-0.00346398i, -0.01022188-0.00726286i, +0.00680342-0.01537563i, +0.01216117-0.00594537i, -0.00063537+0.00571728i
+0.00694506-0.01360202i, -0.03786745-0.01845056i, +0.02271590-0.03820388i, -0.02849584+0.03139066i, +0.01711934+0.00533538i, -0.00563768+0.01918217i, -0.00351810+0.01792628i, +0.00049959+0.00250397i, -0.00220216-0.05584030i, +0.03006139+0.03106281i, -0.04332793-0.01069922i, +0.02062359-0.00061794i, +0.06341450-0.00051976i, +0.01073166+0.01851180i, -0.00746418+0.01349910i, -0.00587499+0.03122798i, -0.01439536+0.02373891i, -0.01613203-0.08021466i, -0.00503330+0.01606822i, +0.00033672+0.01878580i, +0.00160352+0.00135460i, +0.04052909-0.00000000i, +0.01392175+0.00509603i, -0.01118678-0.01320565i, +0.01117877-0.02127941i, -0.05542002+0.01461702i, +0.02831670+0.02910724i, -0.00453452-0.01133370i, -0.02950101+0.01539456i, -0.02812975-0.03463450i, +0.00062397-0.03591727i, +0.01274588+0.00840110i
+0.00067534-0.00554555i, -0.01532741-0.00157641i, +0.00299925-0.01597928i, -0.00584134+0.01436570i, +0.00655136-0.00031984i, +0.00047538+0.00729795i, +0.00104554+0.00660004i, +0.00048645+0.00079730i, -0.00777767-0.01890426i, +0.01423186+0.00689023i, -0.01622845+0.00177277i, +0.00700651-0.00280542i, +0.02171754-0.00815213i, +0.00601396+0.00500943i, -0.00086660+0.00557547i, +0.00190847+0.01146553i, -0.00195993+0.00996436i, -0.01562736-0.02552535i, +0.00029144+0.00615231i, +0.00247775+0.00641059i, +0.00072113+0.00026368i, +0.01392175-0.00509603i, +0.00542289-0.00000000i, -0.00550311-0.00312954i, +0.00116429-0.00871508i, -0.01719888+0.01198933i, +0.01338667+0.00643787i, -0.00298268-0.00332297i, -0.00819793+0.00899742i, -0.01401744-0.00835999i, -0.00430182-0.01241605i, +0.00543455+0.00128314i
+0.00251500+0.00601733i, +0.01646389-0.00724570i, +0.00617801+0.01794654i, -0.00236268-0.01794925i, -0.00646369+0.00410535i, -0.00469405-0.00713157i, -0.00486988-0.00609430i, -0.00095377-0.00052836i, +0.01880236+0.01469543i, -0.01841875+0.00122103i, +0.01544546-0.01116442i, -0.00549115+0.00689037i, -0.01733423+0.02080590i, -0.00899386-0.00161289i, -0.00233818-0.00615807i, -0.00855345-0.01053376i, -0.00376149-0.01124284i, +0.03058919+0.01688442i, -0.00384625-0.00607514i, -0.00621394-0.00507552i, -0.00088397+0.00014858i, -0.01118678+0.01320565i, -0.00550311+0.00312954i, +0.00739058-0.00000000i, +0.00384795+0.00951591i, +0.01053428-0.02209215i, -0.01729999+0.00119232i, +0.00494449+0.00165082i, +0.00312680-0.01386154i, +0.01904934+0.00039421i, +0.01153075+0.01011715i, -0.00625544+0.00183415i
+0.00905721-0.00010528i, -0.00075735-0.02497100i, +0.02632410+0.00138933i, -0.02434112-0.00630327i, +0.00192058+0.01045996i, -0.01162641+0.00233083i, -0.01038239+0.00309730i, -0.00117689+0.00095295i, +0.02871102-0.01655815i, -0.00801767+0.02435123i, -0.00633323-0.02569999i, +0.00601286+0.01065778i, +0.01776395+0.03315181i, -0.00675942+0.01074050i, -0.00914635-0.00019566i, -0.01801640+0.00552872i, -0.01643443-0.00101046i, +0.03766639-0.03059486i, -0.00982476+0.00178927i, -0.00977043+0.00535831i, -0.00026894+0.00121554i, +0.01117877+0.02127941i, +0.00116429+0.00871508i, +0.00384795-0.00951591i, +0.01425589-0.00000000i, -0.02296053-0.02506607i, -0.00747214+0.02289580i, +0.00469994-0.00550688i, -0.01621977-0.01124308i, +0.01042574-0.02432218i, +0.01903012-0.00957913i, -0.00089533+0.00900930i
-0.01440241+0.01609482i, +0.04512618+0.03888663i, -0.04484045+0.04404789i, +0.05028679-0.03264684i, -0.02148499-0.01346985i, +0.01462719-0.02419670i, +0.01127591-0.02324382i, +0.00021992-0.00360414i, -0.01712782+0.07715101i, -0.02990340-0.05331751i, +0.05538847+0.03025669i, -0.02842383-0.00659302i, -0.08690129-0.02216002i, -0.00799825-0.02918371i, +0.01507514-0.01576686i, +0.01929607-0.04058271i, +0.02824597-0.02726914i, -0.00687067+0.11550471i, +0.01267769-0.02015662i, +0.00631476-0.02580940i, -0.00170413-0.00243062i, -0.05542002-0.01461702i, -0.01719888-0.01198933i, +0.01053428+0.02209215i, -0.02296053+0.02506607i, +0.08105379-0.00000000i, -0.02822296-0.05001420i, +0.00211301+0.01713326i, +0.04589221-0.01041104i, +0.02597390+0.05750482i, -0.01380697+0.04888872i, -0.01439900-0.01608464i
-0.00491637-0.01449122i, -0.03970793+0.01430474i, -0.01156627-0.04300627i, +0.00263484+0.04239708i, +0.01579264-0.00856709i, +0.00983737+0.01745100i, +0.01041631+0.01505130i, +0.00214735+0.00139066i, -0.04164207-0.03743272i, +0.04331191+0.00011330i, -0.03795616+0.02364204i, +0.01396541-0.01524322i, +0.04393289-0.04590627i, +0.02079279+0.00522646i, +0.00447977+0.01479213i, +0.01832264+0.02603754i, +0.00699115+0.02692428i, -0.06887975-0.04445832i, +0.00802326+0.01484130i, +0.01372687+0.01288336i, +0.00209319-0.00020519i, +0.02831670-0.02910724i, +0.01338667-0.00643787i, -0.01729999-0.00119232i, -0.00747214-0.02289580i, -0.02822296+0.05001420i, +0.04068848+0.00000000i, -0.01130782-0.00466198i, -0.00955555+0.03194289i, -0.04452744-0.00399602i, -0.02535917-0.02554265i, +0.01493875-0.00328422i
+0.00302668+0.00346398i, +0.00939631-0.00852509i, +0.00814195+0.01062673i, -0.00559000-0.01148077i, -0.00340737+0.00419038i, -0.00473341-0.00372270i, -0.00461936-0.00298946i, -0.00075611-0.00014044i, +0.01586177+0.00563177i, -0.01204988+0.00493108i, +0.00783963-0.01091932i, -0.00213463+0.00583639i, -0.00694966+0.01779162i, -0.00637740+0.00092988i, -0.00293982-0.00359763i, -0.00807539-0.00513679i, -0.00502784-0.00668155i, +0.02423642+0.00446344i, -0.00393024-0.00320529i, -0.00529100-0.00200765i, -0.00055821+0.00029686i, -0.00453452+0.01133370i, -0.00298268+0.00332297i, +0.00494449-0.00165082i, +0.00469994+0.00550688i, +0.00211301-0.01713326i, -0.01130782+0.00466198i, +0.00367673+0.00000000i, -0.00100433-0.00997216i, +0.01283256-0.00399129i, +0.00997423+0.00419302i, -0.00377536+0.00262437i
-0.01022188+0.00726286i, +0.02055536+0.02781368i, -0.03104619+0.01918009i, +0.03266546-0.01202532i, -0.01043453-0.01038622i, +0.01138980-0.01182123i, +0.00936993-0.01171218i, +0.00058745-0.00201239i, -0.01960742+0.04148247i, -0.01008271-0.03402905i, +0.02747429+0.02424560i, -0.01524657-0.00738386i, -0.04635666-0.02370901i, -0.00078003-0.01755100i, +0.01056065-0.00699077i, +0.01613802-0.02049920i, +0.01949533-0.01181155i, -0.01872626+0.06451562i, +0.00976708-0.00978417i, +0.00689050-0.01380203i, -0.00065266-0.00159509i, -0.02950101-0.01539456i, -0.00819793-0.00899742i, +0.00312680+0.01386154i, -0.01621977+0.01124308i, +0.04589221+0.01041104i, -0.00955555-0.03194289i, -0.00100433+0.00997216i, +0.02732117+0.00000000i, +0.00732001+0.03589516i, -0.01409699+0.02590707i, -0.00608662-0.01095653i
+0.00680342+0.01537563i, +0.04204950-0.01955412i, +0.01688120+0.04592799i, -0.00704725-0.04613848i, -0.01644131+0.01092639i, -0.01247939-0.01813137i, -0.01287728-0.01544840i, -0.00248653-0.00131098i, +0.04924728+0.03687483i, -0.04740952+0.00412968i, +0.03921544-0.02960034i, -0.01378601+0.01805296i, -0.04356950+0.05455218i, -0.02326788-0.00367752i, -0.00635517-0.01574781i, -0.02260854-0.02669472i, -0.01029501-0.02877799i, +0.07974482+0.04188828i, -0.01023782-0.01545362i, -0.01628728-0.01275079i, -0.00227053+0.00043012i, -0.02812975+0.03463450i, -0.01401744+0.00835999i, +0.01904934-0.00039421i, +0.01042574+0.02432218i, +0.02597390-0.05750482i, -0.04452744+0.00399602i, +0.01283256+0.00399129i, +0.00732001-0.03589516i, +0.04912106-0.00000000i, +0.03026036+0.02546208i, -0.01602568+0.00506122i
+0.01216117+0.00594537i, +0.01576807-0.03384256i, +0.03420637+0.01954288i, -0.02825741-0.02477001i, -0.00446471+0.01525347i, -0.01708622-0.00470085i, -0.01594061-0.00284179i, -0.00221135+0.00048129i, +0.04945232-0.00281127i, -0.02706536+0.02711893i, +0.00881469-0.03856235i, +0.00086513+0.01826731i, +0.00143692+0.05619054i, -0.01624012+0.00979550i, -0.01207795-0.00640700i, -0.02776498-0.00472570i, -0.02125927-0.01239183i, +0.07083865-0.01553131i, -0.01431731-0.00421318i, -0.01664298+0.00058762i, -0.00117577+0.00144191i, +0.00062397+0.03591727i, -0.00430182+0.01241605i, +0.01153075-0.01011715i, +0.01903012+0.00957913i, -0.01380697-0.04888872i, -0.02535917+0.02554265i, +0.00997423-0.00419302i, -0.01409699-0.02590707i, +0.03026036-0.02546208i, +0.03183984-0.00000000i, -0.00724890+0.01142487i
-0.00063537-0.00571728i, -0.01573337+0.00204691i, -0.00077525-0.01672331i, -0.00245475+0.01577874i, +0.00648976-0.00187068i, +0.00220321+0.00720116i, +0.00260946+0.00636684i, +0.00067615+0.00068391i, -0.01226744-0.01710459i, +0.01589280+0.00353757i, -0.01584388+0.00561649i, +0.00635777-0.00446931i, +0.01983532-0.01330837i, +0.00721220+0.00359721i, +0.00045078+0.00579251i, +0.00462550+0.01103860i, +0.00039357+0.01044954i, -0.02170066-0.02188256i, +0.00174780+0.00609658i, +0.00399992+0.00583810i, +0.00078507+0.00009362i, +0.01274588-0.00840110i, +0.00543455-0.00128314i, -0.00625544-0.00183415i, -0.00089533-0.00900930i, -0.01439900+0.01608464i, +0.01493875+0.00328422i, -0.00377536-0.00262437i, -0.00608662+0.01095653i, -0.01602568-0.00506122i, -0.00724890-0.01142487i, +0.00574985-0.00000000i
