+0.02857496+0.00130116i, +0.07045672-0.03637353i, -0.00474333+0.01621845i, -0.05051194+0.03555485i, -0.01365509+0.02246895i, +0.00976918-0.04446696i, -0.02478445+0.02234505i, +0.01621932+0.05428546i, -0.01628398-0.03244417i, +0.01427014-0.01100947i, -0.01468512+0.04258818i, +0.05493200-0.00000000i, +0.04336635-0.01623634i, +0.05997490+0.01433263i, -0.01186780-0.01052653i, +0.01892064+0.01362153i, -0.01382006-0.00422790i, +0.00670655-0.01195560i, -0.01197632+0.05491668i, +0.02540061-0.00542190i, -0.02058908+0.03199114i, -0.03244637+0.02504461i, +0.04555175+0.01661981i, +0.00923208-0.00399292i, +0.01922082+0.00973584i, +0.03331456-0.05504131i, +0.02032235+0.00796773i, +0.00566797+0.04329502i, -0.03267312+0.00310121i, +0.03821462+0.04782299i, -0.00780091-0.02277378i, -0.03138800+0.00448600i
+0.02217407+0.00947316i, +0.06637341-0.00789026i, -0.00853836+0.01140174i, -0.05038592+0.01313906i, -0.01742127+0.01370217i, +0.02085551-0.03221718i, -0.02617078+0.01031483i, -0.00324082+0.04764991i, -0.00326589-0.03042630i, +0.01451972-0.00447364i, -0.02418110+0.02928096i, +0.04336635+0.01623634i, +0.03903479+0.00000000i, +0.04311117+0.02904185i, -0.00625775-0.01181801i, +0.01091086+0.01634599i, -0.00966067-0.00742255i, +0.00882826-0.00745614i, -0.02568658+0.03981440i, +0.02165520+0.00322735i, -0.02570983+0.01917003i, -0.03301743+0.01018137i, +0.03104872+0.02658440i, +0.00846851-0.00042349i, +0.01229634+0.01336714i, +0.04256900-0.03360581i, +0.01368855+0.01229688i, -0.00832217+0.03585477i, -0.02671059-0.00720899i, +0.01603360+0.04904926i, +0.00057281-0.02028460i, -0.02610535-0.00573590i
+0.03153771-0.00603505i, +0.06743439-0.05809599i, -0.00094713+0.01894495i, -0.04587224+0.05199824i, -0.00904616+0.02809448i, -0.00093612-0.05109808i, -0.02122955+0.03086303i, +0.03187223+0.05503712i, -0.02624409-0.03117388i, +0.01270763-0.01574348i, -0.00492132+0.05032947i, +0.05997490-0.01433263i, +0.04311117-0.02904185i, +0.06922036-0.00000000i, -0.01570383-0.00839640i, +0.02421167+0.00993532i, -0.01619190-0.00101016i, +0.00420283-0.01480300i, +0.00125286+0.06308298i, +0.02631779-0.01254706i, -0.01413221+0.04030003i, -0.02889049+0.03580955i, +0.05406988+0.00626038i, +0.00903779-0.00676827i, +0.02352558+0.00561460i, +0.02201177-0.06878654i, +0.02426690+0.00339677i, +0.01748466+0.04579075i, -0.03486344+0.01191084i, +0.05420059+0.04224246i, -0.01445910-0.02282908i, -0.03309902+0.01308746i
-0.00642282+0.00519467i, -0.00825164+0.02135984i, -0.00208314-0.00441287i, +0.00409955-0.01736098i, -0.00135557-0.00747101i, +0.00641055+0.01147893i, +0.00107262-0.00957695i, -0.01390674-0.00862003i, +0.00973530+0.00388894i, -0.00097327+0.00511311i, -0.00498846-0.01201506i, -0.01186780+0.01052653i, -0.00625775+0.01181801i, -0.01570383+0.00839640i, +0.00458116+0.00000000i, -0.00669799+0.00068287i, +0.00379594-0.00173490i, +0.00084211+0.00386812i, -0.00793617-0.01415949i, -0.00444869+0.00603885i, -0.00168224-0.01085699i, +0.00221062-0.01162842i, -0.01302607+0.00513838i, -0.00122939+0.00263178i, -0.00601823+0.00157987i, +0.00335003+0.01827543i, -0.00591739+0.00217295i, -0.00952109-0.00826754i, +0.00646459-0.00693110i, -0.01742033-0.00300892i, +0.00604945+0.00342529i, +0.00592158-0.00698401i
+0.01016494-0.00663759i, +0.01524836-0.02999961i, +0.00238792+0.00676245i, -0.00858164+0.02477190i, +0.00086832+0.01112521i, -0.00766163-0.01773856i, -0.00299578+0.01384229i, +0.01904775+0.01467603i, -0.01365402-0.00713704i, +0.00218514-0.00733065i, +0.00550252+0.01831044i, +0.01892064-0.01362153i, +0.01091086-0.01634599i, +0.02421167-0.00993532i, -0.00669799-0.00068287i, +0.00989472+0.00000000i, -0.00580854+0.00197072i, -0.00065465-0.00578098i, +0.00949264+0.02188514i, +0.00740445-0.00816611i, +0.00084122+0.01612443i, -0.00496541+0.01667205i, +0.01981095-0.00557101i, +0.00218975-0.00366460i, +0.00903457-0.00141281i, -0.00217385-0.02721932i, +0.00897554-0.00229496i, +0.01268816+0.01350694i, -0.01048484+0.00917015i, +0.02502125+0.00699592i, -0.00833416-0.00590974i, -0.00969880+0.00932845i
-0.00728917+0.00187195i, -0.01492632+0.01457380i, -0.00005492-0.00444539i, +0.00997152-0.01283276i, +0.00170607-0.00670382i, +0.00096467+0.01193911i, +0.00451558-0.00752923i, -0.00825867-0.01240906i, +0.00659390+0.00690915i, -0.00274279+0.00386813i, +0.00041671-0.01184479i, -0.01382006+0.00422790i, -0.00966067+0.00742255i, -0.01619190+0.00101016i, +0.00379594+0.00173490i, -0.00580854-0.00197072i, +0.00380232-0.00000000i, -0.00076709+0.00352402i, -0.00121366-0.01473797i, -0.00597310+0.00331905i, +0.00271767-0.00963314i, +0.00623543-0.00879811i, -0.01273929-0.00067536i, -0.00201533+0.00171511i, -0.00558500-0.00097004i, -0.00414513+0.01641165i, -0.00572604-0.00044043i, -0.00475822-0.01045613i, +0.00798137-0.00329494i, -0.01329496-0.00909031i, +0.00371540+0.00512913i, +0.00755147-0.00354442i
+0.00320548+0.00637801i, +0.01651840+0.01089367i, -0.00410894+0.00094773i, -0.01390520-0.00665277i, -0.00655735-0.00022875i, +0.01087065-0.00330269i, -0.00788915-0.00266611i, -0.00983469+0.01015765i, +0.00507318-0.00750515i, +0.00413836+0.00176168i, -0.01106192+0.00200340i, +0.00670655+0.01195560i, +0.00882826+0.00745614i, +0.00420283+0.01480300i, +0.00084211-0.00386812i, -0.00065465+0.00578098i, -0.00076709-0.00352402i, +0.00342085+0.00000000i, -0.01341443+0.00409811i, +0.00428116+0.00486633i, -0.00947635-0.00057534i, -0.00941212-0.00400409i, +0.00194414+0.01194313i, +0.00199616+0.00152181i, +0.00022769+0.00537192i, +0.01604670+0.00053080i, +0.00074699+0.00539579i, -0.00873089+0.00651941i, -0.00466396-0.00673247i, -0.00574281+0.01415579i, +0.00400417-0.00447823i, -0.00480846-0.00628371i
-0.00492914-0.02885067i, -0.05172441-0.06250689i, +0.01724807+0.00120605i, +0.04655758+0.04274616i, +0.02543977+0.00875259i, -0.04658444-0.00007174i, +0.02774234+0.01990586i, +0.05073417-0.02805015i, -0.02888488+0.02335294i, -0.01411759-0.01186586i, +0.04577797+0.00539591i, -0.01197632-0.05491668i, -0.02568658-0.03981440i, +0.00125286-0.06308298i, -0.00793617+0.01415949i, +0.00949264-0.02188514i, -0.00121366+0.01473797i, -0.01341443-0.00409811i, +0.05751245-0.00000000i, -0.01095824-0.02421144i, +0.03647107+0.01360860i, +0.03211161+0.02697708i, +0.00668395-0.04916251i, -0.00600459-0.00835897i, +0.00554259-0.02133808i, -0.06228922-0.02130512i, +0.00353482-0.02205381i, +0.04204721-0.01510560i, +0.01022376+0.03198788i, +0.03947808-0.04863036i, -0.02106666+0.01276389i, +0.01132799+0.03040120i
+0.01308466+0.00342206i, +0.03616939-0.00986493i, -0.00379411+0.00703125i, -0.02686610+0.01145496i, -0.00853185+0.00904188i, +0.00890626-0.01959732i, -0.01366585+0.00788609i, +0.00214175+0.02670252i, -0.00432742-0.01660947i, +0.00768518-0.00368230i, -0.01099395+0.01824336i, +0.02540061+0.00542190i, +0.02165520-0.00322735i, +0.02631779+0.01254706i, -0.00444869-0.00603885i, +0.00740445+0.00816611i, -0.00597310-0.00331905i, +0.00428116-0.00486633i, -0.01095824+0.02421144i, +0.01228041-0.00000000i, -0.01267800+0.01276055i, -0.01747518+0.00837813i, +0.01942276+0.01218106i, +0.00466303-0.00093510i, +0.00792678+0.00639899i, +0.02083737-0.02216294i, +0.00861064+0.00569014i, -0.00165243+0.02057910i, -0.01541417-0.00179090i, +0.01295025+0.02588525i, -0.00135933-0.01130058i, -0.01495661-0.00102373i
-0.00995242-0.01712909i, -0.04759101-0.02739921i, +0.01122310-0.00331643i, +0.03963872+0.01609068i, +0.01820347-0.00046918i, -0.02955813+0.01097732i, +0.02230271+0.00605875i, +0.02553544-0.02979251i, -0.01279134+0.02164382i, -0.01176026-0.00418414i, +0.03030652-0.00741021i, -0.02058908-0.03199114i, -0.02570983-0.01917003i, -0.01413221-0.04030003i, -0.00168224+0.01085699i, +0.00084122-0.01612443i, +0.00271767+0.00963314i, -0.00947635+0.00057534i, +0.03647107-0.01360860i, -0.01267800-0.01276055i, +0.02634791-0.00000000i, +0.02674664+0.00950905i, -0.00739426-0.03275757i, -0.00578566-0.00387997i, -0.00153423-0.01484286i, -0.04454144+0.00122841i, -0.00297680-0.01482166i, +0.02308962-0.01952831i, +0.01405229+0.01786572i, +0.01352779-0.04017987i, -0.01033906+0.01307892i, +0.01437709+0.01659825i
