+0.12555880-0.00000000i, -0.10722550-0.02574372i, +0.01662564+0.01291049i, +0.04886681+0.03429047i, -0.03864185+0.02070784i, -0.02132792+0.07230022i, +0.00024894-0.00026893i, +0.06959528+0.03422431i, -0.04538691-0.04187490i, -0.05442319+0.01564196i, -0.02483568-0.00315855i, +0.01230361+0.04872247i, +0.04132180+0.05003978i, +0.00979749-0.03149331i, -0.02081745-0.01858150i, -0.01734115+0.08470928i, -0.05564634-0.03848793i, -0.00499932-0.06388834i, -0.02923483+0.07858990i, -0.02430586+0.06279623i, +0.05558899+0.02462536i, +0.03331832+0.01228263i, -0.02210739-0.02659359i, +0.02021736+0.03946702i, -0.00919140+0.02940142i, +0.00201413+0.04619549i, +0.10006167+0.04003138i, +0.00897351+0.02559298i, -0.00183989-0.05123999i, -0.02300677-0.00806469i, -0.00437234+0.04461039i, +0.08281355-0.01959017i
+0.01230361-0.04872247i, -0.02049684+0.03908568i, +0.00663901-0.00518639i, +0.01809475-0.01560237i, +0.00424903+0.01702396i, +0.02596580+0.01536095i, -0.00007996-0.00012295i, +0.02010027-0.02365243i, -0.02069685+0.01350881i, +0.00073681+0.02265142i, -0.00365933+0.00932785i, +0.02011215-0.00000000i, +0.02346684-0.01113128i, -0.01126076-0.00688792i, -0.00925038+0.00625729i, +0.03117174+0.01502988i, -0.02038788+0.01782182i, -0.02528144-0.00432051i, +0.02763167+0.01904552i, +0.02198601+0.01558522i, +0.01500296-0.01915797i, +0.00803110-0.01172542i, -0.01248583+0.00597274i, +0.01729610-0.00397784i, +0.01050840+0.00644775i, +0.01812330+0.00374516i, +0.02533910-0.03490573i, +0.01081055-0.00097425i, -0.02006371-0.00430709i, -0.00538391+0.00813740i, +0.01688239+0.00606807i, +0.00051310-0.03405504i
+0.04132180-0.05003978i, -0.04554806+0.03426095i, +0.01061685-0.00237704i, +0.02974823-0.00819011i, -0.00446432+0.02221521i, +0.02179520+0.03229419i, -0.00002525-0.00018772i, +0.03654367-0.01647294i, -0.03162566+0.00430718i, -0.01167695+0.02683745i, -0.00943230+0.00885844i, +0.02346684+0.01113128i, +0.03354181-0.00000000i, -0.00932685-0.01426921i, -0.01425650+0.00218129i, +0.02805272+0.03478917i, -0.03365223+0.00951060i, -0.02710713-0.01903344i, +0.02169968+0.03751533i, +0.01702746+0.03035321i, +0.02810862-0.01404996i, +0.01586024-0.00923632i, -0.01787413+0.00005857i, +0.02238265+0.00493136i, +0.00869262+0.01333921i, +0.01907345+0.01440038i, +0.04888458-0.02670378i, +0.01315295+0.00484646i, -0.02102652-0.01612998i, -0.01078567+0.00651492i, +0.01633992+0.01642396i, +0.01944680-0.03945141i
+0.00979749+0.03149331i, -0.00190975-0.02890367i, -0.00194096+0.00517755i, -0.00478778+0.01493275i, -0.00820931-0.00807649i, -0.01979896+0.00029209i, +0.00008688+0.00004145i, -0.00315372+0.02012681i, +0.00696169-0.01465172i, -0.00817010-0.01243015i, -0.00114571-0.00647588i, -0.01126076+0.00688792i, -0.00932685+0.01426921i, +0.00866382+0.00000000i, +0.00303630-0.00667148i, -0.02260037+0.00226036i, +0.00531159-0.01696076i, +0.01563470-0.00623923i, -0.02199355-0.00120037i, -0.01764749-0.00119646i, -0.00183899+0.01586466i, -0.00048093+0.00931550i, +0.00494528-0.00762022i, -0.00832174+0.00815068i, -0.00809183-0.00001121i, -0.01142983+0.00410988i, -0.00223295+0.02822168i, -0.00571915+0.00424783i, +0.01270871-0.00445980i, +0.00022758-0.00639997i, -0.01153059+0.00238430i, +0.01137574+0.01924308i
-0.02081745+0.01858150i, +0.02158764-0.01160008i, -0.00466713+0.00031990i, -0.01317670+0.00154651i, +0.00334220-0.00915195i, -0.00716360-0.01514359i, -0.00000147+0.00008143i, -0.01660366+0.00462510i, +0.01372216+0.00022597i, +0.00670842-0.01064752i, +0.00458515-0.00315176i, -0.00925038-0.00625729i, -0.01425650-0.00218129i, +0.00303630+0.00667148i, +0.00620139+0.00000000i, -0.00966103-0.01661099i, +0.01492192-0.00185389i, +0.01028374+0.00985274i, -0.00678346-0.01735656i, -0.00526337-0.01400855i, -0.01286088+0.00414379i, -0.00734184+0.00289435i, +0.00760097+0.00113749i, -0.00919275-0.00355160i, -0.00282721-0.00623495i, -0.00717043-0.00736107i, -0.02251433+0.00817103i, -0.00527531-0.00291528i, +0.00788808+0.00822322i, +0.00500798-0.00206767i, -0.00587698-0.00804340i, -0.01083120+0.01550363i
-0.01734115-0.08470928i, -0.00255911+0.07589608i, +0.00641398-0.01299971i, +0.01638527-0.03770431i, +0.01930761+0.02321005i, +0.05172358+0.00440355i, -0.00021582-0.00013080i, +0.01347779-0.05167981i, -0.02198278+0.03640407i, +0.01806946+0.03455672i, +0.00129916+0.01719183i, +0.03117174-0.01502988i, +0.02805272-0.03478917i, -0.02260037-0.00226036i, -0.00966103+0.01661099i, +0.05954483-0.00000000i, -0.01828078+0.04285790i, -0.04241233+0.01219656i, +0.05705900+0.00886933i, +0.04572292+0.00772525i, +0.00893621-0.04090462i, +0.00368492-0.02417486i, -0.01488829+0.01858782i, +0.02383450-0.01909067i, +0.02110535+0.00214037i, +0.03088799-0.00773899i, +0.01318781-0.07303624i, +0.01602717-0.00958874i, -0.03431537+0.00831814i, -0.00226340+0.01663554i, +0.03070064-0.00321138i, -0.02465419-0.05316521i
-0.05564634+0.03848793i, +0.05541252-0.02145882i, -0.01132580-0.00062549i, -0.03216842-0.00021788i, +0.01077802-0.02102250i, -0.01271010-0.03858041i, -0.00002789+0.00019550i, -0.04133478+0.00616540i, +0.03295105+0.00464593i, +0.01932501-0.02361486i, +0.01197511-0.00621312i, -0.02038788-0.01782182i, -0.03365223-0.00951060i, +0.00531159+0.01696076i, +0.01492192+0.00185389i, -0.01828078-0.04285790i, +0.03645970+0.00000000i, +0.02179953+0.02678218i, -0.01113384-0.04379166i, -0.00847702-0.03528118i, -0.03218494+0.00612616i, -0.01853136+0.00476964i, +0.01794958+0.00500935i, -0.02105807-0.01129408i, -0.00493897-0.01584787i, -0.01505309-0.01985596i, -0.05661722+0.01293073i, -0.01182206-0.00859186i, +0.01652217+0.02214504i, +0.01266845-0.00347815i, -0.01173678-0.02111112i, -0.03069706+0.03406725i
-0.00499932+0.06388834i, +0.01736858-0.05353474i, -0.00723125+0.00794561i, -0.01939380+0.02349967i, -0.00899823-0.02048672i, -0.03593946-0.01373107i, +0.00012693+0.00013737i, -0.02018547+0.03404961i, +0.02311444-0.02142700i, -0.00579219-0.02831507i, +0.00259604-0.01251143i, -0.02528144+0.00432051i, -0.02710713+0.01903344i, +0.01563470+0.00623923i, +0.01028374-0.00985274i, -0.04241233-0.01219656i, +0.02179953-0.02678218i, +0.03270749+0.00000000i, -0.03882503-0.01800479i, -0.03098496-0.01486793i, -0.01474353+0.02730496i, -0.00757641+0.01646438i, +0.01441191-0.01019008i, -0.02088707+0.00871580i, -0.01459441-0.00584754i, -0.02358594-0.00081449i, -0.02435336+0.04932067i, -0.01337982+0.00354698i, +0.02614580+0.00110401i, +0.00501962-0.01138547i, -0.02252510-0.00400102i, +0.00667076+0.04291820i
-0.02923483-0.07858990i, +0.00885261+0.07310881i, +0.00420987-0.01341239i, +0.01008509-0.03857088i, +0.02195876+0.01936518i, +0.05022018-0.00348462i, -0.00022629-0.00009320i, +0.00521731-0.05152986i, -0.01564260+0.03815868i, +0.02246241+0.03042258i, +0.00380568+0.01628061i, +0.02763167-0.01904552i, +0.02169968-0.03751533i, -0.02199355+0.00120037i, -0.00678346+0.01735656i, +0.05705900-0.00886933i, -0.01113384+0.04379166i, -0.03882503+0.01800479i, +0.05599804-0.00000000i, +0.04496480+0.00059222i, +0.00247032-0.04052803i, -0.00006981-0.02371450i, -0.01149805+0.02002947i, +0.01999588-0.02184388i, +0.02054307-0.00109267i, +0.02844576-0.01201674i, +0.00175835-0.07195152i, +0.01392981-0.01157572i, -0.03164379+0.01308223i, +0.00030898+0.01627819i, +0.02894063-0.00765024i, -0.03154402-0.04727341i
-0.02430586-0.06279623i, +0.00788157+0.05861063i, +0.00323856-0.01081428i, +0.00769012-0.03107796i, +0.01783704+0.01531745i, +0.04028849-0.00332917i, -0.00018269-0.00007244i, +0.00364438-0.04143216i, -0.01215700+0.03080575i, +0.01835840+0.02419090i, +0.00322803+0.01303261i, +0.02198601-0.01558522i, +0.01702746-0.03035321i, -0.01764749+0.00119646i, -0.00526337+0.01400855i, +0.04572292-0.00772525i, -0.00847702+0.03528118i, -0.03098496+0.01486793i, +0.04496480-0.00059222i, +0.03611170+0.00000000i, +0.00155498-0.03256896i, -0.00030685-0.01904132i, -0.00902078+0.01620469i, +0.01582509-0.01775147i, +0.01648393-0.00109464i, +0.02271404-0.00994993i, +0.00065096-0.05779358i, +0.01106281-0.00944228i, -0.02527069+0.01083930i, +0.00042026+0.01306764i, +0.02315758-0.00644899i, -0.02582888-0.03762558i
+0.05558899-0.02462536i, -0.05252125+0.00963213i, +0.00989280+0.00245518i, +0.02836019+0.00559746i, -0.01304666+0.01674672i, +0.00473739+0.03619264i, +0.00005747-0.00016789i, +0.03752439+0.00150277i, -0.02830703-0.00963783i, -0.02102713+0.01759902i, -0.01161504+0.00347253i, +0.01500296+0.01915797i, +0.02810862+0.01404996i, -0.00183899-0.01586466i, -0.01286088-0.00414379i, +0.00893621+0.04090462i, -0.03218494-0.00612616i, -0.01474353-0.02730496i, +0.00247032+0.04052803i, +0.00155498+0.03256896i, +0.02944074+0.00000000i, +0.01716006-0.00109667i, -0.01500336-0.00743802i, +0.01669140+0.01350819i, +0.00169705+0.01481964i, +0.00995186+0.02005723i, +0.05215177-0.00190150i, +0.00899232+0.00957091i, -0.01086408-0.02232477i, -0.01176755+0.00094173i, +0.00681348+0.02060801i, +0.03282212-0.02491511i
