+0.00228287+0.00065528i, -0.00020853+0.00203414i, +0.00324511-0.00002035i, +0.00151268-0.00217252i, +0.00115312-0.00217616i, -0.00006200-0.00197149i, -0.00043769-0.00003923i, -0.00392398-0.00167319i, +0.00033644-0.00231064i, -0.00121157+0.00111350i, +0.00413021-0.00034143i, +0.03036649-0.00000000i, +0.00045445-0.00100402i, +0.00078874+0.00271711i, -0.00023109+0.00121075i, +0.00213169-0.00178487i, -0.00156159+0.00060515i, -0.00017707+0.00155896i, -0.00117623+0.00387140i, -0.00164860+0.00320163i, -0.00388917+0.00093618i, +0.00038703-0.00022699i, +0.00056683-0.00106088i, -0.00120951+0.00052917i, -0.00012201-0.00132558i, +0.00069290+0.00097323i, -0.00200253-0.00144393i, -0.00077173-0.00288953i, +0.00240337+0.00027831i, -0.00014693-0.00150795i, -0.00183438+0.00041043i, +0.00195006-0.00065601i
-0.00061364+0.00327674i, -0.00187347-0.00222885i, -0.00216617+0.00448962i, +0.00266233-0.00116978i, +0.00043987+0.00129149i, +0.00251130+0.00113764i, -0.00054665-0.00060259i, +0.00138280-0.00619729i, +0.00186499+0.00114087i, -0.00067860-0.00087194i, -0.00121081+0.00386602i, +0.00045445+0.00100402i, +0.03163224+0.00000000i, -0.00756804+0.00075691i, -0.00196925+0.00039674i, +0.00191991+0.00448385i, +0.00331970-0.00203879i, -0.00215385-0.00222877i, -0.00305088-0.00248997i, -0.00233202-0.00109705i, -0.00014437-0.00494018i, -0.00043932-0.00105462i, +0.00190726+0.00271190i, +0.00039646-0.00244714i, +0.00338230-0.00147644i, -0.00168017+0.00005634i, +0.00377857-0.00046818i, +0.00216172+0.00188033i, -0.00135327-0.00101737i, +0.00283560+0.00276808i, -0.00049846-0.00188515i, +0.00033386+0.00249329i
+0.00552733-0.00756972i, +0.00526020+0.00680190i, +0.00667127-0.01090060i, -0.00529225-0.00199688i, -0.00227287-0.00361923i, -0.00891733-0.00446117i, +0.00154693+0.00138481i, -0.00731718+0.01451074i, -0.00426058-0.00608891i, -0.00177483+0.00554818i, +0.00153945-0.01406713i, +0.00078874-0.00271711i, -0.00756804-0.00075691i, +0.04985679+0.00000000i, +0.00598384+0.00204636i, -0.00035067-0.01370097i, -0.00253154+0.01065825i, +0.00714913+0.00826855i, +0.00588019+0.00796030i, +0.00526469+0.00365886i, -0.00363886+0.01090285i, -0.00536773+0.00362487i, -0.00535315-0.00795389i, +0.00074434+0.00930069i, -0.00275833+0.00366169i, +0.00595798-0.00115054i, -0.01007063+0.00206117i, -0.00594533-0.00335020i, +0.00450871-0.00358977i, -0.00370521-0.00846138i, -0.00076670+0.00623146i, +0.00004033-0.00792276i
+0.00005681-0.00201217i, +0.00073617+0.00096928i, +0.00065260-0.00282423i, -0.00200247-0.00007562i, -0.00032533-0.00146382i, -0.00169773-0.00189704i, -0.00027697+0.00080787i, -0.00142254+0.00337046i, -0.00071043+0.00044261i, +0.00045903+0.00181567i, +0.00037484-0.00384275i, -0.00023109-0.00121075i, -0.00196925-0.00039674i, +0.00598384-0.00204636i, +0.03002300+0.00000000i, -0.00194927-0.00168175i, +0.00024029+0.00332154i, +0.00141611+0.00090720i, +0.00001916+0.00051789i, +0.00065452-0.00004266i, -0.00018630+0.00203743i, +0.00003236+0.00004498i, -0.00328123-0.00180949i, +0.00158571+0.00198826i, -0.00126635+0.00098998i, +0.00038626-0.00131106i, -0.00325799+0.00055476i, -0.00144033-0.00042666i, +0.00035680-0.00051638i, +0.00039971-0.00005431i, +0.00014210-0.00159434i, -0.00157522-0.00228869i
+0.00394557+0.00369741i, -0.00366246+0.00401455i, +0.00671682+0.00378014i, +0.00141930-0.00287366i, +0.00140341-0.00185982i, +0.00168874-0.00457882i, -0.00112944+0.00060239i, -0.00922197-0.00463658i, +0.00417915-0.00252329i, -0.00345662+0.00003275i, +0.00839876+0.00126845i, +0.00213169+0.00178487i, +0.00191991-0.00448385i, -0.00035067+0.01370097i, -0.00194927+0.00168175i, +0.03713261+0.00000000i, -0.00559695-0.00209945i, -0.00384331+0.00352030i, -0.00544167+0.00352225i, -0.00410905+0.00290082i, -0.00606047-0.00238994i, -0.00266053-0.00311521i, +0.00384143-0.00311682i, -0.00712730-0.00058753i, -0.00135614-0.00222121i, +0.00106669+0.00340693i, +0.00041032-0.00603118i, +0.00087784-0.00241763i, +0.00249920+0.00311152i, +0.00368153-0.00171539i, -0.00300225-0.00036075i, +0.00470430-0.00137120i
-0.00505263-0.00129059i, +0.00317447-0.00334894i, -0.00615919-0.00146634i, -0.00020096+0.00307773i, -0.00356450+0.00059375i, -0.00106232+0.00419761i, +0.00095656-0.00153436i, +0.00814594+0.00152947i, -0.00234786+0.00287750i, +0.00404322+0.00150257i, -0.00626845+0.00077788i, -0.00156159-0.00060515i, +0.00331970+0.00203879i, -0.00253154-0.01065825i, +0.00024029-0.00332154i, -0.00559695+0.00209945i, +0.03157402-0.00000000i, +0.00382839-0.00363870i, +0.00409367-0.00617043i, +0.00009588-0.00292228i, +0.00662785-0.00021874i, +0.00327459+0.00108851i, -0.00349888+0.00424753i, +0.00511671-0.00101905i, +0.00417325+0.00205785i, -0.00082969-0.00250301i, +0.00220093+0.00626596i, -0.00167227+0.00371331i, -0.00324051-0.00224086i, -0.00337129+0.00311919i, +0.00263463-0.00079722i, -0.00352604+0.00182584i
-0.00191192-0.00358836i, +0.00488747-0.00133819i, -0.00174741-0.00641468i, -0.00229214+0.00179908i, -0.00153348-0.00047414i, -0.00541040+0.00136680i, +0.00181762-0.00037703i, +0.00356577+0.00586683i, -0.00272103+0.00193552i, +0.00159306+0.00143863i, -0.00306217-0.00380016i, -0.00017707-0.00155896i, -0.00215385+0.00222877i, +0.00714913-0.00826855i, +0.00141611-0.00090720i, -0.00384331-0.00352030i, +0.00382839+0.00363870i, +0.02884597+0.00000000i, +0.00343338-0.00071375i, +0.00214754-0.00228454i, +0.00352646+0.00436303i, +0.00050991+0.00240682i, -0.00394590+0.00063285i, +0.00464154+0.00380168i, +0.00126852+0.00155929i, +0.00212472-0.00205205i, -0.00312759+0.00583148i, -0.00308469+0.00185990i, -0.00014950-0.00249133i, -0.00347238-0.00014749i, +0.00213663+0.00153190i, -0.00276175-0.00208636i
-0.00300382-0.00465663i, +0.00384802-0.00027393i, -0.00277752-0.00646347i, -0.00442830+0.00042927i, -0.00160542-0.00042812i, -0.00503965+0.00128537i, +0.00174273-0.00022524i, +0.00273499+0.00816389i, -0.00565612-0.00042436i, +0.00263542+0.00133359i, -0.00628171-0.00675717i, -0.00117623-0.00387140i, -0.00305088+0.00248997i, +0.00588019-0.00796030i, +0.00001916-0.00051789i, -0.00544167-0.00352225i, +0.00409367+0.00617043i, +0.00343338+0.00071375i, +0.03513772+0.00000000i, +0.00376098-0.00092611i, +0.00362047+0.00488208i, +0.00047232+0.00212087i, -0.00471346+0.00008439i, +0.00367317+0.00222329i, -0.00069331+0.00354849i, +0.00096533-0.00160721i, -0.00281216+0.00500869i, -0.00424953+0.00193632i, -0.00038491-0.00319165i, -0.00566158-0.00107223i, +0.00215095+0.00172891i, -0.00407143-0.00209287i
-0.00174129-0.00423225i, +0.00362363+0.00025770i, +0.00076132-0.00336782i, -0.00183254+0.00081165i, -0.00213584+0.00043986i, -0.00248793-0.00032530i, +0.00041025+0.00058316i, +0.00095408+0.00637338i, -0.00359894-0.00168744i, -0.00005990+0.00186997i, -0.00346286-0.00345118i, -0.00164860-0.00320163i, -0.00233202+0.00109705i, +0.00526469-0.00365886i, +0.00065452+0.00004266i, -0.00410905-0.00290082i, +0.00009588+0.00292228i, +0.00214754+0.00228454i, +0.00376098+0.00092611i, +0.02996545-0.00000000i, -0.00067383+0.00512332i, +0.00129785+0.00230959i, -0.00254790-0.00024070i, +0.00115109+0.00312998i, +0.00019006+0.00305611i, +0.00083247-0.00154649i, -0.00360531+0.00267702i, -0.00091835-0.00046888i, +0.00007181-0.00136155i, -0.00210875-0.00094975i, +0.00145642+0.00095768i, -0.00072980-0.00332639i
-0.00455267-0.00118869i, +0.00316641-0.00390971i, -0.00685431-0.00338124i, -0.00114024+0.00290341i, -0.00074445+0.00265195i, -0.00020653+0.00397935i, +0.00089137-0.00092617i, +0.00884400+0.00322639i, -0.00256404+0.00309535i, +0.00324120-0.00002883i, -0.00625439+0.00025341i, -0.00388917-0.00093618i, -0.00014437+0.00494018i, -0.00363886-0.01090285i, -0.00018630-0.00203743i, -0.00606047+0.00238994i, +0.00662785+0.00021874i, +0.00352646-0.00436303i, +0.00362047-0.00488208i, -0.00067383-0.00512332i, +0.03329134+0.00000000i, +0.00188180+0.00001757i, -0.00315156+0.00464396i, +0.00481969-0.00094391i, +0.00257134+0.00120837i, -0.00143872-0.00295225i, +0.00249534+0.00646950i, -0.00097574+0.00421940i, -0.00349525-0.00308018i, -0.00267878+0.00406665i, +0.00352129+0.00107658i, -0.00385230+0.00180070i
-0.00279200-0.00022021i, +0.00033579-0.00271542i, -0.00307272+0.00025024i, +0.00036647+0.00167100i, +0.00000825-0.00002923i, +0.00231429+0.00195493i, +0.00158947-0.00026273i, +0.00355769-0.00212937i, -0.00023646+0.00248730i, +0.00135250-0.00185274i, -0.00263361+0.00240512i, +0.00038703+0.00022699i, -0.00043932+0.00105462i, -0.00536773-0.00362487i, +0.00003236-0.00004498i, -0.00266053+0.00311521i, +0.00327459-0.00108851i, +0.00050991-0.00240682i, +0.00047232-0.00212087i, +0.00129785-0.00230959i, +0.00188180-0.00001757i, +0.02837388-0.00000000i, +0.00086200+0.00300054i, +0.00173845-0.00270725i, +0.00182528+0.00070270i, -0.00151403+0.00014530i, +0.00170921+0.00247930i, -0.00003249+0.00123676i, -0.00134746+0.00098082i, -0.00186501+0.00243015i, +0.00121512-0.00191841i, -0.00031756+0.00146197i
+0.00109479+0.00268173i, -0.00251439+0.00032097i, +0.00173156+0.00558685i, +0.00285862-0.00170754i, +0.00130260-0.00009032i, +0.00414974-0.00091200i, +0.00011290+0.00102603i, -0.00381927-0.00616846i, +0.00355600-0.00000913i, -0.00049610-0.00218249i, +0.00443212+0.00537473i, +0.00056683+0.00106088i, +0.00190726-0.00271190i, -0.00535315+0.00795389i, -0.00328123+0.00180949i, +0.00384143+0.00311682i, -0.00349888-0.00424753i, -0.00394590-0.00063285i, -0.00471346-0.00008439i, -0.00254790+0.00024070i, -0.00315156-0.00464396i, +0.00086200-0.00300054i, +0.03183316-0.00000000i, -0.00356601-0.00123889i, -0.00098464-0.00216590i, -0.00064175+0.00124938i, +0.00276762-0.00562132i, +0.00234630-0.00233668i, -0.00019472+0.00245059i, +0.00298838+0.00024278i, -0.00307735-0.00232165i, +0.00263075+0.00207645i
-0.00245179-0.00131235i, +0.00274762-0.00290652i, -0.00470975-0.00244779i, -0.00199028+0.00260095i, -0.00021658+0.00039051i, -0.00197475+0.00332132i, +0.00058342-0.00234060i, +0.00706300+0.00505509i, -0.00316359+0.00139600i, +0.00269642-0.00023297i, -0.00642140-0.00002432i, -0.00120951-0.00052917i, +0.00039646+0.00244714i, +0.00074434-0.00930069i, +0.00158571-0.00198826i, -0.00712730+0.00058753i, +0.00511671+0.00101905i, +0.00464154-0.00380168i, +0.00367317-0.00222329i, +0.00115109-0.00312998i, +0.00481969+0.00094391i, +0.00173845+0.00270725i, -0.00356601+0.00123889i, +0.03214159-0.00000000i, +0.00233474+0.00086712i, -0.00037150-0.00277764i, +0.00135045+0.00548103i, -0.00233004+0.00276104i, -0.00154701-0.00175378i, -0.00313815+0.00188039i, +0.00153431+0.00007935i, -0.00429024+0.00093312i
-0.00107213+0.00414942i, +0.00083879-0.00169226i, -0.00271077-0.00001652i, -0.00043086+0.00123719i, +0.00033060+0.00237811i, -0.00010442+0.00142854i, +0.00017642-0.00097873i, +0.00353446-0.00180890i, -0.00029304+0.00311546i, +0.00149345-0.00056184i, -0.00333166+0.00275577i, -0.00012201+0.00132558i, +0.00338230+0.00147644i, -0.00275833-0.00366169i, -0.00126635-0.00098998i, -0.00135614+0.00222121i, +0.00417325-0.00205785i, +0.00126852-0.00155929i, -0.00069331-0.00354849i, +0.00019006-0.00305611i, +0.00257134-0.00120837i, +0.00182528-0.00070270i, -0.00098464+0.00216590i, +0.00233474-0.00086712i, +0.02563157+0.00000000i, -0.00094577-0.00115372i, +0.00407349+0.00234561i, -0.00000298+0.00137998i, -0.00200432-0.00081006i, -0.00056289+0.00314354i, +0.00079003-0.00094441i, +0.00016528+0.00123099i
+0.00205476-0.00060545i, +0.00244949+0.00545432i, +0.00046224-0.00153872i, -0.00032172-0.00062657i, -0.00105328-0.00047924i, -0.00023755+0.00036455i, -0.00112870+0.00072922i, -0.00235362+0.00314486i, +0.00012971-0.00208316i, -0.00074927+0.00201524i, +0.00275642-0.00247763i, +0.00069290-0.00097323i, -0.00168017-0.00005634i, +0.00595798+0.00115054i, +0.00038626+0.00131106i, +0.00106669-0.00340693i, -0.00082969+0.00250301i, +0.00212472+0.00205205i, +0.00096533+0.00160721i, +0.00083247+0.00154649i, -0.00143872+0.00295225i, -0.00151403-0.00014530i, -0.00064175-0.00124938i, -0.00037150+0.00277764i, -0.00094577+0.00115372i, +0.02575502+0.00000000i, -0.00321594-0.00139759i, -0.00140894-0.00075526i, +0.00175671-0.00045320i, -0.00105015-0.00180239i, +0.00041823-0.00015249i, -0.00030633-0.00186474i
-0.00231393+0.00412254i, -0.00377492-0.00342645i, -0.00389651+0.00719415i, +0.00356293+0.00237978i, -0.00071888+0.00178924i, +0.00334890+0.00222700i, -0.00303665-0.00298319i, +0.00495099-0.00714503i, +0.00237117+0.00341114i, +0.00268842-0.00211663i, -0.00303026+0.00914424i, -0.00200253+0.00144393i, +0.00377857+0.00046818i, -0.01007063-0.00206117i, -0.00325799-0.00055476i, +0.00041032+0.00603118i, +0.00220093-0.00626596i, -0.00312759-0.00583148i, -0.00281216-0.00500869i, -0.00360531-0.00267702i, +0.00249534-0.00646950i, +0.00170921-0.00247930i, +0.00276762+0.00562132i, +0.00135045-0.00548103i, +0.00407349-0.00234561i, -0.00321594+0.00139759i, +0.03430402-0.00000000i, +0.00391840+0.00171631i, -0.00344739+0.00147379i, +0.00146763+0.00627395i, +0.00165874-0.00312340i, +0.00040389+0.00360984i
