-0.00024581-0.00117612i, +0.00023260+0.00071906i, +0.00229321+0.00084267i, +0.00104117+0.00110340i, +0.00059836-0.00002799i, +0.00050669+0.00061838i, -0.00039127-0.00118579i, +0.00000863-0.00036073i, -0.00037807+0.00044313i, +0.00064622+0.00141517i, +0.00019100-0.00078020i, +0.03314201-0.00000000i, -0.00049963+0.00006017i, +0.00131385-0.00052581i, -0.00067863-0.00023937i, -0.00085038+0.00062827i, -0.00069420+0.00041533i, -0.00017281+0.00103519i, -0.00127967-0.00079590i, +0.00090280+0.00086514i, -0.00002206+0.00119735i, +0.00107279+0.00083457i, -0.00012766-0.00005517i, -0.00019926-0.00015927i, -0.00078396-0.00121998i, +0.00039744+0.00044762i, +0.00105933-0.00050376i, -0.00070937+0.00180683i, -0.00072099+0.00189309i, +0.00011306+0.00115835i, +0.00046864-0.00167904i, -0.00032612-0.00107165i
-0.00044255+0.00032762i, -0.00025100-0.00026701i, -0.00028993-0.00006605i, -0.00017338-0.00017890i, +0.00015368-0.00009774i, -0.00024035-0.00018329i, -0.00003789+0.00008098i, +0.00033441+0.00044266i, -0.00002589-0.00031027i, -0.00046812-0.00036572i, -0.00037324-0.00016580i, -0.00049963-0.00006017i, +0.03015090+0.00000000i, -0.00031031+0.00015355i, -0.00015103-0.00028635i, +0.00009568+0.00022479i, +0.00018276+0.00009083i, +0.00005030-0.00022569i, +0.00010798+0.00002283i, -0.00012976+0.00010428i, -0.00006659-0.00055616i, -0.00031311-0.00004985i, +0.00012021-0.00018813i, +0.00004289+0.00011218i, +0.00009288+0.00020443i, -0.00008888+0.00001662i, +0.00002396-0.00003477i, +0.00013680-0.00009726i, +0.00014791+0.00028428i, +0.00010511-0.00040877i, -0.00000953+0.00025530i, +0.00008815+0.00012621i
+0.00007504-0.00063512i, -0.00024735+0.00034810i, +0.00076671+0.00086761i, +0.00070837+0.00068177i, +0.00057400+0.00048591i, +0.00024556+0.00044024i, +0.00013807-0.00090783i, -0.00001405-0.00074080i, -0.00009198+0.00012231i, +0.00050552+0.00127908i, +0.00044518-0.00047220i, +0.00131385+0.00052581i, -0.00031031-0.00015355i, +0.03116417+0.00000000i, -0.00075814-0.00001495i, -0.00096708+0.00021009i, -0.00038076-0.00009328i, -0.00058064+0.00062808i, -0.00055623-0.00062840i, +0.00010477+0.00070305i, -0.00045679+0.00048807i, +0.00029065+0.00052595i, -0.00010278+0.00006187i, -0.00001933-0.00010944i, -0.00022127-0.00052053i, +0.00032203+0.00021480i, +0.00028525-0.00003606i, -0.00060288+0.00089824i, -0.00092644+0.00113368i, -0.00050099+0.00130464i, +0.00094532-0.00092872i, +0.00011463-0.00055916i
+0.00046206+0.00016630i, -0.00004256-0.00004289i, -0.00036694+0.00031854i, -0.00043492+0.00017847i, -0.00051457+0.00004019i, -0.00004733-0.00040966i, +0.00030593+0.00025371i, +0.00005636-0.00017462i, +0.00012216-0.00053931i, -0.00037717-0.00009147i, -0.00021339+0.00006990i, -0.00067863+0.00023937i, -0.00015103+0.00028635i, -0.00075814+0.00001495i, +0.03062641+0.00000000i, +0.00018163-0.00046167i, +0.00030556-0.00014130i, +0.00001044-0.00026414i, +0.00017591-0.00005818i, -0.00027882-0.00001421i, -0.00001032-0.00002305i, -0.00006882+0.00005591i, -0.00016174-0.00052426i, -0.00016398+0.00013478i, +0.00016739+0.00022482i, -0.00012667-0.00017674i, -0.00010792+0.00030367i, +0.00009359-0.00031142i, -0.00032251-0.00031940i, -0.00002909-0.00025737i, -0.00007499+0.00111421i, +0.00021451+0.00019271i
-0.00023528+0.00030822i, +0.00016940-0.00027940i, -0.00049379-0.00080581i, -0.00009395-0.00072038i, -0.00029895-0.00057990i, +0.00025196-0.00036006i, -0.00011977+0.00059426i, -0.00003099+0.00012007i, -0.00002995+0.00024778i, +0.00028514-0.00036008i, -0.00040002+0.00020766i, -0.00085038-0.00062827i, +0.00009568-0.00022479i, -0.00096708-0.00021009i, +0.00018163+0.00046167i, +0.03097790+0.00000000i, +0.00019011-0.00013808i, +0.00037470-0.00037901i, +0.00020916+0.00055636i, +0.00018501-0.00037607i, +0.00065260-0.00025446i, +0.00003163-0.00061278i, +0.00002590+0.00020687i, -0.00025083-0.00019059i, -0.00003046+0.00066236i, +0.00003487-0.00037807i, -0.00017901-0.00036090i, +0.00068903-0.00004427i, +0.00119416-0.00022976i, +0.00047049-0.00054565i, -0.00092792+0.00048635i, -0.00016957+0.00091121i
-0.00061174+0.00036668i, +0.00024076-0.00029536i, -0.00035802-0.00068987i, +0.00017697-0.00031762i, -0.00030793-0.00021048i, -0.00001767-0.00017209i, -0.00011506+0.00039464i, -0.00003582+0.00044886i, +0.00058579-0.00018643i, +0.00005791-0.00061554i, -0.00034990+0.00000202i, -0.00069420-0.00041533i, +0.00018276-0.00009083i, -0.00038076+0.00009328i, +0.00030556+0.00014130i, +0.00019011+0.00013808i, +0.03049876+0.00000000i, +0.00060159-0.00031918i, +0.00053704+0.00066317i, +0.00033725-0.00083220i, +0.00032759-0.00011440i, -0.00003527-0.00045296i, +0.00029481-0.00017999i, -0.00008489-0.00018029i, +0.00003501+0.00095790i, -0.00027510-0.00032494i, -0.00056241-0.00030246i, +0.00047772-0.00035516i, +0.00112392-0.00018650i, +0.00035733-0.00009534i, -0.00106217+0.00023071i, -0.00020461+0.00049710i
-0.00091651+0.00008467i, +0.00042267+0.00014018i, +0.00007263-0.00085337i, -0.00013413-0.00083303i, -0.00010910-0.00049076i, +0.00009222-0.00051941i, -0.00046079+0.00043644i, -0.00034930+0.00027019i, +0.00014899-0.00001579i, +0.00134523-0.00138098i, -0.00043521-0.00018592i, -0.00017281-0.00103519i, +0.00005030+0.00022569i, -0.00058064-0.00062808i, +0.00001044+0.00026414i, +0.00037470+0.00037901i, +0.00060159+0.00031918i, +0.03137100-0.00000000i, +0.00054541+0.00040849i, +0.00093089-0.00038922i, +0.00117703-0.00000564i, -0.00007757-0.00108838i, -0.00029737+0.00022520i, -0.00016739+0.00019667i, -0.00041229+0.00125309i, -0.00014139-0.00045221i, +0.00009090-0.00028111i, +0.00059097+0.00057620i, +0.00120932-0.00011038i, +0.00147228-0.00003068i, -0.00097281+0.00002989i, -0.00034602+0.00012904i
+0.00014606+0.00034176i, +0.00000624-0.00033006i, -0.00109282+0.00046612i, -0.00074947+0.00014352i, -0.00027029-0.00011908i, -0.00057291-0.00022060i, +0.00032052+0.00066023i, -0.00004048+0.00016576i, +0.00035422+0.00004910i, -0.00056498-0.00066419i, +0.00049974+0.00034779i, -0.00127967+0.00079590i, +0.00010798-0.00002283i, -0.00055623+0.00062840i, +0.00017591+0.00005818i, +0.00020916-0.00055636i, +0.00053704-0.00066317i, +0.00054541-0.00040849i, +0.03109810+0.00000000i, -0.00044115-0.00020054i, -0.00019314-0.00063765i, -0.00092842-0.00008763i, -0.00017425-0.00003368i, +0.00016791+0.00008541i, +0.00071277+0.00051093i, -0.00059863-0.00010686i, -0.00033917+0.00092510i, -0.00029274-0.00053060i, +0.00001222-0.00135671i, -0.00020202-0.00050266i, -0.00063846+0.00077818i, +0.00012707+0.00034016i
-0.00018819-0.00048507i, +0.00018308+0.00034113i, +0.00039249-0.00028698i, +0.00047030+0.00012553i, +0.00014301-0.00011607i, +0.00025069+0.00005817i, -0.00033398-0.00021109i, -0.00038453+0.00005160i, -0.00004978+0.00035369i, +0.00096217+0.00012688i, -0.00009533-0.00074101i, +0.00090280-0.00086514i, -0.00012976-0.00010428i, +0.00010477-0.00070305i, -0.00027882+0.00001421i, +0.00018501+0.00037607i, +0.00033725+0.00083220i, +0.00093089+0.00038922i, -0.00044115+0.00020054i, +0.03078186+0.00000000i, +0.00007722+0.00029869i, +0.00043826-0.00028329i, -0.00044499+0.00002397i, -0.00006059-0.00027221i, -0.00065839+0.00010610i, +0.00019735-0.00024634i, +0.00039310+0.00018488i, +0.00046825+0.00061112i, +0.00007574+0.00059801i, +0.00065889+0.00048104i, -0.00026691-0.00043281i, -0.00077656-0.00049998i
-0.00064994-0.00005416i, +0.00032119-0.00039571i, +0.00026453-0.00088958i, +0.00031710-0.00075290i, +0.00027681-0.00003278i, +0.00064809-0.00073911i, -0.00020249+0.00041875i, -0.00023644+0.00020022i, +0.00010414-0.00025134i, +0.00072393-0.00064411i, -0.00056497-0.00008652i, -0.00002206-0.00119735i, -0.00006659+0.00055616i, -0.00045679-0.00048807i, -0.00001032+0.00002305i, +0.00065260+0.00025446i, +0.00032759+0.00011440i, +0.00117703+0.00000564i, -0.00019314+0.00063765i, +0.00007722-0.00029869i, +0.03123221+0.00000000i, +0.00013823-0.00075383i, -0.00087160-0.00043823i, -0.00009934+0.00021963i, -0.00026871+0.00078749i, +0.00035561-0.00058879i, -0.00019244-0.00075113i, +0.00071851+0.00004256i, +0.00178410+0.00045361i, +0.00082768-0.00021314i, -0.00088470-0.00016671i, -0.00056252+0.00013622i
