+0.03000950+0.00000000i, -0.00031045+0.00051502i, -0.00174445+0.00114352i, +0.00024067-0.00199353i, +0.00024486-0.00110286i, -0.00041034+0.00189854i, -0.00164388-0.00141040i, -0.00114793+0.00200985i, -0.00080252+0.00085348i, -0.00063932-0.00197841i, -0.00008821+0.00203641i, -0.00149267-0.00001107i, +0.00105187+0.00055224i, -0.00026607+0.00014370i, -0.00035808+0.00104810i, -0.00018661+0.00030847i, -0.00058184-0.00143893i, +0.00095801-0.00255396i, +0.00133203-0.00069538i, +0.00023143+0.00146516i, -0.00029013+0.00015162i, +0.00142280+0.00078094i, +0.00090831-0.00126545i, -0.00119642+0.00050932i, +0.00290375+0.00067194i, -0.00184307-0.00122253i, +0.00005654+0.00125725i, +0.00029486-0.00187341i, -0.00021854+0.00059172i, +0.00010802-0.00029606i, -0.00149029+0.00040641i, +0.00020018-0.00110505i
-0.00149267+0.00001107i, +0.00113566+0.00024650i, +0.00157958-0.00127598i, +0.00006552+0.00199790i, +0.00000948+0.00145311i, +0.00067418-0.00257750i, +0.00212237+0.00102684i, +0.00035020-0.00221620i, +0.00123267-0.00054496i, +0.00078346+0.00214745i, -0.00112012-0.00170953i, +0.03137044-0.00000000i, -0.00019765+0.00025093i, -0.00024682-0.00041852i, +0.00060971-0.00143836i, +0.00040778-0.00018804i, +0.00012613+0.00258156i, -0.00106359+0.00282465i, -0.00237895+0.00042610i, +0.00117338-0.00182598i, +0.00115461-0.00104332i, -0.00023491-0.00040298i, -0.00081767+0.00180972i, +0.00078786-0.00113644i, -0.00219361-0.00046597i, +0.00147111+0.00065153i, -0.00021431-0.00171455i, -0.00014956+0.00246463i, +0.00019797-0.00094740i, -0.00022445+0.00060734i, +0.00142642-0.00125611i, +0.00027763+0.00210724i
+0.00105187-0.00055224i, -0.00066072+0.00083682i, -0.00018122+0.00020743i, -0.00086359-0.00065697i, -0.00100681-0.00002255i, +0.00033707+0.00146332i, -0.00153518-0.00018121i, +0.00076967+0.00000134i, +0.00070766+0.00097188i, -0.00102447-0.00017387i, +0.00072554+0.00093588i, -0.00019765-0.00025093i, +0.02906226+0.00000000i, -0.00022395+0.00048603i, +0.00057836+0.00058277i, -0.00036559+0.00042650i, -0.00074039-0.00126548i, -0.00089118-0.00092868i, -0.00008683-0.00097597i, +0.00117656+0.00048018i, -0.00067986+0.00055897i, +0.00059051-0.00024067i, -0.00036849-0.00063730i, -0.00047139+0.00069534i, +0.00131112+0.00000212i, -0.00086988-0.00004604i, +0.00015102+0.00004324i, -0.00016641-0.00075097i, -0.00053669+0.00005107i, -0.00012313+0.00000330i, -0.00001300+0.00027827i, -0.00068722-0.00028499i
-0.00026607-0.00014370i, +0.00003661+0.00011836i, +0.00004285+0.00035353i, +0.00085272+0.00022759i, +0.00024626-0.00019638i, +0.00052230+0.00002068i, -0.00040661+0.00034837i, +0.00034104-0.00039529i, +0.00043010+0.00013355i, -0.00034015+0.00066863i, -0.00009110+0.00028029i, -0.00024682+0.00041852i, -0.00022395-0.00048603i, +0.02913438-0.00000000i, -0.00010747+0.00053405i, +0.00030602-0.00015087i, -0.00048191+0.00021171i, -0.00021071-0.00058838i, +0.00045802-0.00047244i, +0.00080717-0.00036225i, -0.00036386+0.00003148i, -0.00086676+0.00030978i, -0.00051467+0.00000982i, +0.00010221+0.00016911i, +0.00012850-0.00023102i, +0.00031687+0.00030409i, -0.00001375+0.00015979i, -0.00011276-0.00034591i, +0.00007783+0.00028150i, -0.00082157-0.00079593i, +0.00002616+0.00077932i, -0.00048215+0.00024512i
-0.00035808-0.00104810i, +0.00042742+0.00039636i, +0.00081438+0.00156877i, -0.00197536-0.00047457i, -0.00091396+0.00079296i, +0.00142427-0.00077025i, -0.00034194+0.00293320i, +0.00151801-0.00016908i, +0.00113932+0.00036672i, -0.00149198+0.00170331i, +0.00028565-0.00153027i, +0.00060971+0.00143836i, +0.00057836-0.00058277i, -0.00010747-0.00053405i, +0.02983435+0.00000000i, -0.00066958+0.00037944i, -0.00086535+0.00098621i, -0.00301240+0.00070337i, -0.00181845-0.00038288i, +0.00084168-0.00064132i, +0.00009903+0.00084516i, +0.00000589-0.00050310i, -0.00218349+0.00106897i, +0.00077611+0.00054984i, -0.00030583-0.00137959i, +0.00054470+0.00148928i, +0.00014624-0.00095492i, -0.00129470+0.00054822i, +0.00030805-0.00069218i, -0.00058661-0.00007440i, +0.00098372+0.00029305i, -0.00050955+0.00025382i
-0.00018661-0.00030847i, -0.00070786+0.00052496i, +0.00030224-0.00003441i, -0.00097683+0.00026296i, +0.00047733-0.00016194i, +0.00094180-0.00059429i, -0.00000837+0.00073947i, +0.00055068-0.00012665i, +0.00081101+0.00012163i, -0.00040573-0.00013577i, -0.00034276-0.00049722i, +0.00040778+0.00018804i, -0.00036559-0.00042650i, +0.00030602+0.00015087i, -0.00066958-0.00037944i, +0.02944438-0.00000000i, +0.00008067+0.00093423i, -0.00085665+0.00035878i, -0.00090041+0.00017940i, -0.00050456-0.00018537i, +0.00054967-0.00002766i, -0.00074805-0.00031483i, -0.00011692-0.00039437i, +0.00001399+0.00102750i, -0.00051648-0.00037978i, +0.00009509+0.00044729i, -0.00000178-0.00028600i, -0.00057402+0.00061067i, +0.00026091+0.00013618i, -0.00032348+0.00054939i, +0.00022775-0.00002916i, -0.00095149-0.00117301i
-0.00058184+0.00143893i, +0.00034047-0.00159571i, -0.00078190-0.00241156i, +0.00188229+0.00133724i, +0.00079759-0.00039067i, -0.00293928-0.00045174i, +0.00308025-0.00235375i, -0.00221302-0.00003440i, -0.00080271-0.00117497i, +0.00288594-0.00081137i, -0.00328530-0.00026624i, +0.00012613-0.00258156i, -0.00074039+0.00126548i, -0.00048191-0.00021171i, -0.00086535-0.00098621i, +0.00008067-0.00093423i, +0.03344633+0.00000000i, +0.00330310+0.00162200i, +0.00136729+0.00374158i, -0.00260257-0.00072783i, -0.00152664-0.00173126i, -0.00101074+0.00076302i, +0.00216536+0.00136622i, -0.00142507-0.00187175i, -0.00018698+0.00403683i, +0.00104025-0.00218849i, -0.00154271+0.00063343i, +0.00327041+0.00010717i, -0.00046525+0.00054260i, +0.00056992+0.00006533i, -0.00096317-0.00221830i, +0.00155398+0.00047686i
+0.00095801+0.00255396i, -0.00009757-0.00157179i, -0.00241963-0.00298470i, +0.00301090+0.00077091i, +0.00082216-0.00021986i, -0.00396677+0.00108300i, +0.00160919-0.00413650i, -0.00292873+0.00105061i, -0.00297075-0.00204078i, +0.00424202-0.00150382i, -0.00242268+0.00144793i, -0.00106359-0.00282465i, -0.00089118+0.00092868i, -0.00021071+0.00058838i, -0.00301240-0.00070337i, -0.00085665-0.00035878i, +0.00330310-0.00162200i, +0.03550268-0.00000000i, +0.00261004+0.00185089i, -0.00330077+0.00131416i, -0.00113107-0.00154404i, -0.00062140+0.00125454i, +0.00359426-0.00013415i, -0.00183360-0.00209618i, +0.00051330+0.00364297i, +0.00031527-0.00244358i, -0.00165446+0.00099038i, +0.00368352-0.00189812i, -0.00136147+0.00117907i, +0.00192769+0.00044462i, -0.00202540-0.00182494i, +0.00217945+0.00001273i
+0.00133203+0.00069538i, -0.00066632-0.00075697i, -0.00207902-0.00078679i, +0.00212426-0.00157639i, -0.00033066-0.00018413i, -0.00168988+0.00217795i, -0.00156116-0.00290144i, -0.00043751+0.00263915i, -0.00217437+0.00113088i, +0.00101898-0.00327012i, -0.00083869+0.00256697i, -0.00237895-0.00042610i, -0.00008683+0.00097597i, +0.00045802+0.00047244i, -0.00181845+0.00038288i, -0.00090041-0.00017940i, +0.00136729-0.00374158i, +0.00261004-0.00185089i, +0.03433783+0.00000000i, -0.00229835+0.00180075i, -0.00214384-0.00071688i, +0.00060415+0.00166347i, +0.00305977-0.00125127i, -0.00180589-0.00016639i, +0.00182958+0.00245344i, -0.00131206-0.00168299i, -0.00012395+0.00248696i, +0.00083745-0.00299551i, -0.00124995+0.00139595i, +0.00001754-0.00022427i, -0.00259147-0.00003577i, +0.00068117-0.00115865i
+0.00023143-0.00146516i, -0.00000671+0.00059713i, +0.00131105+0.00180258i, -0.00190106-0.00120483i, -0.00018659+0.00053789i, +0.00224796+0.00020442i, -0.00144547+0.00153717i, +0.00204311-0.00033187i, +0.00098532+0.00164028i, -0.00242902+0.00039069i, +0.00186203+0.00064238i, +0.00117338+0.00182598i, +0.00117656-0.00048018i, +0.00080717+0.00036225i, +0.00084168+0.00064132i, -0.00050456+0.00018537i, -0.00260257+0.00072783i, -0.00330077-0.00131416i, -0.00229835-0.00180075i, +0.03184448+0.00000000i, +0.00086921+0.00028173i, +0.00083971-0.00079638i, -0.00231337-0.00058787i, +0.00106124+0.00086423i, +0.00025225-0.00233811i, -0.00090355+0.00089497i, +0.00102272-0.00051867i, -0.00171572+0.00052093i, +0.00112775-0.00055792i, -0.00117225-0.00011389i, +0.00105924+0.00127919i, -0.00212113-0.00072233i
-0.00029013-0.00015162i, +0.00047131-0.00021937i, +0.00143195-0.00038471i, -0.00069508+0.00086539i, +0.00029965-0.00083123i, +0.00090602-0.00165648i, +0.00077774+0.00042805i, +0.00036064-0.00119591i, +0.00059940-0.00026188i, +0.00036979+0.00101868i, +0.00001190-0.00055473i, +0.00115461+0.00104332i, -0.00067986-0.00055897i, -0.00036386-0.00003148i, +0.00009903-0.00084516i, +0.00054967+0.00002766i, -0.00152664+0.00173126i, -0.00113107+0.00154404i, -0.00214384+0.00071688i, +0.00086921-0.00028173i, +0.03045717+0.00000000i, +0.00006132-0.00080888i, -0.00030349+0.00126699i, +0.00087639+0.00012189i, -0.00134440-0.00187637i, +0.00058032+0.00041777i, -0.00077160-0.00146807i, +0.00008056+0.00130131i, +0.00015978-0.00120984i, -0.00092358-0.00004695i, +0.00089385-0.00030268i, -0.00088996+0.00023349i
