+0.03000950+0.00000000i, -0.00031045+0.00051502i, -0.00174445+0.00114352i, +0.00024067-0.00199353i, +0.00024486-0.00110286i, -0.00041034+0.00189854i, -0.00164388-0.00141040i, -0.00114793+0.00200985i, -0.00080252+0.00085348i, -0.00063932-0.00197841i, -0.00008821+0.00203641i, -0.00149267-0.00001107i, +0.00105187+0.00055224i, -0.00026607+0.00014370i, -0.00035808+0.00104810i, -0.00018661+0.00030847i, -0.00058184-0.00143893i, +0.00095801-0.00255396i, +0.00133203-0.00069538i, +0.00023143+0.00146516i, -0.00029013+0.00015162i, +0.00142280+0.00078094i, +0.00090831-0.00126545i, -0.00119642+0.00050932i, +0.00290375+0.00067194i, -0.00184307-0.00122253i, +0.00005654+0.00125725i, +0.00029486-0.00187341i, -0.00021854+0.00059172i, +0.00010802-0.00029606i, -0.00149029+0.00040641i, +0.00020018-0.00110505i
+0.00142280-0.00078094i, +0.00070351+0.00036735i, -0.00091533+0.00122003i, -0.00071863-0.00090482i, -0.00044531-0.00029119i, +0.00074977-0.00032055i, -0.00072541-0.00030429i, +0.00035388+0.00078617i, -0.00033794+0.00092642i, -0.00057356-0.00135409i, +0.00111970+0.00047927i, -0.00023491+0.00040298i, +0.00059051+0.00024067i, -0.00086676-0.00030978i, +0.00000589+0.00050310i, -0.00074805+0.00031483i, -0.00101074-0.00076302i, -0.00062140-0.00125454i, +0.00060415-0.00166347i, +0.00083971+0.00079638i, +0.00006132+0.00080888i, +0.03047324+0.00000000i, -0.00064499-0.00085913i, +0.00039721+0.00024173i, +0.00143011-0.00086836i, -0.00077862-0.00025478i, +0.00053562+0.00049014i, -0.00060224-0.00109000i, +0.00046023+0.00004215i, -0.00010195-0.00046009i, -0.00033366+0.00039936i, -0.00069078-0.00110786i
+0.00090831+0.00126545i, -0.00046064-0.00095718i, -0.00168338-0.00201716i, +0.00175815+0.00018600i, +0.00032150-0.00014342i, -0.00210014+0.00058480i, +0.00060977-0.00387542i, -0.00225227+0.00146859i, -0.00147906-0.00096230i, +0.00207292-0.00201187i, -0.00165532+0.00133468i, -0.00081767-0.00180972i, -0.00036849+0.00063730i, -0.00051467-0.00000982i, -0.00218349-0.00106897i, -0.00011692+0.00039437i, +0.00216536-0.00136622i, +0.00359426+0.00013415i, +0.00305977+0.00125127i, -0.00231337+0.00058787i, -0.00030349-0.00126699i, -0.00064499+0.00085913i, +0.03191004+0.00000000i, -0.00244752-0.00104974i, +0.00088328+0.00224510i, -0.00067510-0.00139440i, -0.00070761+0.00228993i, +0.00228622-0.00080514i, -0.00047799+0.00060492i, -0.00006520-0.00020657i, -0.00151092-0.00126286i, +0.00124872-0.00065668i
-0.00119642-0.00050932i, +0.00101588+0.00060394i, +0.00103839+0.00013847i, -0.00138976+0.00072655i, -0.00032793+0.00047576i, +0.00131915-0.00173610i, +0.00129231+0.00230092i, +0.00043045-0.00254776i, +0.00102564-0.00044973i, -0.00075052+0.00179294i, +0.00104655-0.00127437i, +0.00078786+0.00113644i, -0.00047139-0.00069534i, +0.00010221-0.00016911i, +0.00077611-0.00054984i, +0.00001399-0.00102750i, -0.00142507+0.00187175i, -0.00183360+0.00209618i, -0.00180589+0.00016639i, +0.00106124-0.00086423i, +0.00087639-0.00012189i, +0.00039721-0.00024173i, -0.00244752+0.00104974i, +0.03072856+0.00000000i, -0.00132603-0.00090338i, +0.00116073+0.00110110i, +0.00014024-0.00106757i, -0.00113082+0.00259972i, +0.00057208-0.00075351i, -0.00054730+0.00048662i, +0.00164328+0.00005416i, -0.00065195+0.00092868i
+0.00290375-0.00067194i, -0.00013446+0.00020943i, -0.00249594+0.00132497i, +0.00039516-0.00143348i, +0.00033814-0.00124557i, +0.00018164+0.00246353i, -0.00299164-0.00036003i, +0.00072774+0.00229309i, -0.00111846+0.00211241i, -0.00150637-0.00207586i, +0.00045330+0.00239159i, -0.00219361+0.00046597i, +0.00131112-0.00000212i, +0.00012850+0.00023102i, -0.00030583+0.00137959i, -0.00051648+0.00037978i, -0.00018698-0.00403683i, +0.00051330-0.00364297i, +0.00182958-0.00245344i, +0.00025225+0.00233811i, -0.00134440+0.00187637i, +0.00143011+0.00086836i, +0.00088328-0.00224510i, -0.00132603+0.00090338i, +0.03205081+0.00000000i, -0.00170744-0.00051590i, +0.00101551+0.00186582i, -0.00081351-0.00269338i, +0.00116653+0.00069340i, -0.00015374-0.00095956i, -0.00196677+0.00066350i, +0.00016752-0.00159355i
-0.00184307+0.00122253i, +0.00184500-0.00026469i, +0.00135784-0.00131354i, -0.00011990+0.00191804i, +0.00062916+0.00022676i, -0.00064620-0.00302077i, +0.00292334+0.00096009i, -0.00044248-0.00220967i, +0.00034770-0.00230777i, +0.00096822+0.00271850i, -0.00063715-0.00148045i, +0.00147111-0.00065153i, -0.00086988+0.00004604i, +0.00031687-0.00030409i, +0.00054470-0.00148928i, +0.00009509-0.00044729i, +0.00104025+0.00218849i, +0.00031527+0.00244358i, -0.00131206+0.00168299i, -0.00090355-0.00089497i, +0.00058032-0.00041777i, -0.00077862+0.00025478i, -0.00067510+0.00139440i, +0.00116073-0.00110110i, -0.00170744+0.00051590i, +0.03207509+0.00000000i, -0.00066308-0.00121901i, +0.00017709+0.00191101i, -0.00090217-0.00097546i, -0.00034825+0.00058544i, +0.00105987-0.00155070i, +0.00030001+0.00254051i
+0.00005654-0.00125725i, -0.00023607+0.00068640i, +0.00095105+0.00091516i, -0.00012043-0.00075657i, -0.00065338-0.00041618i, +0.00126481+0.00066942i, -0.00175014+0.00108998i, +0.00134884+0.00071060i, +0.00001163+0.00075945i, -0.00200235-0.00046858i, +0.00113655+0.00092094i, -0.00021431+0.00171455i, +0.00015102-0.00004324i, -0.00001375-0.00015979i, +0.00014624+0.00095492i, -0.00000178+0.00028600i, -0.00154271-0.00063343i, -0.00165446-0.00099038i, -0.00012395-0.00248696i, +0.00102272+0.00051867i, -0.00077160+0.00146807i, +0.00053562-0.00049014i, -0.00070761-0.00228993i, +0.00014024+0.00106757i, +0.00101551-0.00186582i, -0.00066308+0.00121901i, +0.03079851+0.00000000i, -0.00266466-0.00022680i, +0.00102905-0.00026506i, -0.00016573+0.00006120i, -0.00038564+0.00179984i, +0.00041641-0.00031647i
+0.00029486+0.00187341i, +0.00012004-0.00098011i, -0.00076316-0.00176443i, +0.00309077+0.00117457i, -0.00009735-0.00023563i, -0.00240551+0.00021756i, +0.00194016-0.00188795i, -0.00269090+0.00002417i, -0.00143114-0.00133308i, +0.00282359-0.00109060i, -0.00215628+0.00033968i, -0.00014956-0.00246463i, -0.00016641+0.00075097i, -0.00011276+0.00034591i, -0.00129470-0.00054822i, -0.00057402-0.00061067i, +0.00327041-0.00010717i, +0.00368352+0.00189812i, +0.00083745+0.00299551i, -0.00171572-0.00052093i, +0.00008056-0.00130131i, -0.00060224+0.00109000i, +0.00228622+0.00080514i, -0.00113082-0.00259972i, -0.00081351+0.00269338i, +0.00017709-0.00191101i, -0.00266466+0.00022680i, +0.03205240+0.00000000i, -0.00062747+0.00030646i, +0.00027596-0.00020890i, -0.00147882-0.00190112i, +0.00178755-0.00007390i
-0.00021854-0.00059172i, +0.00003825+0.00042277i, -0.00024825+0.00094169i, -0.00061467-0.00081305i, -0.00138471+0.00099933i, +0.00120219+0.00041215i, -0.00092575+0.00153041i, +0.00092976-0.00014315i, +0.00044504+0.00117014i, -0.00154184-0.00045020i, +0.00156953+0.00050235i, +0.00019797+0.00094740i, -0.00053669-0.00005107i, +0.00007783-0.00028150i, +0.00030805+0.00069218i, +0.00026091-0.00013618i, -0.00046525-0.00054260i, -0.00136147-0.00117907i, -0.00124995-0.00139595i, +0.00112775+0.00055792i, +0.00015978+0.00120984i, +0.00046023-0.00004215i, -0.00047799-0.00060492i, +0.00057208+0.00075351i, +0.00116653-0.00069340i, -0.00090217+0.00097546i, +0.00102905+0.00026506i, -0.00062747-0.00030646i, +0.02880932+0.00000000i, -0.00038078-0.00066250i, +0.00026774+0.00147609i, -0.00053199+0.00002029i
+0.00010802+0.00029606i, -0.00070894-0.00009600i, -0.00029157-0.00051512i, -0.00001111+0.00031693i, +0.00021120+0.00014117i, -0.00180209+0.00045963i, +0.00008020-0.00049630i, -0.00104617-0.00005990i, -0.00032141-0.00038982i, +0.00074283+0.00010320i, -0.00034477+0.00010425i, -0.00022445-0.00060734i, -0.00012313-0.00000330i, -0.00082157+0.00079593i, -0.00058661+0.00007440i, -0.00032348-0.00054939i, +0.00056992-0.00006533i, +0.00192769-0.00044462i, +0.00001754+0.00022427i, -0.00117225+0.00011389i, -0.00092358+0.00004695i, -0.00010195+0.00046009i, -0.00006520+0.00020657i, -0.00054730-0.00048662i, -0.00015374+0.00095956i, -0.00034825-0.00058544i, -0.00016573-0.00006120i, +0.00027596+0.00020890i, -0.00038078+0.00066250i, +0.02864617+0.00000000i, -0.00110807-0.00048885i, +0.00095226-0.00019637i
-0.00149029-0.00040641i, +0.00043876+0.00055429i, +0.00252321+0.00042601i, -0.00140550+0.00051812i, +0.00043937+0.00043117i, +0.00082429-0.00123962i, -0.00048264+0.00343583i, +0.00141030-0.00182872i, +0.00108178-0.00011972i, -0.00068656+0.00224787i, +0.00042513-0.00204564i, +0.00142642+0.00125611i, -0.00001300-0.00027827i, +0.00002616-0.00077932i, +0.00098372-0.00029305i, +0.00022775+0.00002916i, -0.00096317+0.00221830i, -0.00202540+0.00182494i, -0.00259147+0.00003577i, +0.00105924-0.00127919i, +0.00089385+0.00030268i, -0.00033366-0.00039936i, -0.00151092+0.00126286i, +0.00164328-0.00005416i, -0.00196677-0.00066350i, +0.00105987+0.00155070i, -0.00038564-0.00179984i, -0.00147882+0.00190112i, +0.00026774-0.00147609i, -0.00110807+0.00048885i, +0.03043813+0.00000000i, -0.00228368+0.00083707i
+0.00020018+0.00110505i, -0.00007301-0.00086362i, -0.00093667-0.00131808i, +0.00250722+0.00044515i, +0.00008632+0.00031584i, -0.00166420-0.00004879i, +0.00051492-0.00175321i, -0.00296182+0.00111646i, -0.00105591-0.00088885i, +0.00166236-0.00117315i, -0.00107999+0.00024280i, +0.00027763-0.00210724i, -0.00068722+0.00028499i, -0.00048215-0.00024512i, -0.00050955-0.00025382i, -0.00095149+0.00117301i, +0.00155398-0.00047686i, +0.00217945-0.00001273i, +0.00068117+0.00115865i, -0.00212113+0.00072233i, -0.00088996-0.00023349i, -0.00069078+0.00110786i, +0.00124872+0.00065668i, -0.00065195-0.00092868i, +0.00016752+0.00159355i, +0.00030001-0.00254051i, +0.00041641+0.00031647i, +0.00178755+0.00007390i, -0.00053199-0.00002029i, +0.00095226+0.00019637i, -0.00228368-0.00083707i, +0.03085563+0.00000000i
