+0.01743994+0.00000000i, -0.00068294+0.00677031i, -0.01050713+0.00531880i, -0.00058618+0.00228730i, -0.00023160+0.00483392i, -0.00404326-0.00634405i, +0.00244271-0.00366442i, -0.00455744-0.00270127i, +0.00209464-0.00387176i, +0.00778700+0.00230646i, -0.00599766+0.00191826i, -0.00289359+0.00447510i, -0.00457539+0.00027988i, +0.00061110+0.00152136i, -0.00402619+0.01038734i, +0.00486432+0.00323869i, -0.00591131+0.00325424i, +0.00178975-0.00095006i, +0.00049671-0.00801640i, -0.00367299-0.00050027i, +0.00303131-0.00406908i, +0.00555104+0.00220422i, +0.00537905-0.00365481i, +0.00243968-0.00338018i, -0.00453753+0.00126849i, +0.00500459-0.00411245i, -0.00481362-0.00446110i, -0.00346512+0.00486573i, -0.00257569+0.00760423i, -0.00671621+0.00150509i, -0.00075781+0.01097804i, +0.00262288+0.00377618i
-0.00289359-0.00447510i, +0.00190323-0.00598439i, +0.01200270+0.01196577i, +0.01116859-0.00046462i, +0.00755873-0.00560837i, -0.00727251+0.01057070i, -0.00872884+0.00200325i, +0.00052090+0.01140962i, -0.00110595+0.00607284i, -0.00717439-0.01542007i, +0.00853972+0.01335898i, +0.02045171-0.00000000i, +0.00070742+0.00606688i, +0.00320109-0.00308697i, +0.01802359-0.00231503i, +0.00120966-0.01316932i, +0.00255303+0.00660081i, -0.00042660-0.00428392i, -0.01002309+0.00536109i, +0.00241045+0.00841658i, -0.00292738+0.00298027i, -0.00243853-0.00933764i, -0.00807565-0.00604957i, -0.01062880-0.00010777i, +0.00768494+0.00802517i, -0.01235177-0.00427228i, -0.00002706+0.01174654i, +0.01502293-0.00149457i, +0.00467671-0.00260514i, +0.01036669+0.00643446i, +0.01612501-0.00621346i, +0.00530426-0.01108337i
-0.00457539-0.00027988i, -0.00523144-0.00220677i, +0.01332774-0.01023698i, -0.00070103-0.00694452i, -0.00874732-0.00777418i, +0.00770014+0.00664774i, +0.00125083+0.00888854i, +0.00874114+0.00071663i, +0.00427920+0.00258499i, -0.01208135+0.00247846i, +0.00513052-0.00798321i, +0.00070742-0.00606688i, +0.01816226+0.00000000i, -0.00491625+0.00283249i, +0.00131451-0.01403695i, -0.00790044+0.00158195i, +0.00894394-0.00259243i, -0.00327515+0.00027978i, +0.00340361+0.00952103i, +0.00594829-0.00177555i, +0.00157144+0.00056292i, -0.00775444+0.00102611i, -0.00652445+0.00830284i, -0.00022389+0.00673167i, +0.00917645-0.00995409i, -0.00348759+0.00919411i, +0.00792351+0.00234774i, +0.00022589-0.00947930i, +0.00267938-0.00597730i, +0.00705694-0.00710280i, -0.00516810-0.01685848i, -0.00602963-0.00254997i
+0.00061110-0.00152136i, +0.00167156-0.00159156i, -0.00393411+0.00565739i, -0.00038252+0.00372789i, +0.00363753+0.00301158i, -0.00805452-0.00341042i, -0.00111643-0.00459016i, -0.00389962+0.00040222i, +0.00085323-0.00089287i, +0.00410794-0.00403711i, -0.00181278+0.00781332i, +0.00320109+0.00308697i, -0.00491625-0.00283249i, +0.01762475-0.00000000i, +0.00641233+0.00354320i, +0.00528163-0.00462610i, -0.00257918+0.00114127i, +0.00492735-0.00103217i, -0.00357032-0.00351773i, -0.00256293+0.00101898i, -0.00159329-0.00035184i, +0.00311688-0.00359425i, +0.00185667-0.00459353i, -0.00061184-0.00401538i, -0.00319698+0.00291740i, +0.00240823-0.00914525i, -0.00368590+0.00097140i, +0.00135291+0.00418842i, -0.00069241+0.00217870i, +0.00264004+0.00244498i, +0.00473829+0.00606490i, +0.00361035+0.00068587i
-0.00402619-0.01038734i, +0.00351713-0.00957989i, +0.02426602+0.02678353i, +0.01439486-0.00280736i, +0.01466979-0.00937712i, -0.01479220+0.01536997i, -0.02143966+0.00253235i, -0.00097750+0.01834832i, -0.00572932+0.01079541i, -0.00790800-0.02614205i, +0.01293832+0.01934576i, +0.01802359+0.00231503i, +0.00131451+0.01403695i, +0.00641233-0.00354320i, +0.04882213+0.00000000i, +0.00331627-0.02354030i, +0.00438719+0.01315971i, +0.00087722-0.00679176i, -0.02252460+0.00938037i, +0.00311986+0.01276521i, -0.00618103+0.00413870i, -0.00223582-0.01598949i, -0.01732719-0.01464458i, -0.01492672-0.00050300i, +0.01398039+0.01650861i, -0.01875613-0.00848826i, -0.00504123+0.02321726i, +0.02084795+0.00119556i, +0.01102069-0.00411141i, +0.01802547+0.01290605i, +0.03907650-0.01371090i, +0.00644822-0.01624993i
+0.00486432-0.00323869i, +0.00670747+0.00395386i, -0.01432637+0.01312942i, +0.00451209+0.01209883i, +0.00626610+0.00947386i, -0.00994914-0.00891889i, -0.00152614-0.01133910i, -0.01460263-0.00115070i, -0.00549796-0.00281821i, +0.01635143-0.00451730i, -0.01134752+0.00953364i, +0.00120966+0.01316932i, -0.00790044-0.00158195i, +0.00528163+0.00462610i, +0.00331627+0.02354030i, +0.02521191+0.00000000i, -0.00793121+0.00246317i, +0.00384018-0.00001660i, -0.00549345-0.01150220i, -0.01143957+0.00315112i, -0.00345833-0.00349298i, +0.01062892-0.00103897i, +0.00745671-0.01017263i, -0.00140017-0.01135380i, -0.01077861+0.00789899i, +0.00521589-0.01259558i, -0.01153214-0.00161140i, -0.00204791+0.01700901i, +0.00241105+0.00587741i, -0.00947110+0.01077217i, +0.00718451+0.02133034i, +0.01532398+0.00080590i
-0.00591131-0.00325424i, -0.00410159-0.00358109i, +0.01632518-0.00750644i, +0.00093766-0.00732993i, -0.00567628-0.01132616i, +0.00600882+0.00864739i, -0.00048093+0.00891449i, +0.00873961+0.00264858i, +0.00465767+0.00264954i, -0.01191910-0.00045301i, +0.00822391-0.00526546i, +0.00255303-0.00660081i, +0.00894394+0.00259243i, -0.00257918-0.00114127i, +0.00438719-0.01315971i, -0.00793121-0.00246317i, +0.02210740-0.00000000i, -0.00648765+0.00348436i, +0.00063549+0.01385463i, +0.00819268-0.00179087i, +0.00254770+0.00409702i, -0.01101795-0.00190558i, -0.01006426+0.00967275i, -0.00273572+0.00770571i, +0.01493823-0.00878627i, -0.00799227+0.01064245i, +0.00955994+0.00453207i, +0.00431449-0.01167759i, +0.00102663-0.00452476i, +0.01062810-0.00645969i, -0.00043067-0.02140903i, -0.00687775-0.00565353i
+0.00178975+0.00095006i, +0.00066142-0.00353108i, -0.00579219+0.00626044i, +0.00097147+0.00441519i, +0.00159953+0.00356225i, -0.00767386-0.00771918i, -0.00257125-0.00500647i, -0.00567775-0.00006972i, -0.00261066-0.00153821i, +0.00761308-0.00327679i, -0.00306785+0.00408221i, -0.00042660+0.00428392i, -0.00327515-0.00027978i, +0.00492735+0.00103217i, +0.00087722+0.00679176i, +0.00384018+0.00001660i, -0.00648765-0.00348436i, +0.02011731+0.00000000i, -0.00678239-0.00352990i, -0.00667139+0.00523696i, +0.00120917-0.00085388i, +0.00566452-0.00232817i, +0.00536389-0.00907932i, -0.00240843-0.00562830i, -0.00531890+0.00449298i, +0.00631793-0.00977333i, -0.00648556-0.00113410i, -0.00052533+0.00598745i, +0.00187366+0.00164264i, -0.00224212+0.00579000i, +0.00309877+0.00909706i, +0.00437279+0.00354863i
+0.00049671+0.00801640i, -0.00567039+0.00794103i, -0.00965323-0.03006691i, -0.01261376-0.00398927i, -0.01314472+0.00227974i, +0.01483971-0.00555202i, +0.01747418+0.00665840i, +0.00688066-0.01277679i, +0.00757731-0.00311336i, -0.00349609+0.01726703i, -0.00471814-0.01460053i, -0.01002309-0.00536109i, +0.00340361-0.00952103i, -0.00357032+0.00351773i, -0.02252460-0.00938037i, -0.00549345+0.01150220i, +0.00063549-0.01385463i, -0.00678239+0.00352990i, +0.04089467+0.00000000i, +0.00457031-0.01864707i, +0.00724236-0.00422700i, -0.00327906+0.01929766i, +0.00645294+0.02360165i, +0.01502390+0.00867254i, -0.00457838-0.01861546i, +0.01256448+0.01475684i, +0.01230326-0.01674709i, -0.01630479-0.00874159i, -0.01149044-0.00130835i, -0.00701439-0.01592285i, -0.03283115-0.00179360i, -0.00882423+0.00939590i
-0.00367299+0.00050027i, -0.00485993-0.00376188i, +0.01552594-0.00761083i, -0.00148300-0.01315353i, -0.00233331-0.00791724i, +0.00511591+0.01014909i, -0.00084636+0.00968257i, +0.01153506+0.00511116i, +0.00308552+0.00436367i, -0.01224547-0.00083083i, +0.00775738-0.00482673i, +0.00241045-0.00841658i, +0.00594829+0.00177555i, -0.00256293-0.00101898i, +0.00311986-0.01276521i, -0.01143957-0.00315112i, +0.00819268+0.00179087i, -0.00667139-0.00523696i, +0.00457031+0.01864707i, +0.02240860-0.00000000i, +0.00252279+0.00306750i, -0.01261207-0.00188414i, -0.01349351+0.00692443i, -0.00228068+0.01340926i, +0.01153173-0.00480605i, -0.00820585+0.00936627i, +0.00960662+0.00521797i, +0.00648696-0.01420515i, -0.00139315-0.00631942i, +0.01106845-0.00585751i, -0.00123282-0.01822543i, -0.01061699-0.00493276i
+0.00303131+0.00406908i, -0.00357765+0.00197714i, -0.00057386-0.00838116i, -0.00320733-0.00247847i, -0.00746437-0.00645439i, +0.00616488-0.00090786i, +0.00479683+0.00290343i, +0.00384751-0.00362590i, +0.00703085-0.00083109i, -0.00314360+0.00612646i, +0.00021476-0.00517916i, -0.00292738-0.00298027i, +0.00157144-0.00056292i, -0.00159329+0.00035184i, -0.00618103-0.00413870i, -0.00345833+0.00349298i, +0.00254770-0.00409702i, +0.00120917+0.00085388i, +0.00724236+0.00422700i, +0.00252279-0.00306750i, +0.01756615-0.00000000i, -0.00583347+0.00798713i, +0.00117318+0.00362134i, +0.00144672+0.00508068i, +0.00401052-0.00843879i, +0.00278633+0.00670822i, +0.00354859-0.00614810i, -0.00521975-0.00524564i, -0.00674884+0.00314006i, -0.00209097-0.00774657i, -0.01004086-0.00378386i, -0.00462922+0.00284915i
