+0.01743994+0.00000000i, -0.00068294+0.00677031i, -0.01050713+0.00531880i, -0.00058618+0.00228730i, -0.00023160+0.00483392i, -0.00404326-0.00634405i, +0.00244271-0.00366442i, -0.00455744-0.00270127i, +0.00209464-0.00387176i, +0.00778700+0.00230646i, -0.00599766+0.00191826i, -0.00289359+0.00447510i, -0.00457539+0.00027988i, +0.00061110+0.00152136i, -0.00402619+0.01038734i, +0.00486432+0.00323869i, -0.00591131+0.00325424i, +0.00178975-0.00095006i, +0.00049671-0.00801640i, -0.00367299-0.00050027i, +0.00303131-0.00406908i, +0.00555104+0.00220422i, +0.00537905-0.00365481i, +0.00243968-0.00338018i, -0.00453753+0.00126849i, +0.00500459-0.00411245i, -0.00481362-0.00446110i, -0.00346512+0.00486573i, -0.00257569+0.00760423i, -0.00671621+0.00150509i, -0.00075781+0.01097804i, +0.00262288+0.00377618i
+0.00555104-0.00220422i, +0.01032429+0.00526432i, -0.01660683+0.01028910i, -0.00013739+0.00923225i, +0.00439131+0.01075932i, -0.01095508-0.01616383i, -0.00018784-0.01140692i, -0.01331713-0.00236769i, -0.00464190-0.00505032i, +0.01836335-0.00176770i, -0.00838985+0.00682386i, -0.00243853+0.00933764i, -0.00775444-0.00102611i, +0.00311688+0.00359425i, -0.00223582+0.01598949i, +0.01062892+0.00103897i, -0.01101795+0.00190558i, +0.00566452+0.00232817i, -0.00327906-0.01929766i, -0.01261207+0.00188414i, -0.00583347-0.00798713i, +0.02983823+0.00000000i, +0.01479613-0.01018270i, +0.00486138-0.01442965i, -0.01316983+0.00736240i, +0.01220651-0.01498407i, -0.01158378-0.00335850i, -0.00235628+0.01591461i, +0.00249390+0.00788036i, -0.01461549+0.01382350i, +0.00462625+0.02332540i, +0.00979896+0.00550718i
+0.00537905+0.00365481i, +0.00368376+0.00747524i, -0.02832818-0.00594571i, -0.00783325+0.00902244i, -0.00406982+0.01332196i, +0.00160437-0.01622883i, +0.00784857-0.01697319i, -0.00973330-0.01126891i, -0.00045300-0.00810972i, +0.01298605+0.01075147i, -0.01641870-0.00078405i, -0.00807565+0.00604957i, -0.00652445-0.00830284i, +0.00185667+0.00459353i, -0.01732719+0.01464458i, +0.00745671+0.01017263i, -0.01006426-0.00967275i, +0.00536389+0.00907932i, +0.00645294-0.02360165i, -0.01349351-0.00692443i, +0.00117318-0.00362134i, +0.01479613+0.01018270i, +0.04087993+0.00000000i, +0.01215633-0.01554170i, -0.01968454-0.00382059i, +0.01756281-0.00452003i, -0.00835170-0.01413722i, -0.01385329+0.00891670i, -0.00432505+0.00810709i, -0.01770654-0.00181086i, -0.01930697+0.02846913i, +0.00366780+0.01285722i
+0.00243968+0.00338018i, -0.00127707+0.00643834i, -0.01119469-0.01280101i, -0.01267063+0.00000567i, -0.00738316+0.00601470i, +0.00825987-0.00977198i, +0.01198831-0.00311708i, -0.00027783-0.01436644i, +0.00323827-0.00463185i, +0.00399295+0.01292589i, -0.00702613-0.00683484i, -0.01062880+0.00010777i, -0.00022389-0.00673167i, -0.00061184+0.00401538i, -0.01492672+0.00050300i, -0.00140017+0.01135380i, -0.00273572-0.00770571i, -0.00240843+0.00562830i, +0.01502390-0.00867254i, -0.00228068-0.01340926i, +0.00144672-0.00508068i, +0.00486138+0.01442965i, +0.01215633+0.01554170i, +0.02399956-0.00000000i, -0.00895234-0.01038693i, +0.01403718+0.00466889i, +0.00210598-0.01043270i, -0.01388337-0.00063236i, -0.00633735+0.00324234i, -0.01052253-0.00852500i, -0.01955528+0.00717349i, -0.00687581+0.01341569i
-0.00453753-0.00126849i, -0.00558518-0.00729256i, +0.02576076-0.00042328i, +0.00597136-0.01001755i, +0.00102631-0.01959432i, +0.00263822+0.01555686i, -0.00662078+0.01342787i, +0.01066144+0.00923702i, +0.00793409+0.01201800i, -0.01889366-0.00830351i, +0.01523656-0.00184757i, +0.00768494-0.00802517i, +0.00917645+0.00995409i, -0.00319698-0.00291740i, +0.01398039-0.01650861i, -0.01077861-0.00789899i, +0.01493823+0.00878627i, -0.00531890-0.00449298i, -0.00457838+0.01861546i, +0.01153173+0.00480605i, +0.00401052+0.00843879i, -0.01316983-0.00736240i, -0.01968454+0.00382059i, -0.00895234+0.01038693i, +0.03848525+0.00000000i, -0.01872229+0.01367720i, +0.00965004+0.01383249i, +0.01341238-0.01559531i, +0.00064440-0.00972919i, +0.02138926-0.00326999i, +0.01192984-0.03127235i, -0.00651487-0.01168176i
+0.00500459+0.00411245i, +0.00334770+0.00911862i, -0.02256707-0.00978542i, -0.01097961+0.00591890i, -0.00740895+0.01130671i, +0.00544422-0.02214781i, +0.01183508-0.00840686i, -0.00612467-0.01420361i, +0.00256787-0.00797810i, +0.01698397+0.01896385i, -0.01386676-0.00496492i, -0.01235177+0.00427228i, -0.00348759-0.00919411i, +0.00240823+0.00914525i, -0.01875613+0.00848826i, +0.00521589+0.01259558i, -0.00799227-0.01064245i, +0.00631793+0.00977333i, +0.01256448-0.01475684i, -0.00820585-0.00936627i, +0.00278633-0.00670822i, +0.01220651+0.01498407i, +0.01756281+0.00452003i, +0.01403718-0.00466889i, -0.01872229-0.01367720i, +0.04144646+0.00000000i, -0.00708994-0.01323636i, -0.02015875+0.01033379i, -0.00901591+0.00578229i, -0.01950693-0.00530224i, -0.02313394+0.02364221i, +0.00138053+0.01535755i
-0.00481362+0.00446110i, -0.00769745+0.00005567i, +0.01559317-0.01934443i, -0.00357198-0.01078048i, -0.00699371-0.00810489i, +0.01115183+0.00822061i, +0.00478776+0.01744487i, +0.01261331-0.00142486i, +0.00698315+0.00430869i, -0.01491442+0.00694311i, +0.01283452-0.00734670i, -0.00002706-0.01174654i, +0.00792351-0.00234774i, -0.00368590-0.00097140i, -0.00504123-0.02321726i, -0.01153214+0.00161140i, +0.00955994-0.00453207i, -0.00648556+0.00113410i, +0.01230326+0.01674709i, +0.00960662-0.00521797i, +0.00354859+0.00614810i, -0.01158378+0.00335850i, -0.00835170+0.01413722i, +0.00210598+0.01043270i, +0.00965004-0.01383249i, -0.00708994+0.01323636i, +0.03988079+0.00000000i, +0.00062934-0.02263052i, -0.00651077-0.00565363i, +0.00658763-0.01850126i, -0.01190993-0.02856356i, -0.01505321-0.00498942i
-0.00346512-0.00486573i, +0.00244931-0.00980868i, +0.01763821+0.01691864i, +0.01357148-0.00420321i, +0.01038831-0.00834663i, -0.01123468+0.01236729i, -0.01422756+0.00346811i, +0.00043897+0.01781768i, -0.00444458+0.00731291i, -0.00522475-0.02015235i, +0.01019814+0.01132102i, +0.01502293+0.00149457i, +0.00022589+0.00947930i, +0.00135291-0.00418842i, +0.02084795-0.00119556i, -0.00204791-0.01700901i, +0.00431449+0.01167759i, -0.00052533-0.00598745i, -0.01630479+0.00874159i, +0.00648696+0.01420515i, -0.00521975+0.00524564i, -0.00235628-0.01591461i, -0.01385329-0.00891670i, -0.01388337+0.00063236i, +0.01341238+0.01559531i, -0.02015875-0.01033379i, +0.00062934+0.02263052i, +0.03453930-0.00000000i, +0.00772279-0.00388296i, +0.01804467+0.01306710i, +0.02983175-0.01098153i, +0.00379453-0.01695634i
-0.00257569-0.00760423i, +0.00374946-0.00350681i, +0.00495963+0.01148090i, +0.00541862+0.00182660i, +0.00376688+0.00086916i, -0.00691946+0.00268964i, -0.00765133-0.00282296i, -0.00326116+0.00584240i, -0.00720758-0.00161017i, +0.00194498-0.00967653i, +0.00240691+0.00580636i, +0.00467671+0.00260514i, +0.00267938+0.00597730i, -0.00069241-0.00217870i, +0.01102069+0.00411141i, +0.00241105-0.00587741i, +0.00102663+0.00452476i, +0.00187366-0.00164264i, -0.01149044+0.00130835i, -0.00139315+0.00631942i, -0.00674884-0.00314006i, +0.00249390-0.00788036i, -0.00432505-0.00810709i, -0.00633735-0.00324234i, +0.00064440+0.00972919i, -0.00901591-0.00578229i, -0.00651077+0.00565363i, +0.00772279+0.00388296i, +0.02328427+0.00000000i, +0.00105026+0.01349880i, +0.01493948-0.00185166i, +0.00371082-0.00274490i
-0.00671621-0.00150509i, -0.00615109-0.01277303i, +0.02412241+0.00375312i, +0.00801810-0.00897447i, +0.00376104-0.01322799i, -0.00363357+0.01855077i, -0.01017946+0.01113160i, +0.00967836+0.01232512i, +0.00026321+0.00928221i, -0.01929326-0.01517702i, +0.01367579+0.00203699i, +0.01036669-0.00643446i, +0.00705694+0.00710280i, +0.00264004-0.00244498i, +0.01802547-0.01290605i, -0.00947110-0.01077217i, +0.01062810+0.00645969i, -0.00224212-0.00579000i, -0.00701439+0.01592285i, +0.01106845+0.00585751i, -0.00209097+0.00774657i, -0.01461549-0.01382350i, -0.01770654+0.00181086i, -0.01052253+0.00852500i, +0.02138926+0.00326999i, -0.01950693+0.00530224i, +0.00658763+0.01850126i, +0.01804467-0.01306710i, +0.00105026-0.01349880i, +0.04101305+0.00000000i, +0.01958392-0.02575415i, -0.00100114-0.01651378i
-0.00075781-0.01097804i, +0.00753323-0.01154570i, +0.01742046+0.04140084i, +0.01833968+0.00280203i, +0.02096388-0.00722297i, -0.02250551+0.01176441i, -0.02609678-0.00266513i, -0.00799514+0.02091280i, -0.01042306+0.00776219i, +0.00211556-0.02937559i, +0.01276472+0.02308607i, +0.01612501+0.00621346i, -0.00516810+0.01685848i, +0.00473829-0.00606490i, +0.03907650+0.01371090i, +0.00718451-0.02133034i, -0.00043067+0.02140903i, +0.00309877-0.00909706i, -0.03283115+0.00179360i, -0.00123282+0.01822543i, -0.01004086+0.00378386i, +0.00462625-0.02332540i, -0.01930697-0.02846913i, -0.01955528-0.00717349i, +0.01192984+0.03127235i, -0.02313394-0.02364221i, -0.01190993+0.02856356i, +0.02983175+0.01098153i, +0.01493948+0.00185166i, +0.01958392+0.02575415i, +0.07256327-0.00000000i, +0.01596510-0.02372295i
+0.00262288-0.00377618i, +0.00601497-0.00046669i, -0.00827304+0.01570449i, +0.00676302+0.01356334i, +0.00779953+0.00497207i, -0.01215667-0.00379091i, -0.00628360-0.00972934i, -0.01301009+0.00428104i, -0.00583438-0.00146935i, +0.01080124-0.00906159i, -0.00474781+0.00941200i, +0.00530426+0.01108337i, -0.00602963+0.00254997i, +0.00361035-0.00068587i, +0.00644822+0.01624993i, +0.01532398-0.00080590i, -0.00687775+0.00565353i, +0.00437279-0.00354863i, -0.00882423-0.00939590i, -0.01061699+0.00493276i, -0.00462922-0.00284915i, +0.00979896-0.00550718i, +0.00366780-0.01285722i, -0.00687581-0.01341569i, -0.00651487+0.01168176i, +0.00138053-0.01535755i, -0.01505321+0.00498942i, +0.00379453+0.01695634i, +0.00371082+0.00274490i, -0.00100114+0.01651378i, +0.01596510+0.02372295i, +0.02983403+0.00000000i
