+0.00324864-0.00641336i, -0.00807876-0.00579872i, +0.00617628+0.00393530i, -0.00602662-0.00515182i, +0.00703517-0.00942056i, -0.00216464+0.00597605i, +0.00114715-0.00375440i, -0.01299494+0.00882645i, +0.00790703-0.00595739i, -0.00380764-0.00285371i, +0.01329403-0.00139470i, +0.03883642+0.00000000i, -0.00261911-0.01192198i, +0.01428363-0.00360932i, -0.00061199-0.00248272i, +0.00423789-0.00469578i, +0.00724628+0.00093357i, +0.00407780-0.01002814i, -0.00215783+0.00687686i, +0.00302505+0.00421070i, -0.00619062+0.00386260i, +0.00609003-0.00125017i, -0.01160533+0.00037210i, +0.00654465-0.00126695i, +0.00286330-0.01266711i, -0.00410031-0.00582592i, +0.00740669-0.00532693i, +0.01089614-0.00204482i, -0.00686666-0.00144078i, -0.00090531-0.00772182i, -0.00112966+0.00137767i, +0.00527947-0.00334141i
+0.00434501+0.00370770i, +0.00552565-0.00576313i, -0.00299804+0.00688400i, +0.00333165-0.00643289i, +0.00641489+0.00533145i, -0.00573933-0.00158832i, +0.00308583+0.00110886i, -0.00467024-0.01215378i, +0.00184710+0.00788431i, +0.00142707-0.00309786i, +0.00004770+0.01354626i, -0.00261911+0.01192198i, +0.03985253+0.00000000i, +0.00047977+0.01326858i, +0.00293468-0.00055324i, +0.00210252+0.00170878i, -0.00154804+0.00573242i, +0.01005419+0.00667284i, -0.00534805-0.00123450i, -0.00215015+0.00363996i, -0.00016553-0.00999153i, +0.00219142+0.00689212i, +0.00179420-0.01056557i, +0.00163631+0.00846278i, +0.01083282+0.00331582i, +0.00474255-0.00211691i, +0.00442783+0.00546407i, -0.00050566+0.00773947i, +0.00466211-0.00893242i, +0.00748699-0.00048018i, -0.00288665-0.00031157i, +0.00121112+0.00386778i
+0.00445929-0.00577528i, -0.00385059-0.00876599i, +0.00354851+0.00406273i, -0.00611372-0.00647318i, +0.01019328-0.00545539i, -0.00170690+0.00437078i, +0.00008118-0.00378834i, -0.01357437+0.00312691i, +0.00745890-0.00237492i, -0.00252266-0.00483023i, +0.01323129+0.00145851i, +0.01428363+0.00360932i, +0.00047977-0.01326858i, +0.03890417-0.00000000i, -0.00117641-0.00301541i, +0.00490592-0.00385753i, +0.00649220+0.00295707i, +0.00654369-0.00939729i, -0.00263185+0.00559341i, +0.00473371+0.00214259i, -0.00806397+0.00293772i, +0.00721205-0.00128010i, -0.01125312-0.00117089i, +0.00807749+0.00011070i, +0.00491305-0.01075820i, -0.00101370-0.00586182i, +0.00678551-0.00402587i, +0.00926930+0.00198463i, -0.00652888-0.00358435i, +0.00247501-0.00969692i, -0.00142426+0.00042036i, +0.00486392-0.00294440i
+0.00219096-0.00220571i, +0.00127002+0.00067476i, -0.00132396+0.00049873i, +0.00108617-0.00179297i, -0.00134602+0.00191434i, -0.00107955+0.00009340i, +0.00093128-0.00020084i, -0.00241646-0.00285055i, +0.00019681+0.00132574i, +0.00080172-0.00175847i, +0.00006789+0.00310382i, -0.00061199+0.00248272i, +0.00293468+0.00055324i, -0.00117641+0.00301541i, +0.02548887+0.00000000i, +0.00162058+0.00145764i, -0.00114337+0.00033211i, +0.00015717+0.00203013i, -0.00189535-0.00036707i, -0.00098668+0.00070169i, -0.00069542-0.00116869i, +0.00058848-0.00010344i, +0.00225108-0.00634530i, +0.00049283+0.00011600i, +0.00291124+0.00061030i, -0.00038581-0.00053433i, +0.00057035+0.00131881i, -0.00006264+0.00112108i, +0.00269917-0.00077615i, +0.00180762+0.00112831i, +0.00274728-0.00446296i, +0.00150705+0.00121289i
+0.00387937-0.00068121i, -0.00079225-0.00184469i, -0.00132351+0.00357959i, -0.00024362-0.00415054i, +0.00584007+0.00126455i, +0.00041166+0.00287758i, +0.00286882-0.00071398i, -0.00422353-0.00312088i, +0.00178415+0.00118126i, -0.00029679-0.00226721i, +0.00309531+0.00375857i, +0.00423789+0.00469578i, +0.00210252-0.00170878i, +0.00490592+0.00385753i, +0.00162058-0.00145764i, +0.02790893-0.00000000i, +0.00154306+0.00221104i, +0.00462894-0.00030941i, -0.00216003+0.00067710i, -0.00053802+0.00171120i, -0.00171963-0.00142927i, +0.00087538+0.00058087i, -0.00305062-0.00470030i, +0.00349261+0.00131179i, +0.00488826-0.00170420i, +0.00164562-0.00186134i, +0.00278163+0.00108948i, +0.00136457+0.00322804i, -0.00202928-0.00137973i, +0.00203030-0.00281894i, -0.00121213-0.00142739i, +0.00443654-0.00220332i
+0.00079768-0.00403206i, -0.00493731-0.00271403i, +0.00350920+0.00097452i, -0.00422803-0.00186425i, +0.00423884-0.00475564i, -0.00013980+0.00310858i, -0.00055492-0.00274962i, -0.00501268+0.00387255i, +0.00150942-0.00553764i, -0.00112016-0.00031421i, +0.00830339-0.00128637i, +0.00724628-0.00093357i, -0.00154804-0.00573242i, +0.00649220-0.00295707i, -0.00114337-0.00033211i, +0.00154306-0.00221104i, +0.02954218+0.00000000i, +0.00239348-0.00689542i, -0.00026566+0.00425500i, +0.00402801+0.00179522i, -0.00455724+0.00489915i, +0.00369776-0.00115755i, -0.00465812-0.00124194i, +0.00437054-0.00115313i, +0.00134777-0.00841786i, -0.00192487-0.00210041i, +0.00555640-0.00549022i, +0.00451905-0.00154993i, -0.00355303-0.00024305i, -0.00138959-0.00584822i, -0.00266050-0.00013506i, +0.00154356-0.00326428i
+0.00629114+0.00085464i, +0.00120183-0.00997811i, -0.00055971+0.00374236i, -0.00017273-0.00638051i, +0.00898691+0.00282069i, -0.00382962+0.00005223i, +0.00319338-0.00123483i, -0.00874557-0.00528231i, +0.00599625+0.00433806i, -0.00122774-0.00403079i, +0.00659786+0.01012077i, +0.00407780+0.01002814i, +0.01005419-0.00667284i, +0.00654369+0.00939729i, +0.00015717-0.00203013i, +0.00462894+0.00030941i, +0.00239348+0.00689542i, +0.03683385-0.00000000i, -0.00476128+0.00090490i, -0.00083974+0.00406017i, -0.00599245-0.00302072i, +0.00447730+0.00450625i, -0.00522870-0.01039682i, +0.00330323+0.00709666i, +0.01265029-0.00308936i, +0.00353571-0.00396333i, +0.00927263+0.00299921i, +0.00297821+0.00757174i, -0.00146894-0.00591129i, +0.00388409-0.00789445i, -0.00315724+0.00127411i, +0.00564340+0.00337569i
-0.00409923-0.00175440i, -0.00113921+0.00344277i, +0.00083152-0.00385034i, -0.00101685+0.00314328i, -0.00455328-0.00318618i, +0.00262197-0.00064434i, -0.00103002+0.00162910i, +0.00328120+0.00407235i, -0.00330988-0.00206430i, -0.00187220+0.00086535i, -0.00334276-0.00884711i, -0.00215783-0.00687686i, -0.00534805+0.00123450i, -0.00263185-0.00559341i, -0.00189535+0.00036707i, -0.00216003-0.00067710i, -0.00026566-0.00425500i, -0.00476128-0.00090490i, +0.02662343+0.00000000i, +0.00003789-0.00060537i, +0.00165110+0.00188297i, -0.00221575-0.00371807i, +0.00077307+0.00577268i, -0.00178401-0.00185376i, -0.00822495-0.00095740i, -0.00244155+0.00295196i, -0.00406831-0.00433881i, -0.00180313-0.00294238i, -0.00156013+0.00613578i, -0.00362077+0.00012886i, +0.00111159+0.00096998i, -0.00076738-0.00114656i
-0.00110749-0.00083572i, -0.00257585-0.00013131i, +0.00142437+0.00139266i, -0.00361327-0.00228791i, -0.00021231-0.00300803i, +0.00002679+0.00304198i, -0.00181074-0.00084048i, -0.00211350+0.00356628i, +0.00130063-0.00320516i, -0.00049764+0.00080610i, +0.00384675-0.00291632i, +0.00302505-0.00421070i, -0.00215015-0.00363996i, +0.00473371-0.00214259i, -0.00098668-0.00070169i, -0.00053802-0.00171120i, +0.00402801-0.00179522i, -0.00083974-0.00406017i, +0.00003789+0.00060537i, +0.02576766+0.00000000i, -0.00179866+0.00322755i, -0.00002146+0.00023772i, -0.00252158+0.00239016i, +0.00289761-0.00345679i, -0.00260383-0.00307276i, -0.00044301-0.00033051i, +0.00219977-0.00346205i, +0.00257269-0.00381101i, -0.00190201+0.00079389i, -0.00001267-0.00356521i, -0.00082747+0.00011565i, -0.00050119-0.00260628i
-0.00375481+0.00194173i, +0.00123857+0.00451655i, -0.00088549-0.00196819i, +0.00289908+0.00319266i, -0.00572502-0.00007107i, +0.00185274-0.00256143i, +0.00059946+0.00205233i, +0.00820071-0.00019904i, -0.00364187-0.00103786i, +0.00155962+0.00086528i, -0.00697100-0.00141203i, -0.00619062-0.00386260i, -0.00016553+0.00999153i, -0.00806397-0.00293772i, -0.00069542+0.00116869i, -0.00171963+0.00142927i, -0.00455724-0.00489915i, -0.00599245+0.00302072i, +0.00165110-0.00188297i, -0.00179866-0.00322755i, +0.03130792-0.00000000i, -0.00471686-0.00030464i, +0.00609261+0.00255649i, -0.00594660-0.00275149i, -0.00616371+0.00426398i, +0.00111737+0.00506321i, -0.00733822+0.00003416i, -0.00457985-0.00350067i, +0.00268427+0.00297938i, -0.00312882+0.00483093i, +0.00035624+0.00187375i, -0.00386773+0.00085710i
