+0.01683185-0.00000000i, -0.00040778+0.00051927i, -0.00048139-0.00048342i, -0.00008264+0.00010302i, +0.00049048+0.00120926i, -0.00050041-0.00079872i, +0.00025259+0.00050142i, +0.00021764-0.00002641i, -0.00143125-0.00040680i, +0.00006804-0.00030791i, -0.00000517-0.00006870i, -0.00029316+0.00057100i, +0.00019823-0.00043682i, -0.00010981-0.00024570i, -0.00038186+0.00020930i, -0.00048493+0.00000909i, -0.00019656-0.00020744i, +0.00037834+0.00028009i, -0.00043939-0.00042482i, +0.00072389-0.00008100i, -0.00067575+0.00015305i, +0.00080320+0.00011457i, +0.00102791-0.00015613i, +0.00040530-0.00041307i, -0.00002716+0.00037496i, +0.00030318-0.00076412i, +0.00023331-0.00055044i, -0.00020227+0.00057589i, +0.00097626+0.00099964i, +0.00013340+0.00053808i, -0.00044956+0.00078103i, +0.00021261+0.00109686i, -0.00041815+0.00064700i, +0.00045315-0.00007908i, -0.00011068-0.00000402i, -0.00061583+0.00031653i, +0.00026140-0.00005621i, +0.00044342-0.00021727i, +0.00024323+0.00023956i, +0.00041018+0.00007455i, +0.00112042+0.00114461i, -0.00009023-0.00119855i, -0.00060329-0.00009098i, -0.00021464+0.00000443i, +0.00090689-0.00045706i, -0.00009537+0.00019774i, +0.00014803-0.00019643i, +0.00039221-0.00027816i, -0.00001372+0.00053125i, -0.00018906-0.00079883i, -0.00002856-0.00029053i, +0.00031788-0.00031025i, -0.00032777-0.00076563i, +0.00040623+0.00023047i, +0.00053941+0.00024684i, -0.00026661+0.00018163i, -0.00141164-0.00015122i, -0.00049283-0.00034338i, +0.00001338+0.00036784i, -0.00020291-0.00046872i, +0.00043579+0.00001461i, +0.00031264-0.00056851i, +0.00043344+0.00063622i, +0.00028580-0.00015626i
-0.00029316-0.00057100i, +0.00155964-0.00027169i, +0.00042658+0.00084037i, -0.00114924+0.00015240i, +0.00148140-0.00193867i, -0.00050774+0.00023836i, +0.00132841-0.00052739i, +0.00110720+0.00003788i, -0.00102165+0.00189769i, -0.00090964+0.00037495i, +0.00092729+0.00010156i, +0.01780214+0.00000000i, -0.00194352-0.00037065i, -0.00034180-0.00048852i, +0.00013525+0.00089353i, +0.00040472-0.00004659i, -0.00087158+0.00236618i, +0.00070139+0.00005816i, +0.00040014+0.00128323i, -0.00120543-0.00213347i, +0.00136647+0.00089358i, -0.00041188-0.00128852i, -0.00094870-0.00023181i, -0.00046745-0.00031147i, +0.00091694-0.00096986i, +0.00003215-0.00097159i, -0.00056617+0.00103415i, +0.00088830+0.00011509i, +0.00185633-0.00195843i, +0.00090922-0.00156404i, +0.00085192+0.00079151i, +0.00095176-0.00183579i, +0.00119216+0.00191763i, +0.00020861+0.00003296i, +0.00073668-0.00005920i, +0.00059691+0.00042741i, +0.00121668-0.00056655i, -0.00074208-0.00092898i, +0.00012948+0.00000391i, +0.00078069-0.00164177i, -0.00003559-0.00181403i, -0.00137215+0.00095362i, +0.00018250+0.00175788i, +0.00129522+0.00042435i, +0.00118418-0.00040832i, +0.00064578-0.00040372i, -0.00017389+0.00068392i, -0.00096525+0.00017769i, +0.00009888-0.00061069i, -0.00097202+0.00041771i, -0.00016124+0.00021666i, -0.00003270-0.00038276i, -0.00079951+0.00163991i, -0.00020074-0.00070449i, -0.00000031-0.00085101i, +0.00116596-0.00018373i, -0.00024870+0.00188941i, -0.00077787+0.00110904i, +0.00023676-0.00055192i, -0.00080597-0.00108554i, -0.00044101-0.00080557i, -0.00094049+0.00027250i, -0.00010802-0.00163655i, -0.00150174-0.00174311i
+0.00019823+0.00043682i, -0.00118335-0.00004956i, +0.00010731-0.00117394i, +0.00073778+0.00052120i, -0.00094710+0.00119358i, +0.00074003-0.00033919i, -0.00144293+0.00032224i, -0.00069157-0.00011637i, +0.00057939-0.00235093i, +0.00027888-0.00017936i, -0.00030848+0.00043061i, -0.00194352+0.00037065i, +0.01850091-0.00000000i, +0.00048303-0.00039631i, -0.00000541-0.00000858i, +0.00007758-0.00103529i, +0.00085372-0.00152358i, -0.00028442-0.00053159i, +0.00021268-0.00105821i, +0.00057242+0.00211521i, -0.00122808-0.00079317i, +0.00016643+0.00151399i, +0.00062640-0.00015219i, +0.00038500+0.00044864i, -0.00126523+0.00015270i, -0.00017119+0.00074835i, +0.00063549-0.00115056i, -0.00078687-0.00079320i, -0.00235130+0.00113786i, -0.00146952+0.00127469i, -0.00046447-0.00137979i, -0.00103645+0.00123850i, -0.00115730-0.00121431i, -0.00036012+0.00027964i, -0.00066578-0.00011119i, -0.00034981+0.00002833i, -0.00103251+0.00029555i, +0.00021174+0.00078131i, +0.00031130+0.00001289i, -0.00082861+0.00079597i, -0.00130276+0.00208455i, +0.00139593-0.00064122i, +0.00017513-0.00155972i, -0.00051836-0.00001264i, -0.00108209+0.00079121i, -0.00003480+0.00064819i, +0.00020881-0.00053780i, +0.00006379+0.00068374i, -0.00045913+0.00114964i, +0.00093401+0.00005717i, +0.00015071-0.00018674i, +0.00008839+0.00043120i, +0.00083826-0.00116024i, -0.00015232+0.00065657i, -0.00003380+0.00073408i, -0.00064049-0.00062000i, +0.00030743-0.00235106i, +0.00050893-0.00113097i, -0.00019185+0.00003074i, +0.00053954+0.00008921i, +0.00034777-0.00019713i, +0.00136406-0.00004386i, -0.00020298+0.00135081i, +0.00108090+0.00105756i
-0.00010981+0.00024570i, -0.00051615-0.00044505i, +0.00035541+0.00016231i, -0.00020838-0.00010602i, +0.00007760-0.00027953i, +0.00034481+0.00035495i, -0.00014114-0.00004857i, +0.00010544-0.00009708i, +0.00031724+0.00002801i, -0.00026816-0.00041631i, -0.00003656+0.00055802i, -0.00034180+0.00048852i, +0.00048303+0.00039631i, +0.01503549+0.00000000i, +0.00019089+0.00051736i, +0.00083566+0.00012079i, +0.00016870+0.00025748i, +0.00004034-0.00017475i, +0.00006891+0.00035449i, -0.00011758-0.00028464i, -0.00001536+0.00018144i, -0.00040024-0.00003349i, -0.00044746+0.00008884i, +0.00011641+0.00016890i, +0.00011170-0.00035408i, -0.00008260-0.00028910i, -0.00003234+0.00004935i, -0.00023197+0.00025054i, +0.00005310-0.00087197i, -0.00060365-0.00023671i, +0.00029011+0.00002107i, -0.00038143-0.00029213i, +0.00010080+0.00020175i, -0.00080337+0.00030277i, -0.00002862+0.00007252i, +0.00017943-0.00013713i, +0.00029185-0.00040496i, -0.00053390+0.00002591i, -0.00028219+0.00021347i, -0.00013350-0.00017809i, -0.00022500-0.00044933i, -0.00062339+0.00093489i, +0.00030355-0.00011137i, +0.00018400-0.00004498i, -0.00009580+0.00005195i, +0.00004053+0.00033338i, -0.00001352+0.00031321i, +0.00001883+0.00007656i, -0.00005288-0.00001571i, -0.00006650+0.00062335i, -0.00020505+0.00002691i, +0.00006656+0.00033042i, +0.00010643-0.00029210i, -0.00046380-0.00070570i, +0.00001609-0.00012389i, +0.00026935-0.00005102i, +0.00028919+0.00012893i, +0.00033564-0.00066678i, +0.00005835-0.00019537i, +0.00020742+0.00027515i, -0.00041299-0.00021370i, -0.00022687-0.00025904i, -0.00026708-0.00005748i, -0.00033143-0.00010584i
-0.00038186-0.00020930i, +0.00007671-0.00054228i, +0.00058732-0.00001334i, +0.00018544+0.00001210i, -0.00134781-0.00099573i, +0.00028160+0.00072083i, +0.00005942-0.00039474i, -0.00007221-0.00069924i, +0.00058388+0.00065322i, -0.00026331+0.00013440i, -0.00004172+0.00076507i, +0.00013525-0.00089353i, -0.00000541+0.00000858i, +0.00019089-0.00051736i, +0.01523934-0.00000000i, +0.00084436-0.00087737i, +0.00089813+0.00071932i, +0.00010472-0.00046702i, +0.00036743+0.00002873i, -0.00071966+0.00026489i, +0.00024814-0.00045019i, -0.00049597+0.00013904i, -0.00078027+0.00076305i, +0.00036986+0.00063449i, -0.00005414-0.00089741i, -0.00042925+0.00002159i, +0.00066615+0.00041286i, +0.00044448-0.00004676i, -0.00135061-0.00084451i, -0.00099274-0.00076830i, -0.00003485-0.00098159i, -0.00048003-0.00034029i, +0.00091958-0.00044586i, -0.00023187+0.00049473i, -0.00006393-0.00050554i, +0.00041165-0.00030413i, -0.00036694-0.00096720i, -0.00060204+0.00049313i, -0.00025255-0.00009942i, -0.00058385-0.00027049i, -0.00127256-0.00031048i, +0.00063339+0.00082548i, +0.00139853-0.00087085i, -0.00002155-0.00047304i, -0.00013905-0.00010509i, -0.00046979-0.00022248i, +0.00023698+0.00031245i, +0.00026459-0.00006993i, -0.00004254-0.00012022i, -0.00004666+0.00044845i, -0.00000184-0.00053063i, +0.00007742+0.00038707i, +0.00039297+0.00043172i, -0.00020805+0.00003875i, -0.00080385+0.00010832i, +0.00050706-0.00018125i, +0.00111736-0.00004166i, +0.00031639-0.00007216i, -0.00039376+0.00053047i, +0.00002781+0.00053086i, -0.00045801+0.00008660i, +0.00011064+0.00107905i, -0.00079784-0.00030796i, -0.00046560+0.00042359i
-0.00048493-0.00000909i, +0.00036722-0.00008568i, +0.00072089+0.00029473i, -0.00012323+0.00033555i, -0.00009732-0.00094429i, -0.00025772+0.00066344i, +0.00028682-0.00040245i, +0.00099028-0.00050471i, -0.00001108+0.00059127i, -0.00066809-0.00014567i, -0.00000893-0.00024141i, +0.00040472+0.00004659i, +0.00007758+0.00103529i, +0.00083566-0.00012079i, +0.00084436+0.00087737i, +0.01563863+0.00000000i, -0.00036771+0.00081337i, +0.00000866-0.00002126i, +0.00024881+0.00057525i, -0.00124213-0.00021026i, +0.00046069+0.00004082i, -0.00063445-0.00030996i, -0.00068689+0.00025299i, -0.00065233+0.00091496i, +0.00002518-0.00073331i, -0.00024863-0.00009622i, +0.00012458+0.00051299i, +0.00068695+0.00035302i, -0.00019685-0.00122672i, -0.00000686-0.00127508i, +0.00073414+0.00029814i, -0.00097497-0.00137254i, +0.00104491-0.00016578i, -0.00055872-0.00000243i, +0.00033807-0.00031469i, +0.00046730-0.00047261i, +0.00064975-0.00056083i, -0.00083173-0.00013906i, -0.00025497+0.00037383i, -0.00035620-0.00081107i, -0.00057553-0.00111792i, -0.00010582+0.00112090i, +0.00060030+0.00052572i, +0.00077453-0.00042740i, -0.00005184-0.00011296i, +0.00046447-0.00032594i, +0.00026410+0.00048362i, -0.00061434+0.00000737i, -0.00013447-0.00000559i, -0.00037452+0.00042883i, +0.00013818+0.00012932i, -0.00045803-0.00048156i, +0.00056440+0.00067448i, -0.00028656-0.00030060i, -0.00047193-0.00036618i, +0.00048910-0.00031333i, +0.00051740+0.00051227i, +0.00009693+0.00073560i, +0.00014964-0.00010216i, -0.00023165+0.00088939i, -0.00024339-0.00055773i, -0.00064850+0.00051792i, -0.00053224-0.00035517i, -0.00097308-0.00015569i
-0.00019656+0.00020744i, -0.00079230-0.00162247i, +0.00089645-0.00089049i, +0.00057668+0.00029529i, -0.00254375-0.00085130i, +0.00094834+0.00046296i, -0.00087461-0.00179510i, -0.00041501-0.00103729i, +0.00254591-0.00005729i, +0.00043171+0.00117682i, +0.00008770-0.00022325i, -0.00087158-0.00236618i, +0.00085372+0.00152358i, +0.00016870-0.00025748i, +0.00089813-0.00071932i, -0.00036771-0.00081337i, +0.02010241+0.00000000i, +0.00007939-0.00114381i, +0.00203298-0.00050540i, -0.00192761+0.00208695i, +0.00068750-0.00221804i, -0.00144448+0.00059329i, +0.00027310+0.00100571i, +0.00040502+0.00083624i, -0.00132893-0.00104119i, -0.00090526+0.00011384i, +0.00105890+0.00040432i, +0.00054335-0.00148028i, -0.00370764-0.00089223i, -0.00212670-0.00018918i, +0.00120644-0.00224228i, -0.00199329-0.00052387i, +0.00068364-0.00233333i, -0.00041203+0.00003216i, -0.00058436-0.00075859i, -0.00000706-0.00031101i, -0.00198487-0.00135333i, -0.00089461+0.00142267i, -0.00004492+0.00050711i, -0.00140772-0.00022820i, -0.00244000-0.00045149i, +0.00119227+0.00152106i, +0.00172050-0.00090545i, -0.00005423-0.00080872i, -0.00121424-0.00128414i, -0.00079804-0.00012489i, +0.00051505-0.00002370i, -0.00017899+0.00063396i, -0.00059030+0.00000414i, +0.00007389+0.00129930i, +0.00028258+0.00010484i, +0.00029025+0.00088847i, +0.00218767+0.00048821i, -0.00117480+0.00043463i, -0.00125294+0.00044519i, +0.00046389-0.00091409i, +0.00230000-0.00139142i, +0.00158441+0.00015479i, -0.00029980-0.00081390i, +0.00013056+0.00049499i, -0.00148288+0.00098625i, +0.00062134+0.00145973i, -0.00203828+0.00052010i, -0.00113043+0.00187116i
+0.00037834-0.00028009i, +0.00101786-0.00046851i, +0.00025156+0.00071333i, +0.00009880+0.00017435i, +0.00086122-0.00061120i, -0.00015484+0.00005197i, +0.00018397-0.00001949i, +0.00027726+0.00023546i, -0.00023691+0.00098689i, -0.00003091+0.00050528i, +0.00020152+0.00026806i, +0.00070139-0.00005816i, -0.00028442+0.00053159i, +0.00004034+0.00017475i, +0.00010472+0.00046702i, +0.00000866+0.00002126i, +0.00007939+0.00114381i, +0.01521581+0.00000000i, +0.00022401+0.00024674i, -0.00098058-0.00039723i, +0.00045817-0.00004558i, +0.00000760-0.00071444i, +0.00012971-0.00070335i, +0.00010093-0.00043951i, +0.00021332-0.00057094i, -0.00032304-0.00047359i, +0.00007322-0.00000398i, +0.00034056-0.00028751i, +0.00026271-0.00081144i, -0.00039606-0.00064293i, +0.00057894-0.00000016i, +0.00001112-0.00012546i, +0.00041715+0.00062124i, -0.00041794-0.00025893i, +0.00027069+0.00017948i, +0.00014376+0.00012535i, +0.00032995-0.00009753i, -0.00084762-0.00051579i, -0.00014178+0.00001124i, -0.00009393-0.00009892i, -0.00033644-0.00050323i, -0.00080998+0.00024569i, +0.00022000+0.00039698i, +0.00004726+0.00020566i, +0.00032228-0.00042562i, -0.00011523-0.00041456i, -0.00003426-0.00003539i, +0.00005245-0.00020888i, -0.00022641-0.00059459i, -0.00118915+0.00015432i, +0.00002124-0.00010009i, -0.00020389+0.00010434i, -0.00033869+0.00031848i, +0.00081501-0.00062741i, +0.00000107-0.00065090i, +0.00016009+0.00020895i, +0.00006001+0.00087978i, -0.00006812-0.00020943i, +0.00014111-0.00036037i, -0.00019313+0.00005327i, -0.00035175-0.00027230i, -0.00088815+0.00042983i, -0.00002050-0.00027006i, -0.00016059-0.00020107i
-0.00043939+0.00042482i, -0.00004833-0.00093451i, +0.00156380-0.00090912i, -0.00004012+0.00059996i, -0.00119389-0.00082947i, +0.00031465+0.00021484i, -0.00092854-0.00066469i, -0.00017320-0.00057018i, +0.00134377+0.00018198i, +0.00014007+0.00056406i, -0.00021183+0.00013000i, +0.00040014-0.00128323i, +0.00021268+0.00105821i, +0.00006891-0.00035449i, +0.00036743-0.00002873i, +0.00024881-0.00057525i, +0.00203298+0.00050540i, +0.00022401-0.00024674i, +0.01566010-0.00000000i, -0.00144035+0.00072893i, +0.00046935-0.00149514i, -0.00121414+0.00057955i, +0.00011785+0.00085469i, -0.00017766+0.00023015i, -0.00099497-0.00108033i, -0.00073446-0.00000307i, +0.00023201+0.00043651i, +0.00063963-0.00078885i, -0.00174205-0.00155447i, -0.00135461-0.00084068i, +0.00083083-0.00135978i, -0.00110975-0.00052641i, +0.00120609-0.00107111i, -0.00034127+0.00014307i, -0.00067361-0.00092979i, +0.00034811+0.00015603i, -0.00058492-0.00046920i, -0.00061788+0.00040097i, +0.00056281+0.00046363i, -0.00089459-0.00052179i, -0.00133696-0.00027331i, +0.00058782+0.00104779i, +0.00104326-0.00053157i, -0.00021202-0.00051069i, -0.00019375-0.00047423i, -0.00056213-0.00041416i, +0.00108223+0.00086559i, -0.00030688+0.00013366i, -0.00039059-0.00029274i, +0.00035440+0.00080097i, -0.00020533+0.00030414i, -0.00045034+0.00043402i, +0.00066485+0.00033553i, -0.00055738+0.00022362i, -0.00134202+0.00066245i, +0.00033588-0.00059569i, +0.00116224-0.00025521i, +0.00083155+0.00060963i, -0.00063890-0.00080958i, +0.00001335+0.00029010i, -0.00026818+0.00032879i, +0.00028105+0.00109951i, -0.00049019-0.00020637i, -0.00084012+0.00113455i
+0.00072389+0.00008100i, -0.00093648+0.00126631i, -0.00104444-0.00033050i, +0.00156021-0.00166855i, +0.00090231+0.00212361i, +0.00007921-0.00072831i, -0.00006266+0.00140156i, -0.00089919+0.00090075i, -0.00124227-0.00203067i, +0.00037442-0.00075552i, -0.00051589+0.00017741i, -0.00120543+0.00213347i, +0.00057242-0.00211521i, -0.00011758+0.00028464i, -0.00071966-0.00026489i, -0.00124213+0.00021026i, -0.00192761-0.00208695i, -0.00098058+0.00039723i, -0.00144035-0.00072893i, +0.01899009+0.00000000i, -0.00134978+0.00087751i, +0.00168337+0.00107802i, +0.00090002-0.00050223i, +0.00064482-0.00017383i, +0.00027039+0.00164037i, +0.00114724+0.00068694i, -0.00068722-0.00079918i, -0.00206162+0.00104198i, +0.00103526+0.00296812i, +0.00083422+0.00243733i, -0.00179049+0.00066638i, +0.00115305+0.00131139i, -0.00225294+0.00033408i, +0.00008261+0.00031101i, -0.00008427+0.00079138i, -0.00090501-0.00011359i, -0.00021465+0.00157991i, +0.00111000+0.00005709i, +0.00033576-0.00001359i, +0.00170866+0.00152952i, +0.00163703+0.00152798i, +0.00013135-0.00213806i, -0.00167669-0.00029419i, -0.00045513+0.00044767i, +0.00013959+0.00103289i, +0.00023247+0.00067806i, -0.00054545-0.00046052i, +0.00120692+0.00075999i, +0.00088210+0.00053842i, +0.00035999-0.00129180i, +0.00016714-0.00059170i, -0.00009361-0.00015138i, -0.00033561-0.00124769i, +0.00108338+0.00031024i, +0.00108567+0.00078660i, -0.00185161+0.00151043i, -0.00183158-0.00145298i, -0.00075669-0.00132777i, +0.00025699+0.00094335i, +0.00001540-0.00135389i, +0.00129876-0.00021521i, +0.00083885-0.00148412i, +0.00142221+0.00096537i, +0.00271853-0.00113018i
-0.00067575-0.00015305i, +0.00094487-0.00059255i, +0.00037500+0.00047716i, -0.00067978+0.00035839i, +0.00084295-0.00225461i, -0.00039675+0.00017864i, +0.00060766-0.00093856i, +0.00050436-0.00035335i, +0.00058464+0.00127484i, -0.00088112+0.00051942i, +0.00055126+0.00002573i, +0.00136647-0.00089358i, -0.00122808+0.00079317i, -0.00001536-0.00018144i, +0.00024814+0.00045019i, +0.00046069-0.00004082i, +0.00068750+0.00221804i, +0.00045817+0.00004558i, +0.00046935+0.00149514i, -0.00134978-0.00087751i, +0.01862458+0.00000000i, -0.00060582-0.00086746i, -0.00067752+0.00076461i, -0.00020285-0.00014257i, +0.00083765-0.00014442i, +0.00013053-0.00072972i, +0.00011578+0.00037407i, +0.00009611-0.00016337i, +0.00090602-0.00204456i, +0.00007179-0.00131978i, +0.00162744-0.00020201i, -0.00035980-0.00123881i, +0.00240640+0.00100054i, -0.00008558-0.00003194i, +0.00062548-0.00032200i, +0.00045773+0.00026888i, -0.00042439-0.00122615i, -0.00090927-0.00048729i, +0.00011082+0.00027518i, +0.00005689-0.00083928i, -0.00103833-0.00188266i, -0.00042749+0.00113861i, +0.00112032+0.00087072i, +0.00018578-0.00051749i, +0.00012234-0.00063309i, +0.00009867-0.00053863i, +0.00008331+0.00027203i, -0.00040363-0.00017734i, -0.00085060-0.00005155i, -0.00051228+0.00054725i, -0.00016348+0.00029973i, -0.00014270+0.00016538i, +0.00004865+0.00132707i, -0.00101922-0.00078076i, -0.00023998-0.00069402i, +0.00070497-0.00079676i, -0.00015275+0.00118945i, -0.00008393+0.00078352i, +0.00043992-0.00062557i, -0.00010273+0.00017525i, -0.00026502+0.00020580i, -0.00068107+0.00028977i, -0.00089817-0.00096570i, -0.00124202-0.00002439i
+0.00080320-0.00011457i, -0.00038010+0.00117986i, -0.00071487-0.00005916i, +0.00023865-0.00023231i, +0.00143519+0.00109961i, +0.00069634-0.00142242i, +0.00027914+0.00111113i, +0.00034740+0.00053646i, -0.00120700-0.00081836i, -0.00024862-0.00066499i, +0.00004630+0.00028196i, -0.00041188+0.00128852i, +0.00016643-0.00151399i, -0.00040024+0.00003349i, -0.00049597-0.00013904i, -0.00063445+0.00030996i, -0.00144448-0.00059329i, +0.00000760+0.00071444i, -0.00121414-0.00057955i, +0.00168337-0.00107802i, -0.00060582+0.00086746i, +0.01622473+0.00000000i, +0.00037430-0.00022776i, +0.00059160-0.00028703i, +0.00101175+0.00093976i, +0.00068030+0.00073284i, -0.00049528-0.00056498i, -0.00068218+0.00057782i, +0.00133886+0.00180050i, +0.00184040+0.00098103i, -0.00092437+0.00071086i, +0.00071995+0.00101717i, -0.00151814+0.00046765i, +0.00088490+0.00057782i, +0.00004732+0.00057144i, -0.00044176+0.00027485i, +0.00022547+0.00081991i, +0.00018886-0.00059983i, -0.00001040-0.00040497i, +0.00083365+0.00064818i, +0.00138327+0.00050582i, -0.00107559-0.00214031i, -0.00106926-0.00009940i, -0.00016050+0.00053638i, +0.00039338+0.00030938i, +0.00007044+0.00074008i, -0.00044932-0.00019235i, +0.00019211-0.00023593i, +0.00015703+0.00011142i, -0.00061727-0.00046013i, -0.00013220-0.00022056i, +0.00013698-0.00017777i, -0.00073605-0.00109923i, +0.00049902+0.00019572i, +0.00033713-0.00014958i, -0.00054555+0.00059471i, -0.00155287-0.00021097i, -0.00163697-0.00031413i, +0.00028389+0.00048498i, +0.00000097-0.00042779i, +0.00055842-0.00055853i, +0.00025157-0.00090467i, +0.00109050+0.00041450i, +0.00113120-0.00075213i
+0.00102791+0.00015613i, -0.00082447+0.00037281i, -0.00077636-0.00062567i, +0.00023060+0.00001030i, -0.00009772+0.00155656i, +0.00027420-0.00017598i, -0.00054810-0.00017731i, -0.00055390+0.00030410i, -0.00002497-0.00102515i, +0.00069836+0.00023872i, -0.00027848-0.00019228i, -0.00094870+0.00023181i, +0.00062640+0.00015219i, -0.00044746-0.00008884i, -0.00078027-0.00076305i, -0.00068689-0.00025299i, +0.00027310-0.00100571i, +0.00012971+0.00070335i, +0.00011785-0.00085469i, +0.00090002+0.00050223i, -0.00067752-0.00076461i, +0.00037430+0.00022776i, +0.01544312+0.00000000i, +0.00044780-0.00042486i, -0.00065509-0.00016950i, +0.00003900+0.00013063i, +0.00046018-0.00080808i, -0.00042391-0.00004712i, +0.00008798+0.00165222i, -0.00023710+0.00055115i, -0.00018057-0.00044787i, -0.00058681+0.00108804i, -0.00069013-0.00058393i, +0.00016342+0.00010002i, -0.00060337-0.00051497i, -0.00056767-0.00003271i, -0.00085282+0.00076962i, +0.00051267+0.00063486i, -0.00027677-0.00025018i, +0.00004216+0.00050916i, +0.00032441+0.00102841i, +0.00078483-0.00076846i, +0.00000672-0.00042568i, -0.00066003-0.00004164i, -0.00005143+0.00018605i, +0.00002227+0.00027261i, +0.00034940-0.00005066i, +0.00025122+0.00027973i, -0.00017383+0.00016452i, -0.00005673-0.00034911i, +0.00119936-0.00034632i, +0.00026788-0.00009865i, +0.00029280-0.00062533i, +0.00031151+0.00078395i, +0.00019477+0.00066058i, -0.00074978-0.00007760i, -0.00062352-0.00098412i, +0.00002757-0.00024838i, +0.00039236+0.00016159i, +0.00028580+0.00002582i, +0.00057448+0.00013065i, +0.00059760-0.00025843i, +0.00040696+0.00158029i, +0.00102034+0.00023962i
+0.00040530+0.00041307i, -0.00065025+0.00006027i, -0.00022174-0.00016481i, -0.00036290-0.00062036i, -0.00025119+0.00095928i, +0.00064723-0.00026304i, -0.00032037+0.00030597i, -0.00005165-0.00029682i, -0.00007463+0.00019976i, +0.00030986+0.00022595i, -0.00008542+0.00003518i, -0.00046745+0.00031147i, +0.00038500-0.00044864i, +0.00011641-0.00016890i, +0.00036986-0.00063449i, -0.00065233-0.00091496i, +0.00040502-0.00083624i, +0.00010093+0.00043951i, -0.00017766-0.00023015i, +0.00064482+0.00017383i, -0.00020285+0.00014257i, +0.00059160+0.00028703i, +0.00044780+0.00042486i, +0.01539738-0.00000000i, -0.00029543+0.00027066i, +0.00059047+0.00044182i, +0.00034456-0.00053841i, -0.00025443-0.00024709i, -0.00084083+0.00046370i, -0.00086346+0.00034747i, -0.00026778-0.00047724i, -0.00035172+0.00050675i, -0.00053157-0.00037943i, -0.00006435+0.00037382i, -0.00038945+0.00020722i, -0.00068150-0.00046753i, -0.00063163+0.00013880i, +0.00018252+0.00080462i, +0.00007009+0.00031877i, -0.00050456+0.00023650i, -0.00050726+0.00058351i, +0.00062836-0.00040815i, -0.00023387-0.00054921i, +0.00017652+0.00058655i, +0.00007769+0.00030971i, +0.00006921+0.00014308i, -0.00013511-0.00031988i, +0.00037136+0.00027494i, -0.00011925-0.00010574i, +0.00053771+0.00001519i, +0.00011249-0.00031312i, +0.00114242-0.00005136i, +0.00043386-0.00090634i, +0.00011065+0.00036024i, +0.00012548+0.00022606i, -0.00018628-0.00046230i, +0.00009068-0.00061262i, +0.00004540-0.00049239i, -0.00002276+0.00000495i, +0.00083559+0.00000756i, -0.00021861+0.00028737i, +0.00063952+0.00011268i, -0.00026188+0.00065361i, +0.00061857+0.00100716i
-0.00002716-0.00037496i, +0.00128510+0.00054208i, -0.00008532+0.00054396i, -0.00045888-0.00010517i, +0.00134578-0.00094928i, -0.00041853-0.00020306i, +0.00134837+0.00043646i, +0.00090508+0.00007202i, -0.00113910+0.00094848i, -0.00056833-0.00050011i, +0.00003805+0.00013661i, +0.00091694+0.00096986i, -0.00126523-0.00015270i, +0.00011170+0.00035408i, -0.00005414+0.00089741i, +0.00002518+0.00073331i, -0.00132893+0.00104119i, +0.00021332+0.00057094i, -0.00099497+0.00108033i, +0.00027039-0.00164037i, +0.00083765+0.00014442i, +0.00101175-0.00093976i, -0.00065509+0.00016950i, -0.00029543-0.00027066i, +0.01756066-0.00000000i, +0.00089652-0.00081812i, -0.00085736+0.00017430i, -0.00000654+0.00095362i, +0.00191134-0.00019995i, +0.00156323-0.00002410i, +0.00021487+0.00062573i, +0.00080926-0.00013767i, -0.00021146+0.00172307i, +0.00008538+0.00000418i, +0.00044868+0.00019361i, +0.00003855+0.00017693i, +0.00045402+0.00016201i, -0.00001550-0.00088338i, -0.00032961+0.00008638i, +0.00075821-0.00040216i, +0.00141107-0.00112605i, -0.00135585-0.00009888i, -0.00039068+0.00111687i, +0.00034923+0.00008590i, +0.00106310+0.00029983i, +0.00028056-0.00016750i, -0.00057611+0.00021386i, -0.00006131-0.00057591i, +0.00022004-0.00053048i, -0.00089269-0.00014248i, -0.00017552-0.00003980i, -0.00011304-0.00043428i, -0.00076995+0.00006384i, +0.00005327-0.00064262i, +0.00004551-0.00046432i, +0.00001394+0.00065532i, -0.00100052+0.00068610i, -0.00120138+0.00020810i, +0.00039596+0.00001385i, -0.00034751-0.00004090i, +0.00057994-0.00091725i, -0.00098704-0.00045924i, +0.00056959-0.00065439i, -0.00008121-0.00102760i
