+0.02782530+0.00000000i, -0.00005066+0.00322448i, +0.00199269+0.00119560i, +0.00255298-0.00084140i, -0.00016904+0.00115402i, -0.00019355+0.00036565i, +0.00086243-0.00125754i, +0.00074043-0.00038943i, +0.00311165-0.00137391i, +0.00009295+0.00107859i, +0.00074584+0.00099918i, +0.00021725+0.00097627i, +0.00002101+0.00067520i, -0.00002475+0.00135863i, +0.00202093+0.00164285i, +0.00077196+0.00107562i, +0.00033556+0.00236446i, +0.00008201-0.00021188i, -0.00129793-0.00005086i, +0.00178097+0.00144164i, -0.00041735-0.00305677i, -0.00066740+0.00033682i, +0.00012413-0.00025691i, +0.00012309+0.00194950i, +0.00066483-0.00088402i, +0.00109203+0.00164848i, +0.00037032+0.00038501i, +0.00107311-0.00121492i, +0.00173324-0.00041837i, +0.00082763-0.00007671i, -0.00155301+0.00231525i, +0.00160295-0.00135050i
+0.00021725-0.00097627i, +0.00178897+0.00004411i, +0.00087653+0.00022527i, +0.00130440-0.00067634i, +0.00081084-0.00014304i, +0.00145738+0.00023728i, -0.00094965-0.00049246i, +0.00124574-0.00050024i, +0.00110560-0.00159622i, +0.00035867+0.00099683i, +0.00107168-0.00000323i, +0.02656796-0.00000000i, +0.00039074+0.00061399i, -0.00040222+0.00065320i, +0.00019932-0.00183399i, +0.00047270-0.00018764i, -0.00032766+0.00019930i, +0.00118031-0.00090223i, -0.00047563+0.00030745i, +0.00021831-0.00105253i, -0.00105371-0.00099315i, -0.00054718-0.00004721i, -0.00022797-0.00001061i, +0.00110060+0.00070563i, +0.00037509+0.00129499i, +0.00051777+0.00021394i, +0.00037750-0.00096144i, -0.00014669-0.00156963i, +0.00048382-0.00042222i, +0.00007575-0.00088084i, +0.00001438+0.00087731i, -0.00012721-0.00085107i
+0.00002101-0.00067520i, +0.00180786-0.00324167i, -0.00004438-0.00147584i, -0.00068454-0.00013939i, +0.00132498-0.00233488i, -0.00029378+0.00064371i, -0.00125827-0.00020199i, -0.00087289-0.00090557i, -0.00235559-0.00158814i, +0.00083362-0.00160623i, -0.00054950-0.00015349i, +0.00039074-0.00061399i, +0.02820937+0.00000000i, +0.00248765+0.00021250i, -0.00151878-0.00192779i, +0.00119975-0.00138619i, -0.00170829-0.00115095i, -0.00081455-0.00058970i, +0.00076396+0.00110077i, -0.00091375-0.00277316i, -0.00240775+0.00308405i, -0.00018631+0.00067875i, -0.00009669-0.00032128i, +0.00110840-0.00148709i, +0.00023640+0.00216327i, +0.00066870-0.00209728i, -0.00046788-0.00129278i, -0.00132293+0.00010478i, -0.00202693-0.00194066i, +0.00031704+0.00002184i, +0.00329664+0.00018691i, -0.00264333+0.00044636i
-0.00002475-0.00135863i, +0.00334548-0.00578261i, -0.00022643-0.00168651i, -0.00195240-0.00172800i, +0.00122619-0.00064782i, +0.00130313+0.00090441i, -0.00216808+0.00141260i, -0.00283800-0.00251840i, -0.00386309-0.00205420i, +0.00170932-0.00262755i, -0.00047779-0.00204305i, -0.00040222-0.00065320i, +0.00248765-0.00021250i, +0.03060291+0.00000000i, -0.00158630-0.00263896i, +0.00241958-0.00146734i, -0.00008714-0.00252386i, -0.00142678-0.00034319i, +0.00222532+0.00099464i, +0.00112059-0.00494411i, -0.00314492+0.00378036i, -0.00070844+0.00156561i, +0.00118668-0.00180099i, +0.00213383-0.00380580i, -0.00023291+0.00346133i, +0.00263179-0.00319245i, -0.00128206-0.00148473i, -0.00200557-0.00019062i, -0.00207199-0.00029020i, -0.00085914-0.00199963i, +0.00502124+0.00102296i, -0.00400137-0.00021179i
+0.00202093-0.00164285i, +0.00486340+0.00245041i, +0.00245974-0.00043743i, +0.00035570-0.00184966i, +0.00142369+0.00041864i, -0.00067169+0.00079457i, -0.00084435-0.00474410i, +0.00165216-0.00084420i, +0.00304812-0.00305039i, +0.00246186+0.00146272i, +0.00144654-0.00040271i, +0.00019932+0.00183399i, -0.00151878+0.00192779i, -0.00158630+0.00263896i, +0.03086159+0.00000000i, +0.00063593+0.00192777i, +0.00295009-0.00154126i, +0.00106910+0.00005296i, -0.00120817+0.00219485i, +0.00594317-0.00052962i, -0.00366281-0.00394555i, -0.00075161+0.00044504i, -0.00024082+0.00284993i, +0.00264946+0.00363395i, -0.00422079-0.00125344i, +0.00275232+0.00161305i, +0.00221246-0.00207943i, -0.00005115-0.00305047i, +0.00136168-0.00099949i, +0.00145668+0.00030243i, -0.00210139+0.00520049i, +0.00056158-0.00522653i
+0.00077196-0.00107562i, +0.00274579-0.00153694i, +0.00134286-0.00144175i, -0.00079750-0.00169160i, +0.00022262+0.00071324i, -0.00047270+0.00077307i, -0.00163762-0.00058041i, +0.00169502-0.00336629i, -0.00048019-0.00334982i, +0.00140618+0.00091192i, +0.00149219-0.00025377i, +0.00047270+0.00018764i, +0.00119975+0.00138619i, +0.00241958+0.00146734i, +0.00063593-0.00192777i, +0.02817993+0.00000000i, +0.00045582-0.00147714i, -0.00116886-0.00189266i, +0.00059226+0.00110399i, +0.00260112-0.00235494i, -0.00223067+0.00014039i, +0.00033982+0.00108291i, +0.00060448-0.00029591i, +0.00091093+0.00144099i, -0.00166477+0.00162404i, +0.00147491-0.00140760i, +0.00063475-0.00112460i, -0.00055821-0.00144091i, -0.00076576-0.00157802i, +0.00104688+0.00014086i, +0.00234012+0.00326210i, -0.00291408-0.00339523i
+0.00033556-0.00236446i, +0.00364897+0.00225663i, +0.00209990-0.00065350i, +0.00079953-0.00150642i, +0.00124687+0.00104107i, -0.00012345+0.00018648i, -0.00064444-0.00307542i, +0.00148281-0.00035361i, +0.00200449-0.00216491i, +0.00159412+0.00137099i, +0.00267577-0.00106442i, -0.00032766-0.00019930i, -0.00170829+0.00115095i, -0.00008714+0.00252386i, +0.00295009+0.00154126i, +0.00045582+0.00147714i, +0.03071578-0.00000000i, +0.00032073-0.00082789i, -0.00070802+0.00148036i, +0.00588188+0.00156895i, -0.00266953-0.00257606i, -0.00108111+0.00047220i, +0.00170749+0.00095308i, +0.00130145+0.00253876i, -0.00378934-0.00145814i, +0.00237421+0.00085604i, +0.00114780-0.00066996i, +0.00068136-0.00189769i, +0.00077485-0.00082527i, +0.00094600-0.00050761i, -0.00239714+0.00444383i, -0.00006330-0.00291257i
+0.00008201+0.00021188i, -0.00011108-0.00064333i, -0.00029095+0.00105519i, +0.00117199-0.00049215i, +0.00098616+0.00001062i, +0.00029426-0.00056365i, +0.00056314-0.00120361i, +0.00048182+0.00027650i, +0.00146101-0.00009199i, -0.00018834+0.00159148i, +0.00070261+0.00046827i, +0.00118031+0.00090223i, -0.00081455+0.00058970i, -0.00142678+0.00034319i, +0.00106910-0.00005296i, -0.00116886+0.00189266i, +0.00032073+0.00082789i, +0.03086362-0.00000000i, -0.00013618-0.00055223i, +0.00166649-0.00015840i, -0.00013035-0.00174757i, -0.00156655+0.00114553i, +0.00089312+0.00004761i, +0.00079845+0.00108168i, -0.00107882-0.00092778i, +0.00010708+0.00110032i, +0.00019979-0.00043682i, +0.00067713+0.00002808i, +0.00081242+0.00032123i, +0.00020547+0.00076355i, -0.00207776+0.00138134i, +0.00056232-0.00143675i
-0.00129793+0.00005086i, -0.00026940-0.00509192i, -0.00200342-0.00441038i, -0.00241430+0.00022671i, +0.00045095-0.00211771i, +0.00083787+0.00021104i, -0.00199994+0.00241645i, -0.00115459-0.00162831i, -0.00373222+0.00025895i, +0.00083690-0.00299347i, -0.00131834-0.00135546i, -0.00047563-0.00030745i, +0.00076396-0.00110077i, +0.00222532-0.00099464i, -0.00120817-0.00219485i, +0.00059226-0.00110399i, -0.00070802-0.00148036i, -0.00013618+0.00055223i, +0.02983303-0.00000000i, -0.00221841-0.00428823i, -0.00096928+0.00458384i, +0.00062424-0.00035630i, +0.00098440-0.00110619i, +0.00151642-0.00343223i, +0.00015252+0.00272385i, -0.00020749-0.00342555i, -0.00162859-0.00218064i, -0.00184390+0.00168579i, -0.00148918+0.00076903i, -0.00064585-0.00059069i, +0.00462132-0.00255357i, -0.00318757+0.00260770i
+0.00178097-0.00144164i, +0.00921741+0.00370377i, +0.00388730-0.00191061i, +0.00030345-0.00584733i, +0.00146138+0.00145173i, -0.00145744+0.00147964i, -0.00165218-0.00609657i, +0.00205710-0.00276853i, +0.00393299-0.00496608i, +0.00487911+0.00364639i, +0.00389936-0.00160483i, +0.00021831+0.00105253i, -0.00091375+0.00277316i, +0.00112059+0.00494411i, +0.00594317+0.00052962i, +0.00260112+0.00235494i, +0.00588188-0.00156895i, +0.00166649+0.00015840i, -0.00221841+0.00428823i, +0.03965368-0.00000000i, -0.00568255-0.00591428i, -0.00117708+0.00128992i, +0.00309338+0.00171579i, +0.00516057+0.00503383i, -0.00626927-0.00037787i, +0.00684294+0.00216175i, +0.00445893-0.00191705i, +0.00053535-0.00409390i, +0.00063856-0.00376000i, +0.00079685-0.00014003i, -0.00083872+0.00853815i, -0.00035219-0.00990863i
-0.00041735+0.00305677i, -0.00753681+0.00321779i, -0.00298843+0.00283287i, +0.00095267+0.00210125i, -0.00210371-0.00128082i, -0.00039306-0.00172012i, +0.00479662+0.00111340i, -0.00013287+0.00271581i, +0.00234327+0.00679822i, -0.00552380+0.00154469i, -0.00094239+0.00279464i, -0.00105371+0.00099315i, -0.00240775-0.00308405i, -0.00314492-0.00378036i, -0.00366281+0.00394555i, -0.00223067-0.00014039i, -0.00266953+0.00257606i, -0.00013035+0.00174757i, -0.00096928-0.00458384i, -0.00568255+0.00591428i, +0.03532826+0.00000000i, +0.00106697-0.00140800i, -0.00446495-0.00026669i, -0.00548496-0.00098861i, +0.00449101-0.00413710i, -0.00540485+0.00137033i, -0.00185912+0.00251312i, +0.00220646+0.00137333i, +0.00030268+0.00322088i, -0.00192868+0.00148488i, -0.00451485-0.00643538i, +0.00565622+0.00431987i
