+0.02782530+0.00000000i, -0.00005066+0.00322448i, +0.00199269+0.00119560i, +0.00255298-0.00084140i, -0.00016904+0.00115402i, -0.00019355+0.00036565i, +0.00086243-0.00125754i, +0.00074043-0.00038943i, +0.00311165-0.00137391i, +0.00009295+0.00107859i, +0.00074584+0.00099918i, +0.00021725+0.00097627i, +0.00002101+0.00067520i, -0.00002475+0.00135863i, +0.00202093+0.00164285i, +0.00077196+0.00107562i, +0.00033556+0.00236446i, +0.00008201-0.00021188i, -0.00129793-0.00005086i, +0.00178097+0.00144164i, -0.00041735-0.00305677i, -0.00066740+0.00033682i, +0.00012413-0.00025691i, +0.00012309+0.00194950i, +0.00066483-0.00088402i, +0.00109203+0.00164848i, +0.00037032+0.00038501i, +0.00107311-0.00121492i, +0.00173324-0.00041837i, +0.00082763-0.00007671i, -0.00155301+0.00231525i, +0.00160295-0.00135050i
-0.00066740-0.00033682i, -0.00174334-0.00090900i, -0.00055083-0.00023407i, -0.00046450-0.00036192i, -0.00058536+0.00028040i, -0.00168902-0.00199092i, +0.00015846+0.00062322i, +0.00081671+0.00032906i, -0.00126374+0.00045577i, +0.00004330+0.00018757i, +0.00010935-0.00005862i, -0.00054718+0.00004721i, -0.00018631-0.00067875i, -0.00070844-0.00156561i, -0.00075161-0.00044504i, +0.00033982-0.00108291i, -0.00108111-0.00047220i, -0.00156655-0.00114553i, +0.00062424+0.00035630i, -0.00117708-0.00128992i, +0.00106697+0.00140800i, +0.02717344-0.00000000i, -0.00091573-0.00138911i, +0.00123952-0.00244310i, +0.00076250+0.00014265i, +0.00013314-0.00118365i, -0.00039206-0.00073255i, +0.00017643+0.00148662i, -0.00038183+0.00027385i, -0.00174334+0.00025964i, +0.00150391-0.00131564i, -0.00082437+0.00083837i
+0.00012413+0.00025691i, +0.00267802-0.00091743i, +0.00015693-0.00092106i, -0.00070822-0.00046437i, +0.00094605+0.00045477i, +0.00070086+0.00095554i, -0.00351645-0.00255561i, +0.00054308-0.00137517i, -0.00048798-0.00153417i, +0.00206018-0.00010205i, +0.00066748-0.00200398i, -0.00022797+0.00001061i, -0.00009669+0.00032128i, +0.00118668+0.00180099i, -0.00024082-0.00284993i, +0.00060448+0.00029591i, +0.00170749-0.00095308i, +0.00089312-0.00004761i, +0.00098440+0.00110619i, +0.00309338-0.00171579i, -0.00446495+0.00026669i, -0.00091573+0.00138911i, +0.02750141+0.00000000i, +0.00172903+0.00102722i, -0.00253234+0.00165017i, +0.00223711-0.00087030i, -0.00098741-0.00159665i, -0.00110512-0.00050827i, -0.00090131-0.00234663i, +0.00054371-0.00071523i, +0.00052189+0.00365797i, -0.00161769-0.00081559i
+0.00012309-0.00194950i, +0.00613137-0.00269217i, +0.00144068-0.00286833i, -0.00146731-0.00274453i, +0.00202642-0.00022039i, +0.00016066+0.00125535i, -0.00432030-0.00104368i, +0.00056271-0.00434456i, -0.00120448-0.00472770i, +0.00496571+0.00022505i, +0.00076497-0.00201217i, +0.00110060-0.00070563i, +0.00110840+0.00148709i, +0.00213383+0.00380580i, +0.00264946-0.00363395i, +0.00091093-0.00144099i, +0.00130145-0.00253876i, +0.00079845-0.00108168i, +0.00151642+0.00343223i, +0.00516057-0.00503383i, -0.00548496+0.00098861i, +0.00123952+0.00244310i, +0.00172903-0.00102722i, +0.03264591+0.00000000i, -0.00375242+0.00305931i, +0.00381253-0.00301792i, +0.00096359-0.00363429i, -0.00381234-0.00085181i, -0.00265989-0.00160680i, +0.00074135-0.00233329i, +0.00446884+0.00549910i, -0.00461581-0.00275312i
+0.00066483+0.00088402i, -0.00696692-0.00240897i, -0.00389756+0.00099703i, -0.00037764+0.00278711i, -0.00139825-0.00056182i, +0.00150849-0.00164388i, +0.00304317+0.00480659i, -0.00195319+0.00195741i, -0.00235985+0.00452255i, -0.00353261-0.00266421i, -0.00265946+0.00097340i, +0.00037509-0.00129499i, +0.00023640-0.00216327i, -0.00023291-0.00346133i, -0.00422079+0.00125344i, -0.00166477-0.00162404i, -0.00378934+0.00145814i, -0.00107882+0.00092778i, +0.00015252-0.00272385i, -0.00626927+0.00037787i, +0.00449101+0.00413710i, +0.00076250-0.00014265i, -0.00253234-0.00165017i, -0.00375242-0.00305931i, +0.03308341-0.00000000i, -0.00534572-0.00034459i, -0.00080170+0.00209595i, +0.00149929+0.00266960i, -0.00119937+0.00368971i, -0.00142845+0.00016755i, +0.00143141-0.00585427i, +0.00004220+0.00594089i
+0.00109203-0.00164848i, +0.00897009+0.00036699i, +0.00268294-0.00133482i, -0.00054996-0.00263065i, +0.00235966+0.00048003i, -0.00098380+0.00168462i, -0.00228971-0.00303270i, +0.00221621-0.00129192i, +0.00061389-0.00472962i, +0.00553299+0.00217037i, +0.00181370-0.00135182i, +0.00051777-0.00021394i, +0.00066870+0.00209728i, +0.00263179+0.00319245i, +0.00275232-0.00161305i, +0.00147491+0.00140760i, +0.00237421-0.00085604i, +0.00010708-0.00110032i, -0.00020749+0.00342555i, +0.00684294-0.00216175i, -0.00540485-0.00137033i, +0.00013314+0.00118365i, +0.00223711+0.00087030i, +0.00381253+0.00301792i, -0.00534572+0.00034459i, +0.03332788+0.00000000i, +0.00190737-0.00198139i, -0.00194316-0.00262996i, +0.00012632-0.00317598i, +0.00089211-0.00092345i, +0.00090734+0.00641317i, -0.00256588-0.00434673i
+0.00037032-0.00038501i, +0.00257543+0.00328354i, +0.00422170+0.00057957i, +0.00094933-0.00118678i, -0.00004591+0.00151678i, -0.00063777+0.00005127i, +0.00204886-0.00293489i, +0.00228173+0.00008273i, +0.00276498-0.00081092i, +0.00040063+0.00190828i, +0.00369613+0.00113063i, +0.00037750+0.00096144i, -0.00046788+0.00129278i, -0.00128206+0.00148473i, +0.00221246+0.00207943i, +0.00063475+0.00112460i, +0.00114780+0.00066996i, +0.00019979+0.00043682i, -0.00162859+0.00218064i, +0.00445893+0.00191705i, -0.00185912-0.00251312i, -0.00039206+0.00073255i, -0.00098741+0.00159665i, +0.00096359+0.00363429i, -0.00080170-0.00209595i, +0.00190737+0.00198139i, +0.02923153+0.00000000i, +0.00017632-0.00145319i, +0.00091585-0.00099546i, +0.00104758+0.00069876i, -0.00194306+0.00354509i, +0.00218375-0.00273232i
+0.00107311+0.00121492i, -0.00191737+0.00381098i, +0.00023753+0.00188935i, +0.00404751-0.00012308i, -0.00089909+0.00092154i, -0.00143824+0.00020096i, +0.00242366-0.00128785i, +0.00013607+0.00059217i, +0.00291230+0.00150051i, -0.00121612+0.00204639i, +0.00047670+0.00179985i, -0.00014669+0.00156963i, -0.00132293-0.00010478i, -0.00200557+0.00019062i, -0.00005115+0.00305047i, -0.00055821+0.00144091i, +0.00068136+0.00189769i, +0.00067713-0.00002808i, -0.00184390-0.00168579i, +0.00053535+0.00409390i, +0.00220646-0.00137333i, +0.00017643-0.00148662i, -0.00110512+0.00050827i, -0.00381234+0.00085181i, +0.00149929-0.00266960i, -0.00194316+0.00262996i, +0.00017632+0.00145319i, +0.03036544-0.00000000i, +0.00189317+0.00100382i, +0.00024154+0.00010031i, -0.00336596-0.00276138i, +0.00392063+0.00007785i
+0.00173324+0.00041837i, -0.00063332+0.00408409i, +0.00129583+0.00066653i, +0.00118711-0.00029875i, -0.00234062+0.00086923i, -0.00040573-0.00030294i, +0.00445003-0.00192602i, +0.00123557+0.00143540i, +0.00271573+0.00168456i, -0.00186170+0.00151984i, +0.00129455+0.00201993i, +0.00048382+0.00042222i, -0.00202693+0.00194066i, -0.00207199+0.00029020i, +0.00136168+0.00099949i, -0.00076576+0.00157802i, +0.00077485+0.00082527i, +0.00081242-0.00032123i, -0.00148918-0.00076903i, +0.00063856+0.00376000i, +0.00030268-0.00322088i, -0.00038183-0.00027385i, -0.00090131+0.00234663i, -0.00265989+0.00160680i, -0.00119937-0.00368971i, +0.00012632+0.00317598i, +0.00091585+0.00099546i, +0.00189317-0.00100382i, +0.03344728-0.00000000i, +0.00002988+0.00010779i, -0.00541896-0.00046792i, +0.00312666-0.00154147i
+0.00082763+0.00007671i, +0.00291915+0.00187214i, +0.00142062+0.00008449i, -0.00038518-0.00072868i, +0.00073103+0.00079002i, -0.00090315+0.00051951i, -0.00017492-0.00158796i, -0.00029210-0.00036772i, +0.00085109-0.00094567i, +0.00142628+0.00165357i, +0.00080943-0.00013893i, +0.00007575+0.00088084i, +0.00031704-0.00002184i, -0.00085914+0.00199963i, +0.00145668-0.00030243i, +0.00104688-0.00014086i, +0.00094600+0.00050761i, +0.00020547-0.00076355i, -0.00064585+0.00059069i, +0.00079685+0.00014003i, -0.00192868-0.00148488i, -0.00174334-0.00025964i, +0.00054371+0.00071523i, +0.00074135+0.00233329i, -0.00142845-0.00016755i, +0.00089211+0.00092345i, +0.00104758-0.00069876i, +0.00024154-0.00010031i, +0.00002988-0.00010779i, +0.02882233-0.00000000i, -0.00023398+0.00117169i, +0.00141173-0.00167806i
-0.00155301-0.00231525i, +0.00117940-0.00815144i, -0.00203027-0.00402444i, -0.00259161+0.00054008i, +0.00278695-0.00180105i, +0.00163521+0.00040623i, -0.00349840+0.00405962i, -0.00372862-0.00333161i, -0.00673947-0.00298886i, +0.00263632-0.00476126i, -0.00180997-0.00358370i, +0.00001438-0.00087731i, +0.00329664-0.00018691i, +0.00502124-0.00102296i, -0.00210139-0.00520049i, +0.00234012-0.00326210i, -0.00239714-0.00444383i, -0.00207776-0.00138134i, +0.00462132+0.00255357i, -0.00083872-0.00853815i, -0.00451485+0.00643538i, +0.00150391+0.00131564i, +0.00052189-0.00365797i, +0.00446884-0.00549910i, +0.00143141+0.00585427i, +0.00090734-0.00641317i, -0.00194306-0.00354509i, -0.00336596+0.00276138i, -0.00541896+0.00046792i, -0.00023398-0.00117169i, +0.03649525+0.00000000i, -0.00813668+0.00248650i
+0.00160295+0.00135050i, -0.00157049+0.00822329i, +0.00146896+0.00395547i, +0.00288126+0.00009113i, -0.00180643+0.00075268i, -0.00161027-0.00158804i, +0.00440348-0.00239709i, +0.00165227+0.00228808i, +0.00435665+0.00366830i, -0.00342822+0.00337478i, +0.00064461+0.00311125i, -0.00012721+0.00085107i, -0.00264333-0.00044636i, -0.00400137+0.00021179i, +0.00056158+0.00522653i, -0.00291408+0.00339523i, -0.00006330+0.00291257i, +0.00056232+0.00143675i, -0.00318757-0.00260770i, -0.00035219+0.00990863i, +0.00565622-0.00431987i, -0.00082437-0.00083837i, -0.00161769+0.00081559i, -0.00461581+0.00275312i, +0.00004220-0.00594089i, -0.00256588+0.00434673i, +0.00218375+0.00273232i, +0.00392063-0.00007785i, +0.00312666+0.00154147i, +0.00141173+0.00167806i, -0.00813668-0.00248650i, +0.03663624-0.00000000i
