+0.00011994-0.00074463i, -0.00034944-0.00061478i, -0.00025187-0.00046944i, +0.00002584-0.00013550i, -0.00083087-0.00001235i, +0.00013625-0.00049601i, +0.00049780+0.00004431i, +0.00080783+0.00002420i, +0.00039151+0.00031754i, +0.00016414+0.00161782i, -0.00017709-0.00081157i, +0.03053866+0.00000000i, -0.00048869-0.00060848i, +0.00011452-0.00073697i, -0.00032110+0.00005073i, +0.00055439+0.00014617i, +0.00036892-0.00018633i, -0.00056051+0.00049738i, +0.00008423-0.00004404i, +0.00121534-0.00030168i, +0.00052266-0.00006793i, +0.00072702+0.00024496i, +0.00000563+0.00041097i, +0.00011761+0.00048898i, +0.00033182+0.00038710i, +0.00047093-0.00020256i, +0.00018377-0.00036138i, -0.00021101+0.00059995i, -0.00017275+0.00046561i, -0.00092163+0.00022610i, +0.00043623-0.00043302i, -0.00064779+0.00004433i
+0.00161906-0.00006167i, +0.00156133-0.00074748i, +0.00096226+0.00015727i, -0.00061666+0.00007822i, +0.00048938-0.00155727i, +0.00138043+0.00032066i, -0.00021749+0.00087069i, -0.00119582+0.00174385i, -0.00082176-0.00029063i, -0.00227953-0.00023724i, +0.00080817-0.00047377i, -0.00048869+0.00060848i, +0.02997605+0.00000000i, +0.00092412+0.00070934i, -0.00040934-0.00027766i, -0.00008222+0.00121202i, -0.00048240+0.00126248i, -0.00071757-0.00091312i, +0.00085025+0.00091234i, +0.00043899+0.00115289i, -0.00021731-0.00011027i, -0.00044991+0.00114405i, -0.00028307+0.00033943i, +0.00034397+0.00059590i, -0.00063287+0.00000699i, -0.00030219+0.00116289i, +0.00048186+0.00100928i, -0.00074288-0.00182877i, -0.00003212+0.00000357i, +0.00041378-0.00141697i, +0.00045263+0.00027017i, +0.00024390-0.00124922i
+0.00130172-0.00024704i, +0.00129567-0.00123248i, +0.00055111-0.00045709i, -0.00117503-0.00077360i, -0.00073462-0.00129531i, +0.00176521-0.00041945i, +0.00015402+0.00123339i, -0.00015637+0.00138416i, +0.00003478-0.00007352i, -0.00236546+0.00079437i, +0.00115019-0.00071856i, +0.00011452+0.00073697i, +0.00092412-0.00070934i, +0.03139317+0.00000000i, +0.00012336-0.00107028i, +0.00068719+0.00202314i, +0.00012084+0.00225714i, -0.00147329-0.00063997i, +0.00134068+0.00016489i, +0.00045770+0.00071703i, -0.00013951+0.00088114i, +0.00025051+0.00056183i, +0.00052998+0.00018612i, +0.00057134+0.00029448i, -0.00103183+0.00052221i, +0.00050112+0.00093545i, +0.00079106+0.00039853i, -0.00201695-0.00159306i, -0.00026814+0.00050969i, -0.00002137-0.00178104i, +0.00005110-0.00009311i, -0.00018607-0.00132427i
+0.00027045+0.00209168i, +0.00069612+0.00143775i, +0.00012371+0.00030479i, +0.00018974-0.00101638i, +0.00070215-0.00005901i, +0.00024440+0.00089947i, -0.00067096-0.00028707i, -0.00096030-0.00127363i, -0.00027939-0.00054232i, -0.00056888-0.00145555i, +0.00069527+0.00120989i, -0.00032110-0.00005073i, -0.00040934+0.00027766i, +0.00012336+0.00107028i, +0.02958234-0.00000000i, -0.00117368-0.00002908i, -0.00180568-0.00045821i, +0.00079067-0.00033892i, +0.00068522+0.00125770i, -0.00096980+0.00062455i, -0.00059758-0.00058624i, -0.00089170-0.00006834i, +0.00065808-0.00040795i, -0.00062092-0.00021913i, -0.00015048-0.00068709i, -0.00046078-0.00009398i, -0.00048607+0.00080437i, +0.00142289-0.00140154i, +0.00037677-0.00006226i, +0.00164858+0.00008659i, +0.00020508+0.00054302i, +0.00099836-0.00013229i
-0.00020845-0.00162283i, -0.00179707-0.00136347i, -0.00019263-0.00043070i, -0.00036798+0.00100287i, -0.00116458-0.00002448i, -0.00027845-0.00153599i, +0.00127503-0.00020922i, +0.00161108+0.00074670i, -0.00010149+0.00034385i, +0.00058771+0.00172319i, -0.00059109-0.00100862i, +0.00055439-0.00014617i, -0.00008222-0.00121202i, +0.00068719-0.00202314i, -0.00117368+0.00002908i, +0.03094035+0.00000000i, +0.00176009-0.00017204i, -0.00058378+0.00115862i, +0.00007085-0.00116533i, +0.00199162-0.00106812i, +0.00000186+0.00040463i, +0.00108520+0.00031491i, +0.00066400-0.00033808i, +0.00142622-0.00060477i, +0.00029797+0.00114111i, +0.00054415-0.00004210i, +0.00052775-0.00042606i, -0.00134291+0.00134236i, -0.00006974+0.00000845i, -0.00175253+0.00013304i, -0.00029258-0.00059156i, -0.00107911+0.00060350i
+0.00014691-0.00274647i, -0.00192302-0.00192594i, -0.00119561-0.00049432i, -0.00050411+0.00195338i, -0.00196139-0.00003350i, -0.00084568-0.00194983i, +0.00113219+0.00004318i, +0.00236737+0.00107454i, +0.00061282+0.00087944i, +0.00155805+0.00304478i, -0.00146256-0.00131728i, +0.00036892+0.00018633i, -0.00048240-0.00126248i, +0.00012084-0.00225714i, -0.00180568+0.00045821i, +0.00176009+0.00017204i, +0.03350716+0.00000000i, -0.00105472+0.00128069i, +0.00009530-0.00188836i, +0.00229582-0.00173474i, +0.00124008+0.00022421i, +0.00205568-0.00002816i, +0.00026239+0.00034986i, +0.00105781-0.00066121i, -0.00061716+0.00096890i, +0.00166272+0.00038077i, +0.00059020-0.00117531i, -0.00282228+0.00156266i, +0.00062602+0.00105520i, -0.00259436-0.00008497i, +0.00025096-0.00005564i, -0.00183322+0.00052034i
-0.00108375+0.00117786i, +0.00005160+0.00084415i, +0.00011001+0.00041415i, +0.00099837-0.00015686i, +0.00061521+0.00070415i, -0.00124377+0.00006684i, -0.00065229-0.00051378i, -0.00014484-0.00185494i, +0.00069510+0.00031619i, +0.00089491-0.00112501i, -0.00064780+0.00097192i, -0.00056051-0.00049738i, -0.00071757+0.00091312i, -0.00147329+0.00063997i, +0.00079067+0.00033892i, -0.00058378-0.00115862i, -0.00105472-0.00128069i, +0.03170408+0.00000000i, -0.00075647+0.00027039i, -0.00180129-0.00069333i, -0.00032132-0.00058549i, +0.00006444-0.00162114i, -0.00075651-0.00015173i, -0.00115421-0.00050334i, +0.00030251-0.00050037i, -0.00115737-0.00072823i, -0.00104197-0.00020400i, +0.00173282+0.00047825i, +0.00011069+0.00021145i, +0.00176932+0.00121604i, -0.00021923+0.00000304i, +0.00067418+0.00009805i
+0.00166398-0.00050104i, +0.00135851-0.00128284i, +0.00065972-0.00098410i, -0.00090021-0.00044493i, -0.00073899-0.00073579i, +0.00132367-0.00072911i, +0.00020287+0.00090272i, -0.00075562+0.00137277i, -0.00039030+0.00035301i, -0.00166721+0.00095592i, +0.00068414-0.00063709i, +0.00008423+0.00004404i, +0.00085025-0.00091234i, +0.00134068-0.00016489i, +0.00068522-0.00125770i, +0.00007085+0.00116533i, +0.00009530+0.00188836i, -0.00075647-0.00027039i, +0.03001132+0.00000000i, +0.00076561+0.00080080i, -0.00038847+0.00048753i, +0.00057383+0.00153596i, -0.00007432+0.00040527i, +0.00029014+0.00093737i, -0.00078435+0.00031705i, +0.00039021+0.00068710i, -0.00012623+0.00010958i, -0.00166107-0.00141810i, +0.00025733+0.00048173i, -0.00014294-0.00186504i, -0.00007610-0.00043300i, -0.00107516-0.00074401i
+0.00105183-0.00140060i, -0.00056149-0.00164572i, +0.00052915-0.00098221i, -0.00088859+0.00001491i, -0.00107307-0.00057551i, +0.00083873-0.00163496i, +0.00102884+0.00048603i, +0.00100885+0.00182303i, -0.00017472+0.00044725i, +0.00003116+0.00190870i, +0.00026808-0.00127415i, +0.00121534+0.00030168i, +0.00043899-0.00115289i, +0.00045770-0.00071703i, -0.00096980-0.00062455i, +0.00199162+0.00106812i, +0.00229582+0.00173474i, -0.00180129+0.00069333i, +0.00076561-0.00080080i, +0.03195280+0.00000000i, +0.00031752+0.00009677i, +0.00082854+0.00115258i, +0.00022590-0.00004721i, +0.00060916+0.00017114i, +0.00009620+0.00048788i, +0.00035815+0.00105434i, +0.00124164+0.00045192i, -0.00282531-0.00012996i, -0.00038553+0.00012840i, -0.00130902-0.00181682i, +0.00059217-0.00090052i, -0.00231670-0.00055766i
-0.00007762-0.00017804i, -0.00076083+0.00002656i, +0.00022257+0.00023606i, +0.00010683+0.00002552i, -0.00009263-0.00001552i, -0.00048470-0.00019933i, +0.00006993+0.00015791i, +0.00077980+0.00005477i, +0.00063305+0.00062054i, +0.00075149+0.00070666i, -0.00016416-0.00034788i, +0.00052266+0.00006793i, -0.00021731+0.00011027i, -0.00013951-0.00088114i, -0.00059758+0.00058624i, +0.00000186-0.00040463i, +0.00124008-0.00022421i, -0.00032132+0.00058549i, -0.00038847-0.00048753i, +0.00031752-0.00009677i, +0.02885793-0.00000000i, +0.00018084+0.00004212i, +0.00016293+0.00040272i, -0.00007260-0.00011427i, +0.00059047-0.00051811i, +0.00076891-0.00029266i, +0.00035230-0.00057587i, -0.00034176+0.00108954i, -0.00015230-0.00014220i, -0.00041661+0.00057320i, +0.00016202-0.00004431i, -0.00039790+0.00039834i
