+0.00356881-0.00000000i, -0.00272763+0.00123630i, +0.00007521+0.00087901i, +0.00331438+0.00025549i, +0.00048693+0.00053574i, -0.00051031-0.00226275i, +0.00184884+0.00022958i, +0.00144156-0.00140903i, +0.00029093+0.00104215i, -0.00058338-0.00262278i, -0.00181763-0.00056240i, -0.00125586+0.00178946i, +0.00160900-0.00162891i, -0.00326163+0.00329665i, -0.00083933-0.00309367i, -0.00400379+0.00027287i, -0.00200345+0.00202315i, +0.00240128-0.00386480i, -0.00141523-0.00231290i, -0.00392655+0.00141034i, -0.00291289+0.00001558i, +0.00649038+0.00064212i, -0.00276207+0.00391783i, +0.00351857+0.00411592i, +0.00209130+0.00174637i, -0.00275055-0.00039396i, -0.00049551+0.00071687i, +0.00246117+0.00202956i, +0.00010314-0.00096859i, -0.00139566+0.00341727i, -0.00209639-0.00211644i, -0.00303756+0.00077535i
+0.00649038-0.00064212i, -0.00457187+0.00830552i, +0.00335053+0.00074195i, +0.01195869-0.00453232i, +0.00178359-0.00140280i, -0.00468864-0.00590608i, +0.00584113-0.00119755i, +0.00295411-0.00378890i, +0.00708104+0.01409652i, -0.01206887-0.03844555i, -0.02202336-0.00529338i, -0.01344541+0.02940993i, +0.01652219-0.02336087i, -0.05332628+0.05699601i, -0.01216955-0.03989456i, -0.05953257+0.00421522i, -0.01210050+0.02625575i, +0.02905889-0.06219223i, -0.02033402-0.02909922i, -0.05304011+0.02495963i, -0.04659104+0.00940308i, +0.13477697+0.00000000i, -0.03604251+0.06239086i, +0.07143929+0.06837799i, +0.01621620+0.01099583i, -0.03160680-0.01260287i, -0.01084398+0.00788885i, +0.01934057+0.02667294i, -0.00125302-0.01767407i, -0.01304147+0.05745572i, -0.02616962-0.02235952i, -0.03819221+0.02142391i
-0.00276207-0.00391783i, +0.00562313-0.00021151i, -0.00023672-0.00272351i, -0.00629117-0.00508903i, -0.00144497-0.00014862i, -0.00171164+0.00361384i, -0.00337106-0.00359530i, -0.00324579-0.00032862i, +0.00586021-0.00835596i, -0.01572308+0.01751626i, +0.00550386+0.01787084i, +0.02064492-0.00218353i, -0.01749147-0.00162448i, +0.04168974+0.00960512i, -0.02479612+0.02647928i, +0.02136594+0.03249201i, +0.01914835-0.00105245i, -0.03996947+0.00403236i, -0.01250713+0.02698814i, +0.03109040+0.02115385i, +0.01873706+0.02149191i, -0.03604251-0.06239086i, +0.06360474+0.00000000i, +0.01587376-0.06301862i, +0.00121332-0.01345858i, +0.00323318+0.01967502i, +0.01092183+0.00494897i, +0.00849944-0.01925749i, -0.00856448+0.00584357i, +0.03097149-0.00960306i, -0.00537006+0.02888646i, +0.02459239+0.01500424i
+0.00351857-0.00411592i, +0.00232435+0.00779374i, +0.00261479-0.00150554i, +0.00509461-0.01035337i, +0.00021179-0.00188590i, -0.00517627-0.00118644i, +0.00291243-0.00440486i, -0.00190312-0.00506410i, +0.01266390+0.00423493i, -0.02780615-0.01520835i, -0.01691243+0.00977621i, +0.01031923+0.03036070i, -0.00371609-0.02321867i, +0.00076884+0.05870128i, -0.03277243-0.01778377i, -0.04344276+0.04742439i, +0.00835646+0.02286408i, -0.01793167-0.05128815i, -0.03004181-0.00611479i, -0.02141506+0.05311587i, -0.02216489+0.03164726i, +0.07143929-0.06837799i, +0.01587376+0.06301862i, +0.11048400+0.00000000i, +0.01616009-0.00289997i, -0.02489870+0.01109988i, -0.00202833+0.01146567i, +0.03059746+0.00685545i, -0.01090465-0.00966125i, +0.02246503+0.03804567i, -0.03061879+0.00226286i, -0.01282710+0.04567065i
+0.00209130-0.00174637i, +0.00034591+0.00258490i, +0.00089378-0.00068792i, +0.00198771-0.00308756i, -0.00006725-0.00040614i, -0.00100075-0.00116310i, +0.00139898-0.00085016i, +0.00091450-0.00131896i, +0.00487177+0.00304517i, -0.00643724-0.00508017i, -0.00461081+0.00191850i, +0.00113676+0.00641741i, +0.00035381-0.00743140i, -0.00175268+0.01275045i, -0.00682314-0.00506245i, -0.00858371+0.00705020i, +0.00094207+0.00859928i, -0.00354150-0.01245049i, -0.00676869-0.00187499i, -0.00522659+0.01029462i, -0.00786838+0.00754588i, +0.01621620-0.01099583i, +0.00121332+0.01345858i, +0.01616009+0.00289997i, +0.01026963+0.00000000i, -0.00981672+0.00255944i, -0.00084768+0.00373352i, +0.00970988+0.00275587i, -0.00294612-0.00427249i, +0.00370036+0.01103422i, -0.00865560-0.00099153i, -0.00516838+0.00829370i
-0.00275055+0.00039396i, +0.00225462-0.00427028i, -0.00154177-0.00042545i, -0.00502133+0.00206151i, -0.00069071+0.00081995i, +0.00165276+0.00152830i, -0.00209403+0.00075242i, -0.00076475+0.00135210i, -0.00461329-0.00389338i, +0.01151987+0.01200690i, +0.00752318-0.00134885i, +0.00040321-0.01137020i, -0.00188862+0.00806730i, +0.00827706-0.02075192i, +0.00780256+0.00996933i, +0.01685528-0.00722519i, +0.00188563-0.00954711i, -0.00126559+0.02359519i, +0.00960978+0.00574466i, +0.01386779-0.01380149i, +0.01035212-0.00718017i, -0.03160680+0.01260287i, +0.00323318-0.01967502i, -0.02489870-0.01109988i, -0.00981672-0.00255944i, +0.02449043+0.00000000i, +0.00377510-0.00799221i, -0.01510944-0.01215952i, +0.00381141+0.00550911i, -0.00391694-0.01978246i, +0.01221626+0.00413097i, +0.00967157-0.01231356i
-0.00049551-0.00071687i, +0.00141652+0.00032823i, +0.00069454-0.00124477i, -0.00094859-0.00157454i, -0.00036458-0.00031186i, +0.00009233+0.00116917i, -0.00086059-0.00057985i, -0.00051664+0.00056581i, +0.00072462-0.00210815i, -0.00161445+0.00545682i, +0.00433564+0.00413830i, +0.00497046-0.00316403i, -0.00304300+0.00051028i, +0.00849568-0.00143613i, -0.00256223+0.00730042i, +0.00627650+0.00430571i, +0.00330115-0.00100141i, -0.00771077+0.00392158i, -0.00004833+0.00797741i, +0.00804320+0.00283450i, +0.00402618+0.00260541i, -0.01084398-0.00788885i, +0.01092183-0.00494897i, -0.00202833-0.01146567i, -0.00084768-0.00373352i, +0.00377510+0.00799221i, +0.00896980+0.00000000i, +0.00288102-0.00919905i, -0.00156975+0.00249822i, +0.00584331-0.00623873i, +0.00201883+0.00730989i, +0.00713886-0.00025558i
+0.00246117-0.00202956i, +0.00106070+0.00470835i, +0.00194678-0.00102349i, +0.00405493-0.00638967i, -0.00021268-0.00135952i, -0.00188673-0.00056928i, +0.00149623-0.00179636i, +0.00031794-0.00144465i, +0.00558965+0.00063168i, -0.01263502-0.00343385i, -0.00597303+0.00614724i, +0.00978912+0.01219749i, -0.00301063-0.00810280i, +0.00411704+0.02144353i, -0.01274132-0.00423664i, -0.01078964+0.01853236i, +0.00399344+0.00850503i, -0.01119419-0.01847489i, -0.01176467+0.00145752i, -0.00353834+0.02427617i, -0.00457268+0.01219699i, +0.01934057-0.02667294i, +0.00849944+0.01925749i, +0.03059746-0.00685545i, +0.00970988-0.00275587i, -0.01510944+0.01215952i, +0.00288102+0.00919905i, +0.02724557-0.00000000i, -0.00620103-0.00183236i, +0.01284832+0.01380284i, -0.01296957+0.00325976i, -0.00080809+0.01701368i
+0.00010314+0.00096859i, -0.00062797-0.00122242i, -0.00031615+0.00037470i, -0.00034192+0.00162478i, -0.00082524+0.00107172i, +0.00147406-0.00085284i, -0.00007064+0.00133810i, +0.00115196+0.00047934i, -0.00442042+0.00177096i, +0.00598235-0.00135163i, +0.00091609-0.00334488i, -0.00470121-0.00267291i, +0.00790154+0.00575981i, -0.00790266-0.00880478i, +0.00648852-0.00149104i, +0.00027075-0.00967591i, -0.00691685-0.00326865i, +0.00853257+0.00522362i, +0.00441769-0.00291344i, -0.00264160-0.00876064i, -0.00207507-0.01431238i, -0.00125302+0.01767407i, -0.00856448-0.00584357i, -0.01090465+0.00966125i, -0.00294612+0.00427249i, +0.00381141-0.00550911i, -0.00156975-0.00249822i, -0.00620103+0.00183236i, +0.01185927-0.00000000i, -0.01415381-0.00318426i, +0.00594302-0.00648799i, -0.00624290-0.00980017i
-0.00139566-0.00341727i, +0.00419371+0.00180305i, +0.00025627-0.00106381i, -0.00326346-0.00523695i, +0.00000351-0.00070685i, -0.00465008+0.00314861i, -0.00097006-0.00371900i, -0.00382195-0.00197710i, +0.00604261-0.00474666i, -0.01717392+0.01016307i, +0.00012127+0.01111710i, +0.01594069+0.00309558i, -0.01352724-0.00518151i, +0.03415359+0.02000379i, -0.01802307+0.01035026i, +0.00901601+0.02813253i, +0.01356566+0.00289594i, -0.03182347-0.00653042i, -0.01107419+0.01246824i, +0.01772643+0.02163756i, +0.00849521+0.01907564i, -0.01304147-0.05745572i, +0.03097149+0.00960306i, +0.02246503-0.03804567i, +0.00370036-0.01103422i, -0.00391694+0.01978246i, +0.00584331+0.00623873i, +0.01284832-0.01380284i, -0.01415381+0.00318426i, +0.04694159-0.00000000i, -0.01199308+0.02272330i, +0.02373230+0.02472175i
-0.00209639+0.00211644i, -0.00025418-0.00322506i, -0.00124117+0.00022685i, -0.00248419+0.00394052i, -0.00011556+0.00046119i, +0.00262176+0.00151522i, -0.00255179+0.00220866i, -0.00025150+0.00284498i, -0.00491115-0.00224394i, +0.01052349+0.00643783i, +0.00855069-0.00457755i, -0.00305119-0.01048129i, +0.00102451+0.00958137i, +0.00085616-0.02272681i, +0.01624938+0.01027359i, +0.01474560-0.01461426i, -0.00233811-0.00966529i, +0.00579470+0.01951833i, +0.01430469+0.00341949i, +0.00757949-0.01760921i, +0.00853490-0.01111971i, -0.02616962+0.02235952i, -0.00537006-0.02888646i, -0.03061879-0.00226286i, -0.00865560+0.00099153i, +0.01221626-0.00413097i, +0.00201883-0.00730989i, -0.01296957-0.00325976i, +0.00594302+0.00648799i, -0.01199308-0.02272330i, +0.02344848+0.00000000i, +0.00767908-0.02182489i
-0.00303756-0.00077535i, +0.00318796-0.00181235i, -0.00049968-0.00051226i, -0.00525511-0.00047701i, -0.00016822-0.00035750i, -0.00088800+0.00424384i, -0.00314770-0.00155600i, -0.00460826+0.00203381i, +0.00043067-0.00633925i, -0.00301148+0.01539117i, +0.00720001+0.00627635i, +0.01322411-0.00922827i, -0.01035396+0.00532827i, +0.02733992-0.00899934i, -0.00398905+0.01806568i, +0.02880320+0.01443947i, +0.00930747-0.00697985i, -0.02033562+0.01546493i, +0.00154461+0.01410197i, +0.02691121+0.00209641i, +0.01618316+0.00510484i, -0.03819221-0.02142391i, +0.02459239-0.01500424i, -0.01282710-0.04567065i, -0.00516838-0.00829370i, +0.00967157+0.01231356i, +0.00713886+0.00025558i, -0.00080809-0.01701368i, -0.00624290+0.00980017i, +0.02373230-0.02472175i, +0.00767908+0.02182489i, +0.03911294-0.00000000i
