+0.00356881-0.00000000i, -0.00272763+0.00123630i, +0.00007521+0.00087901i, +0.00331438+0.00025549i, +0.00048693+0.00053574i, -0.00051031-0.00226275i, +0.00184884+0.00022958i, +0.00144156-0.00140903i, +0.00029093+0.00104215i, -0.00058338-0.00262278i, -0.00181763-0.00056240i, -0.00125586+0.00178946i, +0.00160900-0.00162891i, -0.00326163+0.00329665i, -0.00083933-0.00309367i, -0.00400379+0.00027287i, -0.00200345+0.00202315i, +0.00240128-0.00386480i, -0.00141523-0.00231290i, -0.00392655+0.00141034i, -0.00291289+0.00001558i, +0.00649038+0.00064212i, -0.00276207+0.00391783i, +0.00351857+0.00411592i, +0.00209130+0.00174637i, -0.00275055-0.00039396i, -0.00049551+0.00071687i, +0.00246117+0.00202956i, +0.00010314-0.00096859i, -0.00139566+0.00341727i, -0.00209639-0.00211644i, -0.00303756+0.00077535i
-0.00125586-0.00178946i, +0.00277552+0.00021982i, -0.00020074-0.00075512i, -0.00310940-0.00289830i, -0.00023121-0.00016041i, -0.00186251+0.00158154i, -0.00091516-0.00183191i, -0.00240856-0.00076061i, +0.00558156-0.00467107i, -0.01345660+0.01240221i, +0.00323726+0.01130917i, +0.02454445+0.00000000i, -0.00988980-0.00110174i, +0.02287149+0.00793243i, -0.01170734+0.00975477i, +0.01139837+0.02123932i, +0.00925225+0.00088934i, -0.02155320+0.00020018i, -0.00478688+0.01130741i, +0.01889629+0.01648621i, +0.00816663+0.00997640i, -0.01344541-0.02940993i, +0.02064492+0.00218353i, +0.01031923-0.03036070i, +0.00113676-0.00641741i, +0.00040321+0.01137020i, +0.00497046+0.00316403i, +0.00978912-0.01219749i, -0.00470121+0.00267291i, +0.01594069-0.00309558i, -0.00305119+0.01048129i, +0.01322411+0.00922827i
+0.00160900+0.00162891i, -0.00241756+0.00025956i, +0.00086956+0.00095751i, +0.00289414+0.00207468i, +0.00042788+0.00053397i, +0.00101626-0.00122587i, +0.00095873+0.00150351i, +0.00134831+0.00065867i, -0.00394968+0.00670655i, +0.00737358-0.00881525i, -0.00270373-0.00654101i, -0.00988980+0.00110174i, +0.01797413-0.00000000i, -0.02327816-0.00355367i, +0.00844092-0.01097283i, -0.01216723-0.01522186i, -0.01136750+0.00216158i, +0.01617978-0.00232453i, +0.00273570-0.00872330i, -0.01250859-0.00819399i, -0.01489803-0.01481203i, +0.01652219+0.02336087i, -0.01749147+0.00162448i, -0.00371609+0.02321867i, +0.00035381+0.00743140i, -0.00188862-0.00806730i, -0.00304300-0.00051028i, -0.00301063+0.00810280i, +0.00790154-0.00575981i, -0.01352724+0.00518151i, +0.00102451-0.00958137i, -0.01035396-0.00532827i
-0.00326163-0.00329665i, +0.00637466-0.00118312i, -0.00115021-0.00195756i, -0.00772799-0.00429992i, -0.00133484+0.00008741i, -0.00187976+0.00391586i, -0.00271980-0.00264926i, -0.00327404-0.00075683i, +0.00410169-0.01120711i, -0.01461139+0.02628203i, +0.00835011+0.01462249i, +0.02287149-0.00793243i, -0.02327816+0.00355367i, +0.06546435-0.00000000i, -0.01706177+0.02973731i, +0.03575994+0.03349404i, +0.01709393-0.00561466i, -0.04087282+0.01319110i, -0.00464301+0.02174427i, +0.03399504+0.01381250i, +0.02266461+0.01640425i, -0.05332628-0.05699601i, +0.04168974-0.00960512i, +0.00076884-0.05870128i, -0.00175268-0.01275045i, +0.00827706+0.02075192i, +0.00849568+0.00143613i, +0.00411704-0.02144353i, -0.00790266+0.00880478i, +0.03415359-0.02000379i, +0.00085616+0.02272681i, +0.02733992+0.00899934i
-0.00083933+0.00309367i, -0.00235234-0.00275293i, -0.00129563+0.00116332i, +0.00001431+0.00525326i, +0.00056832+0.00060581i, +0.00242631-0.00027054i, -0.00067073+0.00283617i, +0.00080987+0.00203142i, -0.00753596+0.00097742i, +0.01719485-0.00052212i, +0.00668038-0.01183285i, -0.01170734-0.00975477i, +0.00844092+0.01097283i, -0.01706177-0.02973731i, +0.02991242-0.00000000i, +0.00743565-0.03049538i, -0.00828067-0.00806598i, +0.01827875+0.01617098i, +0.01736321-0.00564259i, -0.00332679-0.02256877i, +0.00183004-0.01635501i, -0.01216955+0.03989456i, -0.02479612-0.02647928i, -0.03277243+0.01778377i, -0.00682314+0.00506245i, +0.00780256-0.00996933i, -0.00256223-0.00730042i, -0.01274132+0.00423664i, +0.00648852+0.00149104i, -0.01802307-0.01035026i, +0.01624938-0.01027359i, -0.00398905-0.01806568i
-0.00400379-0.00027287i, +0.00326236-0.00474390i, -0.00205138-0.00065126i, -0.00817374+0.00178217i, -0.00080556+0.00091722i, +0.00074981+0.00312126i, -0.00339451-0.00002989i, -0.00269099+0.00198430i, -0.00424785-0.00931879i, +0.00577774+0.02328510i, +0.01406754+0.00450546i, +0.01139837-0.02123932i, -0.01216723+0.01522186i, +0.03575994-0.03349404i, +0.00743565+0.03049538i, +0.05497506-0.00000000i, +0.00725104-0.01360996i, -0.01669509+0.03039109i, +0.01000897+0.01684588i, +0.03426917-0.01253041i, +0.02321195-0.00310302i, -0.05953257-0.00421522i, +0.02136594-0.03249201i, -0.04344276-0.04742439i, -0.00858371-0.00705020i, +0.01685528+0.00722519i, +0.00627650-0.00430571i, -0.01078964-0.01853236i, +0.00027075+0.00967591i, +0.00901601-0.02813253i, +0.01474560+0.01461426i, +0.02880320-0.01443947i
-0.00200345-0.00202315i, +0.00288713+0.00029053i, -0.00036570-0.00118782i, -0.00271550-0.00261224i, -0.00043738-0.00044821i, -0.00095177+0.00135889i, -0.00098339-0.00149790i, -0.00128773-0.00046011i, +0.00548675-0.00608225i, -0.00697080+0.00873782i, +0.00177701+0.00603984i, +0.00925225-0.00088934i, -0.01136750-0.00216158i, +0.01709393+0.00561466i, -0.00828067+0.00806598i, +0.00725104+0.01360996i, +0.01896972-0.00000000i, -0.02163826+0.00084953i, -0.00434865+0.00973705i, +0.01502635+0.01054724i, +0.01029321+0.01496075i, -0.01210050-0.02625575i, +0.01914835+0.00105245i, +0.00835646-0.02286408i, +0.00094207-0.00859928i, +0.00188563+0.00954711i, +0.00330115+0.00100141i, +0.00399344-0.00850503i, -0.00691685+0.00326865i, +0.01356566-0.00289594i, -0.00233811+0.00966529i, +0.00930747+0.00697985i
+0.00240128+0.00386480i, -0.00747751-0.00151378i, -0.00000713+0.00234434i, +0.00578397+0.00653751i, +0.00126935+0.00022749i, +0.00210520-0.00269537i, +0.00172470+0.00279757i, +0.00242002+0.00132425i, -0.00770204+0.00690339i, +0.02029601-0.01865670i, -0.00331849-0.01394514i, -0.02155320-0.00020018i, +0.01617978+0.00232453i, -0.04087282-0.01319110i, +0.01827875-0.01617098i, -0.01669509-0.03039109i, -0.02163826-0.00084953i, +0.05923896+0.00000000i, +0.01176203-0.02206759i, -0.03220734-0.02821308i, -0.01581297-0.02000310i, +0.02905889+0.06219223i, -0.03996947-0.00403236i, -0.01793167+0.05128815i, -0.00354150+0.01245049i, -0.00126559-0.02359519i, -0.00771077-0.00392158i, -0.01119419+0.01847489i, +0.00853257-0.00522362i, -0.03182347+0.00653042i, +0.00579470-0.01951833i, -0.02033562-0.01546493i
-0.00141523+0.00231290i, -0.00116064-0.00329174i, -0.00215399+0.00023224i, -0.00185795+0.00454283i, +0.00040227+0.00065368i, +0.00165890+0.00018527i, -0.00098804+0.00184408i, +0.00005068+0.00134868i, -0.00497870-0.00128313i, +0.01250561+0.00434946i, +0.00864217-0.00787542i, -0.00478688-0.01130741i, +0.00273570+0.00872330i, -0.00464301-0.02174427i, +0.01736321+0.00564259i, +0.01000897-0.01684588i, -0.00434865-0.00973705i, +0.01176203+0.02206759i, +0.02395688+0.00000000i, +0.00639778-0.02520758i, +0.00619079-0.01269670i, -0.02033402+0.02909922i, -0.01250713-0.02698814i, -0.03004181+0.00611479i, -0.00676869+0.00187499i, +0.00960978-0.00574466i, -0.00004833-0.00797741i, -0.01176467-0.00145752i, +0.00441769+0.00291344i, -0.01107419-0.01246824i, +0.01430469-0.00341949i, +0.00154461-0.01410197i
-0.00392655-0.00141034i, +0.00525226-0.00347634i, -0.00150108-0.00188993i, -0.00949638-0.00171290i, -0.00102951+0.00062949i, -0.00024007+0.00305030i, -0.00294865-0.00107897i, -0.00276580+0.00078183i, +0.00060244-0.00901448i, -0.00264187+0.02248372i, +0.01183024+0.00719683i, +0.01889629-0.01648621i, -0.01250859+0.00819399i, +0.03399504-0.01381250i, -0.00332679+0.02256877i, +0.03426917+0.01253041i, +0.01502635-0.01054724i, -0.03220734+0.02821308i, +0.00639778+0.02520758i, +0.05663332-0.00000000i, +0.02297643+0.00409218i, -0.05304011-0.02495963i, +0.03109040-0.02115385i, -0.02141506-0.05311587i, -0.00522659-0.01029462i, +0.01386779+0.01380149i, +0.00804320-0.00283450i, -0.00353834-0.02427617i, -0.00264160+0.00876064i, +0.01772643-0.02163756i, +0.00757949+0.01760921i, +0.02691121-0.00209641i
-0.00291289-0.00001558i, +0.00231849-0.00265218i, -0.00186359-0.00031155i, -0.00494082+0.00049855i, -0.00180044-0.00023391i, +0.00104682+0.00228243i, -0.00258015-0.00021902i, -0.00132855+0.00106903i, -0.00264316-0.01006918i, +0.00108803+0.01490982i, +0.00834284+0.00375157i, +0.00816663-0.00997640i, -0.01489803+0.01481203i, +0.02266461-0.01640425i, +0.00183004+0.01635501i, +0.02321195+0.00310302i, +0.01029321-0.01496075i, -0.01581297+0.02000310i, +0.00619079+0.01269670i, +0.02297643-0.00409218i, +0.03643062-0.00000000i, -0.04659104-0.00940308i, +0.01873706-0.02149191i, -0.02216489-0.03164726i, -0.00786838-0.00754588i, +0.01035212+0.00718017i, +0.00402618-0.00260541i, -0.00457268-0.01219699i, -0.00207507+0.01431238i, +0.00849521-0.01907564i, +0.00853490+0.01111971i, +0.01618316-0.00510484i
