+0.00664288+0.00000000i, +0.01209064+0.02361375i, +0.01050857+0.00638390i, +0.00665020-0.00561912i, +0.00052677+0.00658712i, -0.00532281+0.00025931i, +0.00388019-0.01707982i, +0.01103272+0.00075544i, +0.01873763-0.00416942i, +0.00191546+0.01544366i, +0.00958017+0.00401868i, +0.00084593+0.00299898i, -0.00600534+0.00596141i, -0.00972604+0.01031873i, +0.01253163+0.00901818i, +0.00034624+0.00884824i, +0.01029899+0.00516241i, +0.00550165-0.00026155i, -0.01142178+0.00472524i, +0.01947541+0.01636235i, -0.00057116-0.02142079i, -0.00427442-0.00027354i, +0.00206197+0.00759045i, +0.00045946+0.01850993i, -0.01325429-0.01273693i, +0.00871542+0.01418220i, +0.01053032+0.00173196i, +0.00538121-0.00821128i, +0.00798785-0.00731594i, +0.00443013+0.00315789i, -0.01930773+0.01466332i, +0.01320871-0.01641777i
+0.00084593-0.00299898i, +0.01220028-0.00245137i, +0.00422026-0.00393123i, -0.00168994-0.00371784i, +0.00304089+0.00060101i, -0.00056076+0.00243605i, -0.00721671-0.00392674i, +0.00174599-0.00488461i, +0.00050379-0.00899021i, +0.00721609+0.00110190i, +0.00303424-0.00381330i, +0.00146164+0.00000000i, +0.00192659+0.00347030i, +0.00341993+0.00570492i, +0.00566715-0.00450910i, +0.00403870+0.00097045i, +0.00364212-0.00399216i, +0.00058252-0.00251707i, +0.00067876+0.00575819i, +0.00986698-0.00670870i, -0.00974332-0.00246994i, -0.00066781+0.00189489i, +0.00368935+0.00003570i, +0.00841497+0.00214969i, -0.00743804+0.00436179i, +0.00751252-0.00212864i, +0.00212287-0.00453345i, -0.00302179-0.00347504i, -0.00228564-0.00453781i, +0.00198980-0.00159788i, +0.00416117+0.01058391i, -0.00572989-0.00805387i
-0.00600534-0.00596141i, +0.01026103-0.03219775i, -0.00377103-0.01520174i, -0.01105462-0.00088814i, +0.00543515-0.00642767i, +0.00504467+0.00454234i, -0.01883545+0.01195847i, -0.00929592-0.01058384i, -0.02068101-0.01304613i, +0.01212772-0.01568043i, -0.00505431-0.01223037i, +0.00192659-0.00347030i, +0.01077883+0.00000000i, +0.01805275-0.00060013i, -0.00323589-0.01939872i, +0.00762751-0.00830975i, -0.00467774-0.01390940i, -0.00520835-0.00470081i, +0.01456609+0.00597831i, -0.00292250-0.03226949i, -0.01870694+0.01987752i, +0.00361871+0.00408320i, +0.00494770-0.00871240i, +0.01619569-0.01714578i, +0.00055194+0.02340909i, +0.00484833-0.02064241i, -0.00796540-0.01101579i, -0.01223366+0.00259405i, -0.01378664-0.00055460i, -0.00117102-0.00683047i, +0.03061375+0.00407097i, -0.02667454+0.00298842i
-0.00972604-0.01031873i, +0.01897819-0.05335462i, -0.00546947-0.02567037i, -0.01846522-0.00210298i, +0.00946085-0.01046267i, +0.00819609+0.00788854i, -0.03221207+0.01897976i, -0.01497986-0.01824376i, -0.03391090-0.02300156i, +0.02118497-0.02558690i, -0.00778419-0.02076525i, +0.00341993-0.00570492i, +0.01805275+0.00060013i, +0.03026879+0.00000000i, -0.00433953-0.03266981i, +0.01323749-0.01349279i, -0.00706001-0.02355639i, -0.00846140-0.00816306i, +0.02406294+0.01082368i, -0.00309804-0.05420877i, -0.03243776+0.03225002i, +0.00583341+0.00704017i, +0.00877165-0.01431636i, +0.02807972-0.02781463i, -0.00037894+0.03923709i, +0.00926945-0.03430269i, -0.01272741-0.01889311i, -0.02063379+0.00366347i, -0.02305947-0.00169645i, -0.00158096-0.01150511i, +0.05104631+0.00852268i, -0.04484183+0.00351996i
+0.01253163-0.00901818i, +0.05486606+0.02813287i, +0.02849077-0.00222306i, +0.00491709-0.01962845i, +0.00993623+0.01171131i, -0.00968933+0.00771528i, -0.01586717-0.03748830i, +0.02183852-0.01355257i, +0.02968781-0.03330318i, +0.02457933+0.02653374i, +0.02352842-0.00542462i, +0.00566715+0.00450910i, -0.00323589+0.01939872i, -0.00433953+0.03266981i, +0.03588344+0.00000000i, +0.01266527+0.01622194i, +0.02643713-0.00424284i, +0.01002367-0.00796228i, -0.01513207+0.02441994i, +0.05895295+0.00442793i, -0.03015772-0.03963440i, -0.00843493+0.00528681i, +0.01419443+0.01151994i, +0.02599529+0.03429479i, -0.04229518-0.00603428i, +0.03569477+0.01492259i, +0.02221646-0.01102835i, -0.00099588-0.02279576i, +0.00513698-0.02464541i, +0.01264439-0.00005692i, -0.01651706+0.05387362i, +0.00262964-0.04890349i
+0.00034624-0.00884824i, +0.03208342-0.01487381i, +0.00905100-0.01366455i, -0.00713798-0.00915086i, +0.00880142-0.00035833i, +0.00006797+0.00710344i, -0.02254787-0.00605859i, +0.00158128-0.01465607i, -0.00457699-0.02517562i, +0.02067061-0.00174642i, +0.00585217-0.01255122i, +0.00403870-0.00097045i, +0.00762751+0.00830975i, +0.01323749+0.01349279i, +0.01266527-0.01622194i, +0.01180379-0.00000000i, +0.00741307-0.01344905i, -0.00006162-0.00734177i, +0.00569865+0.01545997i, +0.02280954-0.02508819i, -0.02856200-0.00035570i, -0.00058713+0.00567922i, +0.01021786-0.00235089i, +0.02467895+0.00035277i, -0.01765627+0.01699068i, +0.01934478-0.01086963i, +0.00285581-0.01393599i, -0.01065685-0.00759569i, -0.00932840-0.01102103i, +0.00443718-0.00573628i, +0.01852503+0.02648193i, -0.02117981-0.01844956i
+0.01029899-0.00516241i, +0.03709616+0.02721422i, +0.02125343+0.00173089i, +0.00594352-0.01387987i, +0.00593578+0.00980317i, -0.00805086+0.00453857i, -0.00725755-0.02949564i, +0.01769198-0.00740269i, +0.02581025-0.02102586i, +0.01497150+0.02245498i, +0.01797597-0.00121460i, +0.00364212+0.00399216i, -0.00467774+0.01390940i, -0.00706001+0.02355639i, +0.02643713+0.00424284i, +0.00741307+0.01344905i, +0.01997923+0.00000000i, +0.00832639-0.00468102i, -0.01403595+0.01620219i, +0.04291004+0.01023284i, -0.01753236-0.03276648i, -0.00683955+0.00289772i, +0.00909564+0.01016566i, +0.01509704+0.02834036i, -0.03044749-0.00944671i, +0.02453369+0.01521474i, +0.01767197-0.00549828i, +0.00196164-0.01691253i, +0.00669873-0.01755012i, +0.00932249+0.00145313i, -0.01853893+0.03773843i, +0.00771970-0.03571872i
+0.00550165+0.00026155i, +0.00908378+0.02003302i, +0.00845188+0.00570091i, +0.00572895-0.00439194i, +0.00017692+0.00547621i, -0.00441858+0.00000519i, +0.00388606-0.01399278i, +0.00910759+0.00106004i, +0.01568272-0.00271538i, +0.00097833+0.01286590i, +0.00777610+0.00370548i, +0.00058252+0.00251707i, -0.00520835+0.00470081i, -0.00846140+0.00816306i, +0.01002367+0.00796228i, -0.00006162+0.00734177i, +0.00832639+0.00468102i, +0.00456678-0.00000000i, -0.00964560+0.00346376i, +0.01548537+0.01431814i, +0.00037035-0.01776325i, -0.00352932-0.00039484i, +0.00140887+0.00636762i, -0.00034826+0.01534807i, -0.01047576-0.01107062i, +0.00665975+0.01208889i, +0.00865305+0.00184902i, +0.00478003-0.00658874i, +0.00690361-0.00574458i, +0.00354471+0.00278980i, -0.01656805+0.01138402i, +0.01158590-0.01307718i
-0.01142178-0.00472524i, -0.00399164-0.04920192i, -0.01352744-0.01845150i, -0.01543139+0.00493108i, +0.00377985-0.01170062i, +0.00933651+0.00334039i, -0.01882091+0.02660701i, -0.01843232-0.00914675i, -0.03518335-0.00615963i, +0.00769202-0.02791639i, -0.01361359-0.01372435i, +0.00067876-0.00575819i, +0.01456609-0.00597831i, +0.02406294-0.01082368i, -0.01513207-0.02441994i, +0.00569865-0.01545997i, -0.01403595-0.01620219i, -0.00964560-0.00346376i, +0.02299983+0.00000000i, -0.02184713-0.04198682i, -0.01425508+0.03723724i, +0.00715488+0.00351082i, +0.00185392-0.01451777i, +0.01237658-0.03215284i, +0.01372936+0.03132802i, -0.00489716-0.03058441i, -0.01687388-0.01046842i, -0.01509335+0.01029071i, -0.01893834+0.00689709i, -0.00537088-0.00858095i, +0.04362814-0.01147809i, -0.03438946+0.01883307i
+0.01947541-0.01636235i, +0.09361105+0.03944918i, +0.04653320-0.00716796i, +0.00565619-0.03285436i, +0.01776940+0.01801442i, -0.01496656+0.01387108i, -0.03069417-0.05963161i, +0.03420618-0.02496037i, +0.04466461-0.05837725i, +0.04365562+0.04055927i, +0.03798548-0.01181547i, +0.00986698+0.00670870i, -0.00292250+0.03226949i, -0.00309804+0.05420877i, +0.05895295-0.00442793i, +0.02280954+0.02508819i, +0.04291004-0.01023284i, +0.01548537-0.01431814i, -0.02184713+0.04198682i, +0.09740028-0.00000000i, -0.05443695-0.06139402i, -0.01320538+0.00972656i, +0.02474158+0.01717456i, +0.04693960+0.05313519i, -0.07023143-0.00469460i, +0.06048440+0.02011168i, +0.03513858-0.02085996i, -0.00444907-0.03732829i, +0.00539836-0.04112387i, +0.02076647-0.00165380i, -0.02048802+0.09054721i, -0.00171434-0.08066809i
-0.00057116+0.02142079i, -0.07718503+0.03695744i, -0.02148922+0.03333729i, +0.01754775+0.02192753i, -0.02128628+0.00113228i, -0.00037851-0.01718637i, +0.05474236+0.01398070i, -0.00338462+0.03551141i, +0.01183374+0.06078031i, -0.04996470+0.00484876i, -0.01378245+0.03054693i, -0.00974332+0.00246994i, -0.01870694-0.01987752i, -0.03243776-0.03225002i, -0.03015772+0.03963440i, -0.02856200+0.00035570i, -0.01753236+0.03276648i, +0.00037035+0.01776325i, -0.01425508-0.03723724i, -0.05443695+0.06139402i, +0.06912308+0.00000000i, +0.00124957-0.01375987i, -0.02465364+0.00599643i, -0.05972705-0.00010993i, +0.04221143-0.04164495i, -0.04648162+0.02688454i, -0.00649034+0.03380741i, +0.02601561+0.01805839i, +0.02290434+0.02638684i, -0.01056393+0.01401397i, -0.04562360-0.06352092i, +0.05180542+0.04400475i
