+0.00664288+0.00000000i, +0.01209064+0.02361375i, +0.01050857+0.00638390i, +0.00665020-0.00561912i, +0.00052677+0.00658712i, -0.00532281+0.00025931i, +0.00388019-0.01707982i, +0.01103272+0.00075544i, +0.01873763-0.00416942i, +0.00191546+0.01544366i, +0.00958017+0.00401868i, +0.00084593+0.00299898i, -0.00600534+0.00596141i, -0.00972604+0.01031873i, +0.01253163+0.00901818i, +0.00034624+0.00884824i, +0.01029899+0.00516241i, +0.00550165-0.00026155i, -0.01142178+0.00472524i, +0.01947541+0.01636235i, -0.00057116-0.02142079i, -0.00427442-0.00027354i, +0.00206197+0.00759045i, +0.00045946+0.01850993i, -0.01325429-0.01273693i, +0.00871542+0.01418220i, +0.01053032+0.00173196i, +0.00538121-0.00821128i, +0.00798785-0.00731594i, +0.00443013+0.00315789i, -0.01930773+0.01466332i, +0.01320871-0.01641777i
-0.00427442+0.00027354i, -0.00875218-0.01469662i, -0.00702471-0.00367506i, -0.00404775+0.00388951i, -0.00061020-0.00421685i, +0.00341433-0.00038603i, -0.00179344+0.01114994i, -0.00713021-0.00003180i, -0.01188521+0.00345442i, -0.00186845-0.00985849i, -0.00632993-0.00219137i, -0.00066781-0.00189489i, +0.00361871-0.00408320i, +0.00583341-0.00704017i, -0.00843493-0.00528681i, -0.00058713-0.00567922i, -0.00683955-0.00289772i, -0.00352932+0.00039484i, +0.00715488-0.00351082i, -0.01320538-0.00972656i, +0.00124957+0.01375987i, +0.00276168-0.00000000i, -0.00163935-0.00479924i, -0.00105783-0.01189146i, +0.00905306+0.00764992i, -0.00619200-0.00876679i, -0.00684715-0.00068084i, -0.00312447+0.00550521i, -0.00483860+0.00503642i, -0.00298064-0.00184955i, +0.01181993-0.01023029i, -0.00782322+0.01110806i
+0.00206197-0.00759045i, +0.03073510-0.00648554i, +0.01055642-0.01002598i, -0.00435642-0.00934300i, +0.00769025+0.00144274i, -0.00135592+0.00616258i, -0.01831174-0.00973530i, +0.00428779-0.01237199i, +0.00105204-0.02270466i, +0.01824119+0.00260507i, +0.00756564-0.00969933i, +0.00368935-0.00003570i, +0.00494770+0.00871240i, +0.00877165+0.01431636i, +0.01419443-0.01151994i, +0.01021786+0.00235089i, +0.00909564-0.01016566i, +0.00140887-0.00636762i, +0.00185392+0.01451777i, +0.02474158-0.01717456i, -0.02465364-0.00599643i, -0.00163935+0.00479924i, +0.00931323-0.00000000i, +0.02129289+0.00522053i, -0.01866795+0.01119136i, +0.01891051-0.00555643i, +0.00524766-0.01149481i, -0.00771224-0.00869761i, -0.00588007-0.01139816i, +0.00498348-0.00408184i, +0.01076180+0.02661341i, -0.01465965-0.02018899i
+0.00045946-0.01850993i, +0.06663436-0.03205650i, +0.01851513-0.02883987i, -0.01519732-0.01891897i, +0.01839100-0.00101222i, +0.00035439+0.01484959i, -0.04732337-0.01199322i, +0.00286807-0.03068966i, -0.01032181-0.05249951i, +0.04316520-0.00426912i, +0.01186040-0.02641655i, +0.00841497-0.00214969i, +0.01619569+0.01714578i, +0.02807972+0.02781463i, +0.02599529-0.03429479i, +0.02467895-0.00035277i, +0.01509704-0.02834036i, -0.00034826-0.01534807i, +0.01237658+0.03215284i, +0.04693960-0.05313519i, -0.05972705+0.00010993i, -0.00105783+0.01189146i, +0.02129289-0.00522053i, +0.05160842-0.00000000i, -0.03640732+0.03605121i, +0.04012054-0.02330399i, +0.00555433-0.02922223i, -0.02250798-0.01556230i, -0.01983288-0.02276360i, +0.00910567-0.01212583i, +0.03952292+0.05481385i, -0.04483339-0.03794071i
-0.01325429+0.01273693i, -0.06940057-0.02393326i, -0.03320773+0.00741138i, -0.00249490+0.02396258i, -0.01368108-0.01213301i, +0.01012321-0.01072325i, +0.02500652+0.04151853i, -0.02346164+0.01964662i, -0.02939213+0.04424628i, -0.03343323-0.02714150i, -0.02682031+0.01035052i, -0.00743804-0.00436179i, +0.00055194-0.02340909i, -0.00037894-0.03923709i, -0.04229518+0.00603428i, -0.01765627-0.01699068i, -0.03044749+0.00944671i, -0.01047576+0.01107062i, +0.01372936-0.03132802i, -0.07023143+0.00469460i, +0.04221143+0.04164495i, +0.00905306-0.00764992i, -0.01866795-0.01119136i, -0.03640732-0.03605121i, +0.05086733-0.00000000i, -0.04458223-0.01158644i, -0.02433159+0.01673492i, +0.00500723+0.02670149i, -0.00191041+0.02991297i, -0.01489415+0.00219341i, +0.01040880-0.06627745i, +0.00512427+0.05808389i
+0.00871542-0.01418220i, +0.06627698+0.00516820i, +0.02741648-0.01405961i, -0.00327150-0.02157008i, +0.01475429+0.00751763i, -0.00642989+0.01170414i, -0.03137373-0.03069263i, +0.01608769-0.02256314i, +0.01568216-0.04547413i, +0.03548449+0.01617259i, +0.02114881-0.01518069i, +0.00751252+0.00212864i, +0.00484833+0.02064241i, +0.00926945+0.03430269i, +0.03569477-0.01492259i, +0.01934478+0.01086963i, +0.02453369-0.01521474i, +0.00665975-0.01208889i, -0.00489716+0.03058441i, +0.06048440-0.02011168i, -0.04648162-0.02688454i, -0.00619200+0.00876679i, +0.01891051+0.00555643i, +0.04012054+0.02330399i, -0.04458223+0.01158644i, +0.04171284-0.00000000i, +0.01751337-0.02020936i, -0.01047055-0.02226175i, -0.00513914-0.02665211i, +0.01255424-0.00531495i, +0.00597381+0.06045918i, -0.01772133-0.04973992i
+0.01053032-0.00173196i, +0.02532283+0.03428030i, +0.01832267+0.00737995i, +0.00907688-0.01064132i, +0.00255247+0.01030459i, -0.00837014+0.00179885i, +0.00169777-0.02808666i, +0.01768608-0.00167897i, +0.02861591-0.01149475i, +0.00706293+0.02398196i, +0.01623431+0.00387265i, +0.00212287+0.00453345i, -0.00796540+0.01101579i, -0.01272741+0.01889311i, +0.02221646+0.01102835i, +0.00285581+0.01393599i, +0.01767197+0.00549828i, +0.00865305-0.00184902i, -0.01687388+0.01046842i, +0.03513858+0.02085996i, -0.00649034-0.03380741i, -0.00684715+0.00068084i, +0.00524766+0.01149481i, +0.00555433+0.02922223i, -0.02433159-0.01673492i, +0.01751337+0.02020936i, +0.01714428-0.00000000i, +0.00638943-0.01441957i, +0.01075493-0.01367989i, +0.00784600+0.00385087i, -0.02678361+0.02827837i, +0.01665799-0.02946935i
+0.00538121+0.00821128i, -0.01939474+0.03407411i, +0.00062154+0.01816109i, +0.01233295+0.00366844i, -0.00771563+0.00598719i, -0.00463239-0.00636949i, +0.02425564-0.00903956i, +0.00800349+0.01424954i, +0.02033266+0.01978411i, -0.01753830+0.01487818i, +0.00279312+0.01509750i, -0.00302179+0.00347504i, -0.01223366-0.00259405i, -0.02063379-0.00366347i, -0.00099588+0.02279576i, -0.01065685+0.00759569i, +0.00196164+0.01691253i, +0.00478003+0.00658874i, -0.01509335-0.01029071i, -0.00444907+0.03732829i, +0.02601561-0.01805839i, -0.00312447-0.00550521i, -0.00771224+0.00869761i, -0.02250798+0.01556230i, +0.00500723-0.02670149i, -0.01047055+0.02226175i, +0.00638943+0.01441957i, +0.01450915-0.00000000i, +0.01551398+0.00394737i, -0.00031476+0.00803421i, -0.03376602-0.01198799i, +0.03099405+0.00302776i
+0.00798785+0.00731594i, -0.01146770+0.04171045i, +0.00560550+0.01924974i, +0.01418510+0.00056719i, -0.00662110+0.00850095i, -0.00668610-0.00555031i, +0.02347616-0.01626459i, +0.01243450+0.01305895i, +0.02712327+0.01562254i, -0.01470515+0.02068004i, +0.00709399+0.01538318i, -0.00228564+0.00453781i, -0.01378664+0.00055460i, -0.02305947+0.00169645i, +0.00513698+0.02464541i, -0.00932840+0.01102103i, +0.00669873+0.01755012i, +0.00690361+0.00574458i, -0.01893834-0.00689709i, +0.00539836+0.04112387i, +0.02290434-0.02638684i, -0.00483860-0.00503642i, -0.00588007+0.01139816i, -0.01983288+0.02276360i, -0.00191041-0.02991297i, -0.00513914+0.02665211i, +0.01075493+0.01367989i, +0.01551398-0.00394737i, +0.01766232+0.00000000i, +0.00184923+0.00867626i, -0.03936594-0.00363182i, +0.03396427-0.00519481i
+0.00443013-0.00315789i, +0.01928875+0.01000032i, +0.01004293-0.00073815i, +0.00176379-0.00690876i, +0.00348269+0.00414252i, -0.00342651+0.00270329i, -0.00553172-0.01323507i, +0.00771683-0.00474093i, +0.01051404-0.01168809i, +0.00861903+0.00938879i, +0.00829941-0.00187417i, +0.00198980+0.00159788i, -0.00117102+0.00683047i, -0.00158096+0.01150511i, +0.01264439+0.00005692i, +0.00443718+0.00573628i, +0.00932249-0.00145313i, +0.00354471-0.00278980i, -0.00537088+0.00858095i, +0.02076647+0.00165380i, -0.01056393-0.01401397i, -0.00298064+0.00184955i, +0.00498348+0.00408184i, +0.00910567+0.01212583i, -0.01489415-0.00219341i, +0.01255424+0.00531495i, +0.00784600-0.00385087i, -0.00031476-0.00803421i, +0.00184923-0.00867626i, +0.00445565-0.00000000i, -0.00590564+0.01895746i, +0.00100419-0.01722815i
-0.01930773-0.01466332i, +0.01698258-0.09532266i, -0.01645182-0.04175136i, -0.03173250+0.00165265i, +0.01300916-0.02030846i, +0.01604331+0.01099575i, -0.04897946+0.04107796i, -0.03039938-0.02654906i, -0.06366497-0.02924243i, +0.02852263-0.04911561i, -0.01897433-0.03282746i, +0.00416117-0.01058391i, +0.03061375-0.00407097i, +0.05104631-0.00852268i, -0.01651706-0.05387362i, +0.01852503-0.02648193i, -0.01853893-0.03773843i, -0.01656805-0.01138402i, +0.04362814+0.01147809i, -0.02048802-0.09054721i, -0.04562360+0.06352092i, +0.01181993+0.01023029i, +0.01076180-0.02661341i, +0.03952292-0.05481385i, +0.01040880+0.06627745i, +0.00597381-0.06045918i, -0.02678361-0.02827837i, -0.03376602+0.01198799i, -0.03936594+0.00363182i, -0.00590564-0.01895746i, +0.08848594-0.00000000i, -0.07463168+0.01856215i
+0.01320871+0.01641777i, -0.03431994+0.07683546i, +0.00511756+0.03866552i, +0.02711083+0.00526279i, -0.01523252+0.01439976i, -0.01122477-0.01263963i, +0.04992787-0.02437171i, +0.02007041+0.02876930i, +0.04756261+0.03801927i, -0.03436007+0.03544223i, +0.00911713+0.03166800i, -0.00572989+0.00805387i, -0.02667454-0.00298842i, -0.04484183-0.00351996i, +0.00262964+0.04890349i, -0.02117981+0.01844956i, +0.00771970+0.03571872i, +0.01158590+0.01307718i, -0.03438946-0.01883307i, -0.00171434+0.08066809i, +0.05180542-0.04400475i, -0.00782322-0.01110806i, -0.01465965+0.02018899i, -0.04483339+0.03794071i, +0.00512427-0.05808389i, -0.01772133+0.04973992i, +0.01665799+0.02946935i, +0.03099405-0.00302776i, +0.03396427+0.00519481i, +0.00100419+0.01722815i, -0.07463168-0.01856215i, +0.06684047-0.00000000i
