+0.02850177+0.00071879i, -0.00934985-0.02016266i, -0.06273903+0.00108883i, -0.02361050-0.04571113i, -0.00083201-0.00368710i, -0.00228858+0.00185583i, -0.00213354-0.00787718i, +0.00491895-0.00434852i, -0.00712377+0.01297863i, +0.01153061+0.00049112i, +0.01455602-0.02942240i, +0.02691620+0.00000000i, -0.00171864-0.00044770i, +0.00028126+0.00135557i, -0.00374850-0.00080786i, -0.00075470-0.00299115i, +0.01490582-0.01277450i, -0.01407797-0.00599901i, -0.03157957+0.02948549i, -0.03315046-0.01248769i, -0.00212556-0.00150176i, -0.00031455+0.00200423i, -0.00472313-0.00304423i, +0.00051022-0.00449173i, -0.00163030-0.00690742i, -0.00426268+0.00352674i, +0.00419934+0.01492071i, -0.00943795+0.00851041i, +0.00091697-0.00047614i, -0.00064964-0.00047610i, +0.00193430-0.00111136i, +0.00149141+0.00099832i
-0.00226155+0.00052862i, +0.00119550+0.00145134i, +0.00489129-0.00136523i, +0.00252516+0.00281256i, +0.00105266+0.00203801i, +0.00094701-0.00128637i, +0.00054531+0.00095387i, -0.00045638+0.00067862i, +0.00026697-0.00105810i, -0.00086367+0.00018613i, -0.00048476+0.00233633i, -0.00171864+0.00044770i, +0.00237429-0.00000000i, -0.00071569-0.00144663i, -0.00137544+0.00005858i, -0.00049305-0.00089827i, -0.00091270+0.00131310i, +0.00128053+0.00019090i, +0.00187166-0.00295347i, +0.00258810+0.00027386i, +0.00147800+0.00055676i, -0.00010888-0.00109445i, +0.00071867+0.00023632i, +0.00007954+0.00055745i, +0.00029689+0.00056117i, +0.00030064-0.00041690i, -0.00070078-0.00119828i, +0.00056813-0.00086301i, +0.00001020-0.00000920i, +0.00000922+0.00000366i, -0.00088177+0.00086593i, -0.00086872-0.00030246i
+0.00042830-0.00183090i, -0.00122890+0.00028725i, -0.00070357+0.00371375i, -0.00283800+0.00079213i, -0.00159712+0.00002772i, +0.00063923+0.00123758i, -0.00081634+0.00004897i, -0.00031640-0.00055345i, +0.00067198+0.00057359i, +0.00014507-0.00057496i, -0.00139865-0.00109450i, +0.00028126-0.00135557i, -0.00071569+0.00144663i, +0.00146401+0.00000000i, +0.00041488-0.00093694i, +0.00079805-0.00003399i, -0.00062521-0.00113372i, -0.00049595+0.00071352i, +0.00135262+0.00222344i, -0.00108596+0.00171364i, -0.00080391+0.00075060i, +0.00089751+0.00033809i, -0.00039485+0.00040145i, -0.00041698-0.00013712i, -0.00051380+0.00001398i, +0.00016132+0.00030493i, +0.00103071-0.00007202i, +0.00040660+0.00069526i, -0.00000269-0.00000955i, +0.00001435-0.00001294i, -0.00028666-0.00087406i, +0.00051162-0.00050243i
-0.00498966+0.00094438i, +0.00227686+0.00301709i, +0.01087509-0.00254199i, +0.00518874+0.00629913i, +0.00046223+0.00099678i, +0.00051243-0.00063735i, +0.00189050+0.00366011i, -0.00175265+0.00238070i, +0.00068166-0.00228664i, -0.00175048+0.00029994i, -0.00128378+0.00508809i, -0.00374850+0.00080786i, -0.00137544-0.00005858i, +0.00041488+0.00093694i, +0.00656330-0.00000000i, +0.00209827+0.00424127i, -0.00211602+0.00278362i, +0.00255544+0.00049294i, +0.00438888-0.00631431i, +0.00555777+0.00082855i, +0.00069597+0.00029657i, -0.00003185-0.00056219i, +0.00265437+0.00099990i, +0.00020151+0.00202551i, +0.00059635+0.00125353i, +0.00063945-0.00081157i, -0.00142763-0.00269850i, +0.00130483-0.00180944i, -0.00095221+0.00078782i, +0.00083986+0.00037524i, +0.00086221-0.00077747i, +0.00078453+0.00031118i
-0.00101681+0.00364047i, +0.00289507-0.00054794i, +0.00185892-0.00794647i, +0.00639317-0.00149436i, +0.00081755+0.00002062i, -0.00026819-0.00057835i, +0.00295582-0.00005130i, +0.00112536+0.00217875i, -0.00130052-0.00120947i, -0.00039551+0.00132674i, +0.00291654+0.00248951i, -0.00075470+0.00299115i, -0.00049305+0.00089827i, +0.00079805+0.00003399i, +0.00209827-0.00424127i, +0.00389454-0.00000000i, +0.00115866+0.00233040i, +0.00122774-0.00161510i, -0.00271353-0.00492057i, +0.00258010-0.00371201i, +0.00042756-0.00036642i, -0.00040381-0.00017208i, +0.00148780-0.00138915i, +0.00158006+0.00059521i, +0.00103310+0.00001588i, -0.00034601-0.00072732i, -0.00223001+0.00006066i, -0.00083927-0.00158637i, +0.00021130+0.00089527i, +0.00055249-0.00045710i, -0.00022865-0.00081243i, +0.00050870-0.00045871i
+0.03352255+0.03022803i, +0.00810787-0.02880818i, -0.05735388-0.04745194i, +0.01272727-0.05392427i, +0.00208410-0.00393934i, -0.00360683-0.00009811i, +0.00418629-0.00879963i, +0.00725223-0.00011149i, -0.01494175+0.00562852i, +0.00773716+0.00722410i, +0.02426340-0.01033929i, +0.01490582+0.01277450i, -0.00091270-0.00131310i, -0.00062521+0.00113372i, -0.00211602-0.00278362i, +0.00115866-0.00233040i, +0.03452346-0.00000000i, -0.01015005-0.02051652i, -0.05684651+0.00242125i, -0.02037744-0.03712519i, -0.00082939-0.00328719i, -0.00208764+0.00178197i, -0.00211771-0.00710389i, +0.00404031-0.00375743i, +0.00529574-0.01025281i, -0.00764931-0.00013275i, -0.00801909+0.01729293i, -0.01418342+0.00035770i, +0.00112542+0.00026306i, -0.00021314-0.00091111i, +0.00248302+0.00046995i, +0.00050600+0.00181162i
-0.02781895+0.01103426i, +0.02098740+0.01892481i, +0.05058646-0.02260134i, +0.03327755+0.02753230i, +0.00211043+0.00292659i, +0.00113247-0.00214059i, +0.00448887+0.00569713i, -0.00242895+0.00510567i, +0.00104795-0.01053342i, -0.00935492+0.00352397i, -0.00111040+0.01959945i, -0.01407797+0.00599901i, +0.00128053-0.00019090i, -0.00049595-0.00071352i, +0.00255544-0.00049294i, +0.00122774+0.00161510i, -0.01015005+0.02051652i, +0.02161373-0.00000000i, +0.01714683-0.03872345i, +0.03298316-0.00140485i, +0.00268315+0.00057826i, -0.00045068-0.00178622i, +0.00543820+0.00093183i, +0.00122873+0.00412178i, +0.00453565+0.00616096i, +0.00331562-0.00641921i, -0.00889003-0.01105733i, +0.00465279-0.01003361i, -0.00059492+0.00072224i, +0.00061154+0.00014294i, -0.00113304+0.00150140i, -0.00144068-0.00027267i
-0.05311125-0.05215696i, -0.01726643+0.05264675i, +0.12545066+0.11312168i, -0.03306837+0.11749564i, -0.00491937+0.00841180i, +0.00723544+0.00050558i, -0.01002180+0.01894310i, -0.01565440-0.00042583i, +0.02505469-0.00823870i, -0.01376560-0.01399569i, -0.05595339+0.02107749i, -0.03157957-0.02948549i, +0.00187166+0.00295347i, +0.00135262-0.00222344i, +0.00438888+0.00631431i, -0.00271353+0.00492057i, -0.05684651-0.00242125i, +0.01714683+0.03872345i, +0.12916415-0.00000000i, +0.04138612+0.08365467i, +0.00150599+0.00725823i, +0.00434517-0.00340027i, +0.00398829+0.01580712i, -0.00906078+0.00773413i, -0.00946049+0.01654842i, +0.01416247+0.00084964i, +0.01983130-0.03839440i, +0.03122101+0.00054184i, -0.00243407-0.00067939i, +0.00035012+0.00184808i, -0.00541180-0.00126498i, -0.00092506-0.00395443i
-0.05232507+0.01821804i, +0.03081591+0.03026222i, +0.11346102-0.04500378i, +0.07432542+0.06702090i, +0.00398817+0.00605819i, +0.00285429-0.00488065i, +0.00915972+0.01270201i, -0.00589154+0.01113613i, +0.00277295-0.01943404i, -0.01453709+0.00478021i, -0.00427724+0.04299266i, -0.03315046+0.01248769i, +0.00258810-0.00027386i, -0.00108596-0.00171364i, +0.00555777-0.00082855i, +0.00258010+0.00371201i, -0.02037744+0.03712519i, +0.03298316+0.00140485i, +0.04138612-0.08365467i, +0.07652562-0.00000000i, +0.00533927+0.00139087i, -0.00087380-0.00421133i, +0.01164542+0.00250976i, +0.00234461+0.00929257i, +0.00791761+0.01177322i, +0.00548911-0.00960163i, -0.01851245-0.02514626i, +0.01174936-0.02274736i, -0.00125660+0.00139962i, +0.00141228+0.00039419i, -0.00258209+0.00313465i, -0.00318145-0.00074364i
-0.00370353+0.00247907i, +0.00312854+0.00179751i, +0.00785989-0.00576026i, +0.00643703+0.00334244i, +0.00374474+0.00337672i, +0.00094602-0.00336132i, +0.00090366+0.00074765i, -0.00020053+0.00084963i, -0.00018049-0.00158892i, -0.00108823+0.00070140i, +0.00054213+0.00345430i, -0.00212556+0.00150176i, +0.00147800-0.00055676i, -0.00080391-0.00075060i, +0.00069597-0.00029657i, +0.00042756+0.00036642i, -0.00082939+0.00328719i, +0.00268315-0.00057826i, +0.00150599-0.00725823i, +0.00533927-0.00139087i, +0.00402201-0.00000000i, -0.00123289-0.00249207i, +0.00061968-0.00002639i, +0.00022213+0.00040470i, +0.00086591+0.00076549i, +0.00024462-0.00090317i, -0.00196285-0.00159169i, +0.00041404-0.00183482i, -0.00052384+0.00101418i, +0.00079478+0.00001379i, -0.00023002+0.00049603i, -0.00040684+0.00001026i
-0.00046939-0.00357750i, -0.00201245+0.00134710i, +0.00124873+0.00714478i, -0.00456042+0.00334219i, -0.00324590+0.00128747i, +0.00228215+0.00205787i, -0.00079704+0.00035610i, -0.00052432-0.00043380i, +0.00121782+0.00043946i, -0.00009808-0.00086340i, -0.00248341-0.00077841i, -0.00031455-0.00200423i, -0.00010888+0.00109445i, +0.00089751-0.00033809i, -0.00003185+0.00056219i, -0.00040381+0.00017208i, -0.00208764-0.00178197i, -0.00045068+0.00178622i, +0.00434517+0.00340027i, -0.00087380+0.00421133i, -0.00123289+0.00249207i, +0.00245391-0.00000000i, -0.00018692+0.00042212i, -0.00035955+0.00001531i, -0.00086635+0.00035354i, +0.00047052+0.00041596i, +0.00170971-0.00078415i, +0.00113887+0.00092352i, -0.00047126-0.00064014i, -0.00031810+0.00061586i, -0.00025500-0.00031717i, +0.00013346-0.00028780i
-0.00832123+0.00507106i, +0.00612950+0.00387769i, +0.01780913-0.01192109i, +0.01357854+0.00780159i, +0.00083682+0.00082178i, +0.00027205-0.00082950i, +0.00756919+0.00682531i, -0.00198444+0.00705094i, -0.00024644-0.00348789i, -0.00224555+0.00131558i, +0.00086791+0.00764065i, -0.00472313+0.00304423i, +0.00071867-0.00023632i, -0.00039485-0.00040145i, +0.00265437-0.00099990i, +0.00148780+0.00138915i, -0.00211771+0.00710389i, +0.00543820-0.00093183i, +0.00398829-0.01580712i, +0.01164542-0.00250976i, +0.00061968+0.00002639i, -0.00018692-0.00042212i, +0.00841798-0.00000000i, +0.00268378+0.00542477i, +0.00182040+0.00175283i, +0.00056855-0.00179297i, -0.00416388-0.00368101i, +0.00106172-0.00391995i, -0.00027136+0.00047468i, +0.00040624+0.00002437i, -0.00094078+0.00182139i, -0.00147091-0.00002553i
+0.00063667+0.00722509i, +0.00482810-0.00294230i, -0.00203723-0.01552711i, +0.01046950-0.00700808i, +0.00082443-0.00028704i, -0.00048553-0.00047681i, +0.00680883-0.00270069i, +0.00450115+0.00405879i, -0.00240823-0.00098676i, +0.00014299+0.00202372i, +0.00528558+0.00190733i, +0.00051022+0.00449173i, +0.00007954-0.00055745i, -0.00041698+0.00013712i, +0.00020151-0.00202551i, +0.00158006-0.00059521i, +0.00404031+0.00375743i, +0.00122873-0.00412178i, -0.00906078-0.00773413i, +0.00234461-0.00929257i, +0.00022213-0.00040470i, -0.00035955-0.00001531i, +0.00268378-0.00542477i, +0.00500452-0.00000000i, +0.00177019-0.00063593i, -0.00105622-0.00101702i, -0.00376015+0.00153444i, -0.00244783-0.00216397i, +0.00022711+0.00033770i, +0.00015745-0.00027541i, +0.00087217+0.00118471i, -0.00056001+0.00108422i
-0.00405832+0.01544235i, +0.01036929-0.00212816i, +0.00561215-0.02577047i, +0.01904468-0.00476146i, +0.00159906+0.00001574i, -0.00056265-0.00116603i, +0.00349471-0.00011440i, +0.00122975+0.00229368i, -0.00423173-0.00381585i, -0.00102291+0.00363452i, +0.00734673+0.00607834i, -0.00163030+0.00690742i, +0.00029689-0.00056117i, -0.00051380-0.00001398i, +0.00059635-0.00125353i, +0.00103310-0.00001588i, +0.00529574+0.01025281i, +0.00453565-0.00616096i, -0.00946049-0.01654842i, +0.00791761-0.01177322i, +0.00086591-0.00076549i, -0.00086635-0.00035354i, +0.00182040-0.00175283i, +0.00177019+0.00063593i, +0.00694458+0.00000000i, -0.00204245-0.00412846i, -0.01133185+0.00048266i, -0.00406206-0.00740058i, +0.00015365+0.00060897i, +0.00038675-0.00033012i, +0.00039232+0.00131604i, -0.00074849+0.00069609i
-0.00798317-0.00695127i, -0.00254089+0.00966834i, +0.01534011+0.01224958i, -0.00325625+0.01495240i, -0.00058549+0.00115473i, +0.00086891+0.00000855i, -0.00107710+0.00236920i, -0.00202768+0.00006638i, +0.00350972-0.00139211i, -0.00265026-0.00238980i, -0.00647986+0.00289511i, -0.00426268-0.00352674i, +0.00030064+0.00041690i, +0.00016132-0.00030493i, +0.00063945+0.00081157i, -0.00034601+0.00072732i, -0.00764931+0.00013275i, +0.00331562+0.00641921i, +0.01416247-0.00084964i, +0.00548911+0.00960163i, +0.00024462+0.00090317i, +0.00047052-0.00041596i, +0.00056855+0.00179297i, -0.00105622+0.00101702i, -0.00204245+0.00412846i, +0.00434681-0.00000000i, +0.00341807-0.00771918i, +0.00657490-0.00028004i, -0.00049707-0.00010713i, +0.00008349+0.00033091i, -0.00100746-0.00017263i, -0.00022763-0.00076359i
