-0.00035548+0.00371024i, -0.01302527+0.01336125i, -0.00013872-0.00600740i, -0.00523027+0.01525519i, -0.00743409-0.01482659i, -0.00162777-0.00207242i, -0.00883801-0.00863900i, +0.02155976-0.02125147i, +0.00489463+0.01440790i, +0.00929422-0.00458506i, -0.00169218-0.02240600i, +0.06277179+0.00000000i, -0.01349575-0.01367430i, -0.00029948+0.00600815i, +0.00435839+0.01049422i, -0.00070116+0.00241472i, +0.00100181-0.01202686i, +0.00371684+0.02047681i, -0.01240426+0.00145808i, +0.02404354-0.01250670i, -0.00221985+0.00567569i, +0.00542360-0.00472701i, +0.00076067-0.01194212i, +0.02169777-0.00029180i, +0.01337550+0.00126861i, +0.00698102+0.00646699i, +0.01227502-0.00626529i, -0.01657228+0.01052350i, +0.00637434-0.01266141i, +0.02172210-0.00266086i, +0.00988462-0.01085698i, -0.01331514+0.02293765i
-0.00042053-0.00097947i, +0.00228867-0.00930548i, +0.00292930+0.00238012i, -0.00243411-0.00650470i, +0.00927977+0.00491785i, +0.00028619-0.00012166i, +0.00657559+0.00028568i, +0.00081903+0.01184240i, -0.00838791-0.00457375i, -0.00190071+0.00747914i, +0.00847570+0.00927839i, -0.01349575+0.01367430i, +0.02887361+0.00000000i, -0.00051763-0.00353411i, -0.00564648-0.00228986i, -0.00032143-0.00143274i, +0.00502988+0.00659625i, -0.00795705-0.00621925i, +0.00382686-0.00534569i, -0.00542541+0.01089917i, -0.00280972-0.00263754i, -0.00050827+0.00491719i, +0.00513184+0.00526003i, -0.00632329+0.00574542i, -0.00582079+0.00557944i, -0.00392113+0.00019059i, -0.00199577+0.00752369i, +0.00426624-0.00875554i, +0.00278316+0.00869146i, -0.00798649+0.00957693i, +0.00154511+0.00944499i, -0.00253243-0.01307047i
+0.00053402+0.00189510i, +0.00251000+0.00349552i, -0.00026974-0.00117445i, +0.00058494+0.00158930i, -0.00283832-0.00039781i, -0.00185557-0.00097474i, -0.00217670+0.00190281i, -0.00320700-0.00317250i, +0.00538070-0.00041466i, -0.00171500-0.00352832i, -0.00296436-0.00194413i, -0.00029948-0.00600815i, -0.00051763+0.00353411i, +0.02551684-0.00000000i, +0.00152050-0.00146815i, -0.00140304+0.00348416i, -0.00182244-0.00127594i, +0.00256056+0.00202180i, +0.00032102+0.00143931i, -0.00004164-0.00431162i, -0.00000677+0.00097256i, -0.00393568+0.00199158i, -0.00123596-0.00165567i, +0.00298334-0.00189008i, +0.00113063-0.00214398i, +0.00054757-0.00025885i, -0.00141576-0.00215909i, +0.00004004+0.00327098i, -0.00241706-0.00027235i, +0.00031180-0.00279946i, -0.00173063-0.00167677i, +0.00157239+0.00240180i
-0.00056295+0.00143561i, +0.00163848+0.00522724i, -0.00298525-0.00123281i, +0.00118157+0.00404825i, -0.00562935-0.00045497i, -0.00008592+0.00077683i, -0.00468659+0.00175739i, -0.00302865-0.00658325i, +0.00523106+0.00152673i, +0.00056295-0.00229990i, -0.00358158-0.00244723i, +0.00435839-0.01049422i, -0.00564648+0.00228986i, +0.00152050+0.00146815i, +0.02384231+0.00000000i, -0.00073439+0.00595581i, -0.00321553-0.00096777i, +0.00626488+0.00225840i, -0.00200993+0.00123359i, +0.00129026-0.00746097i, +0.00196276+0.00196276i, -0.00061329-0.00443971i, -0.00461761-0.00255061i, +0.00260713-0.00412786i, +0.00293699-0.00444971i, +0.00343245-0.00129354i, -0.00079883-0.00444175i, -0.00009907+0.00403503i, -0.00300019-0.00669509i, +0.00241942-0.00743775i, -0.00054468-0.00423858i, +0.00311128+0.00527537i
+0.00072271+0.00008740i, +0.00217783-0.00015148i, -0.00085719-0.00061781i, +0.00334357-0.00033999i, -0.00092527+0.00237296i, +0.00102958-0.00113374i, +0.00100241+0.00050241i, -0.00182649+0.00292685i, -0.00114806-0.00043001i, -0.00191101+0.00034380i, -0.00393318+0.00161516i, -0.00070116-0.00241472i, -0.00032143+0.00143274i, -0.00140304-0.00348416i, -0.00073439-0.00595581i, +0.02533663+0.00000000i, -0.00033791+0.00174275i, +0.00210945-0.00184029i, +0.00097118+0.00064821i, -0.00340450-0.00157528i, -0.00041253-0.00018244i, +0.00007617-0.00110615i, -0.00178223+0.00092442i, -0.00389621-0.00278779i, -0.00282964-0.00154466i, -0.00127190-0.00241858i, -0.00049394+0.00071770i, +0.00058499-0.00071143i, -0.00195180+0.00022865i, -0.00262343-0.00067938i, -0.00054001-0.00052878i, +0.00206918+0.00066695i
-0.00328082+0.00199377i, -0.00467490-0.00498534i, +0.00097265-0.00129449i, -0.00403442-0.00160704i, +0.00553747-0.00215607i, +0.00130731-0.00150691i, +0.00261640-0.00303477i, +0.00672822+0.00487572i, -0.00327593+0.00394311i, +0.00179366+0.00318179i, +0.00770783+0.00061122i, +0.00100181+0.01202686i, +0.00502988-0.00659625i, -0.00182244+0.00127594i, -0.00321553+0.00096777i, -0.00033791-0.00174275i, +0.02568616+0.00000000i, -0.00525895-0.00087382i, -0.00134386-0.00458011i, +0.00246217+0.00659284i, -0.00411731-0.00170928i, -0.00183117+0.00195681i, +0.00298892+0.00125881i, +0.00134660+0.00666454i, -0.00267296+0.00733857i, -0.00288190+0.00109121i, +0.00177182+0.00475350i, -0.00216692-0.00572117i, +0.00927569-0.00228794i, +0.00146694+0.00762336i, +0.00341973+0.00213138i, -0.00648528-0.00338477i
+0.00260632+0.00011518i, +0.00573017+0.01071340i, -0.00300759+0.00201420i, +0.00808368+0.00385611i, -0.00941699+0.00255128i, +0.00053042+0.00082222i, -0.00645909+0.00309446i, -0.00699826-0.01163456i, +0.00806791-0.00082514i, -0.00202202-0.00429679i, -0.01062308-0.00301876i, +0.00371684-0.02047681i, -0.00795705+0.00621925i, +0.00256056-0.00202180i, +0.00626488-0.00225840i, +0.00210945+0.00184029i, -0.00525895+0.00087382i, +0.03733515-0.00000000i, +0.00065423+0.00710073i, -0.00127827-0.01624250i, +0.00286882+0.00486757i, -0.00412556-0.00469297i, -0.00728166-0.00211183i, +0.00243158-0.00998328i, +0.00250424-0.00770127i, +0.00251049-0.00365863i, -0.00105699-0.00771368i, +0.00350559+0.01083998i, -0.00570734-0.00559325i, +0.00573617-0.01624233i, -0.00568399-0.00527200i, +0.00943648+0.01025713i
+0.00051241-0.00278473i, +0.00433825-0.00382359i, +0.00104350+0.00174152i, +0.00344380-0.00399902i, +0.00363514+0.00688624i, +0.00127448+0.00022037i, +0.00385737+0.00275830i, -0.00563769+0.00565581i, -0.00180809-0.00672642i, -0.00366953+0.00064243i, -0.00114268+0.00947618i, -0.01240426-0.00145808i, +0.00382686+0.00534569i, +0.00032102-0.00143931i, -0.00200993-0.00123359i, +0.00097118-0.00064821i, -0.00134386+0.00458011i, +0.00065423-0.00710073i, +0.02488721-0.00000000i, -0.01092857+0.00577185i, -0.00042704+0.00055752i, -0.00191799+0.00154387i, -0.00110071+0.00418206i, -0.00353979-0.00049820i, -0.00450106-0.00078224i, -0.00269101-0.00339142i, -0.00585829+0.00192528i, +0.00495299-0.00288638i, -0.00372089+0.00492523i, -0.00659862-0.00031112i, -0.00739394+0.00700259i, +0.00437844-0.00774322i
-0.00174018+0.00371384i, -0.01412422+0.00600090i, -0.00019923-0.00287022i, -0.00662262+0.00679096i, -0.00222041-0.01394818i, -0.00017912-0.00236727i, -0.00404151-0.00923025i, +0.01660591-0.00683165i, -0.00057892+0.01217764i, +0.00687422-0.00176703i, +0.00597402-0.01399146i, +0.02404354+0.01250670i, -0.00542541-0.01089917i, -0.00004164+0.00431162i, +0.00129026+0.00746097i, -0.00340450+0.00157528i, +0.00246217-0.00659284i, -0.00127827+0.01624250i, -0.01092857-0.00577185i, +0.04598317-0.00000000i, -0.00038830+0.00598054i, +0.00689631-0.00540151i, +0.00514900-0.01022568i, +0.01163551+0.00725640i, +0.00898878+0.00348270i, +0.00105782+0.00735939i, +0.01048876-0.00210989i, -0.01598507+0.00530850i, +0.00748466-0.00613165i, +0.01601261+0.00420222i, +0.00946206-0.00397188i, -0.02125944+0.01434730i
+0.00051408-0.00034853i, +0.00306323+0.00199262i, -0.00098442+0.00107708i, +0.00099523-0.00095223i, -0.00257302+0.00090663i, -0.00201469-0.00024712i, -0.00319641+0.00335112i, -0.00305640-0.00295929i, +0.00076171-0.00136016i, -0.00185119-0.00025629i, -0.00384313+0.00113110i, -0.00221985-0.00567569i, -0.00280972+0.00263754i, -0.00000677-0.00097256i, +0.00196276-0.00196276i, -0.00041253+0.00018244i, -0.00411731+0.00170928i, +0.00286882-0.00486757i, -0.00042704-0.00055752i, -0.00038830-0.00598054i, +0.02182484+0.00000000i, +0.00085755-0.00214033i, -0.00252103+0.00135859i, -0.00171602-0.00377240i, -0.00036655-0.00435753i, -0.00005306-0.00013935i, -0.00235445-0.00398088i, +0.00297926+0.00310301i, -0.00381949+0.00124942i, -0.00159175-0.00433898i, -0.00122038-0.00218168i, +0.00383433+0.00278185i
